name,date,CUR_MKT_CAP
ADM LN Equity,2004-09-23,1084.7314
ADM LN Equity,2004-09-24,1093.3012
ADM LN Equity,2004-09-27,1090.5091
ADM LN Equity,2004-09-28,1097.9763
ADM LN Equity,2004-09-29,1088.7806
ADM LN Equity,2004-09-30,1085.7311
ADM LN Equity,2004-10-01,1091.38
ADM LN Equity,2004-10-04,1108.2141
ADM LN Equity,2004-10-05,1101.0346
ADM LN Equity,2004-10-06,1096.0158
ADM LN Equity,2004-10-07,1102.0985
ADM LN Equity,2004-10-08,1091.9344
ADM LN Equity,2004-10-11,1101.0165
ADM LN Equity,2004-10-12,1098.95
ADM LN Equity,2004-10-13,1105.6728
ADM LN Equity,2004-10-14,1105.2506
ADM LN Equity,2004-10-15,1099.7477
ADM LN Equity,2004-10-18,1097.5829
ADM LN Equity,2004-10-19,1094.1986
ADM LN Equity,2004-10-20,1092.7229
ADM LN Equity,2004-10-21,1102.8167
ADM LN Equity,2004-10-22,1121.1601
ADM LN Equity,2004-10-25,1111.4339
ADM LN Equity,2004-10-26,1107.9338
ADM LN Equity,2004-10-27,1104.9478
ADM LN Equity,2004-10-28,1101.9694
ADM LN Equity,2004-10-29,1086.9129
ADM LN Equity,2004-11-01,1081.7811
ADM LN Equity,2004-11-02,1093.0826
ADM LN Equity,2004-11-03,1099.4536
ADM LN Equity,2004-11-04,1089.9082
ADM LN Equity,2004-11-05,1091.812
ADM LN Equity,2004-11-08,1098.506
ADM LN Equity,2004-11-09,1102.6767
ADM LN Equity,2004-11-10,1101.5391
ADM LN Equity,2004-11-11,1099.2723
ADM LN Equity,2004-11-12,1134.9059
ADM LN Equity,2004-11-15,1127.0336
ADM LN Equity,2004-11-16,1120.928
ADM LN Equity,2004-11-17,1132.9404
ADM LN Equity,2004-11-18,1133.4643
ADM LN Equity,2004-11-19,1138.4856
ADM LN Equity,2004-11-22,1138.0307
ADM LN Equity,2004-11-23,1151.6721
ADM LN Equity,2004-11-24,1160.0203
ADM LN Equity,2004-11-25,1146.9787
ADM LN Equity,2004-11-26,1143.666
ADM LN Equity,2004-11-29,1150.3689
ADM LN Equity,2004-11-30,1156.6812
ADM LN Equity,2004-12-01,1168.5371
ADM LN Equity,2004-12-02,1164.3418
ADM LN Equity,2004-12-03,1181.3259
ADM LN Equity,2004-12-06,1202.7092
ADM LN Equity,2004-12-07,1201.5673
ADM LN Equity,2004-12-08,1192.0158
ADM LN Equity,2004-12-09,1188.3656
ADM LN Equity,2004-12-10,1198.4063
ADM LN Equity,2004-12-13,1201.0922
ADM LN Equity,2004-12-14,1206.0186
ADM LN Equity,2004-12-15,1214.6122
ADM LN Equity,2004-12-16,1209.4256
ADM LN Equity,2004-12-17,1187.2429
ADM LN Equity,2004-12-20,1200.1011
ADM LN Equity,2004-12-21,1180.6471
ADM LN Equity,2004-12-22,1162.8476
ADM LN Equity,2004-12-23,1163.2355
ADM LN Equity,2004-12-24,1156.1736
ADM LN Equity,2004-12-29,1160.7773
ADM LN Equity,2004-12-30,1174.7392
ADM LN Equity,2004-12-31,1178.6073
ADM LN Equity,2005-01-04,1204.444
ADM LN Equity,2005-01-05,1220.4118
ADM LN Equity,2005-01-06,1233.7224
ADM LN Equity,2005-01-07,1266.3317
ADM LN Equity,2005-01-10,1261.8847
ADM LN Equity,2005-01-11,1262.8727
ADM LN Equity,2005-01-12,1222.3553
ADM LN Equity,2005-01-13,1226.9825
ADM LN Equity,2005-01-14,1209.8908
ADM LN Equity,2005-01-17,1236.655
ADM LN Equity,2005-01-18,1248.8101
ADM LN Equity,2005-01-19,1249.7295
ADM LN Equity,2005-01-20,1247.8015
ADM LN Equity,2005-01-21,1254.2976
ADM LN Equity,2005-01-24,1265.3552
ADM LN Equity,2005-01-25,1291.8211
ADM LN Equity,2005-01-26,1296.282
ADM LN Equity,2005-01-27,1309.3938
ADM LN Equity,2005-01-28,1309.5658
ADM LN Equity,2005-01-31,1305.2156
ADM LN Equity,2005-02-01,1299.5353
ADM LN Equity,2005-02-02,1314.7224
ADM LN Equity,2005-02-03,1312.5252
ADM LN Equity,2005-02-04,1299.8703
ADM LN Equity,2005-02-07,1306.2181
ADM LN Equity,2005-02-08,1328.5049
ADM LN Equity,2005-02-09,1327.6685
ADM LN Equity,2005-02-10,1307.7074
ADM LN Equity,2005-02-11,1298.3362
ADM LN Equity,2005-02-14,1299.7288
ADM LN Equity,2005-02-15,1277.1933
ADM LN Equity,2005-02-16,1258.9411
ADM LN Equity,2005-02-17,1276.7513
ADM LN Equity,2005-02-18,1292.1323
ADM LN Equity,2005-02-21,1291.4426
ADM LN Equity,2005-02-22,1269.5444
ADM LN Equity,2005-02-23,1260.469
ADM LN Equity,2005-02-24,1261.4962
ADM LN Equity,2005-02-25,1256.0224
ADM LN Equity,2005-02-28,1263.5891
ADM LN Equity,2005-03-01,1285.3029
ADM LN Equity,2005-03-02,1291.1801
ADM LN Equity,2005-03-03,1304.404
ADM LN Equity,2005-03-04,1307.0296
ADM LN Equity,2005-03-07,1309.5082
ADM LN Equity,2005-03-08,1290.2807
ADM LN Equity,2005-03-09,1289.5715
ADM LN Equity,2005-03-10,1286.824
ADM LN Equity,2005-03-11,1283.7988
ADM LN Equity,2005-03-14,1296.4532
ADM LN Equity,2005-03-15,1297.3959
ADM LN Equity,2005-03-16,1288.451
ADM LN Equity,2005-03-17,1290.0596
ADM LN Equity,2005-03-18,1290.3044
ADM LN Equity,2005-03-21,1302.8656
ADM LN Equity,2005-03-22,1310.4402
ADM LN Equity,2005-03-23,1288.186
ADM LN Equity,2005-03-24,1291.5505
ADM LN Equity,2005-03-29,1317.787
ADM LN Equity,2005-03-30,1313.7121
ADM LN Equity,2005-03-31,1314.2174
ADM LN Equity,2005-04-01,1322.6147
ADM LN Equity,2005-04-04,1321.812
ADM LN Equity,2005-04-05,1314.8842
ADM LN Equity,2005-04-06,1314.6382
ADM LN Equity,2005-04-07,1320.5668
ADM LN Equity,2005-04-08,1318.3002
ADM LN Equity,2005-04-11,1344.1781
ADM LN Equity,2005-04-12,1343.4937
ADM LN Equity,2005-04-13,1357.0904
