name,date,CUR_MKT_CAP
AGN NA Equity,1999-01-04,62697.3683
AGN NA Equity,1999-01-05,63769.8615
AGN NA Equity,1999-01-06,64320.6012
AGN NA Equity,1999-01-07,60726.2999
AGN NA Equity,1999-01-08,60291.5054
AGN NA Equity,1999-01-11,58552.3273
AGN NA Equity,1999-01-12,55653.6973
AGN NA Equity,1999-01-13,52610.1357
AGN NA Equity,1999-01-14,53015.9439
AGN NA Equity,1999-01-15,55276.8754
AGN NA Equity,1999-01-18,57450.8479
AGN NA Equity,1999-01-19,56842.1356
AGN NA Equity,1999-01-20,58146.5191
AGN NA Equity,1999-01-21,57885.6424
AGN NA Equity,1999-01-22,55566.7384
AGN NA Equity,1999-01-25,55450.7932
AGN NA Equity,1999-01-26,55305.8617
AGN NA Equity,1999-01-27,55972.5466
AGN NA Equity,1999-01-28,57016.0534
AGN NA Equity,1999-01-29,56059.5055
AGN NA Equity,1999-02-01,57160.9849
AGN NA Equity,1999-02-02,56059.5055
AGN NA Equity,1999-02-03,54958.026
AGN NA Equity,1999-02-04,55421.8069
AGN NA Equity,1999-02-05,55653.6973
AGN NA Equity,1999-02-08,54958.026
AGN NA Equity,1999-02-09,53131.8891
AGN NA Equity,1999-02-10,51653.5878
AGN NA Equity,1999-02-11,51363.7248
AGN NA Equity,1999-02-12,51972.4371
AGN NA Equity,1999-02-15,51566.6289
AGN NA Equity,1999-02-16,50697.0399
AGN NA Equity,1999-02-17,49044.8207
AGN NA Equity,1999-02-18,51769.533
AGN NA Equity,1999-02-19,51305.7522
AGN NA Equity,1999-02-22,51914.4645
AGN NA Equity,1999-02-23,53856.5466
AGN NA Equity,1999-02-24,55508.7658
AGN NA Equity,1999-02-25,55363.8343
AGN NA Equity,1999-02-26,55131.9439
AGN NA Equity,1999-03-01,54349.3137
AGN NA Equity,1999-03-02,54784.1082
AGN NA Equity,1999-03-03,54233.3685
AGN NA Equity,1999-03-04,53073.9165
AGN NA Equity,1999-03-05,54436.2726
AGN NA Equity,1999-03-08,54465.2589
AGN NA Equity,1999-03-09,53798.574
AGN NA Equity,1999-03-10,53015.9439
AGN NA Equity,1999-03-11,53798.574
AGN NA Equity,1999-03-12,54726.1356
AGN NA Equity,1999-03-15,54407.2863
AGN NA Equity,1999-03-16,54581.2041
AGN NA Equity,1999-03-17,53972.4918
AGN NA Equity,1999-03-18,53044.9302
AGN NA Equity,1999-03-19,52928.985
AGN NA Equity,1999-03-22,51421.6974
AGN NA Equity,1999-03-23,50841.9714
AGN NA Equity,1999-03-24,49798.4645
AGN NA Equity,1999-03-25,49537.5878
AGN NA Equity,1999-03-26,47711.4509
AGN NA Equity,1999-03-29,48117.2591
AGN NA Equity,1999-03-30,48639.0125
AGN NA Equity,1999-03-31,49015.8344
AGN NA Equity,1999-04-01,48610.0262
AGN NA Equity,1999-04-06,49827.4508
AGN NA Equity,1999-04-07,51160.8207
AGN NA Equity,1999-04-08,50668.0536
AGN NA Equity,1999-04-09,49479.6152
AGN NA Equity,1999-04-12,48407.1221
AGN NA Equity,1999-04-13,47885.3687
AGN NA Equity,1999-04-14,48117.2591
AGN NA Equity,1999-04-15,47943.3413
AGN NA Equity,1999-04-16,47450.5742
AGN NA Equity,1999-04-19,48552.0536
AGN NA Equity,1999-04-20,47276.6564
AGN NA Equity,1999-04-21,47421.5879
AGN NA Equity,1999-04-22,48349.1495
AGN NA Equity,1999-04-23,47914.355
AGN NA Equity,1999-04-26,47566.5194
AGN NA Equity,1999-04-27,49421.6426
AGN NA Equity,1999-04-28,52059.396
AGN NA Equity,1999-04-29,52610.1357
AGN NA Equity,1999-05-03,52871.0124
AGN NA Equity,1999-05-04,51798.5193
AGN NA Equity,1999-05-05,50841.9714
AGN NA Equity,1999-05-06,48581.0399
AGN NA Equity,1999-05-07,48725.9714
AGN NA Equity,1999-05-10,49276.7111
AGN NA Equity,1999-05-11,48696.9851
AGN NA Equity,1999-05-12,47015.7797
AGN NA Equity,1999-05-14,46071.2194
AGN NA Equity,1999-05-17,45254.7674
AGN NA Equity,1999-05-18,47237.5794
AGN NA Equity,1999-05-19,47908.2364
AGN NA Equity,1999-05-20,48812.1654
AGN NA Equity,1999-05-21,48666.3704
AGN NA Equity,1999-05-25,47762.4414
AGN NA Equity,1999-05-26,47179.2614
AGN NA Equity,1999-05-27,46042.0604
AGN NA Equity,1999-05-28,45196.4494
AGN NA Equity,1999-05-31,45896.2654
AGN NA Equity,1999-06-01,46975.1484
AGN NA Equity,1999-06-02,46479.4454
AGN NA Equity,1999-06-03,46333.6504
AGN NA Equity,1999-06-04,46596.0814
AGN NA Equity,1999-06-07,46421.1274
AGN NA Equity,1999-06-08,46158.6964
AGN NA Equity,1999-06-09,46246.1734
AGN NA Equity,1999-06-10,45254.7674
AGN NA Equity,1999-06-11,44904.8594
AGN NA Equity,1999-06-14,44729.9054
AGN NA Equity,1999-06-15,44234.2024
AGN NA Equity,1999-06-16,44234.2024
AGN NA Equity,1999-06-17,43913.4534
AGN NA Equity,1999-06-18,45225.6084
AGN NA Equity,1999-06-21,46129.5374
AGN NA Equity,1999-06-22,46654.3994
AGN NA Equity,1999-06-23,45896.2654
AGN NA Equity,1999-06-24,44584.1104
AGN NA Equity,1999-06-25,43651.0225
AGN NA Equity,1999-06-28,42863.7295
AGN NA Equity,1999-06-29,42922.0475
AGN NA Equity,1999-06-30,41026.7125
AGN NA Equity,1999-07-01,43301.1145
AGN NA Equity,1999-07-02,43971.7714
AGN NA Equity,1999-07-05,43796.8174
AGN NA Equity,1999-07-06,43038.6835
AGN NA Equity,1999-07-07,42542.9805
AGN NA Equity,1999-07-08,41814.0055
AGN NA Equity,1999-07-09,42338.8675
AGN NA Equity,1999-07-12,42922.0475
AGN NA Equity,1999-07-13,42163.9135
AGN NA Equity,1999-07-14,42513.8215
AGN NA Equity,1999-07-15,42368.0265
AGN NA Equity,1999-07-16,42018.1185
AGN NA Equity,1999-07-19,43067.8425
AGN NA Equity,1999-07-20,41726.5285
AGN NA Equity,1999-07-21,40531.0095
AGN NA Equity,1999-07-22,41522.4155
AGN NA Equity,1999-07-23,41901.4825
AGN NA Equity,1999-07-26,41289.1435
AGN NA Equity,1999-07-27,42076.4365
AGN NA Equity,1999-07-28,42688.7755
AGN NA Equity,1999-07-29,41551.5745
AGN NA Equity,1999-07-30,42018.1185
AGN NA Equity,1999-08-02,42747.0935
AGN NA Equity,1999-08-03,44059.2484
AGN NA Equity,1999-08-04,44263.3614
AGN NA Equity,1999-08-05,43097.0015
AGN NA Equity,1999-08-06,43097.0015
AGN NA Equity,1999-08-09,43825.9764
AGN NA Equity,1999-08-10,43971.7714
AGN NA Equity,1999-08-11,44846.5414
AGN NA Equity,1999-08-12,46246.1734
AGN NA Equity,1999-08-13,46129.5374
AGN NA Equity,1999-08-16,47208.4204
AGN NA Equity,1999-08-17,48608.0524
AGN NA Equity,1999-08-18,48870.4834
AGN NA Equity,1999-08-19,47733.2824
AGN NA Equity,1999-08-20,48287.3034
AGN NA Equity,1999-08-23,49307.8684
AGN NA Equity,1999-08-24,48695.5294
AGN NA Equity,1999-08-25,48957.9604
AGN NA Equity,1999-08-26,49337.0274
AGN NA Equity,1999-08-27,49686.9354
AGN NA Equity,1999-08-30,49424.5044
AGN NA Equity,1999-08-31,48287.3034
AGN NA Equity,1999-09-01,46508.6044
AGN NA Equity,1999-09-02,46100.3784
AGN NA Equity,1999-09-03,47791.6004
AGN NA Equity,1999-09-06,48608.0524
AGN NA Equity,1999-09-07,48403.9394
AGN NA Equity,1999-09-08,47645.8054
AGN NA Equity,1999-09-09,47441.6924
AGN NA Equity,1999-09-10,47645.8054
AGN NA Equity,1999-09-13,47500.0104
AGN NA Equity,1999-09-14,47879.0774
AGN NA Equity,1999-09-15,47908.2364
AGN NA Equity,1999-09-16,48228.9854
AGN NA Equity,1999-09-17,47937.3954
AGN NA Equity,1999-09-20,48753.8474
AGN NA Equity,1999-09-21,47820.7594
AGN NA Equity,1999-09-22,47412.5334
AGN NA Equity,1999-09-23,48024.8724
AGN NA Equity,1999-09-24,46800.1944
AGN NA Equity,1999-09-27,47441.6924
