name,date,CUR_MKT_CAP
AGS BB Equity,1999-01-04,13817.2136
AGS BB Equity,1999-01-05,14381.1815
AGS BB Equity,1999-01-06,14185.6726
AGS BB Equity,1999-01-07,13892.4093
AGS BB Equity,1999-01-08,13497.6317
AGS BB Equity,1999-01-11,13023.8987
AGS BB Equity,1999-01-12,12614.082
AGS BB Equity,1999-01-13,12144.1088
AGS BB Equity,1999-01-14,12805.8311
AGS BB Equity,1999-01-15,12971.2617
AGS BB Equity,1999-01-18,13328.4414
AGS BB Equity,1999-01-19,13460.0339
AGS BB Equity,1999-01-20,13422.436
AGS BB Equity,1999-01-21,13328.4414
AGS BB Equity,1999-01-22,12865.9877
AGS BB Equity,1999-01-25,12896.066
AGS BB Equity,1999-01-26,13095.3346
AGS BB Equity,1999-01-27,13129.1727
AGS BB Equity,1999-01-28,13072.7759
AGS BB Equity,1999-01-29,13121.6531
AGS BB Equity,1999-02-01,13181.8097
AGS BB Equity,1999-02-02,13106.614
AGS BB Equity,1999-02-03,12888.5464
AGS BB Equity,1999-02-04,13121.6531
AGS BB Equity,1999-02-05,13196.8489
AGS BB Equity,1999-02-08,12903.5856
AGS BB Equity,1999-02-09,12482.4895
AGS BB Equity,1999-02-10,12211.7849
AGS BB Equity,1999-02-11,12501.2885
AGS BB Equity,1999-02-12,12711.8365
AGS BB Equity,1999-02-15,12753.1941
AGS BB Equity,1999-02-16,12662.9592
AGS BB Equity,1999-02-17,12463.6906
AGS BB Equity,1999-02-18,12478.7297
AGS BB Equity,1999-02-19,12520.0874
AGS BB Equity,1999-02-22,12783.2724
AGS BB Equity,1999-02-23,12839.6692
AGS BB Equity,1999-02-24,12745.6745
AGS BB Equity,1999-02-25,12512.5678
AGS BB Equity,1999-02-26,12463.6906
AGS BB Equity,1999-03-01,12219.3045
AGS BB Equity,1999-03-02,12181.7066
AGS BB Equity,1999-03-03,12294.5002
AGS BB Equity,1999-03-04,12174.1871
AGS BB Equity,1999-03-05,12595.2831
AGS BB Equity,1999-03-08,12787.0322
AGS BB Equity,1999-03-09,12843.429
AGS BB Equity,1999-03-10,12764.4735
AGS BB Equity,1999-03-11,13008.8596
AGS BB Equity,1999-03-12,13008.8596
AGS BB Equity,1999-03-15,13008.8596
AGS BB Equity,1999-03-16,13016.3791
AGS BB Equity,1999-03-17,12911.1051
AGS BB Equity,1999-03-18,12911.1051
AGS BB Equity,1999-03-19,12933.6638
AGS BB Equity,1999-03-22,12839.6692
AGS BB Equity,1999-03-23,12659.1995
AGS BB Equity,1999-03-24,12373.4557
AGS BB Equity,1999-03-25,12444.8917
AGS BB Equity,1999-03-26,12407.2938
AGS BB Equity,1999-03-29,12565.2048
AGS BB Equity,1999-03-30,12805.8311
AGS BB Equity,1999-03-31,12858.4681
AGS BB Equity,1999-04-01,12896.066
AGS BB Equity,1999-04-06,12937.4236
AGS BB Equity,1999-04-07,12907.3453
AGS BB Equity,1999-04-08,12719.356
AGS BB Equity,1999-04-09,12828.3898
AGS BB Equity,1999-04-12,12802.0713
AGS BB Equity,1999-04-13,12858.4681
AGS BB Equity,1999-04-14,12926.1443
AGS BB Equity,1999-04-15,12677.9984
AGS BB Equity,1999-04-16,12520.0874
AGS BB Equity,1999-04-19,12426.0927
AGS BB Equity,1999-04-20,12087.712
AGS BB Equity,1999-04-21,12162.9077
AGS BB Equity,1999-04-22,12271.9415
AGS BB Equity,1999-04-23,12317.0589
AGS BB Equity,1999-04-26,12520.0874
AGS BB Equity,1999-04-27,12463.6906
AGS BB Equity,1999-04-28,12279.4611
AGS BB Equity,1999-04-29,12144.1088
AGS BB Equity,1999-04-30,11937.3206
AGS BB Equity,1999-05-03,11922.2814
AGS BB Equity,1999-05-04,11937.3206
AGS BB Equity,1999-05-05,12008.7565
