name,date,CUR_MKT_CAP
ALMB DC Equity,1999-05-04,197.8575
ALMB DC Equity,1999-05-05,198.0765
ALMB DC Equity,1999-05-06,197.4192
ALMB DC Equity,1999-05-07,199.234
ALMB DC Equity,1999-05-10,198.0219
ALMB DC Equity,1999-05-11,197.802
ALMB DC Equity,1999-05-12,197.8737
ALMB DC Equity,1999-05-14,199.0871
ALMB DC Equity,1999-05-17,197.777
ALMB DC Equity,1999-05-18,197.7552
ALMB DC Equity,1999-05-19,196.8532
ALMB DC Equity,1999-05-20,199.163
ALMB DC Equity,1999-05-21,198.6998
ALMB DC Equity,1999-05-25,198.3121
ALMB DC Equity,1999-05-26,198.8115
ALMB DC Equity,1999-05-27,198.1572
ALMB DC Equity,1999-05-28,199.3623
ALMB DC Equity,1999-05-31,198.6865
ALMB DC Equity,1999-06-01,200.5149
ALMB DC Equity,1999-06-02,201.9213
ALMB DC Equity,1999-06-03,201.8268
ALMB DC Equity,1999-06-04,200.5036
ALMB DC Equity,1999-06-07,200.4728
ALMB DC Equity,1999-06-08,202.0548
ALMB DC Equity,1999-06-09,201.9467
ALMB DC Equity,1999-06-10,201.862
ALMB DC Equity,1999-06-11,201.9339
ALMB DC Equity,1999-06-14,201.9538
ALMB DC Equity,1999-06-15,201.9631
ALMB DC Equity,1999-06-16,202.1419
ALMB DC Equity,1999-06-17,201.9205
ALMB DC Equity,1999-06-18,189.2173
ALMB DC Equity,1999-06-21,189.2399
ALMB DC Equity,1999-06-22,190.1551
ALMB DC Equity,1999-06-23,190.218
ALMB DC Equity,1999-06-24,187.2389
ALMB DC Equity,1999-06-25,187.1747
ALMB DC Equity,1999-06-28,187.2149
ALMB DC Equity,1999-06-29,189.7973
ALMB DC Equity,1999-06-30,189.933
ALMB DC Equity,1999-07-01,189.7592
ALMB DC Equity,1999-07-02,180.4085
ALMB DC Equity,1999-07-05,180.4014
ALMB DC Equity,1999-07-06,180.3798
ALMB DC Equity,1999-07-07,180.4586
ALMB DC Equity,1999-07-08,180.4088
ALMB DC Equity,1999-07-09,180.3758
ALMB DC Equity,1999-07-12,180.2019
ALMB DC Equity,1999-07-13,180.3663
ALMB DC Equity,1999-07-14,180.3575
ALMB DC Equity,1999-07-15,180.4956
ALMB DC Equity,1999-07-16,180.4774
ALMB DC Equity,1999-07-19,180.1905
ALMB DC Equity,1999-07-20,179.956
ALMB DC Equity,1999-07-21,187.1117
ALMB DC Equity,1999-07-22,183.8509
ALMB DC Equity,1999-07-23,184.3198
ALMB DC Equity,1999-07-26,180.1649
ALMB DC Equity,1999-07-27,180.2838
ALMB DC Equity,1999-07-28,180.3412
ALMB DC Equity,1999-07-29,180.3242
ALMB DC Equity,1999-07-30,180.2079
ALMB DC Equity,1999-08-02,173.3101
ALMB DC Equity,1999-08-03,173.5785
ALMB DC Equity,1999-08-04,173.5856
ALMB DC Equity,1999-08-05,173.6043
ALMB DC Equity,1999-08-06,166.8718
ALMB DC Equity,1999-08-09,166.9326
ALMB DC Equity,1999-08-10,166.9491
ALMB DC Equity,1999-08-11,173.6862
ALMB DC Equity,1999-08-12,173.7615
ALMB DC Equity,1999-08-13,173.7113
ALMB DC Equity,1999-08-16,176.3853
ALMB DC Equity,1999-08-17,176.3582
ALMB DC Equity,1999-08-18,176.4004
ALMB DC Equity,1999-08-19,176.3909
ALMB DC Equity,1999-08-20,176.3449
ALMB DC Equity,1999-08-23,173.0694
ALMB DC Equity,1999-08-24,173.677
ALMB DC Equity,1999-08-25,173.6948
