name,date,CUR_MKT_CAP
ASRNL NA Equity,2016-06-10,3000.0
ASRNL NA Equity,2016-06-13,2946.75
ASRNL NA Equity,2016-06-14,2925.0
ASRNL NA Equity,2016-06-15,2932.5
ASRNL NA Equity,2016-06-16,2925.0
ASRNL NA Equity,2016-06-17,2928.75
ASRNL NA Equity,2016-06-20,2985.0
ASRNL NA Equity,2016-06-21,2962.5
ASRNL NA Equity,2016-06-22,2967.75
ASRNL NA Equity,2016-06-23,3010.5
ASRNL NA Equity,2016-06-24,2883.0
ASRNL NA Equity,2016-06-27,2737.5
ASRNL NA Equity,2016-06-28,2761.5
ASRNL NA Equity,2016-06-29,2820.0
ASRNL NA Equity,2016-06-30,2917.5
ASRNL NA Equity,2016-07-01,2880.0
ASRNL NA Equity,2016-07-04,2829.0
ASRNL NA Equity,2016-07-05,2794.5
ASRNL NA Equity,2016-07-06,2586.75
ASRNL NA Equity,2016-07-07,2571.0
ASRNL NA Equity,2016-07-08,2619.75
ASRNL NA Equity,2016-07-11,2585.25
ASRNL NA Equity,2016-07-12,2595.0
ASRNL NA Equity,2016-07-13,2580.0
ASRNL NA Equity,2016-07-14,2571.75
ASRNL NA Equity,2016-07-15,2580.0
ASRNL NA Equity,2016-07-18,2579.25
ASRNL NA Equity,2016-07-19,2583.0
ASRNL NA Equity,2016-07-20,2670.0
ASRNL NA Equity,2016-07-21,2667.75
ASRNL NA Equity,2016-07-22,2682.75
ASRNL NA Equity,2016-07-25,2658.0
ASRNL NA Equity,2016-07-26,2654.25
ASRNL NA Equity,2016-07-27,2651.25
ASRNL NA Equity,2016-07-28,2607.0
ASRNL NA Equity,2016-07-29,2688.75
ASRNL NA Equity,2016-08-01,2763.0
ASRNL NA Equity,2016-08-02,2750.25
ASRNL NA Equity,2016-08-03,2739.0
ASRNL NA Equity,2016-08-04,2760.0
ASRNL NA Equity,2016-08-05,2722.5
ASRNL NA Equity,2016-08-08,2745.0
ASRNL NA Equity,2016-08-09,2755.5
ASRNL NA Equity,2016-08-10,2796.0
ASRNL NA Equity,2016-08-11,2767.5
ASRNL NA Equity,2016-08-12,2807.25
ASRNL NA Equity,2016-08-15,2790.0
ASRNL NA Equity,2016-08-16,2746.5
ASRNL NA Equity,2016-08-17,2742.75
ASRNL NA Equity,2016-08-18,2772.0
ASRNL NA Equity,2016-08-19,2775.0
ASRNL NA Equity,2016-08-22,2788.5
ASRNL NA Equity,2016-08-23,2874.75
ASRNL NA Equity,2016-08-24,2827.5
ASRNL NA Equity,2016-08-25,2773.5
ASRNL NA Equity,2016-08-26,2795.25
ASRNL NA Equity,2016-08-29,2806.5
ASRNL NA Equity,2016-08-30,2828.25
ASRNL NA Equity,2016-08-31,2854.5
ASRNL NA Equity,2016-09-01,2857.5
ASRNL NA Equity,2016-09-02,2869.5
ASRNL NA Equity,2016-09-05,2853.0
ASRNL NA Equity,2016-09-06,2845.5
ASRNL NA Equity,2016-09-07,2859.0
ASRNL NA Equity,2016-09-08,2862.75
ASRNL NA Equity,2016-09-09,2895.75
ASRNL NA Equity,2016-09-12,2858.25
ASRNL NA Equity,2016-09-13,2797.5
ASRNL NA Equity,2016-09-14,2775.0
ASRNL NA Equity,2016-09-15,2811.0
ASRNL NA Equity,2016-09-16,2817.75
ASRNL NA Equity,2016-09-19,2828.25
ASRNL NA Equity,2016-09-20,2768.25
ASRNL NA Equity,2016-09-21,2776.5
ASRNL NA Equity,2016-09-22,2783.25
ASRNL NA Equity,2016-09-23,2777.25
ASRNL NA Equity,2016-09-26,2696.25
ASRNL NA Equity,2016-09-27,2694.0
ASRNL NA Equity,2016-09-28,2702.25
ASRNL NA Equity,2016-09-29,2729.25
ASRNL NA Equity,2016-09-30,2716.5
ASRNL NA Equity,2016-10-03,2736.75
ASRNL NA Equity,2016-10-04,2731.5
ASRNL NA Equity,2016-10-05,2805.75
ASRNL NA Equity,2016-10-06,2808.0
ASRNL NA Equity,2016-10-07,2809.5
ASRNL NA Equity,2016-10-10,2805.75
ASRNL NA Equity,2016-10-11,2833.5
ASRNL NA Equity,2016-10-12,2841.0
ASRNL NA Equity,2016-10-13,2840.25
ASRNL NA Equity,2016-10-14,2853.0
ASRNL NA Equity,2016-10-17,2871.0
ASRNL NA Equity,2016-10-18,2902.5
ASRNL NA Equity,2016-10-19,2904.75
ASRNL NA Equity,2016-10-20,2878.5
ASRNL NA Equity,2016-10-21,2892.0
ASRNL NA Equity,2016-10-24,2904.0
ASRNL NA Equity,2016-10-25,2940.0
ASRNL NA Equity,2016-10-26,2970.0
ASRNL NA Equity,2016-10-27,2970.0
ASRNL NA Equity,2016-10-28,3048.75
ASRNL NA Equity,2016-10-31,3028.5
ASRNL NA Equity,2016-11-01,2999.25
ASRNL NA Equity,2016-11-02,2994.0
ASRNL NA Equity,2016-11-03,2987.25
ASRNL NA Equity,2016-11-04,2967.0
ASRNL NA Equity,2016-11-07,2970.0
ASRNL NA Equity,2016-11-08,2982.75
ASRNL NA Equity,2016-11-09,2967.0
ASRNL NA Equity,2016-11-10,3036.0
