name,date,CUR_MKT_CAP
AV/ LN Equity,1999-01-04,16549.2584
AV/ LN Equity,1999-01-05,16874.9621
AV/ LN Equity,1999-01-06,17987.8434
AV/ LN Equity,1999-01-07,17634.9754
AV/ LN Equity,1999-01-08,17337.8795
AV/ LN Equity,1999-01-11,16842.5481
AV/ LN Equity,1999-01-12,16800.1597
AV/ LN Equity,1999-01-13,16211.866
AV/ LN Equity,1999-01-14,15737.5083
AV/ LN Equity,1999-01-15,15885.8731
AV/ LN Equity,1999-01-18,16759.546
AV/ LN Equity,1999-01-19,16228.1275
AV/ LN Equity,1999-01-20,15993.5946
AV/ LN Equity,1999-01-21,15734.119
AV/ LN Equity,1999-01-22,15228.3172
AV/ LN Equity,1999-01-25,15641.5223
AV/ LN Equity,1999-01-26,15667.1278
AV/ LN Equity,1999-01-27,16279.8443
AV/ LN Equity,1999-01-28,16485.7008
AV/ LN Equity,1999-01-29,16370.727
AV/ LN Equity,1999-02-01,16764.3813
AV/ LN Equity,1999-02-02,17303.4061
AV/ LN Equity,1999-02-03,16659.0844
AV/ LN Equity,1999-02-04,16797.1523
AV/ LN Equity,1999-02-05,16353.4249
AV/ LN Equity,1999-02-08,15915.174
AV/ LN Equity,1999-02-09,15834.7724
AV/ LN Equity,1999-02-10,15819.3168
AV/ LN Equity,1999-02-11,16245.4972
AV/ LN Equity,1999-02-12,16837.8123
AV/ LN Equity,1999-02-15,17229.7244
AV/ LN Equity,1999-02-16,18189.4366
AV/ LN Equity,1999-02-17,18463.6423
AV/ LN Equity,1999-02-18,18561.3877
AV/ LN Equity,1999-02-19,18312.2464
AV/ LN Equity,1999-02-22,18005.2262
AV/ LN Equity,1999-02-23,17584.9077
AV/ LN Equity,1999-02-24,18769.1691
AV/ LN Equity,1999-02-25,18009.0582
AV/ LN Equity,1999-02-26,17527.4658
AV/ LN Equity,1999-03-01,17128.1358
AV/ LN Equity,1999-03-02,17960.8329
AV/ LN Equity,1999-03-03,18537.5469
AV/ LN Equity,1999-03-04,18613.2749
AV/ LN Equity,1999-03-05,18609.2364
AV/ LN Equity,1999-03-08,18051.8136
AV/ LN Equity,1999-03-09,17978.3153
AV/ LN Equity,1999-03-10,18040.6329
AV/ LN Equity,1999-03-11,18279.3682
AV/ LN Equity,1999-03-12,19293.5261
AV/ LN Equity,1999-03-15,18786.1537
AV/ LN Equity,1999-03-16,18353.7357
AV/ LN Equity,1999-03-17,17918.3318
AV/ LN Equity,1999-03-18,18106.6882
AV/ LN Equity,1999-03-19,18506.7384
AV/ LN Equity,1999-03-22,18549.1358
AV/ LN Equity,1999-03-23,18343.9487
AV/ LN Equity,1999-03-24,18141.7287
AV/ LN Equity,1999-03-25,18395.398
AV/ LN Equity,1999-03-26,18316.8346
AV/ LN Equity,1999-03-29,18980.1727
AV/ LN Equity,1999-03-30,19290.0652
AV/ LN Equity,1999-03-31,18873.9108
AV/ LN Equity,1999-04-01,18183.5874
AV/ LN Equity,1999-04-06,18921.8766
AV/ LN Equity,1999-04-07,19431.0833
AV/ LN Equity,1999-04-08,19455.5529
AV/ LN Equity,1999-04-09,20028.8574
AV/ LN Equity,1999-04-12,19462.6399
AV/ LN Equity,1999-04-13,20120.3445
AV/ LN Equity,1999-04-14,20113.5981
AV/ LN Equity,1999-04-15,19909.2399
AV/ LN Equity,1999-04-16,19520.7819
AV/ LN Equity,1999-04-19,19363.7015
AV/ LN Equity,1999-04-20,18679.7071
AV/ LN Equity,1999-04-21,18446.9171
AV/ LN Equity,1999-04-22,18543.8293
AV/ LN Equity,1999-04-23,18634.2549
AV/ LN Equity,1999-04-26,19104.4998
AV/ LN Equity,1999-04-27,19542.5963
AV/ LN Equity,1999-04-28,19471.2132
AV/ LN Equity,1999-04-29,19240.889
AV/ LN Equity,1999-04-30,19524.067
AV/ LN Equity,1999-05-04,19284.0313
AV/ LN Equity,1999-05-05,18799.9413
AV/ LN Equity,1999-05-06,18295.3178
AV/ LN Equity,1999-05-07,17560.2022
AV/ LN Equity,1999-05-10,17443.8411
AV/ LN Equity,1999-05-11,17620.5537
AV/ LN Equity,1999-05-12,18166.9656
AV/ LN Equity,1999-05-13,19133.2669
AV/ LN Equity,1999-05-14,17872.9555
AV/ LN Equity,1999-05-17,18117.2343
AV/ LN Equity,1999-05-18,18297.803
AV/ LN Equity,1999-05-19,19090.3137
AV/ LN Equity,1999-05-20,18797.7464
