name,date,CUR_MKT_CAP
CS FP Equity,1999-01-04,43402.8044
CS FP Equity,1999-01-05,45159.1825
CS FP Equity,1999-01-06,45463.171
CS FP Equity,1999-01-07,44753.8644
CS FP Equity,1999-01-08,44010.7814
CS FP Equity,1999-01-11,43200.1454
CS FP Equity,1999-01-12,42017.9678
CS FP Equity,1999-01-13,40531.8018
CS FP Equity,1999-01-14,40768.2373
CS FP Equity,1999-01-15,41545.0968
CS FP Equity,1999-01-18,42896.1569
CS FP Equity,1999-01-19,43369.0279
CS FP Equity,1999-01-20,43571.6869
CS FP Equity,1999-01-21,43571.6869
CS FP Equity,1999-01-22,41545.0968
CS FP Equity,1999-01-25,42051.7443
CS FP Equity,1999-01-26,41443.7673
CS FP Equity,1999-01-27,41882.8618
CS FP Equity,1999-01-28,42220.6268
CS FP Equity,1999-01-29,43166.3689
CS FP Equity,1999-02-01,42761.0509
CS FP Equity,1999-02-02,41207.3318
CS FP Equity,1999-02-03,41781.5323
CS FP Equity,1999-02-04,41004.6728
CS FP Equity,1999-02-05,41342.4378
CS FP Equity,1999-02-08,41139.7788
CS FP Equity,1999-02-09,39214.5182
CS FP Equity,1999-02-10,38167.4467
CS FP Equity,1999-02-11,39484.7302
CS FP Equity,1999-02-12,40329.1427
CS FP Equity,1999-02-15,40666.9078
CS FP Equity,1999-02-16,40700.6843
CS FP Equity,1999-02-17,40227.8132
CS FP Equity,1999-02-18,40194.0367
CS FP Equity,1999-02-19,40869.5668
CS FP Equity,1999-02-22,41713.9793
CS FP Equity,1999-02-23,42051.7443
CS FP Equity,1999-02-24,41747.7558
CS FP Equity,1999-02-25,40666.9078
CS FP Equity,1999-02-26,40126.4837
CS FP Equity,1999-03-01,38775.4237
CS FP Equity,1999-03-02,37897.2346
CS FP Equity,1999-03-03,37323.0341
CS FP Equity,1999-03-04,37728.3521
CS FP Equity,1999-03-05,39518.5067
CS FP Equity,1999-03-08,39450.9537
CS FP Equity,1999-03-09,39113.1887
