name,date,CUR_MKT_CAP
DFV GR Equity,2018-12-03,149.4465
DFV GR Equity,2018-12-04,159.5765
DFV GR Equity,2018-12-05,159.7805
DFV GR Equity,2018-12-06,161.3875
DFV GR Equity,2018-12-07,153.9393
DFV GR Equity,2018-12-10,153.2521
DFV GR Equity,2018-12-11,151.7726
DFV GR Equity,2018-12-12,150.2931
DFV GR Equity,2018-12-13,150.4972
DFV GR Equity,2018-12-14,149.8085
DFV GR Equity,2018-12-17,148.4821
DFV GR Equity,2018-12-18,148.38
DFV GR Equity,2018-12-19,151.594
DFV GR Equity,2018-12-20,151.7726
DFV GR Equity,2018-12-21,151.1349
DFV GR Equity,2018-12-27,151.7726
DFV GR Equity,2018-12-28,154.9611
DFV GR Equity,2019-01-02,153.048
DFV GR Equity,2019-01-03,151.2114
DFV GR Equity,2019-01-04,151.4155
DFV GR Equity,2019-01-07,149.8085
DFV GR Equity,2019-01-08,151.7216
DFV GR Equity,2019-01-09,151.7726
DFV GR Equity,2019-01-10,151.0839
DFV GR Equity,2019-01-11,151.0074
DFV GR Equity,2019-01-14,150.4972
DFV GR Equity,2019-01-15,149.8595
DFV GR Equity,2019-01-16,149.2728
DFV GR Equity,2019-01-17,149.8595
DFV GR Equity,2019-01-18,150.4462
DFV GR Equity,2019-01-21,150.4717
DFV GR Equity,2019-01-22,150.4972
DFV GR Equity,2019-01-23,150.4972
DFV GR Equity,2019-01-24,149.2218
DFV GR Equity,2019-01-25,150.4462
DFV GR Equity,2019-01-28,150.4972
DFV GR Equity,2019-01-29,150.4972
DFV GR Equity,2019-01-30,148.3035
DFV GR Equity,2019-01-31,150.4972
DFV GR Equity,2019-02-01,150.4972
DFV GR Equity,2019-02-04,149.2218
DFV GR Equity,2019-02-05,150.4462
DFV GR Equity,2019-02-06,150.4462
DFV GR Equity,2019-02-07,150.4972
DFV GR Equity,2019-02-08,150.4972
DFV GR Equity,2019-02-11,150.4972
DFV GR Equity,2019-02-12,149.2218
DFV GR Equity,2019-02-13,150.4972
DFV GR Equity,2019-02-14,149.3493
DFV GR Equity,2019-02-15,149.2218
DFV GR Equity,2019-02-18,149.2218
DFV GR Equity,2019-02-19,149.2218
DFV GR Equity,2019-02-20,155.8285
DFV GR Equity,2019-02-21,155.8285
DFV GR Equity,2019-02-22,156.0937
DFV GR Equity,2019-02-25,155.1654
DFV GR Equity,2019-02-26,155.4306
DFV GR Equity,2019-02-27,157.6852
DFV GR Equity,2019-02-28,151.4786
DFV GR Equity,2019-03-01,151.7969
DFV GR Equity,2019-03-04,151.3459
DFV GR Equity,2019-03-05,141.8504
DFV GR Equity,2019-03-06,141.8504
DFV GR Equity,2019-03-07,134.6093
DFV GR Equity,2019-03-08,146.6205
DFV GR Equity,2019-03-11,145.4534
DFV GR Equity,2019-03-12,145.8778
DFV GR Equity,2019-03-13,146.6735
DFV GR Equity,2019-03-14,146.2757
DFV GR Equity,2019-03-15,151.0233
DFV GR Equity,2019-03-18,156.4871
DFV GR Equity,2019-03-19,155.824
DFV GR Equity,2019-03-20,153.9939
DFV GR Equity,2019-03-21,156.0627
DFV GR Equity,2019-03-22,153.5165
DFV GR Equity,2019-03-25,153.9674
DFV GR Equity,2019-03-26,153.8613
DFV GR Equity,2019-03-27,149.8828
DFV GR Equity,2019-03-28,144.5782
DFV GR Equity,2019-03-29,147.6018
DFV GR Equity,2019-04-01,143.8886
DFV GR Equity,2019-04-02,147.204
DFV GR Equity,2019-04-03,146.5409
DFV GR Equity,2019-04-04,147.8671
DFV GR Equity,2019-04-05,149.1932
DFV GR Equity,2019-04-08,147.204
DFV GR Equity,2019-04-09,145.8778
DFV GR Equity,2019-04-10,147.8671
DFV GR Equity,2019-04-11,149.1932
DFV GR Equity,2019-04-12,141.8993
DFV GR Equity,2019-04-15,140.5732
DFV GR Equity,2019-04-16,141.8993
DFV GR Equity,2019-04-17,144.5517
DFV GR Equity,2019-04-18,142.5624
DFV GR Equity,2019-04-23,143.8886
DFV GR Equity,2019-04-24,139.247
DFV GR Equity,2019-04-25,139.247
DFV GR Equity,2019-04-26,143.2255
DFV GR Equity,2019-04-29,141.2363
DFV GR Equity,2019-04-30,139.9101
DFV GR Equity,2019-05-02,141.2363
DFV GR Equity,2019-05-03,139.9101
DFV GR Equity,2019-05-06,146.5409
DFV GR Equity,2019-05-07,139.247
DFV GR Equity,2019-05-08,134.6054
DFV GR Equity,2019-05-09,141.2363
DFV GR Equity,2019-05-10,139.9101
DFV GR Equity,2019-05-13,138.5839
DFV GR Equity,2019-05-14,135.2685
DFV GR Equity,2019-05-15,135.2685
DFV GR Equity,2019-05-16,135.2685
DFV GR Equity,2019-05-17,135.9316
DFV GR Equity,2019-05-20,130.2291
DFV GR Equity,2019-05-21,133.2793
DFV GR Equity,2019-05-22,136.5947
DFV GR Equity,2019-05-23,140.5732
DFV GR Equity,2019-05-24,143.2255
DFV GR Equity,2019-05-27,143.2255
DFV GR Equity,2019-05-28,153.1717
DFV GR Equity,2019-05-29,152.5086
DFV GR Equity,2019-05-30,147.8671
DFV GR Equity,2019-05-31,151.1825
DFV GR Equity,2019-06-03,151.8455
DFV GR Equity,2019-06-04,151.8455
DFV GR Equity,2019-06-05,146.5409
DFV GR Equity,2019-06-06,143.8886
DFV GR Equity,2019-06-07,140.5732
DFV GR Equity,2019-06-11,135.9316
DFV GR Equity,2019-06-12,134.6054
DFV GR Equity,2019-06-13,135.2685
DFV GR Equity,2019-06-14,141.8993
DFV GR Equity,2019-06-17,134.6054
DFV GR Equity,2019-06-18,135.2685
DFV GR Equity,2019-06-19,133.9424
DFV GR Equity,2019-06-20,135.2685
DFV GR Equity,2019-06-21,139.9101
DFV GR Equity,2019-06-24,147.204
DFV GR Equity,2019-06-25,147.204
DFV GR Equity,2019-06-26,151.1825
DFV GR Equity,2019-06-27,143.2255
DFV GR Equity,2019-06-28,146.5409
DFV GR Equity,2019-07-01,142.5624
DFV GR Equity,2019-07-02,143.2255
DFV GR Equity,2019-07-03,146.5409
DFV GR Equity,2019-07-04,151.8455
DFV GR Equity,2019-07-05,147.8671
DFV GR Equity,2019-07-08,143.8886
DFV GR Equity,2019-07-09,143.756
DFV GR Equity,2019-07-10,146.2226
DFV GR Equity,2019-07-11,140.8384
DFV GR Equity,2019-07-12,140.7058
DFV GR Equity,2019-07-15,140.5997
DFV GR Equity,2019-07-16,144.5517
DFV GR Equity,2019-07-17,139.247
DFV GR Equity,2019-07-18,132.099
DFV GR Equity,2019-07-19,130.4943
DFV GR Equity,2019-07-22,128.9958
DFV GR Equity,2019-07-23,130.627
DFV GR Equity,2019-07-24,132.2184
DFV GR Equity,2019-07-25,132.961
DFV GR Equity,2019-07-26,140.8915
DFV GR Equity,2019-07-29,141.5811
DFV GR Equity,2019-07-30,143.2255
DFV GR Equity,2019-07-31,140.8119
DFV GR Equity,2019-08-01,143.0398
DFV GR Equity,2019-08-02,141.8993
DFV GR Equity,2019-08-05,142.138
DFV GR Equity,2019-08-06,140.0958
DFV GR Equity,2019-08-07,138.4778
DFV GR Equity,2019-08-08,139.804
DFV GR Equity,2019-08-09,136.3029
DFV GR Equity,2019-08-12,134.4728
DFV GR Equity,2019-08-13,137.9474
DFV GR Equity,2019-08-14,134.6054
DFV GR Equity,2019-08-15,136.8334
DFV GR Equity,2019-08-16,136.2499
DFV GR Equity,2019-08-19,135.6929
DFV GR Equity,2019-08-20,134.8972
DFV GR Equity,2019-08-21,135.0563
DFV GR Equity,2019-08-22,135.5868
DFV GR Equity,2019-08-23,141.1832
DFV GR Equity,2019-08-26,138.4778
DFV GR Equity,2019-08-27,135.9316
DFV GR Equity,2019-08-28,135.7725
DFV GR Equity,2019-08-29,141.1832
DFV GR Equity,2019-08-30,144.0212
DFV GR Equity,2019-09-02,139.9101
DFV GR Equity,2019-09-03,143.5703
DFV GR Equity,2019-09-04,140.1753
DFV GR Equity,2019-09-05,142.9072
DFV GR Equity,2019-09-06,141.2363
DFV GR Equity,2019-09-09,143.8886
DFV GR Equity,2019-09-10,140.9975
DFV GR Equity,2019-09-11,145.8778
DFV GR Equity,2019-09-12,140.8384
DFV GR Equity,2019-09-13,144.7638
DFV GR Equity,2019-09-16,142.9603
DFV GR Equity,2019-09-17,141.1302
DFV GR Equity,2019-09-18,144.2864
DFV GR Equity,2019-09-19,143.9681
DFV GR Equity,2019-09-20,143.4377
DFV GR Equity,2019-09-23,140.4936
DFV GR Equity,2019-09-24,140.3345
DFV GR Equity,2019-09-25,140.8119
DFV GR Equity,2019-09-26,140.5466
DFV GR Equity,2019-09-27,139.9101
DFV GR Equity,2019-09-30,139.9101
DFV GR Equity,2019-10-01,136.3825
DFV GR Equity,2019-10-02,134.1545
DFV GR Equity,2019-10-04,135.5338
DFV GR Equity,2019-10-07,135.0033
DFV GR Equity,2019-10-08,134.8972
DFV GR Equity,2019-10-09,134.8972
DFV GR Equity,2019-10-10,136.8334
DFV GR Equity,2019-10-11,134.8972
DFV GR Equity,2019-10-14,134.8972
DFV GR Equity,2019-10-15,137.9739
DFV GR Equity,2019-10-16,135.8786
DFV GR Equity,2019-10-17,135.3481
DFV GR Equity,2019-10-18,140.0427
DFV GR Equity,2019-10-21,140.8915
DFV GR Equity,2019-10-22,132.6427
DFV GR Equity,2019-10-23,135.1359
DFV GR Equity,2019-10-24,132.6692
DFV GR Equity,2019-10-25,133.9954
DFV GR Equity,2019-10-28,134.0485
DFV GR Equity,2019-10-29,135.6929
DFV GR Equity,2019-10-30,136.5151
DFV GR Equity,2019-10-31,132.0725
DFV GR Equity,2019-11-01,132.0857
DFV GR Equity,2019-11-04,134.9237
DFV GR Equity,2019-11-05,134.9237
DFV GR Equity,2019-11-06,132.0327
DFV GR Equity,2019-11-07,134.8972
DFV GR Equity,2019-11-08,132.2184
DFV GR Equity,2019-11-11,134.8176
DFV GR Equity,2019-11-12,131.5685
DFV GR Equity,2019-11-13,131.5685
DFV GR Equity,2019-11-14,132.0062
DFV GR Equity,2019-11-15,137.523
DFV GR Equity,2019-11-18,132.099
DFV GR Equity,2019-11-19,132.6427
DFV GR Equity,2019-11-20,134.5789
DFV GR Equity,2019-11-21,131.5685
DFV GR Equity,2019-11-22,157.1502
DFV GR Equity,2019-11-25,167.0964
DFV GR Equity,2019-11-26,168.2369
DFV GR Equity,2019-11-27,177.7322
DFV GR Equity,2019-11-28,177.9975
DFV GR Equity,2019-11-29,183.0369
DFV GR Equity,2019-12-02,182.3473
DFV GR Equity,2019-12-03,183.1164
DFV GR Equity,2019-12-04,196.272
DFV GR Equity,2019-12-05,199.5874
DFV GR Equity,2019-12-06,208.3666
DFV GR Equity,2019-12-09,211.5228
DFV GR Equity,2019-12-10,215.4483
DFV GR Equity,2019-12-11,215.1035
DFV GR Equity,2019-12-12,216.1909
DFV GR Equity,2019-12-13,214.8382
DFV GR Equity,2019-12-16,220.1429
DFV GR Equity,2019-12-17,207.3587
DFV GR Equity,2019-12-18,198.4734
DFV GR Equity,2019-12-19,211.5494
DFV GR Equity,2019-12-20,213.0877
DFV GR Equity,2019-12-23,211.5494
DFV GR Equity,2019-12-27,211.5228
DFV GR Equity,2019-12-30,214.8382
DFV GR Equity,2020-01-02,217.4375
DFV GR Equity,2020-01-03,216.4562
DFV GR Equity,2020-01-06,216.2175
DFV GR Equity,2020-01-07,218.7372
DFV GR Equity,2020-01-08,236.5343
DFV GR Equity,2020-01-09,249.3185
DFV GR Equity,2020-01-10,254.6231
DFV GR Equity,2020-01-13,259.9543
DFV GR Equity,2020-01-14,250.0081
DFV GR Equity,2020-01-15,252.6604
DFV GR Equity,2020-01-16,254.7292
DFV GR Equity,2020-01-17,257.5141
DFV GR Equity,2020-01-20,255.6575
DFV GR Equity,2020-01-21,254.3048
DFV GR Equity,2020-01-22,250.6711
DFV GR Equity,2020-01-23,247.5414
DFV GR Equity,2020-01-24,246.6661
DFV GR Equity,2020-01-27,247.3292
DFV GR Equity,2020-01-28,249.7163
DFV GR Equity,2020-01-29,250.3263
DFV GR Equity,2020-01-30,248.4432
DFV GR Equity,2020-01-31,245.7378
DFV GR Equity,2020-02-03,235.6855
DFV GR Equity,2020-02-04,229.6382
DFV GR Equity,2020-02-05,233.7758
DFV GR Equity,2020-02-06,238.1256
DFV GR Equity,2020-02-07,238.2052
DFV GR Equity,2020-02-10,248.0719
DFV GR Equity,2020-02-11,249.345
DFV GR Equity,2020-02-12,248.0188
DFV GR Equity,2020-02-13,256.8776
DFV GR Equity,2020-02-14,257.1428
DFV GR Equity,2020-02-17,254.3048
DFV GR Equity,2020-02-18,259.689
DFV GR Equity,2020-02-19,257.0898
DFV GR Equity,2020-02-20,248.6819
DFV GR Equity,2020-02-21,246.5866
DFV GR Equity,2020-02-24,238.0196
DFV GR Equity,2020-02-25,225.4741
DFV GR Equity,2020-02-26,238.7092
DFV GR Equity,2020-02-27,238.7092
DFV GR Equity,2020-02-28,232.0784
DFV GR Equity,2020-03-02,231.8131
DFV GR Equity,2020-03-03,241.2819
DFV GR Equity,2020-03-04,253.5887
DFV GR Equity,2020-03-05,246.0031
DFV GR Equity,2020-03-06,234.9959
DFV GR Equity,2020-03-09,212.9816
DFV GR Equity,2020-03-10,239.107
DFV GR Equity,2020-03-11,219.3472
DFV GR Equity,2020-03-12,207.0404
DFV GR Equity,2020-03-13,224.8375
DFV GR Equity,2020-03-16,196.272
DFV GR Equity,2020-03-17,225.4475
DFV GR Equity,2020-03-18,198.9243
DFV GR Equity,2020-03-19,216.1644
DFV GR Equity,2020-03-20,226.2963
DFV GR Equity,2020-03-23,233.431
DFV GR Equity,2020-03-24,245.34
DFV GR Equity,2020-03-25,237.383
DFV GR Equity,2020-03-26,243.9608
DFV GR Equity,2020-03-27,240.6984
DFV GR Equity,2020-03-30,236.1895
DFV GR Equity,2020-03-31,249.3185
DFV GR Equity,2020-04-01,231.6275
DFV GR Equity,2020-04-02,228.7099
DFV GR Equity,2020-04-03,232.9536
DFV GR Equity,2020-04-06,233.378
DFV GR Equity,2020-04-07,236.5343
DFV GR Equity,2020-04-08,240.1414
DFV GR Equity,2020-04-09,240.9636
DFV GR Equity,2020-04-14,239.0805
DFV GR Equity,2020-04-15,230.7522
DFV GR Equity,2020-04-16,231.8131
DFV GR Equity,2020-04-17,239.107
DFV GR Equity,2020-04-20,235.8181
DFV GR Equity,2020-04-21,235.9242
DFV GR Equity,2020-04-22,236.8525
DFV GR Equity,2020-04-23,243.2712
DFV GR Equity,2020-04-24,242.6876
DFV GR Equity,2020-04-27,236.6934
DFV GR Equity,2020-04-28,243.4833
DFV GR Equity,2020-04-29,241.0963
DFV GR Equity,2020-04-30,235.9507
DFV GR Equity,2020-05-04,231.2827
DFV GR Equity,2020-05-05,233.988
DFV GR Equity,2020-05-06,237.6482
DFV GR Equity,2020-05-07,237.8604
DFV GR Equity,2020-05-08,241.335
DFV GR Equity,2020-05-11,238.5235
DFV GR Equity,2020-05-12,247.3027
DFV GR Equity,2020-05-13,230.7787
DFV GR Equity,2020-05-14,231.0174
DFV GR Equity,2020-05-15,236.7995
DFV GR Equity,2020-05-18,233.6697
DFV GR Equity,2020-05-19,235.659
DFV GR Equity,2020-05-20,242.6611
DFV GR Equity,2020-05-21,241.2023
DFV GR Equity,2020-05-22,233.2719
DFV GR Equity,2020-05-25,229.6647
DFV GR Equity,2020-05-26,236.0568
DFV GR Equity,2020-05-27,233.6167
DFV GR Equity,2020-05-28,236.6138
DFV GR Equity,2020-05-29,237.3034
DFV GR Equity,2020-06-02,233.6167
DFV GR Equity,2020-06-03,235.5264
DFV GR Equity,2020-06-04,234.4654
DFV GR Equity,2020-06-05,233.988
DFV GR Equity,2020-06-08,231.8927
DFV GR Equity,2020-06-09,226.1106
DFV GR Equity,2020-06-10,231.4153
DFV GR Equity,2020-06-11,222.6626
DFV GR Equity,2020-06-12,225.5271
DFV GR Equity,2020-06-15,226.6941
DFV GR Equity,2020-06-16,236.3751
DFV GR Equity,2020-06-17,233.8819
DFV GR Equity,2020-06-18,237.383
DFV GR Equity,2020-06-19,233.988
DFV GR Equity,2020-06-22,262.5801
DFV GR Equity,2020-06-23,281.5442
DFV GR Equity,2020-06-24,273.1894
DFV GR Equity,2020-06-25,287.313
DFV GR Equity,2020-06-26,304.6194
DFV GR Equity,2020-06-29,314.5656
DFV GR Equity,2020-06-30,308.399
DFV GR Equity,2020-07-01,320.666
DFV GR Equity,2020-07-02,332.5351
DFV GR Equity,2020-07-03,339.829
DFV GR Equity,2020-07-06,350.1068
DFV GR Equity,2020-07-07,355.2124
DFV GR Equity,2020-07-08,367.685
DFV GR Equity,2020-07-09,363.2357
DFV GR Equity,2020-07-10,370.5296
DFV GR Equity,2020-07-13,382.2728
DFV GR Equity,2020-07-14,376.0
DFV GR Equity,2020-07-15,368.4873
DFV GR Equity,2020-07-16,376.0
DFV GR Equity,2020-07-17,378.48
DFV GR Equity,2020-07-20,378.5529
DFV GR Equity,2020-07-21,374.2495
DFV GR Equity,2020-07-22,367.9038
DFV GR Equity,2020-07-23,366.2262
DFV GR Equity,2020-07-24,357.4006
DFV GR Equity,2020-07-27,357.4006
DFV GR Equity,2020-07-28,330.9967
DFV GR Equity,2020-07-29,333.4037
DFV GR Equity,2020-07-30,318.6701
DFV GR Equity,2020-07-31,321.2959
DFV GR Equity,2020-08-03,314.6584
DFV GR Equity,2020-08-04,319.0347
DFV GR Equity,2020-08-05,334.4249
DFV GR Equity,2020-08-06,326.2557
DFV GR Equity,2020-08-07,327.4227
DFV GR Equity,2020-08-10,325.7451
DFV GR Equity,2020-08-11,322.1711
DFV GR Equity,2020-08-12,316.1901
DFV GR Equity,2020-08-13,326.0369
DFV GR Equity,2020-08-14,322.0252
DFV GR Equity,2020-08-17,328.8815
DFV GR Equity,2020-08-18,335.2272
DFV GR Equity,2020-08-19,350.6173
DFV GR Equity,2020-08-20,334.7896
DFV GR Equity,2020-08-21,332.8202
DFV GR Equity,2020-08-24,335.8836
DFV GR Equity,2020-08-25,339.3847
DFV GR Equity,2020-08-26,342.8858
DFV GR Equity,2020-08-27,337.1965
DFV GR Equity,2020-08-28,329.6838
DFV GR Equity,2020-08-31,335.446
DFV GR Equity,2020-09-01,336.5401
DFV GR Equity,2020-09-02,331.9449
DFV GR Equity,2020-09-03,331.4344
DFV GR Equity,2020-09-04,324.7969
DFV GR Equity,2020-09-07,326.7663
DFV GR Equity,2020-09-08,327.4227
DFV GR Equity,2020-09-09,325.6722
DFV GR Equity,2020-09-10,320.0559
DFV GR Equity,2020-09-11,317.8677
DFV GR Equity,2020-09-14,318.2324
DFV GR Equity,2020-09-15,321.0041
DFV GR Equity,2020-09-16,319.3265
DFV GR Equity,2020-09-17,323.2652
DFV GR Equity,2020-09-18,321.0041
DFV GR Equity,2020-09-21,323.1193
DFV GR Equity,2020-09-22,320.6394
DFV GR Equity,2020-09-23,318.0865
DFV GR Equity,2020-09-24,320.2747
DFV GR Equity,2020-09-25,301.6753
DFV GR Equity,2020-09-28,297.0801
DFV GR Equity,2020-09-29,294.0896
DFV GR Equity,2020-09-30,284.4617
DFV GR Equity,2020-10-01,275.0672
DFV GR Equity,2020-10-02,275.4465
DFV GR Equity,2020-10-05,276.4676
DFV GR Equity,2020-10-06,278.7725
