name,date,CUR_MKT_CAP
DLG LN Equity,2012-10-11,3496.1811
DLG LN Equity,2012-10-12,3472.3564
DLG LN Equity,2012-10-15,3502.7644
DLG LN Equity,2012-10-16,3507.2544
DLG LN Equity,2012-10-17,3564.5198
DLG LN Equity,2012-10-18,3560.4984
DLG LN Equity,2012-10-19,3594.6622
DLG LN Equity,2012-10-22,3549.6393
DLG LN Equity,2012-10-23,3487.4009
DLG LN Equity,2012-10-24,3524.7684
DLG LN Equity,2012-10-25,3572.899
DLG LN Equity,2012-10-26,3592.7378
DLG LN Equity,2012-10-29,3546.2252
DLG LN Equity,2012-10-30,3598.7418
DLG LN Equity,2012-10-31,3629.217
DLG LN Equity,2012-11-01,3721.2108
DLG LN Equity,2012-11-02,3660.9946
DLG LN Equity,2012-11-05,3672.9869
DLG LN Equity,2012-11-06,3667.9454
DLG LN Equity,2012-11-07,3643.5425
DLG LN Equity,2012-11-08,3668.8231
DLG LN Equity,2012-11-09,3640.8167
DLG LN Equity,2012-11-12,3643.1458
DLG LN Equity,2012-11-13,3663.6638
DLG LN Equity,2012-11-14,3634.0295
DLG LN Equity,2012-11-15,3627.0339
DLG LN Equity,2012-11-16,3644.043
DLG LN Equity,2012-11-19,3639.776
DLG LN Equity,2012-11-20,3646.504
DLG LN Equity,2012-11-21,3672.3269
DLG LN Equity,2012-11-22,3715.7633
DLG LN Equity,2012-11-23,3749.5524
DLG LN Equity,2012-11-26,3722.0072
DLG LN Equity,2012-11-27,3753.1347
DLG LN Equity,2012-11-28,3781.9942
DLG LN Equity,2012-11-29,3765.6406
DLG LN Equity,2012-11-30,3749.9862
DLG LN Equity,2012-12-03,3737.4255
DLG LN Equity,2012-12-04,3670.6015
DLG LN Equity,2012-12-05,3673.6531
DLG LN Equity,2012-12-06,3701.2141
DLG LN Equity,2012-12-07,3736.3632
DLG LN Equity,2012-12-10,3731.4112
DLG LN Equity,2012-12-11,3829.9931
DLG LN Equity,2012-12-12,3872.2807
