name,date,CUR_MKT_CAP
EUC PW Equity,2011-01-05,23.3363
EUC PW Equity,2011-01-07,23.277
EUC PW Equity,2011-01-10,23.1175
EUC PW Equity,2011-01-11,23.4306
EUC PW Equity,2011-01-12,23.7851
EUC PW Equity,2011-01-13,23.5488
EUC PW Equity,2011-01-14,23.5416
EUC PW Equity,2011-01-17,23.5196
EUC PW Equity,2011-01-18,23.5158
EUC PW Equity,2011-01-19,23.5095
EUC PW Equity,2011-01-20,23.3336
EUC PW Equity,2011-01-21,23.5758
EUC PW Equity,2011-01-24,23.5725
EUC PW Equity,2011-01-25,23.4039
EUC PW Equity,2011-01-26,23.3609
EUC PW Equity,2011-01-27,23.2602
EUC PW Equity,2011-01-28,23.0654
EUC PW Equity,2011-01-31,23.1444
EUC PW Equity,2011-02-01,23.265
EUC PW Equity,2011-02-02,26.1177
EUC PW Equity,2011-02-03,26.1503
EUC PW Equity,2011-02-04,26.2349
EUC PW Equity,2011-02-07,26.2748
EUC PW Equity,2011-02-08,26.2997
EUC PW Equity,2011-02-09,26.3579
EUC PW Equity,2011-02-10,26.6415
EUC PW Equity,2011-02-11,26.8437
EUC PW Equity,2011-02-14,26.8979
EUC PW Equity,2011-02-15,26.9817
EUC PW Equity,2011-02-16,27.1815
EUC PW Equity,2011-02-17,27.8972
EUC PW Equity,2011-02-18,28.1835
EUC PW Equity,2011-02-21,27.9504
EUC PW Equity,2011-02-22,27.8975
EUC PW Equity,2011-02-23,27.8103
EUC PW Equity,2011-02-24,27.6277
EUC PW Equity,2011-02-25,27.5606
EUC PW Equity,2011-02-28,27.7143
EUC PW Equity,2011-03-01,27.5888
EUC PW Equity,2011-03-02,27.4761
EUC PW Equity,2011-03-03,26.3727
EUC PW Equity,2011-03-04,26.3024
EUC PW Equity,2011-03-07,26.3445
EUC PW Equity,2011-03-08,26.2791
EUC PW Equity,2011-03-09,26.1268
EUC PW Equity,2011-03-10,25.7442
EUC PW Equity,2011-03-11,25.7442
EUC PW Equity,2011-03-14,25.577
EUC PW Equity,2011-03-15,24.9281
EUC PW Equity,2011-03-16,24.6759
EUC PW Equity,2011-03-17,24.8254
EUC PW Equity,2011-03-18,24.7698
EUC PW Equity,2011-03-21,25.0662
EUC PW Equity,2011-03-22,25.1038
EUC PW Equity,2011-03-23,25.5293
EUC PW Equity,2011-03-24,25.2049
EUC PW Equity,2011-03-25,25.1552
EUC PW Equity,2011-03-28,25.5922
EUC PW Equity,2011-03-29,25.6472
EUC PW Equity,2011-03-30,25.6113
EUC PW Equity,2011-03-31,25.5506
EUC PW Equity,2011-04-01,25.0631
EUC PW Equity,2011-04-04,25.0454
EUC PW Equity,2011-04-05,25.6192
EUC PW Equity,2011-04-06,25.9328
EUC PW Equity,2011-04-07,25.9445
EUC PW Equity,2011-04-08,26.0042
EUC PW Equity,2011-04-11,25.9312
EUC PW Equity,2011-04-12,25.7101
EUC PW Equity,2011-04-13,25.552
EUC PW Equity,2011-04-14,25.822
EUC PW Equity,2011-04-15,25.7909
EUC PW Equity,2011-04-18,25.5204
EUC PW Equity,2011-04-19,25.7432
EUC PW Equity,2011-04-20,25.7176
EUC PW Equity,2011-04-21,25.8639
EUC PW Equity,2011-04-26,25.9235
EUC PW Equity,2011-04-27,25.9756
EUC PW Equity,2011-04-28,25.5932
EUC PW Equity,2011-04-29,25.7733
EUC PW Equity,2011-05-02,25.9091
EUC PW Equity,2011-05-04,25.6435
EUC PW Equity,2011-05-05,25.5818
EUC PW Equity,2011-05-06,25.6688
EUC PW Equity,2011-05-09,25.6756
