name,date,CUR_MKT_CAP
G IM Equity,1999-01-04,38726.0128
G IM Equity,1999-01-05,40413.7551
G IM Equity,1999-01-07,41088.852
G IM Equity,1999-01-08,40045.5204
G IM Equity,1999-01-11,39073.79
G IM Equity,1999-01-12,38112.2884
G IM Equity,1999-01-13,36322.2587
G IM Equity,1999-01-14,36710.9509
G IM Equity,1999-01-15,38265.7195
G IM Equity,1999-01-18,38511.2093
G IM Equity,1999-01-19,38316.8632
G IM Equity,1999-01-20,38695.3266
G IM Equity,1999-01-21,37651.995
G IM Equity,1999-01-22,36567.7485
G IM Equity,1999-01-25,36475.6899
G IM Equity,1999-01-26,37375.819
G IM Equity,1999-01-27,37293.9891
G IM Equity,1999-01-28,38439.6081
G IM Equity,1999-01-29,38142.9746
G IM Equity,1999-02-01,38419.1506
G IM Equity,1999-02-02,37856.5699
G IM Equity,1999-02-03,37058.7281
G IM Equity,1999-02-04,36577.9773
G IM Equity,1999-02-05,35647.1618
G IM Equity,1999-02-08,35483.502
G IM Equity,1999-02-09,34440.1704
G IM Equity,1999-02-10,34808.4051
G IM Equity,1999-02-11,35514.1882
G IM Equity,1999-02-12,35943.7953
G IM Equity,1999-02-15,35514.1882
G IM Equity,1999-02-16,35002.7512
G IM Equity,1999-02-17,34736.8039
G IM Equity,1999-02-18,34112.8507
G IM Equity,1999-02-19,34920.9212
G IM Equity,1999-02-22,35994.939
G IM Equity,1999-02-23,37109.8718
G IM Equity,1999-02-24,37651.995
G IM Equity,1999-02-25,36301.8013
G IM Equity,1999-02-26,36230.2001
G IM Equity,1999-03-01,35023.2087
G IM Equity,1999-03-02,35493.7307
G IM Equity,1999-03-03,34931.15
G IM Equity,1999-03-04,36373.4024
G IM Equity,1999-03-05,37795.1974
G IM Equity,1999-03-08,36731.4084
G IM Equity,1999-03-09,37314.4466
G IM Equity,1999-03-10,37283.7604
G IM Equity,1999-03-11,37161.0155
G IM Equity,1999-03-12,37406.5053
G IM Equity,1999-03-15,37631.5376
G IM Equity,1999-03-16,37028.0419
G IM Equity,1999-03-17,36680.2647
G IM Equity,1999-03-18,36997.3556
G IM Equity,1999-03-19,37519.0214
G IM Equity,1999-03-22,39135.1625
G IM Equity,1999-03-23,38797.614
G IM Equity,1999-03-24,37958.8573
G IM Equity,1999-03-25,38183.8896
G IM Equity,1999-03-26,37017.8131
G IM Equity,1999-03-29,37764.5112
G IM Equity,1999-03-30,37957.3389
G IM Equity,1999-03-31,38059.9263
G IM Equity,1999-04-01,38183.0312
G IM Equity,1999-04-06,39034.5066
G IM Equity,1999-04-07,38942.1779
G IM Equity,1999-04-08,39485.8912
G IM Equity,1999-04-09,38952.4367
G IM Equity,1999-04-12,38767.7793
G IM Equity,1999-04-13,39537.1849
G IM Equity,1999-04-14,38767.7793
G IM Equity,1999-04-15,38162.5137
G IM Equity,1999-04-16,37947.0801
G IM Equity,1999-04-19,38203.5486
G IM Equity,1999-04-20,37403.3669
G IM Equity,1999-04-21,37588.0242
G IM Equity,1999-04-22,37218.7096
G IM Equity,1999-04-23,37085.3459
G IM Equity,1999-04-26,37341.8145
G IM Equity,1999-04-27,38049.6675
G IM Equity,1999-04-28,37577.7655
G IM Equity,1999-04-29,37003.276
G IM Equity,1999-04-30,37782.9403
G IM Equity,1999-05-03,38029.15
G IM Equity,1999-05-04,38624.157
G IM Equity,1999-05-05,37988.1151
G IM Equity,1999-05-06,37362.3319
G IM Equity,1999-05-07,37228.9683
G IM Equity,1999-05-10,37177.6746
G IM Equity,1999-05-11,36623.7026
G IM Equity,1999-05-12,35874.8146
G IM Equity,1999-05-13,35638.8636
G IM Equity,1999-05-14,34972.0455
G IM Equity,1999-05-17,34120.57
G IM Equity,1999-05-18,34674.542
G IM Equity,1999-05-19,34920.7518
G IM Equity,1999-05-20,35710.6748
G IM Equity,1999-05-21,36090.2481
G IM Equity,1999-05-24,35710.6748
G IM Equity,1999-05-25,35064.3741
G IM Equity,1999-05-26,35095.1503
G IM Equity,1999-05-27,34910.493
G IM Equity,1999-05-28,34951.528
G IM Equity,1999-05-31,35054.1154
G IM Equity,1999-06-01,34869.4581
G IM Equity,1999-06-02,34992.5629
G IM Equity,1999-06-03,35905.5908
G IM Equity,1999-06-04,35659.3811
G IM Equity,1999-06-07,35536.2762
G IM Equity,1999-06-08,35207.9965
G IM Equity,1999-06-09,35300.3251
G IM Equity,1999-06-10,34336.0036
G IM Equity,1999-06-11,34633.507
G IM Equity,1999-06-14,34141.0875
G IM Equity,1999-06-15,34428.3322
G IM Equity,1999-06-16,34428.3322
G IM Equity,1999-06-17,34510.4021
G IM Equity,1999-06-18,34818.1644
G IM Equity,1999-06-21,35741.451
G IM Equity,1999-06-22,35731.1922
G IM Equity,1999-06-23,34797.6469
G IM Equity,1999-06-24,34705.3182
G IM Equity,1999-06-25,34448.8497
G IM Equity,1999-06-28,34448.8497
G IM Equity,1999-06-29,34725.8357
G IM Equity,1999-06-30,34510.4021
G IM Equity,1999-07-01,35023.3392
G IM Equity,1999-07-02,34920.7518
G IM Equity,1999-07-05,34982.3042
G IM Equity,1999-07-06,34777.1294
G IM Equity,1999-07-07,35567.0524
G IM Equity,1999-07-08,35433.6888
G IM Equity,1999-07-09,35290.0664
G IM Equity,1999-07-12,34838.6818
G IM Equity,1999-07-13,34459.1084
G IM Equity,1999-07-14,34428.3322
G IM Equity,1999-07-15,34428.3322
G IM Equity,1999-07-16,34110.3113
G IM Equity,1999-07-19,33956.4302
G IM Equity,1999-07-20,33063.9198
G IM Equity,1999-07-21,32509.9478
G IM Equity,1999-07-22,32612.5352
G IM Equity,1999-07-23,32356.0667
G IM Equity,1999-07-26,31914.9409
G IM Equity,1999-07-27,31668.7311
G IM Equity,1999-07-28,31063.4654
G IM Equity,1999-07-29,30488.976
G IM Equity,1999-07-30,30796.7382
G IM Equity,1999-08-02,30919.8431
G IM Equity,1999-08-03,30653.1158
G IM Equity,1999-08-04,30304.3187
G IM Equity,1999-08-05,29596.4656
G IM Equity,1999-08-06,29155.3397
G IM Equity,1999-08-09,29145.081
G IM Equity,1999-08-10,28262.8293
G IM Equity,1999-08-11,29073.2698
G IM Equity,1999-08-12,30509.4935
G IM Equity,1999-08-13,32058.5632
G IM Equity,1999-08-16,32725.3813
G IM Equity,1999-08-17,32745.8988
G IM Equity,1999-08-18,31771.3185
G IM Equity,1999-08-19,31176.3116
G IM Equity,1999-08-20,31781.5772
G IM Equity,1999-08-23,32838.2275
G IM Equity,1999-08-24,34695.0595
G IM Equity,1999-08-25,34551.4371
G IM Equity,1999-08-26,34017.9826
G IM Equity,1999-08-27,33987.2064
G IM Equity,1999-08-30,33587.1155
G IM Equity,1999-08-31,32899.7799
G IM Equity,1999-09-01,32940.8149
G IM Equity,1999-09-02,32222.7031
G IM Equity,1999-09-03,33166.5072
G IM Equity,1999-09-06,33597.3743
G IM Equity,1999-09-07,32889.5212
G IM Equity,1999-09-08,33145.9897
G IM Equity,1999-09-09,32735.6401
G IM Equity,1999-09-10,32879.2625
G IM Equity,1999-09-13,32397.1017
G IM Equity,1999-09-14,30827.5144
G IM Equity,1999-09-15,31586.6612
G IM Equity,1999-09-16,32602.2765
G IM Equity,1999-09-17,33033.1436
G IM Equity,1999-09-20,32530.4653
G IM Equity,1999-09-21,32263.738
G IM Equity,1999-09-22,32263.738
G IM Equity,1999-09-23,32150.8919
G IM Equity,1999-09-24,32284.2555
G IM Equity,1999-09-27,32458.6541
G IM Equity,1999-09-28,32099.5982
G IM Equity,1999-09-29,32099.5982
G IM Equity,1999-09-30,32038.0458
G IM Equity,1999-10-01,31740.5423
G IM Equity,1999-10-04,31914.9409
G IM Equity,1999-10-05,31873.9059
G IM Equity,1999-10-06,31884.1646
G IM Equity,1999-10-07,31566.1437
G IM Equity,1999-10-08,31668.7311
G IM Equity,1999-10-11,31319.9339
G IM Equity,1999-10-12,30786.4794
G IM Equity,1999-10-13,30027.3327
G IM Equity,1999-10-14,29873.4516
G IM Equity,1999-10-15,29822.1579
G IM Equity,1999-10-18,29329.7383
G IM Equity,1999-10-19,30058.1089
G IM Equity,1999-10-20,29452.8432
G IM Equity,1999-10-21,28857.8363
G IM Equity,1999-10-22,29750.3467
G IM Equity,1999-10-25,29811.8991
G IM Equity,1999-10-26,30694.1508
G IM Equity,1999-10-27,30683.892
G IM Equity,1999-10-28,31668.7311
G IM Equity,1999-10-29,31443.0388
G IM Equity,1999-11-02,30776.2207
G IM Equity,1999-11-03,31063.4654
G IM Equity,1999-11-04,31022.4305
G IM Equity,1999-11-05,30858.2906
