name,date,CUR_MKT_CAP
GJF NO Equity,2010-12-10,3697.4164
GJF NO Equity,2010-12-13,3655.7468
GJF NO Equity,2010-12-14,3659.1929
GJF NO Equity,2010-12-15,3622.1613
GJF NO Equity,2010-12-16,3697.5624
GJF NO Equity,2010-12-17,3672.4546
GJF NO Equity,2010-12-20,3691.4412
GJF NO Equity,2010-12-21,3713.0654
GJF NO Equity,2010-12-22,3749.5414
GJF NO Equity,2010-12-23,3759.0459
GJF NO Equity,2010-12-27,3755.9397
GJF NO Equity,2010-12-28,3753.9621
GJF NO Equity,2010-12-29,3757.7143
GJF NO Equity,2010-12-30,3739.7762
GJF NO Equity,2011-01-03,3741.7836
GJF NO Equity,2011-01-04,3648.1762
GJF NO Equity,2011-01-05,3671.9526
GJF NO Equity,2011-01-06,3721.631
GJF NO Equity,2011-01-07,3736.6694
GJF NO Equity,2011-01-10,3712.7884
GJF NO Equity,2011-01-11,3733.8436
GJF NO Equity,2011-01-12,3725.5111
GJF NO Equity,2011-01-13,3665.6809
GJF NO Equity,2011-01-14,3693.833
GJF NO Equity,2011-01-17,3710.23
GJF NO Equity,2011-01-18,3728.2298
GJF NO Equity,2011-01-19,3681.9112
GJF NO Equity,2011-01-20,3674.5952
GJF NO Equity,2011-01-21,3820.8755
GJF NO Equity,2011-01-24,3844.9856
GJF NO Equity,2011-01-25,3745.0028
GJF NO Equity,2011-01-26,3761.9528
GJF NO Equity,2011-01-27,3745.9945
GJF NO Equity,2011-01-28,3755.6405
GJF NO Equity,2011-01-31,3728.9282
GJF NO Equity,2011-02-01,3771.9725
GJF NO Equity,2011-02-02,3775.2655
GJF NO Equity,2011-02-03,3809.7825
GJF NO Equity,2011-02-04,3805.6734
GJF NO Equity,2011-02-07,3798.816
GJF NO Equity,2011-02-08,3757.4405
GJF NO Equity,2011-02-09,3794.53
GJF NO Equity,2011-02-10,3792.8816
GJF NO Equity,2011-02-11,3841.1918
GJF NO Equity,2011-02-14,3968.2283
GJF NO Equity,2011-02-15,3932.0887
GJF NO Equity,2011-02-16,4005.7196
GJF NO Equity,2011-02-17,4189.6128
GJF NO Equity,2011-02-18,4368.4522
GJF NO Equity,2011-02-21,4332.4145
GJF NO Equity,2011-02-22,4310.758
GJF NO Equity,2011-02-23,4327.0652
GJF NO Equity,2011-02-24,4233.4204
GJF NO Equity,2011-02-25,4231.089
GJF NO Equity,2011-02-28,4372.1409
GJF NO Equity,2011-03-01,4312.2977
GJF NO Equity,2011-03-02,4288.38
GJF NO Equity,2011-03-03,4292.294
GJF NO Equity,2011-03-04,4264.805
GJF NO Equity,2011-03-07,4265.2697
GJF NO Equity,2011-03-08,4277.0647
GJF NO Equity,2011-03-09,4321.7587
GJF NO Equity,2011-03-10,4241.2786
GJF NO Equity,2011-03-11,4210.2269
GJF NO Equity,2011-03-14,4086.7725
GJF NO Equity,2011-03-15,3999.787
GJF NO Equity,2011-03-16,4017.0415
GJF NO Equity,2011-03-17,4063.9935
GJF NO Equity,2011-03-18,4119.7558
GJF NO Equity,2011-03-21,4126.9051
GJF NO Equity,2011-03-22,4081.8705
GJF NO Equity,2011-03-23,4087.9618
GJF NO Equity,2011-03-24,4128.9426
GJF NO Equity,2011-03-25,4137.7725
GJF NO Equity,2011-03-28,4171.8729
GJF NO Equity,2011-03-29,4156.8919
GJF NO Equity,2011-03-30,4263.6653
GJF NO Equity,2011-03-31,4252.1469
GJF NO Equity,2011-04-01,4273.3541
GJF NO Equity,2011-04-04,4261.9877
GJF NO Equity,2011-04-05,4289.309
GJF NO Equity,2011-04-06,4280.8082
GJF NO Equity,2011-04-07,4275.6366
GJF NO Equity,2011-04-08,4366.6232
GJF NO Equity,2011-04-11,4420.3589
GJF NO Equity,2011-04-12,4339.0458
GJF NO Equity,2011-04-13,4420.784
GJF NO Equity,2011-04-14,4559.2115
GJF NO Equity,2011-04-15,4568.3569
GJF NO Equity,2011-04-18,4485.7036
GJF NO Equity,2011-04-19,4578.1592
GJF NO Equity,2011-04-20,4620.334
GJF NO Equity,2011-04-26,4654.7921
GJF NO Equity,2011-04-27,4627.5953
GJF NO Equity,2011-04-28,4385.4824
GJF NO Equity,2011-04-29,4401.5126
GJF NO Equity,2011-05-02,4390.3628
GJF NO Equity,2011-05-03,4376.9764
GJF NO Equity,2011-05-04,4350.4101
GJF NO Equity,2011-05-05,4325.5456
GJF NO Equity,2011-05-06,4369.1343
GJF NO Equity,2011-05-09,4387.1392
GJF NO Equity,2011-05-10,4438.3992
GJF NO Equity,2011-05-11,4384.6613
GJF NO Equity,2011-05-12,4297.9131
GJF NO Equity,2011-05-13,4277.4176
GJF NO Equity,2011-05-16,4347.5402
GJF NO Equity,2011-05-18,4295.5082
GJF NO Equity,2011-05-19,4331.9189
GJF NO Equity,2011-05-20,4268.6664
GJF NO Equity,2011-05-23,4232.25
GJF NO Equity,2011-05-24,4305.0209
GJF NO Equity,2011-05-25,4311.7608
GJF NO Equity,2011-05-26,4332.0252
GJF NO Equity,2011-05-27,4401.2122
GJF NO Equity,2011-05-30,4394.8024
GJF NO Equity,2011-05-31,4447.2382
GJF NO Equity,2011-06-01,4366.5422
GJF NO Equity,2011-06-03,4457.478
GJF NO Equity,2011-06-06,4419.6921
GJF NO Equity,2011-06-07,4403.0653
GJF NO Equity,2011-06-08,4331.5931
GJF NO Equity,2011-06-09,4352.5525
GJF NO Equity,2011-06-10,4261.4538
GJF NO Equity,2011-06-14,4382.0157
GJF NO Equity,2011-06-15,4252.3027
GJF NO Equity,2011-06-16,4161.7969
GJF NO Equity,2011-06-17,4129.1664
GJF NO Equity,2011-06-20,4009.9764
GJF NO Equity,2011-06-21,4085.9431
GJF NO Equity,2011-06-22,4172.5802
GJF NO Equity,2011-06-23,4129.3849
GJF NO Equity,2011-06-24,4084.9518
GJF NO Equity,2011-06-27,4059.3245
GJF NO Equity,2011-06-28,4098.6784
GJF NO Equity,2011-06-29,4228.7429
GJF NO Equity,2011-06-30,4248.2816
GJF NO Equity,2011-07-01,4288.6995
GJF NO Equity,2011-07-04,4282.5824
GJF NO Equity,2011-07-05,4267.894
GJF NO Equity,2011-07-06,4265.613
GJF NO Equity,2011-07-07,4275.6179
GJF NO Equity,2011-07-08,4209.3826
GJF NO Equity,2011-07-11,4069.0286
GJF NO Equity,2011-07-12,3965.4912
GJF NO Equity,2011-07-13,3966.2508
GJF NO Equity,2011-07-14,3966.6705
GJF NO Equity,2011-07-15,3938.8132
GJF NO Equity,2011-07-18,3902.4639
GJF NO Equity,2011-07-19,4039.7567
GJF NO Equity,2011-07-20,4082.29
GJF NO Equity,2011-07-21,4121.5916
GJF NO Equity,2011-07-22,4113.3175
GJF NO Equity,2011-07-25,4080.7711
GJF NO Equity,2011-07-26,4162.9641
GJF NO Equity,2011-07-27,4116.0813
GJF NO Equity,2011-07-28,4120.7318
GJF NO Equity,2011-07-29,4111.155
GJF NO Equity,2011-08-01,4113.0819
GJF NO Equity,2011-08-02,3984.6747
GJF NO Equity,2011-08-03,4046.4033
GJF NO Equity,2011-08-04,3974.3689
GJF NO Equity,2011-08-05,3829.2692
GJF NO Equity,2011-08-08,3788.0728
GJF NO Equity,2011-08-09,3653.7896
GJF NO Equity,2011-08-10,3695.6699
GJF NO Equity,2011-08-11,3999.648
GJF NO Equity,2011-08-12,4097.4047
GJF NO Equity,2011-08-15,4078.9384
GJF NO Equity,2011-08-16,4132.1631
GJF NO Equity,2011-08-17,4162.0409
GJF NO Equity,2011-08-18,3977.3033
GJF NO Equity,2011-08-19,4022.1614
GJF NO Equity,2011-08-22,4022.91
GJF NO Equity,2011-08-23,3925.5721
GJF NO Equity,2011-08-24,3994.0438
GJF NO Equity,2011-08-25,3988.2732
GJF NO Equity,2011-08-26,4031.7021
GJF NO Equity,2011-08-29,4102.8325
GJF NO Equity,2011-08-30,4135.5851
GJF NO Equity,2011-08-31,4124.8614
GJF NO Equity,2011-09-01,4192.7447
GJF NO Equity,2011-09-02,4148.4675
GJF NO Equity,2011-09-05,3982.7492
GJF NO Equity,2011-09-06,4038.0216
GJF NO Equity,2011-09-07,4140.1957
GJF NO Equity,2011-09-08,4105.5562
GJF NO Equity,2011-09-09,4061.3662
