name,date,CUR_MKT_CAP
HNR1 GR Equity,1999-01-04,2657.7194
HNR1 GR Equity,1999-01-05,2628.1892
HNR1 GR Equity,1999-01-06,2716.7798
HNR1 GR Equity,1999-01-07,2843.7597
HNR1 GR Equity,1999-01-08,2908.7262
HNR1 GR Equity,1999-01-11,2953.0215
HNR1 GR Equity,1999-01-12,2953.0215
HNR1 GR Equity,1999-01-13,2890.7128
HNR1 GR Equity,1999-01-14,2858.5248
HNR1 GR Equity,1999-01-15,2805.3705
HNR1 GR Equity,1999-01-18,2784.6993
HNR1 GR Equity,1999-01-19,2761.0751
HNR1 GR Equity,1999-01-20,2761.0751
HNR1 GR Equity,1999-01-21,2746.31
HNR1 GR Equity,1999-01-22,2746.31
HNR1 GR Equity,1999-01-25,2775.8402
HNR1 GR Equity,1999-01-26,2775.8402
HNR1 GR Equity,1999-01-27,2864.4309
HNR1 GR Equity,1999-01-28,2849.6658
HNR1 GR Equity,1999-01-29,2805.3705
HNR1 GR Equity,1999-02-01,2805.3705
HNR1 GR Equity,1999-02-02,2834.9007
HNR1 GR Equity,1999-02-03,2805.3705
HNR1 GR Equity,1999-02-04,2672.4845
HNR1 GR Equity,1999-02-05,2716.7798
HNR1 GR Equity,1999-02-08,2775.8402
HNR1 GR Equity,1999-02-09,2731.5449
HNR1 GR Equity,1999-02-10,2746.31
HNR1 GR Equity,1999-02-11,2657.7194
HNR1 GR Equity,1999-02-12,2524.8334
HNR1 GR Equity,1999-02-15,2421.4777
HNR1 GR Equity,1999-02-16,2598.6589
HNR1 GR Equity,1999-02-17,2539.5985
HNR1 GR Equity,1999-02-18,2483.1958
HNR1 GR Equity,1999-02-19,2400.8065
HNR1 GR Equity,1999-02-22,2362.4172
HNR1 GR Equity,1999-02-23,2391.9474
HNR1 GR Equity,1999-02-24,2436.2428
HNR1 GR Equity,1999-02-25,2421.4777
HNR1 GR Equity,1999-02-26,2391.9474
HNR1 GR Equity,1999-03-01,2391.9474
HNR1 GR Equity,1999-03-02,2391.9474
HNR1 GR Equity,1999-03-03,2332.887
HNR1 GR Equity,1999-03-04,2259.0615
HNR1 GR Equity,1999-03-05,2303.3568
HNR1 GR Equity,1999-03-08,2332.887
HNR1 GR Equity,1999-03-09,2356.5112
HNR1 GR Equity,1999-03-10,2295.9742
HNR1 GR Equity,1999-03-11,2332.887
HNR1 GR Equity,1999-03-12,2409.6656
HNR1 GR Equity,1999-03-15,2368.3233
HNR1 GR Equity,1999-03-16,2451.0079
HNR1 GR Equity,1999-03-17,2436.2428
HNR1 GR Equity,1999-03-18,2391.9474
HNR1 GR Equity,1999-03-19,2362.4172
HNR1 GR Equity,1999-03-22,2362.4172
HNR1 GR Equity,1999-03-23,2318.1219
HNR1 GR Equity,1999-03-24,2276.7796
HNR1 GR Equity,1999-03-25,2294.4977
HNR1 GR Equity,1999-03-26,2318.1219
HNR1 GR Equity,1999-03-29,2282.6856
HNR1 GR Equity,1999-03-30,2247.2494
HNR1 GR Equity,1999-03-31,2303.3568
HNR1 GR Equity,1999-04-01,2226.5782
HNR1 GR Equity,1999-04-06,2244.2964
HNR1 GR Equity,1999-04-07,2229.5313
HNR1 GR Equity,1999-04-08,2176.3769
HNR1 GR Equity,1999-04-09,2214.7661
HNR1 GR Equity,1999-04-12,2163.0883
HNR1 GR Equity,1999-04-13,2133.5581
HNR1 GR Equity,1999-04-14,2081.8802
HNR1 GR Equity,1999-04-15,2067.1151
HNR1 GR Equity,1999-04-16,2008.0546
HNR1 GR Equity,1999-04-19,2070.0681
HNR1 GR Equity,1999-04-20,2067.1151
HNR1 GR Equity,1999-04-21,2132.0815
HNR1 GR Equity,1999-04-22,2185.2359
HNR1 GR Equity,1999-04-23,2179.3299
