name,date,CUR_MKT_CAP
LGEN LN Equity,1999-01-04,13381.5442
LGEN LN Equity,1999-01-05,13431.9324
LGEN LN Equity,1999-01-06,14851.5365
LGEN LN Equity,1999-01-07,14351.0683
LGEN LN Equity,1999-01-08,14526.8152
LGEN LN Equity,1999-01-11,14501.676
LGEN LN Equity,1999-01-12,14267.2342
LGEN LN Equity,1999-01-13,13786.0293
LGEN LN Equity,1999-01-14,13828.8037
LGEN LN Equity,1999-01-15,14402.4371
LGEN LN Equity,1999-01-18,14771.0504
LGEN LN Equity,1999-01-19,14600.8735
LGEN LN Equity,1999-01-20,14823.5161
LGEN LN Equity,1999-01-21,15178.7141
LGEN LN Equity,1999-01-22,15116.3609
LGEN LN Equity,1999-01-25,14916.1371
LGEN LN Equity,1999-01-26,14922.9156
LGEN LN Equity,1999-01-27,15183.9423
LGEN LN Equity,1999-01-28,15973.1976
LGEN LN Equity,1999-01-29,16024.8855
LGEN LN Equity,1999-02-01,16838.7177
LGEN LN Equity,1999-02-02,17108.4085
LGEN LN Equity,1999-02-03,16178.7411
LGEN LN Equity,1999-02-04,15993.4283
LGEN LN Equity,1999-02-05,15980.6941
LGEN LN Equity,1999-02-08,15534.8918
LGEN LN Equity,1999-02-09,15265.1892
LGEN LN Equity,1999-02-10,15116.2239
LGEN LN Equity,1999-02-11,15032.9858
LGEN LN Equity,1999-02-12,15943.5402
LGEN LN Equity,1999-02-15,16033.8135
LGEN LN Equity,1999-02-16,16211.3914
LGEN LN Equity,1999-02-17,15798.1488
LGEN LN Equity,1999-02-18,15865.6678
LGEN LN Equity,1999-02-19,16186.56
LGEN LN Equity,1999-02-22,16183.625
LGEN LN Equity,1999-02-23,16526.832
LGEN LN Equity,1999-02-24,16651.3152
LGEN LN Equity,1999-02-25,14805.7213
LGEN LN Equity,1999-02-26,14485.7474
LGEN LN Equity,1999-03-01,14178.5696
LGEN LN Equity,1999-03-02,14160.0579
LGEN LN Equity,1999-03-03,14667.5605
LGEN LN Equity,1999-03-04,14949.5268
LGEN LN Equity,1999-03-05,14820.3372
LGEN LN Equity,1999-03-08,14714.2297
LGEN LN Equity,1999-03-09,14908.019
LGEN LN Equity,1999-03-10,14941.2062
LGEN LN Equity,1999-03-11,15288.8624
LGEN LN Equity,1999-03-12,15158.2797
LGEN LN Equity,1999-03-15,14524.3299
LGEN LN Equity,1999-03-16,14770.4578
LGEN LN Equity,1999-03-17,14456.0029
LGEN LN Equity,1999-03-18,13838.6108
LGEN LN Equity,1999-03-19,14052.899
LGEN LN Equity,1999-03-22,13823.2688
LGEN LN Equity,1999-03-23,13391.4393
LGEN LN Equity,1999-03-24,13094.2626
LGEN LN Equity,1999-03-25,13142.0098
LGEN LN Equity,1999-03-26,13465.3551
LGEN LN Equity,1999-03-29,13782.479
LGEN LN Equity,1999-03-30,14024.1214
LGEN LN Equity,1999-03-31,13927.5517
LGEN LN Equity,1999-04-01,13407.6052
LGEN LN Equity,1999-04-06,13634.5672
LGEN LN Equity,1999-04-07,13717.202
LGEN LN Equity,1999-04-08,14203.141
LGEN LN Equity,1999-04-09,14920.572
LGEN LN Equity,1999-04-12,14614.8723
LGEN LN Equity,1999-04-13,14998.297
LGEN LN Equity,1999-04-14,14942.7175
LGEN LN Equity,1999-04-15,14606.9385
LGEN LN Equity,1999-04-16,14072.0799
LGEN LN Equity,1999-04-19,14190.8637
LGEN LN Equity,1999-04-20,13937.4678
LGEN LN Equity,1999-04-21,13655.0631
LGEN LN Equity,1999-04-22,13612.5534
LGEN LN Equity,1999-04-23,13562.5015
LGEN LN Equity,1999-04-26,14047.3903
LGEN LN Equity,1999-04-27,14380.098
LGEN LN Equity,1999-04-28,14536.8615
LGEN LN Equity,1999-04-29,13737.1908
LGEN LN Equity,1999-04-30,14038.9032
LGEN LN Equity,1999-05-04,13756.0257
LGEN LN Equity,1999-05-05,13284.6522
LGEN LN Equity,1999-05-06,12984.7717
LGEN LN Equity,1999-05-07,13221.3727
LGEN LN Equity,1999-05-10,13108.6572
LGEN LN Equity,1999-05-11,13477.8703
LGEN LN Equity,1999-05-12,13142.4825
LGEN LN Equity,1999-05-13,13669.7944
LGEN LN Equity,1999-05-14,13538.3434
LGEN LN Equity,1999-05-17,13031.1046
LGEN LN Equity,1999-05-18,13272.2988
LGEN LN Equity,1999-05-19,13096.9222
LGEN LN Equity,1999-05-20,13703.9448
LGEN LN Equity,1999-05-21,14537.3228
LGEN LN Equity,1999-05-24,13767.9384
LGEN LN Equity,1999-05-25,13475.8518
LGEN LN Equity,1999-05-26,13501.8034
LGEN LN Equity,1999-05-27,13755.2653
LGEN LN Equity,1999-05-28,14339.4038
LGEN LN Equity,1999-06-01,14092.5071
LGEN LN Equity,1999-06-02,14168.4007
LGEN LN Equity,1999-06-03,14258.6696
LGEN LN Equity,1999-06-04,14314.3138
LGEN LN Equity,1999-06-07,14349.3006
LGEN LN Equity,1999-06-08,14323.8661
LGEN LN Equity,1999-06-09,14088.8031
LGEN LN Equity,1999-06-10,13625.5336
LGEN LN Equity,1999-06-11,13709.4557
LGEN LN Equity,1999-06-14,13543.6283
LGEN LN Equity,1999-06-15,13345.9945
LGEN LN Equity,1999-06-16,13939.9808
LGEN LN Equity,1999-06-17,13747.6524
LGEN LN Equity,1999-06-18,13347.6874
LGEN LN Equity,1999-06-21,13692.1232
LGEN LN Equity,1999-06-22,13848.5743
LGEN LN Equity,1999-06-23,13436.1398
LGEN LN Equity,1999-06-24,13120.1623
LGEN LN Equity,1999-06-25,13222.7131
LGEN LN Equity,1999-06-28,13256.4586
LGEN LN Equity,1999-06-29,12926.6083
LGEN LN Equity,1999-06-30,12623.7277
LGEN LN Equity,1999-07-01,13056.3858
LGEN LN Equity,1999-07-02,13354.9318
LGEN LN Equity,1999-07-05,13320.7731
LGEN LN Equity,1999-07-06,12796.1104
LGEN LN Equity,1999-07-07,12699.9516
LGEN LN Equity,1999-07-08,12627.333
LGEN LN Equity,1999-07-09,12434.8401
LGEN LN Equity,1999-07-12,12333.981
LGEN LN Equity,1999-07-13,11953.1132
LGEN LN Equity,1999-07-14,12179.1739
LGEN LN Equity,1999-07-15,12954.3508
LGEN LN Equity,1999-07-16,12938.3467
LGEN LN Equity,1999-07-19,12522.1765
LGEN LN Equity,1999-07-20,12048.6747
LGEN LN Equity,1999-07-21,11862.8346
LGEN LN Equity,1999-07-22,11692.9468
LGEN LN Equity,1999-07-23,11934.4002
LGEN LN Equity,1999-07-26,11696.7872
LGEN LN Equity,1999-07-27,11793.8787
LGEN LN Equity,1999-07-28,11688.9239
LGEN LN Equity,1999-07-29,11456.3364
LGEN LN Equity,1999-07-30,11505.7928
LGEN LN Equity,1999-08-02,12049.8058
LGEN LN Equity,1999-08-03,11900.5509
LGEN LN Equity,1999-08-04,11845.2273
LGEN LN Equity,1999-08-05,11582.4268
LGEN LN Equity,1999-08-06,11645.2076
LGEN LN Equity,1999-08-09,11571.1266
LGEN LN Equity,1999-08-10,11129.3568
LGEN LN Equity,1999-08-11,11612.0631
LGEN LN Equity,1999-08-12,11844.9186
LGEN LN Equity,1999-08-13,12257.9747
LGEN LN Equity,1999-08-16,12084.3187
LGEN LN Equity,1999-08-17,12396.0931
LGEN LN Equity,1999-08-18,12951.7064
LGEN LN Equity,1999-08-19,12582.33
LGEN LN Equity,1999-08-20,13101.8401
LGEN LN Equity,1999-08-23,13757.1437
LGEN LN Equity,1999-08-24,13474.9582
LGEN LN Equity,1999-08-25,13412.4211
LGEN LN Equity,1999-08-26,13559.1357
LGEN LN Equity,1999-08-27,13676.3686
LGEN LN Equity,1999-08-31,13267.0181
LGEN LN Equity,1999-09-01,13537.8323
LGEN LN Equity,1999-09-02,14776.1862
LGEN LN Equity,1999-09-03,15860.1452
LGEN LN Equity,1999-09-06,15673.6426
LGEN LN Equity,1999-09-07,15693.1806
LGEN LN Equity,1999-09-08,15832.9057
LGEN LN Equity,1999-09-09,15880.0722
LGEN LN Equity,1999-09-10,15763.9975
LGEN LN Equity,1999-09-13,15640.703
LGEN LN Equity,1999-09-14,15518.7941
LGEN LN Equity,1999-09-15,15369.1324
LGEN LN Equity,1999-09-16,15453.6323
LGEN LN Equity,1999-09-17,15528.2279
LGEN LN Equity,1999-09-20,15580.0072
LGEN LN Equity,1999-09-21,15237.415
LGEN LN Equity,1999-09-22,15121.2776
LGEN LN Equity,1999-09-23,15453.4614
LGEN LN Equity,1999-09-24,14509.3207
LGEN LN Equity,1999-09-27,14821.9285
LGEN LN Equity,1999-09-28,14459.4109
LGEN LN Equity,1999-09-29,13612.8959
LGEN LN Equity,1999-09-30,13591.12
LGEN LN Equity,1999-10-01,13528.9192
LGEN LN Equity,1999-10-04,13473.0059
LGEN LN Equity,1999-10-05,13688.9632
LGEN LN Equity,1999-10-06,13401.0242
LGEN LN Equity,1999-10-07,13400.6059
LGEN LN Equity,1999-10-08,13578.4164
LGEN LN Equity,1999-10-11,13578.7497
LGEN LN Equity,1999-10-12,13017.1288
