name,date,CUR_MKT_CAP
LRE LN Equity,2005-12-13,875.0853
LRE LN Equity,2005-12-14,878.2071
LRE LN Equity,2005-12-15,876.8135
LRE LN Equity,2005-12-16,876.4898
LRE LN Equity,2005-12-19,885.5378
LRE LN Equity,2005-12-20,938.0531
LRE LN Equity,2005-12-21,969.1515
LRE LN Equity,2005-12-22,919.5397
LRE LN Equity,2005-12-23,918.6541
LRE LN Equity,2005-12-28,912.0167
LRE LN Equity,2005-12-29,916.7614
LRE LN Equity,2005-12-30,916.0009
LRE LN Equity,2006-01-03,917.0268
LRE LN Equity,2006-01-04,911.4984
LRE LN Equity,2006-01-05,976.4331
LRE LN Equity,2006-01-06,962.5955
LRE LN Equity,2006-01-09,964.2415
LRE LN Equity,2006-01-10,964.433
LRE LN Equity,2006-01-11,944.2072
LRE LN Equity,2006-01-12,971.0233
LRE LN Equity,2006-01-13,968.1515
LRE LN Equity,2006-01-16,967.4214
LRE LN Equity,2006-01-17,963.8901
LRE LN Equity,2006-01-18,958.2681
LRE LN Equity,2006-01-19,959.1955
LRE LN Equity,2006-01-20,953.22
LRE LN Equity,2006-01-23,952.5841
LRE LN Equity,2006-01-24,947.6117
LRE LN Equity,2006-01-25,938.1925
LRE LN Equity,2006-01-26,949.2524
LRE LN Equity,2006-01-27,951.2511
LRE LN Equity,2006-01-30,933.0008
LRE LN Equity,2006-01-31,936.2252
LRE LN Equity,2006-02-01,935.4407
LRE LN Equity,2006-02-02,944.1878
LRE LN Equity,2006-02-03,939.8834
LRE LN Equity,2006-02-06,937.9658
LRE LN Equity,2006-02-07,937.6853
LRE LN Equity,2006-02-08,946.5297
LRE LN Equity,2006-02-09,950.6102
LRE LN Equity,2006-02-10,951.6224
LRE LN Equity,2006-02-13,939.8279
LRE LN Equity,2006-02-14,936.8466
LRE LN Equity,2006-02-15,938.3604
LRE LN Equity,2006-02-16,919.1773
LRE LN Equity,2006-02-17,917.4891
LRE LN Equity,2006-02-20,914.7622
LRE LN Equity,2006-02-21,927.1695
LRE LN Equity,2006-02-22,930.9021
LRE LN Equity,2006-02-23,913.4556
LRE LN Equity,2006-02-24,919.127
LRE LN Equity,2006-02-27,913.0512
LRE LN Equity,2006-02-28,935.4601
LRE LN Equity,2006-03-01,948.3721
LRE LN Equity,2006-03-02,931.6442
LRE LN Equity,2006-03-03,931.4872
LRE LN Equity,2006-03-06,930.7561
LRE LN Equity,2006-03-07,939.0993
LRE LN Equity,2006-03-08,931.7302
LRE LN Equity,2006-03-09,934.0516
LRE LN Equity,2006-03-10,928.6608
LRE LN Equity,2006-03-13,924.0402
LRE LN Equity,2006-03-14,921.5115
LRE LN Equity,2006-03-15,904.4197
LRE LN Equity,2006-03-16,906.6516
LRE LN Equity,2006-03-17,902.121
LRE LN Equity,2006-03-20,887.2876
LRE LN Equity,2006-03-21,901.8865
LRE LN Equity,2006-03-22,900.5508
LRE LN Equity,2006-03-23,900.1933
LRE LN Equity,2006-03-24,902.3257
LRE LN Equity,2006-03-27,902.1655
LRE LN Equity,2006-03-28,895.9597
LRE LN Equity,2006-03-29,889.3879
LRE LN Equity,2006-03-30,899.903
LRE LN Equity,2006-03-31,893.0438
LRE LN Equity,2006-04-03,901.1739
LRE LN Equity,2006-04-04,888.7997
LRE LN Equity,2006-04-05,892.298
LRE LN Equity,2006-04-06,899.6831
LRE LN Equity,2006-04-07,899.9423
LRE LN Equity,2006-04-10,892.0554
LRE LN Equity,2006-04-11,897.2071
LRE LN Equity,2006-04-12,901.3251
LRE LN Equity,2006-04-13,901.4069
LRE LN Equity,2006-04-18,891.6354
LRE LN Equity,2006-04-19,882.5082
LRE LN Equity,2006-04-20,879.2562
LRE LN Equity,2006-04-21,868.8731
LRE LN Equity,2006-04-24,868.4488
LRE LN Equity,2006-04-25,859.7314
LRE LN Equity,2006-04-26,853.9332
LRE LN Equity,2006-04-27,876.4461
LRE LN Equity,2006-04-28,877.6534
LRE LN Equity,2006-05-02,892.816
LRE LN Equity,2006-05-03,899.018
LRE LN Equity,2006-05-04,896.0231
LRE LN Equity,2006-05-05,911.9038
LRE LN Equity,2006-05-08,909.2753
LRE LN Equity,2006-05-09,909.5992
LRE LN Equity,2006-05-10,918.7051
LRE LN Equity,2006-05-11,911.283
LRE LN Equity,2006-05-12,914.7593
LRE LN Equity,2006-05-15,906.2374
LRE LN Equity,2006-05-16,908.9386
LRE LN Equity,2006-05-17,908.3879
LRE LN Equity,2006-05-18,900.4457
LRE LN Equity,2006-05-19,899.4318
LRE LN Equity,2006-05-22,858.7904
LRE LN Equity,2006-05-23,862.5419
LRE LN Equity,2006-05-24,842.5951
LRE LN Equity,2006-05-25,855.5327
LRE LN Equity,2006-05-26,857.9952
LRE LN Equity,2006-05-30,844.5466
LRE LN Equity,2006-05-31,846.3606
LRE LN Equity,2006-06-01,835.7489
LRE LN Equity,2006-06-02,835.2901
LRE LN Equity,2006-06-05,807.5685
LRE LN Equity,2006-06-06,809.3507
LRE LN Equity,2006-06-07,809.596
LRE LN Equity,2006-06-08,812.389
LRE LN Equity,2006-06-09,815.6869
LRE LN Equity,2006-06-12,823.7802
LRE LN Equity,2006-06-13,820.3345
LRE LN Equity,2006-06-14,823.2522
LRE LN Equity,2006-06-15,832.2325
LRE LN Equity,2006-06-16,836.4724
LRE LN Equity,2006-06-19,841.4287
LRE LN Equity,2006-06-20,848.3523
LRE LN Equity,2006-06-21,842.0331
LRE LN Equity,2006-06-22,846.5116
LRE LN Equity,2006-06-23,844.6446
LRE LN Equity,2006-06-26,850.9442
LRE LN Equity,2006-06-27,854.422
LRE LN Equity,2006-06-28,860.1477
LRE LN Equity,2006-06-29,856.275
LRE LN Equity,2006-06-30,863.0183
LRE LN Equity,2006-07-03,872.5175
LRE LN Equity,2006-07-04,883.6955
LRE LN Equity,2006-07-05,878.9694
LRE LN Equity,2006-07-06,891.6963
LRE LN Equity,2006-07-07,895.7867
LRE LN Equity,2006-07-10,902.8409
LRE LN Equity,2006-07-11,891.5223
LRE LN Equity,2006-07-12,887.5261
LRE LN Equity,2006-07-13,897.7633
LRE LN Equity,2006-07-14,887.0568
LRE LN Equity,2006-07-17,881.4657
LRE LN Equity,2006-07-18,886.2041
LRE LN Equity,2006-07-19,881.8714
LRE LN Equity,2006-07-20,865.0787
LRE LN Equity,2006-07-21,851.28
LRE LN Equity,2006-07-24,839.8009
LRE LN Equity,2006-07-25,846.4857
LRE LN Equity,2006-07-26,856.7178
LRE LN Equity,2006-07-27,902.3375
LRE LN Equity,2006-07-28,907.2592
LRE LN Equity,2006-07-31,890.7392
LRE LN Equity,2006-08-01,887.7031
LRE LN Equity,2006-08-02,857.6475
LRE LN Equity,2006-08-03,871.4162
LRE LN Equity,2006-08-04,890.3373
LRE LN Equity,2006-08-07,896.5521
LRE LN Equity,2006-08-08,900.2693
LRE LN Equity,2006-08-09,886.2397
LRE LN Equity,2006-08-10,885.2014
LRE LN Equity,2006-08-11,885.9439
LRE LN Equity,2006-08-14,885.9235
LRE LN Equity,2006-08-15,885.8455
LRE LN Equity,2006-08-16,880.2925
LRE LN Equity,2006-08-17,879.7719
LRE LN Equity,2006-08-18,880.6172
LRE LN Equity,2006-08-21,882.0817
LRE LN Equity,2006-08-22,919.4443
LRE LN Equity,2006-08-23,916.7223
LRE LN Equity,2006-08-24,911.4722
LRE LN Equity,2006-08-25,897.3951
LRE LN Equity,2006-08-29,913.4925
LRE LN Equity,2006-08-30,910.4623
LRE LN Equity,2006-08-31,915.0782
LRE LN Equity,2006-09-01,906.2855
LRE LN Equity,2006-09-04,906.4907
LRE LN Equity,2006-09-05,910.8899
LRE LN Equity,2006-09-06,907.6634
LRE LN Equity,2006-09-07,907.509
LRE LN Equity,2006-09-08,907.6259
LRE LN Equity,2006-09-11,907.5719
LRE LN Equity,2006-09-12,921.5666
LRE LN Equity,2006-09-13,951.4491
LRE LN Equity,2006-09-14,967.9113
LRE LN Equity,2006-09-15,973.8445
LRE LN Equity,2006-09-18,982.5547
LRE LN Equity,2006-09-19,1025.1588
LRE LN Equity,2006-09-20,1015.7419
LRE LN Equity,2006-09-21,1000.8837
LRE LN Equity,2006-09-22,1003.7345
LRE LN Equity,2006-09-25,1004.5426
LRE LN Equity,2006-09-26,1004.1516
LRE LN Equity,2006-09-27,999.8051
LRE LN Equity,2006-09-28,991.0679
LRE LN Equity,2006-09-29,998.4322
LRE LN Equity,2006-10-02,996.2349
LRE LN Equity,2006-10-03,995.634
LRE LN Equity,2006-10-04,996.4193
LRE LN Equity,2006-10-05,984.954
LRE LN Equity,2006-10-06,987.718
LRE LN Equity,2006-10-09,994.3725
LRE LN Equity,2006-10-10,987.3435
LRE LN Equity,2006-10-11,993.1754
LRE LN Equity,2006-10-12,999.6554
LRE LN Equity,2006-10-13,1023.8861
LRE LN Equity,2006-10-16,1037.4989
LRE LN Equity,2006-10-17,1050.2918
LRE LN Equity,2006-10-18,1050.4136
LRE LN Equity,2006-10-19,1049.3679
LRE LN Equity,2006-10-20,1036.4354
LRE LN Equity,2006-10-23,1039.5587
LRE LN Equity,2006-10-24,1050.7179
LRE LN Equity,2006-10-25,1050.6697
LRE LN Equity,2006-10-26,1066.5473
LRE LN Equity,2006-10-27,1073.2131
LRE LN Equity,2006-10-30,1073.9325
LRE LN Equity,2006-10-31,1064.5254
LRE LN Equity,2006-11-01,1054.0399
LRE LN Equity,2006-11-02,1052.4963
LRE LN Equity,2006-11-03,1047.758
LRE LN Equity,2006-11-06,1027.143
