name,date,CUR_MKT_CAP
MANTA FH Equity,2023-10-02,1840.8414
MANTA FH Equity,2023-10-03,1647.9005
MANTA FH Equity,2023-10-04,1676.0012
MANTA FH Equity,2023-10-05,1670.9832
MANTA FH Equity,2023-10-06,1671.7359
MANTA FH Equity,2023-10-09,1702.0946
MANTA FH Equity,2023-10-10,1736.4677
MANTA FH Equity,2023-10-11,1856.648
MANTA FH Equity,2023-10-12,1915.3582
MANTA FH Equity,2023-10-13,1967.0433
MANTA FH Equity,2023-10-16,1957.5091
MANTA FH Equity,2023-10-17,1950.484
MANTA FH Equity,2023-10-18,1924.3905
MANTA FH Equity,2023-10-19,1876.7199
MANTA FH Equity,2023-10-20,1842.0959
MANTA FH Equity,2023-10-23,1843.6013
MANTA FH Equity,2023-10-24,1856.648
MANTA FH Equity,2023-10-25,1847.1138
MANTA FH Equity,2023-10-26,1839.5869
MANTA FH Equity,2023-10-27,1839.5869
MANTA FH Equity,2023-10-30,1805.9665
MANTA FH Equity,2023-10-31,1832.5617
MANTA FH Equity,2023-11-01,1821.5222
MANTA FH Equity,2023-11-02,1869.6947
MANTA FH Equity,2023-11-03,1871.7019
MANTA FH Equity,2023-11-06,1886.7558
MANTA FH Equity,2023-11-07,1854.6408
MANTA FH Equity,2023-11-08,1818.0096
MANTA FH Equity,2023-11-09,1836.5761
MANTA FH Equity,2023-11-10,1823.0276
MANTA FH Equity,2023-11-13,1827.042
MANTA FH Equity,2023-11-14,1901.8097
MANTA FH Equity,2023-11-15,1911.3438
MANTA FH Equity,2023-11-16,1920.3762
MANTA FH Equity,2023-11-17,1994.6421
MANTA FH Equity,2023-11-20,2025.0008
MANTA FH Equity,2023-11-21,1996.3984
MANTA FH Equity,2023-11-22,1959.2654
MANTA FH Equity,2023-11-23,1976.0756
MANTA FH Equity,2023-11-24,1901.8097
MANTA FH Equity,2023-11-27,1909.0857
MANTA FH Equity,2023-11-28,1941.9534
MANTA FH Equity,2023-11-29,1949.7313
MANTA FH Equity,2023-11-30,1972.563
MANTA FH Equity,2023-12-01,1988.6205
MANTA FH Equity,2023-12-04,1958.0109
MANTA FH Equity,2023-12-05,1937.6882
MANTA FH Equity,2023-12-07,1932.9211
MANTA FH Equity,2023-12-08,1980.5918
MANTA FH Equity,2023-12-11,1979.3373
MANTA FH Equity,2023-12-12,1928.154
MANTA FH Equity,2023-12-13,1916.8636
MANTA FH Equity,2023-12-14,1954.2475
MANTA FH Equity,2023-12-15,1898.0462
MANTA FH Equity,2023-12-18,1912.3474
MANTA FH Equity,2023-12-19,1940.448
MANTA FH Equity,2023-12-20,1959.7672
MANTA FH Equity,2023-12-21,1986.3624
MANTA FH Equity,2023-12-22,2008.6924
MANTA FH Equity,2023-12-27,2021.7391
MANTA FH Equity,2023-12-28,2034.0331
MANTA FH Equity,2023-12-29,2042.3128
