name,date,CUR_MKT_CAP
MAP SM Equity,1999-01-04,1446.428
MAP SM Equity,1999-01-05,1443.402
MAP SM Equity,1999-01-07,1422.22
MAP SM Equity,1999-01-08,1399.2224
MAP SM Equity,1999-01-11,1385.3028
MAP SM Equity,1999-01-12,1331.44
MAP SM Equity,1999-01-13,1221.2936
MAP SM Equity,1999-01-14,1216.452
MAP SM Equity,1999-01-15,1258.2108
MAP SM Equity,1999-01-18,1266.0784
MAP SM Equity,1999-01-19,1235.8184
MAP SM Equity,1999-01-20,1258.816
MAP SM Equity,1999-01-21,1218.2676
MAP SM Equity,1999-01-22,1161.984
MAP SM Equity,1999-01-25,1174.088
MAP SM Equity,1999-01-26,1166.2204
MAP SM Equity,1999-01-27,1191.0336
MAP SM Equity,1999-01-28,1183.166
MAP SM Equity,1999-01-29,1192.244
MAP SM Equity,1999-02-01,1241.2652
MAP SM Equity,1999-02-02,1236.4236
MAP SM Equity,1999-02-03,1261.2368
MAP SM Equity,1999-02-04,1242.4756
MAP SM Equity,1999-02-05,1270.92
MAP SM Equity,1999-02-08,1240.66
MAP SM Equity,1999-02-09,1201.322
MAP SM Equity,1999-02-10,1193.4544
MAP SM Equity,1999-02-11,1234.608
MAP SM Equity,1999-02-12,1258.2108
MAP SM Equity,1999-02-15,1275.1564
MAP SM Equity,1999-02-16,1229.7664
MAP SM Equity,1999-02-17,1221.8988
MAP SM Equity,1999-02-18,1200.7168
MAP SM Equity,1999-02-19,1215.2416
MAP SM Equity,1999-02-22,1216.452
MAP SM Equity,1999-02-23,1231.582
MAP SM Equity,1999-02-24,1243.686
MAP SM Equity,1999-02-25,1210.4
MAP SM Equity,1999-02-26,1204.348
MAP SM Equity,1999-03-01,1175.2984
MAP SM Equity,1999-03-02,1165.01
MAP SM Equity,1999-03-03,1163.7996
MAP SM Equity,1999-03-04,1172.8776
MAP SM Equity,1999-03-05,1210.4
MAP SM Equity,1999-03-08,1194.0596
MAP SM Equity,1999-03-09,1158.958
MAP SM Equity,1999-03-10,1173.4828
MAP SM Equity,1999-03-11,1210.4
MAP SM Equity,1999-03-12,1189.8232
MAP SM Equity,1999-03-15,1187.4024
MAP SM Equity,1999-03-16,1201.322
MAP SM Equity,1999-03-17,1198.9012
MAP SM Equity,1999-03-18,1183.166
MAP SM Equity,1999-03-19,1191.0336
MAP SM Equity,1999-03-22,1171.062
MAP SM Equity,1999-03-23,1125.672
MAP SM Equity,1999-03-24,1123.2512
MAP SM Equity,1999-03-25,1125.672
MAP SM Equity,1999-03-26,1103.8848
MAP SM Equity,1999-03-29,1100.8588
MAP SM Equity,1999-03-30,1107.516
MAP SM Equity,1999-03-31,1110.542
MAP SM Equity,1999-04-06,1132.3292
MAP SM Equity,1999-04-07,1144.4332
MAP SM Equity,1999-04-08,1126.8824
MAP SM Equity,1999-04-09,1130.5136
MAP SM Equity,1999-04-12,1128.698
MAP SM Equity,1999-04-13,1131.724
MAP SM Equity,1999-04-14,1112.9628
MAP SM Equity,1999-04-15,1097.2276
MAP SM Equity,1999-04-16,1079.0716
MAP SM Equity,1999-04-19,1091.1756
MAP SM Equity,1999-04-20,1089.9652
MAP SM Equity,1999-04-21,1125.0668
MAP SM Equity,1999-04-22,1143.828
MAP SM Equity,1999-04-23,1149.88
MAP SM Equity,1999-04-26,1155.932
MAP SM Equity,1999-04-27,1206.1636
MAP SM Equity,1999-04-28,1203.7428
MAP SM Equity,1999-04-29,1180.14
MAP SM Equity,1999-04-30,1164.4048
MAP SM Equity,1999-05-03,1160.7736
MAP SM Equity,1999-05-04,1160.7736
MAP SM Equity,1999-05-05,1134.75
MAP SM Equity,1999-05-06,1143.2228
MAP SM Equity,1999-05-07,1177.114
MAP SM Equity,1999-05-10,1201.9272
MAP SM Equity,1999-05-11,1203.1376
MAP SM Equity,1999-05-12,1203.7428
MAP SM Equity,1999-05-13,1214.6765
MAP SM Equity,1999-05-14,1189.2573
MAP SM Equity,1999-05-17,1150.5232
MAP SM Equity,1999-05-18,1166.8641
MAP SM Equity,1999-05-19,1220.7287
MAP SM Equity,1999-05-20,1267.9359
MAP SM Equity,1999-05-21,1241.9114
MAP SM Equity,1999-05-24,1231.6227
MAP SM Equity,1999-05-25,1225.5705
MAP SM Equity,1999-05-26,1223.1496
MAP SM Equity,1999-05-27,1214.6765
MAP SM Equity,1999-05-28,1202.5721
MAP SM Equity,1999-05-31,1222.5444
MAP SM Equity,1999-06-01,1211.6504
MAP SM Equity,1999-06-02,1210.44
MAP SM Equity,1999-06-03,1213.4661
MAP SM Equity,1999-06-04,1211.6504
MAP SM Equity,1999-06-07,1208.0191
MAP SM Equity,1999-06-08,1201.3617
MAP SM Equity,1999-06-09,1201.3617
MAP SM Equity,1999-06-10,1210.44
MAP SM Equity,1999-06-11,1215.2817
MAP SM Equity,1999-06-14,1220.1235
MAP SM Equity,1999-06-15,1234.6488
MAP SM Equity,1999-06-16,1240.0958
MAP SM Equity,1999-06-17,1228.5966
MAP SM Equity,1999-06-18,1234.6488
MAP SM Equity,1999-06-21,1243.7271
MAP SM Equity,1999-06-22,1226.1757
MAP SM Equity,1999-06-23,1204.3878
MAP SM Equity,1999-06-24,1204.3878
MAP SM Equity,1999-06-25,1201.9669
MAP SM Equity,1999-06-28,1206.8087
