name,date,CUR_MKT_CAP
MUV2 GR Equity,1999-11-30,35379.7763
MUV2 GR Equity,1999-12-01,35892.5267
MUV2 GR Equity,1999-12-02,34867.0259
MUV2 GR Equity,1999-12-03,35294.3179
MUV2 GR Equity,1999-12-06,34525.1924
MUV2 GR Equity,1999-12-07,35661.789
MUV2 GR Equity,1999-12-08,35413.9597
MUV2 GR Equity,1999-12-09,35123.4011
MUV2 GR Equity,1999-12-10,33790.2501
MUV2 GR Equity,1999-12-13,34525.1924
MUV2 GR Equity,1999-12-14,34952.4843
MUV2 GR Equity,1999-12-15,34952.4843
MUV2 GR Equity,1999-12-16,34525.1924
MUV2 GR Equity,1999-12-17,35037.9427
MUV2 GR Equity,1999-12-20,35892.5267
MUV2 GR Equity,1999-12-21,35550.6931
MUV2 GR Equity,1999-12-22,37088.9443
MUV2 GR Equity,1999-12-23,43823.0659
MUV2 GR Equity,1999-12-27,42797.5652
MUV2 GR Equity,1999-12-28,41973.7462
MUV2 GR Equity,1999-12-29,42729.1985
MUV2 GR Equity,1999-12-30,42985.5736
MUV2 GR Equity,2000-01-03,40849.1137
MUV2 GR Equity,2000-01-04,40676.4878
MUV2 GR Equity,2000-01-05,43635.0575
MUV2 GR Equity,2000-01-06,46002.2551
MUV2 GR Equity,2000-01-07,47848.1564
MUV2 GR Equity,2000-01-10,47138.8517
MUV2 GR Equity,2000-01-11,48198.5359
MUV2 GR Equity,2000-01-12,47514.8687
MUV2 GR Equity,2000-01-13,49309.495
MUV2 GR Equity,2000-01-14,52556.9141
MUV2 GR Equity,2000-01-17,53155.1229
MUV2 GR Equity,2000-01-18,50864.8378
MUV2 GR Equity,2000-01-19,51138.3047
MUV2 GR Equity,2000-01-20,49497.5035
MUV2 GR Equity,2000-01-21,48540.3694
MUV2 GR Equity,2000-01-24,47856.7023
MUV2 GR Equity,2000-01-25,46010.8009
MUV2 GR Equity,2000-01-26,47600.3271
MUV2 GR Equity,2000-01-27,46831.2015
MUV2 GR Equity,2000-01-28,48113.0775
MUV2 GR Equity,2000-01-31,46318.4511
