name,date,CUR_MKT_CAP
NN NA Equity,2014-07-02,7441.0
NN NA Equity,2014-07-03,7875.0
NN NA Equity,2014-07-04,7875.0
NN NA Equity,2014-07-07,7892.5
NN NA Equity,2014-07-08,7735.0
NN NA Equity,2014-07-09,7764.75
NN NA Equity,2014-07-10,7717.5
NN NA Equity,2014-07-11,7875.0
NN NA Equity,2014-07-14,8165.5
NN NA Equity,2014-07-15,8046.5
NN NA Equity,2014-07-16,8050.0
NN NA Equity,2014-07-17,7899.5
NN NA Equity,2014-07-18,7773.5
NN NA Equity,2014-07-21,7805.0
NN NA Equity,2014-07-22,7780.5
NN NA Equity,2014-07-23,7689.5
NN NA Equity,2014-07-24,7612.5
NN NA Equity,2014-07-25,7612.5
NN NA Equity,2014-07-28,7556.5
NN NA Equity,2014-07-29,7514.5
NN NA Equity,2014-07-30,7295.75
NN NA Equity,2014-07-31,7367.5
NN NA Equity,2014-08-01,7455.0
NN NA Equity,2014-08-04,7446.25
NN NA Equity,2014-08-05,7525.0
NN NA Equity,2014-08-06,7385.0
NN NA Equity,2014-08-07,7381.5
NN NA Equity,2014-08-08,7379.75
NN NA Equity,2014-08-11,7381.5
NN NA Equity,2014-08-12,7418.25
NN NA Equity,2014-08-13,7350.0
NN NA Equity,2014-08-14,7350.0
NN NA Equity,2014-08-15,7406.0
NN NA Equity,2014-08-18,7413.0
NN NA Equity,2014-08-19,7472.5
NN NA Equity,2014-08-20,7472.5
NN NA Equity,2014-08-21,7455.0
NN NA Equity,2014-08-22,7642.25
NN NA Equity,2014-08-25,7731.5
NN NA Equity,2014-08-26,7708.75
NN NA Equity,2014-08-27,7775.25
NN NA Equity,2014-08-28,7787.5
NN NA Equity,2014-08-29,7782.25
NN NA Equity,2014-09-01,7703.5
NN NA Equity,2014-09-02,7770.0
NN NA Equity,2014-09-03,7752.5
NN NA Equity,2014-09-04,7735.0
NN NA Equity,2014-09-05,7735.0
NN NA Equity,2014-09-08,7735.0
NN NA Equity,2014-09-09,7735.0
NN NA Equity,2014-09-10,7750.75
NN NA Equity,2014-09-11,7701.75
NN NA Equity,2014-09-12,7731.5
NN NA Equity,2014-09-15,7700.0
NN NA Equity,2014-09-16,7733.25
NN NA Equity,2014-09-17,7761.25
NN NA Equity,2014-09-18,7848.75
NN NA Equity,2014-09-19,7892.5
NN NA Equity,2014-09-22,7848.75
NN NA Equity,2014-09-23,7869.75
NN NA Equity,2014-09-24,7878.5
NN NA Equity,2014-09-25,7962.5
NN NA Equity,2014-09-26,8067.5
NN NA Equity,2014-09-29,8060.5
NN NA Equity,2014-09-30,8041.25
NN NA Equity,2014-10-01,7966.3028
NN NA Equity,2014-10-02,7934.8016
NN NA Equity,2014-10-03,7962.8027
NN NA Equity,2014-10-06,7969.803
NN NA Equity,2014-10-07,7857.7987
NN NA Equity,2014-10-08,7798.2965
NN NA Equity,2014-10-09,7798.2965
NN NA Equity,2014-10-10,7782.5459
NN NA Equity,2014-10-13,7793.0463
NN NA Equity,2014-10-14,7784.2959
NN NA Equity,2014-10-15,7639.0404
NN NA Equity,2014-10-16,7644.2906
NN NA Equity,2014-10-17,7700.2927
NN NA Equity,2014-10-20,7754.5448
NN NA Equity,2014-10-21,7929.5514
NN NA Equity,2014-10-22,7980.3034
NN NA Equity,2014-10-23,7927.8014
NN NA Equity,2014-10-24,7819.2972
NN NA Equity,2014-10-27,7768.5453
NN NA Equity,2014-10-28,7798.2965
NN NA Equity,2014-10-29,7717.7934
NN NA Equity,2014-10-30,7696.7926
NN NA Equity,2014-10-31,7969.803
NN NA Equity,2014-11-03,7927.8014
NN NA Equity,2014-11-04,7866.549
NN NA Equity,2014-11-05,8099.3079
NN NA Equity,2014-11-06,8155.31
NN NA Equity,2014-11-07,8295.3153
NN NA Equity,2014-11-10,8311.0659
NN NA Equity,2014-11-11,8321.5663
NN NA Equity,2014-11-12,8407.3196
NN NA Equity,2014-11-13,8398.5693
NN NA Equity,2014-11-14,8417.82
NN NA Equity,2014-11-17,8489.5727
NN NA Equity,2014-11-18,8515.8237
NN NA Equity,2014-11-19,8493.0729
NN NA Equity,2014-11-20,8645.3286
NN NA Equity,2014-11-21,8778.3337
NN NA Equity,2014-11-24,8750.3326
NN NA Equity,2014-11-25,8540.3247
NN NA Equity,2014-11-26,8575.326
NN NA Equity,2014-11-27,8528.0742
NN NA Equity,2014-11-28,8545.5749
NN NA Equity,2014-12-01,8484.3225
NN NA Equity,2014-12-02,8619.0777
NN NA Equity,2014-12-03,8662.8293
NN NA Equity,2014-12-04,8676.8298
NN NA Equity,2014-12-05,8676.8298
NN NA Equity,2014-12-08,8531.5743
NN NA Equity,2014-12-09,8536.8245
NN NA Equity,2014-12-10,8710.0811
NN NA Equity,2014-12-11,8687.3302
NN NA Equity,2014-12-12,8535.0745
NN NA Equity,2014-12-15,8610.3273
NN NA Equity,2014-12-16,8886.8378
NN NA Equity,2014-12-17,8976.0912
NN NA Equity,2014-12-18,8764.3332
NN NA Equity,2014-12-19,8787.084
NN NA Equity,2014-12-22,8837.836
NN NA Equity,2014-12-23,8804.5847
NN NA Equity,2014-12-24,8736.3321
NN NA Equity,2014-12-29,8708.331
NN NA Equity,2014-12-30,8647.0787
NN NA Equity,2014-12-31,8696.0806
NN NA Equity,2015-01-02,8725.9276
NN NA Equity,2015-01-05,8633.173
NN NA Equity,2015-01-06,8582.4205
NN NA Equity,2015-01-07,8493.1662
NN NA Equity,2015-01-08,8570.1699
NN NA Equity,2015-01-09,8368.9101
NN NA Equity,2015-01-12,8367.16
NN NA Equity,2015-01-13,8297.1566
NN NA Equity,2015-01-14,8141.3989
NN NA Equity,2015-01-15,8211.4024
NN NA Equity,2015-01-16,8232.4034
NN NA Equity,2015-01-19,8442.4137
NN NA Equity,2015-01-20,8440.6636
NN NA Equity,2015-01-21,8445.9139
NN NA Equity,2015-01-22,8697.9262
NN NA Equity,2015-01-23,8479.1655
NN NA Equity,2015-01-26,8536.9183
NN NA Equity,2015-01-27,8456.4144
NN NA Equity,2015-01-28,8466.9149
NN NA Equity,2015-01-29,8445.9139
NN NA Equity,2015-01-30,8442.4137
NN NA Equity,2015-02-02,8302.4068
NN NA Equity,2015-02-03,8192.1514
NN NA Equity,2015-02-04,8039.894
NN NA Equity,2015-02-05,8122.148
NN NA Equity,2015-02-06,8312.9073
NN NA Equity,2015-02-09,8335.6584
