name,date,CUR_MKT_CAP
REVO IM Equity,2021-05-27,221.716
REVO IM Equity,2021-05-28,222.156
REVO IM Equity,2021-05-31,220.968
REVO IM Equity,2021-06-01,220.44
REVO IM Equity,2021-06-02,221.32
REVO IM Equity,2021-06-03,220.44
REVO IM Equity,2021-06-04,220.88
REVO IM Equity,2021-06-07,220.88
REVO IM Equity,2021-06-08,220.44
REVO IM Equity,2021-06-09,220.88
REVO IM Equity,2021-06-10,220.44
REVO IM Equity,2021-06-11,222.2
REVO IM Equity,2021-06-14,221.76
REVO IM Equity,2021-06-15,223.08
REVO IM Equity,2021-06-16,223.08
REVO IM Equity,2021-06-17,222.2
REVO IM Equity,2021-06-18,222.2
REVO IM Equity,2021-06-21,222.2
REVO IM Equity,2021-06-22,221.76
REVO IM Equity,2021-06-23,220.88
REVO IM Equity,2021-06-24,221.76
REVO IM Equity,2021-06-25,220.88
REVO IM Equity,2021-06-28,221.32
REVO IM Equity,2021-06-29,220.88
REVO IM Equity,2021-06-30,220.88
REVO IM Equity,2021-07-01,222.2
REVO IM Equity,2021-07-02,221.32
REVO IM Equity,2021-07-05,220.88
REVO IM Equity,2021-07-06,220.88
REVO IM Equity,2021-07-07,221.76
REVO IM Equity,2021-07-08,221.1
REVO IM Equity,2021-07-09,221.1
REVO IM Equity,2021-07-12,221.1
REVO IM Equity,2021-07-13,221.1
REVO IM Equity,2021-07-14,221.1
REVO IM Equity,2021-07-15,221.1
REVO IM Equity,2021-07-16,222.2
REVO IM Equity,2021-07-19,220.0
REVO IM Equity,2021-07-20,221.1
REVO IM Equity,2021-07-21,221.1
REVO IM Equity,2021-07-22,221.1
REVO IM Equity,2021-07-23,221.1
REVO IM Equity,2021-07-26,220.0
REVO IM Equity,2021-07-27,220.0
REVO IM Equity,2021-07-28,219.12
REVO IM Equity,2021-07-29,219.56
REVO IM Equity,2021-07-30,220.0
REVO IM Equity,2021-08-02,220.0
REVO IM Equity,2021-08-03,219.56
REVO IM Equity,2021-08-04,219.56
REVO IM Equity,2021-08-05,220.0
REVO IM Equity,2021-08-06,220.0
REVO IM Equity,2021-08-09,219.56
REVO IM Equity,2021-08-10,219.12
REVO IM Equity,2021-08-11,219.12
REVO IM Equity,2021-08-12,220.0
REVO IM Equity,2021-08-13,219.56
REVO IM Equity,2021-08-16,219.56
REVO IM Equity,2021-08-17,219.56
REVO IM Equity,2021-08-18,220.0
REVO IM Equity,2021-08-19,221.1
REVO IM Equity,2021-08-20,219.56
REVO IM Equity,2021-08-23,221.1
REVO IM Equity,2021-08-24,221.1
REVO IM Equity,2021-08-25,220.0
REVO IM Equity,2021-08-26,220.0
REVO IM Equity,2021-08-27,221.1
REVO IM Equity,2021-08-30,220.0
REVO IM Equity,2021-08-31,220.0
REVO IM Equity,2021-09-01,220.0
REVO IM Equity,2021-09-02,220.0
REVO IM Equity,2021-09-03,220.0
REVO IM Equity,2021-09-06,219.56
REVO IM Equity,2021-09-07,219.56
REVO IM Equity,2021-09-08,220.0
REVO IM Equity,2021-09-09,219.56
REVO IM Equity,2021-09-10,220.0
REVO IM Equity,2021-09-13,219.56
REVO IM Equity,2021-09-14,219.56
REVO IM Equity,2021-09-15,220.0
REVO IM Equity,2021-09-16,220.0
REVO IM Equity,2021-09-17,220.0
REVO IM Equity,2021-09-20,220.0
REVO IM Equity,2021-09-21,219.12
REVO IM Equity,2021-09-22,219.12
REVO IM Equity,2021-09-23,219.56
REVO IM Equity,2021-09-24,219.56
REVO IM Equity,2021-09-27,220.0
REVO IM Equity,2021-09-28,220.0
REVO IM Equity,2021-09-29,220.0
REVO IM Equity,2021-09-30,218.24
REVO IM Equity,2021-10-01,219.56
REVO IM Equity,2021-10-04,219.56
REVO IM Equity,2021-10-05,219.56
REVO IM Equity,2021-10-06,220.0
REVO IM Equity,2021-10-07,219.56
REVO IM Equity,2021-10-08,219.12
REVO IM Equity,2021-10-11,218.68
REVO IM Equity,2021-10-12,220.0
REVO IM Equity,2021-10-13,218.68
REVO IM Equity,2021-10-14,219.12
REVO IM Equity,2021-10-15,219.56
REVO IM Equity,2021-10-18,219.12
REVO IM Equity,2021-10-19,219.12
REVO IM Equity,2021-10-20,219.12
REVO IM Equity,2021-10-21,219.56
REVO IM Equity,2021-10-22,219.12
REVO IM Equity,2021-10-25,220.0
REVO IM Equity,2021-10-26,220.0
REVO IM Equity,2021-10-27,220.0
REVO IM Equity,2021-10-28,220.0
REVO IM Equity,2021-10-29,222.2
REVO IM Equity,2021-11-01,220.0
REVO IM Equity,2021-11-02,219.56
REVO IM Equity,2021-11-03,219.12
REVO IM Equity,2021-11-04,220.0
REVO IM Equity,2021-11-05,220.0
REVO IM Equity,2021-11-08,218.68
REVO IM Equity,2021-11-09,217.8
REVO IM Equity,2021-11-10,219.56
REVO IM Equity,2021-11-11,221.1
REVO IM Equity,2021-11-12,218.68
REVO IM Equity,2021-11-15,217.8
REVO IM Equity,2021-11-16,217.36
REVO IM Equity,2021-11-17,217.8
REVO IM Equity,2021-11-18,217.36
REVO IM Equity,2021-11-19,219.56
REVO IM Equity,2021-11-22,217.8
REVO IM Equity,2021-11-23,217.36
REVO IM Equity,2021-11-24,219.56
REVO IM Equity,2021-11-25,220.0
REVO IM Equity,2021-11-26,220.0
REVO IM Equity,2021-11-29,220.0
REVO IM Equity,2021-11-30,221.1
REVO IM Equity,2021-12-01,221.1
REVO IM Equity,2021-12-02,220.0
REVO IM Equity,2021-12-03,220.0
REVO IM Equity,2021-12-06,219.56
REVO IM Equity,2021-12-07,219.56
REVO IM Equity,2021-12-08,224.4
REVO IM Equity,2021-12-09,222.2
REVO IM Equity,2021-12-10,220.0
REVO IM Equity,2021-12-13,222.2
REVO IM Equity,2021-12-14,223.3
REVO IM Equity,2021-12-15,222.2
REVO IM Equity,2021-12-16,221.1
REVO IM Equity,2021-12-17,223.3
