name,date,CUR_MKT_CAP
RGG PZ Equity,2021-12-08,26.2866
RGG PZ Equity,2021-12-09,27.6928
RGG PZ Equity,2021-12-10,27.7389
RGG PZ Equity,2021-12-13,27.6875
RGG PZ Equity,2021-12-14,27.7706
RGG PZ Equity,2021-12-15,27.7666
RGG PZ Equity,2021-12-16,27.848
RGG PZ Equity,2021-12-17,27.8498
RGG PZ Equity,2021-12-20,27.7054
RGG PZ Equity,2021-12-21,27.827
RGG PZ Equity,2021-12-22,27.9004
RGG PZ Equity,2021-12-23,28.008
RGG PZ Equity,2021-12-24,28.0161
RGG PZ Equity,2021-12-29,28.1391
RGG PZ Equity,2021-12-30,28.2047
RGG PZ Equity,2021-12-31,28.1306
RGG PZ Equity,2022-01-04,28.3619
RGG PZ Equity,2022-01-05,28.3549
RGG PZ Equity,2022-01-06,28.3464
RGG PZ Equity,2022-01-07,28.2962
RGG PZ Equity,2022-01-10,28.3306
RGG PZ Equity,2022-01-11,28.3808
RGG PZ Equity,2022-01-12,28.3437
RGG PZ Equity,2022-01-13,28.3141
RGG PZ Equity,2022-01-14,28.3423
RGG PZ Equity,2022-01-17,28.3071
RGG PZ Equity,2022-01-18,28.3749
RGG PZ Equity,2022-01-19,28.4246
RGG PZ Equity,2022-01-20,28.4694
RGG PZ Equity,2022-01-21,28.2757
RGG PZ Equity,2022-01-24,28.1096
RGG PZ Equity,2022-01-25,28.2973
RGG PZ Equity,2022-01-26,28.3476
RGG PZ Equity,2022-01-27,28.4102
RGG PZ Equity,2022-01-28,28.4136
RGG PZ Equity,2022-01-31,28.3427
RGG PZ Equity,2022-02-01,28.4223
RGG PZ Equity,2022-02-02,28.4071
RGG PZ Equity,2022-02-03,28.139
RGG PZ Equity,2022-02-04,27.9636
RGG PZ Equity,2022-02-07,28.012
RGG PZ Equity,2022-02-08,28.0631
RGG PZ Equity,2022-02-09,28.011
RGG PZ Equity,2022-02-10,28.0957
RGG PZ Equity,2022-02-11,28.2405
RGG PZ Equity,2022-02-14,28.3113
RGG PZ Equity,2022-02-15,28.1912
RGG PZ Equity,2022-02-16,28.2535
RGG PZ Equity,2022-02-17,28.3829
RGG PZ Equity,2022-02-18,28.39
RGG PZ Equity,2022-02-21,28.4238
RGG PZ Equity,2022-02-22,28.3829
RGG PZ Equity,2022-02-23,28.3481
RGG PZ Equity,2022-02-24,28.3284
RGG PZ Equity,2022-02-25,28.1756
RGG PZ Equity,2022-02-28,28.2809
RGG PZ Equity,2022-03-01,28.3592
RGG PZ Equity,2022-03-02,28.4725
RGG PZ Equity,2022-03-03,28.553
RGG PZ Equity,2022-03-04,28.65
RGG PZ Equity,2022-03-07,28.532
RGG PZ Equity,2022-03-08,28.4023
RGG PZ Equity,2022-03-09,28.1231
RGG PZ Equity,2022-03-10,28.2033
RGG PZ Equity,2022-03-11,28.2752
RGG PZ Equity,2022-03-14,28.0887
RGG PZ Equity,2022-03-15,28.2162
RGG PZ Equity,2022-03-16,28.1993
RGG PZ Equity,2022-03-17,28.007
RGG PZ Equity,2022-03-18,28.222
RGG PZ Equity,2022-03-21,28.2679
RGG PZ Equity,2022-03-22,28.4495
RGG PZ Equity,2022-03-23,28.3988
RGG PZ Equity,2022-03-24,28.3501
RGG PZ Equity,2022-03-25,28.4096
RGG PZ Equity,2022-03-28,28.1758
RGG PZ Equity,2022-03-29,27.9486
RGG PZ Equity,2022-03-30,25.5555
RGG PZ Equity,2022-03-31,25.7186
RGG PZ Equity,2022-04-01,25.7497
RGG PZ Equity,2022-04-04,25.9002
RGG PZ Equity,2022-04-05,26.0072
RGG PZ Equity,2022-04-06,26.0036
RGG PZ Equity,2022-04-07,26.0338
RGG PZ Equity,2022-04-08,26.0019
RGG PZ Equity,2022-04-11,26.3109
RGG PZ Equity,2022-04-12,26.3922
RGG PZ Equity,2022-04-13,26.4406
RGG PZ Equity,2022-04-14,26.5268
RGG PZ Equity,2022-04-19,26.4741
RGG PZ Equity,2022-04-20,26.4486
RGG PZ Equity,2022-04-21,26.4137
RGG PZ Equity,2022-04-22,26.1693
RGG PZ Equity,2022-04-25,26.1062
RGG PZ Equity,2022-04-26,26.0001
RGG PZ Equity,2022-04-27,25.8076
RGG PZ Equity,2022-04-28,25.7178
RGG PZ Equity,2022-04-29,25.8645
RGG PZ Equity,2022-05-03,25.0909
RGG PZ Equity,2022-05-04,25.0244
RGG PZ Equity,2022-05-05,24.8013
RGG PZ Equity,2022-05-06,24.7032
RGG PZ Equity,2022-05-09,24.6735
RGG PZ Equity,2022-05-10,24.0326
RGG PZ Equity,2022-05-11,24.0004
RGG PZ Equity,2022-05-12,24.2067
RGG PZ Equity,2022-05-13,24.175
RGG PZ Equity,2022-05-16,24.2168
RGG PZ Equity,2022-05-17,24.3456
RGG PZ Equity,2022-05-18,24.2835
RGG PZ Equity,2022-05-19,24.2657
RGG PZ Equity,2022-05-20,24.3142
RGG PZ Equity,2022-05-23,24.2077
RGG PZ Equity,2022-05-24,24.0226
RGG PZ Equity,2022-05-25,24.1882
RGG PZ Equity,2022-05-26,24.1555
RGG PZ Equity,2022-05-27,24.208
RGG PZ Equity,2022-05-30,24.1289
RGG PZ Equity,2022-05-31,24.1832
RGG PZ Equity,2022-06-01,24.1047
RGG PZ Equity,2022-06-06,24.0996
RGG PZ Equity,2022-06-07,24.2014
RGG PZ Equity,2022-06-08,24.052
RGG PZ Equity,2022-06-09,24.1622
RGG PZ Equity,2022-06-10,24.0734
