name,date,CUR_MKT_CAP
SAMPO FH Equity,1999-01-04,1954.72
SAMPO FH Equity,1999-01-05,2097.6
SAMPO FH Equity,1999-01-07,2200.96
SAMPO FH Equity,1999-01-08,2310.4001
SAMPO FH Equity,1999-01-11,2322.5601
SAMPO FH Equity,1999-01-12,2452.0641
SAMPO FH Equity,1999-01-13,2371.2001
SAMPO FH Equity,1999-01-14,2243.5201
SAMPO FH Equity,1999-01-15,2292.1601
SAMPO FH Equity,1999-01-18,2378.4961
SAMPO FH Equity,1999-01-19,2389.4401
SAMPO FH Equity,1999-01-20,2383.3601
SAMPO FH Equity,1999-01-21,2346.2721
SAMPO FH Equity,1999-01-22,2310.4001
SAMPO FH Equity,1999-01-25,2231.3601
SAMPO FH Equity,1999-01-26,2188.8
SAMPO FH Equity,1999-01-27,2280.0001
SAMPO FH Equity,1999-01-28,2188.8
SAMPO FH Equity,1999-01-29,2267.8401
SAMPO FH Equity,1999-02-01,2219.2
SAMPO FH Equity,1999-02-02,2188.8
SAMPO FH Equity,1999-02-03,2158.4
SAMPO FH Equity,1999-02-04,2128.0
SAMPO FH Equity,1999-02-05,2097.6
SAMPO FH Equity,1999-02-08,2067.2
SAMPO FH Equity,1999-02-09,1957.76
SAMPO FH Equity,1999-02-10,1915.2
SAMPO FH Equity,1999-02-11,1915.2
SAMPO FH Equity,1999-02-12,1945.6
SAMPO FH Equity,1999-02-15,1915.2
SAMPO FH Equity,1999-02-16,1915.2
SAMPO FH Equity,1999-02-17,1909.12
SAMPO FH Equity,1999-02-18,1860.48
SAMPO FH Equity,1999-02-19,1884.8
SAMPO FH Equity,1999-02-22,1945.6
SAMPO FH Equity,1999-02-23,1915.2
SAMPO FH Equity,1999-02-24,1884.8
SAMPO FH Equity,1999-02-25,1817.92
SAMPO FH Equity,1999-02-26,1830.08
SAMPO FH Equity,1999-03-01,1848.32
SAMPO FH Equity,1999-03-02,1830.08
SAMPO FH Equity,1999-03-03,1738.88
SAMPO FH Equity,1999-03-04,1696.928
SAMPO FH Equity,1999-03-05,1719.424
SAMPO FH Equity,1999-03-08,1793.6
SAMPO FH Equity,1999-03-09,1805.76
SAMPO FH Equity,1999-03-10,1763.2
SAMPO FH Equity,1999-03-11,1848.32
SAMPO FH Equity,1999-03-12,1884.8
SAMPO FH Equity,1999-03-15,1842.24
SAMPO FH Equity,1999-03-16,1836.16
SAMPO FH Equity,1999-03-17,1830.08
SAMPO FH Equity,1999-03-18,1775.36
SAMPO FH Equity,1999-03-19,1793.6
SAMPO FH Equity,1999-03-22,1763.2
SAMPO FH Equity,1999-03-23,1702.4
SAMPO FH Equity,1999-03-24,1653.76
SAMPO FH Equity,1999-03-25,1720.64
SAMPO FH Equity,1999-03-26,1714.56
SAMPO FH Equity,1999-03-29,1678.08
SAMPO FH Equity,1999-03-30,1702.4
SAMPO FH Equity,1999-03-31,1763.2
SAMPO FH Equity,1999-04-06,1872.64
SAMPO FH Equity,1999-04-07,1853.184
SAMPO FH Equity,1999-04-08,1848.32
SAMPO FH Equity,1999-04-09,1817.92
SAMPO FH Equity,1999-04-12,1705.44
SAMPO FH Equity,1999-04-13,1709.696
SAMPO FH Equity,1999-04-14,1681.12
SAMPO FH Equity,1999-04-15,1681.12
SAMPO FH Equity,1999-04-16,1702.4
