name,date,CUR_MKT_CAP
SBRE LN Equity,2017-12-06,728.7987
SBRE LN Equity,2017-12-07,739.811
SBRE LN Equity,2017-12-08,712.2427
SBRE LN Equity,2017-12-11,707.6302
SBRE LN Equity,2017-12-12,709.8153
SBRE LN Equity,2017-12-13,709.4279
SBRE LN Equity,2017-12-14,712.1119
SBRE LN Equity,2017-12-15,724.6443
SBRE LN Equity,2017-12-18,748.3154
SBRE LN Equity,2017-12-19,738.2648
SBRE LN Equity,2017-12-20,775.4273
SBRE LN Equity,2017-12-21,760.4841
SBRE LN Equity,2017-12-22,762.0729
SBRE LN Equity,2017-12-27,754.7564
SBRE LN Equity,2017-12-28,778.0584
SBRE LN Equity,2017-12-29,764.9576
SBRE LN Equity,2018-01-02,761.2453
SBRE LN Equity,2018-01-03,773.1874
SBRE LN Equity,2018-01-04,774.0571
SBRE LN Equity,2018-01-05,796.5909
SBRE LN Equity,2018-01-08,789.5644
SBRE LN Equity,2018-01-09,802.8146
SBRE LN Equity,2018-01-10,813.7324
SBRE LN Equity,2018-01-11,832.6383
SBRE LN Equity,2018-01-12,815.1419
SBRE LN Equity,2018-01-15,782.1653
SBRE LN Equity,2018-01-16,792.9811
SBRE LN Equity,2018-01-17,788.4733
SBRE LN Equity,2018-01-18,785.8224
SBRE LN Equity,2018-01-19,793.1006
SBRE LN Equity,2018-01-22,795.1409
SBRE LN Equity,2018-01-23,796.8485
SBRE LN Equity,2018-01-24,801.848
SBRE LN Equity,2018-01-25,795.9942
SBRE LN Equity,2018-01-26,784.3878
SBRE LN Equity,2018-01-29,779.0131
SBRE LN Equity,2018-01-30,780.9088
SBRE LN Equity,2018-01-31,771.18
SBRE LN Equity,2018-02-01,766.9162
SBRE LN Equity,2018-02-02,752.1333
SBRE LN Equity,2018-02-05,742.2995
SBRE LN Equity,2018-02-06,732.1483
SBRE LN Equity,2018-02-07,737.7983
SBRE LN Equity,2018-02-08,737.6041
SBRE LN Equity,2018-02-09,733.6581
SBRE LN Equity,2018-02-12,740.0959
SBRE LN Equity,2018-02-13,729.6122
SBRE LN Equity,2018-02-14,734.4172
SBRE LN Equity,2018-02-15,734.8473
SBRE LN Equity,2018-02-16,739.3955
SBRE LN Equity,2018-02-19,762.0599
SBRE LN Equity,2018-02-20,757.2102
SBRE LN Equity,2018-02-21,747.8073
SBRE LN Equity,2018-02-22,755.3745
SBRE LN Equity,2018-02-23,761.2498
SBRE LN Equity,2018-02-26,754.5816
SBRE LN Equity,2018-02-27,755.9977
SBRE LN Equity,2018-02-28,759.3097
SBRE LN Equity,2018-03-01,747.9344
SBRE LN Equity,2018-03-02,755.0439
SBRE LN Equity,2018-03-05,757.7469
SBRE LN Equity,2018-03-06,758.7366
SBRE LN Equity,2018-03-07,769.8825
SBRE LN Equity,2018-03-08,759.7745
SBRE LN Equity,2018-03-09,767.4939
SBRE LN Equity,2018-03-12,769.4663
SBRE LN Equity,2018-03-13,775.1644
SBRE LN Equity,2018-03-14,776.3333
SBRE LN Equity,2018-03-15,772.6885
SBRE LN Equity,2018-03-16,788.2586
SBRE LN Equity,2018-03-19,796.3152
SBRE LN Equity,2018-03-20,813.9537
SBRE LN Equity,2018-03-21,794.0065
SBRE LN Equity,2018-03-22,687.8322
SBRE LN Equity,2018-03-23,706.8632
SBRE LN Equity,2018-03-26,722.8717
SBRE LN Equity,2018-03-27,713.3579
SBRE LN Equity,2018-03-28,708.3849
SBRE LN Equity,2018-03-29,701.3632
SBRE LN Equity,2018-04-03,690.3677
SBRE LN Equity,2018-04-04,672.9441
SBRE LN Equity,2018-04-05,700.2002
SBRE LN Equity,2018-04-06,691.2848
SBRE LN Equity,2018-04-09,708.586
SBRE LN Equity,2018-04-10,699.2755
SBRE LN Equity,2018-04-11,713.0958
SBRE LN Equity,2018-04-12,703.6217
SBRE LN Equity,2018-04-13,721.6213
SBRE LN Equity,2018-04-16,714.3412
SBRE LN Equity,2018-04-17,728.5666
SBRE LN Equity,2018-04-18,717.0097
SBRE LN Equity,2018-04-19,724.3086
SBRE LN Equity,2018-04-20,741.9737
SBRE LN Equity,2018-04-23,750.4369
SBRE LN Equity,2018-04-24,765.0184
SBRE LN Equity,2018-04-25,752.0915
SBRE LN Equity,2018-04-26,746.7013
SBRE LN Equity,2018-04-27,747.9463
SBRE LN Equity,2018-04-30,728.0059
SBRE LN Equity,2018-05-01,737.085
SBRE LN Equity,2018-05-02,747.2765
SBRE LN Equity,2018-05-03,744.9253
SBRE LN Equity,2018-05-04,738.8418
SBRE LN Equity,2018-05-08,744.0038
SBRE LN Equity,2018-05-09,754.8106
SBRE LN Equity,2018-05-10,764.9924
SBRE LN Equity,2018-05-11,773.4772
SBRE LN Equity,2018-05-14,762.7956
SBRE LN Equity,2018-05-15,777.5185
SBRE LN Equity,2018-05-16,785.5646
SBRE LN Equity,2018-05-17,781.3628
SBRE LN Equity,2018-05-18,783.7042
SBRE LN Equity,2018-05-21,768.9873
SBRE LN Equity,2018-05-22,769.3992
SBRE LN Equity,2018-05-23,769.9607
SBRE LN Equity,2018-05-24,755.957
SBRE LN Equity,2018-05-25,750.8728
SBRE LN Equity,2018-05-29,745.5915
SBRE LN Equity,2018-05-30,729.3278
SBRE LN Equity,2018-05-31,711.8606
SBRE LN Equity,2018-06-01,715.1736
SBRE LN Equity,2018-06-04,706.3204
SBRE LN Equity,2018-06-05,688.2335
SBRE LN Equity,2018-06-06,691.7876
SBRE LN Equity,2018-06-07,726.9919
SBRE LN Equity,2018-06-08,711.9044
SBRE LN Equity,2018-06-11,712.2455
SBRE LN Equity,2018-06-12,722.4244
SBRE LN Equity,2018-06-13,729.4127
SBRE LN Equity,2018-06-14,771.6606
SBRE LN Equity,2018-06-15,772.6583
SBRE LN Equity,2018-06-18,764.4524
SBRE LN Equity,2018-06-19,754.288
SBRE LN Equity,2018-06-20,768.5995
SBRE LN Equity,2018-06-21,761.8713
SBRE LN Equity,2018-06-22,756.6316
SBRE LN Equity,2018-06-25,754.5236
SBRE LN Equity,2018-06-26,765.9032
SBRE LN Equity,2018-06-27,765.7925
SBRE LN Equity,2018-06-28,774.4172
SBRE LN Equity,2018-06-29,765.5164
SBRE LN Equity,2018-07-02,780.6517
SBRE LN Equity,2018-07-03,765.6622
SBRE LN Equity,2018-07-04,773.5234
SBRE LN Equity,2018-07-05,774.2409
SBRE LN Equity,2018-07-06,750.9416
SBRE LN Equity,2018-07-09,756.5983
SBRE LN Equity,2018-07-10,762.3306
SBRE LN Equity,2018-07-11,742.975
SBRE LN Equity,2018-07-12,752.5509
SBRE LN Equity,2018-07-13,755.7262
SBRE LN Equity,2018-07-16,737.4487
SBRE LN Equity,2018-07-17,738.1255
SBRE LN Equity,2018-07-18,742.5481
SBRE LN Equity,2018-07-19,741.4384
SBRE LN Equity,2018-07-20,767.4878
SBRE LN Equity,2018-07-23,770.1833
SBRE LN Equity,2018-07-24,781.6222
SBRE LN Equity,2018-07-25,768.5211
SBRE LN Equity,2018-07-26,773.9754
SBRE LN Equity,2018-07-27,773.3048
