name,date,CUR_MKT_CAP
SFAB SS Equity,2021-12-01,117.2619
SFAB SS Equity,2021-12-02,115.3903
SFAB SS Equity,2021-12-03,126.8165
SFAB SS Equity,2021-12-06,121.3164
SFAB SS Equity,2021-12-07,120.337
SFAB SS Equity,2021-12-08,119.9725
SFAB SS Equity,2021-12-09,120.9101
SFAB SS Equity,2021-12-10,119.2175
SFAB SS Equity,2021-12-13,112.0152
SFAB SS Equity,2021-12-14,109.5384
SFAB SS Equity,2021-12-15,107.6874
SFAB SS Equity,2021-12-16,111.2732
SFAB SS Equity,2021-12-17,109.6254
SFAB SS Equity,2021-12-20,108.1406
SFAB SS Equity,2021-12-21,106.2187
SFAB SS Equity,2021-12-22,105.9314
SFAB SS Equity,2021-12-23,107.7434
SFAB SS Equity,2021-12-27,111.1181
SFAB SS Equity,2021-12-28,112.4619
SFAB SS Equity,2021-12-29,111.5121
SFAB SS Equity,2021-12-30,114.6642
SFAB SS Equity,2022-01-03,112.6951
SFAB SS Equity,2022-01-04,111.9645
SFAB SS Equity,2022-01-05,111.919
SFAB SS Equity,2022-01-07,111.1672
SFAB SS Equity,2022-01-10,109.7406
SFAB SS Equity,2022-01-11,111.3761
SFAB SS Equity,2022-01-12,110.5298
SFAB SS Equity,2022-01-13,109.4442
SFAB SS Equity,2022-01-14,110.9635
SFAB SS Equity,2022-01-17,110.8366
SFAB SS Equity,2022-01-18,111.0156
SFAB SS Equity,2022-01-19,108.6231
SFAB SS Equity,2022-01-20,105.0375
SFAB SS Equity,2022-01-21,105.483
SFAB SS Equity,2022-01-24,99.4465
SFAB SS Equity,2022-01-25,100.7059
SFAB SS Equity,2022-01-26,103.2295
SFAB SS Equity,2022-01-27,101.3474
SFAB SS Equity,2022-01-28,102.2749
SFAB SS Equity,2022-01-31,101.9057
SFAB SS Equity,2022-02-01,103.2971
SFAB SS Equity,2022-02-02,105.3181
SFAB SS Equity,2022-02-03,105.3582
SFAB SS Equity,2022-02-04,104.4674
SFAB SS Equity,2022-02-07,104.336
SFAB SS Equity,2022-02-08,104.0909
SFAB SS Equity,2022-02-09,101.0021
SFAB SS Equity,2022-02-10,100.2269
SFAB SS Equity,2022-02-11,98.2103
SFAB SS Equity,2022-02-14,94.3088
SFAB SS Equity,2022-02-15,95.0816
SFAB SS Equity,2022-02-16,94.2084
SFAB SS Equity,2022-02-17,93.1318
SFAB SS Equity,2022-02-18,90.5469
SFAB SS Equity,2022-02-21,91.0352
SFAB SS Equity,2022-02-22,89.91
SFAB SS Equity,2022-02-23,88.3838
SFAB SS Equity,2022-02-24,87.5258
SFAB SS Equity,2022-02-25,89.3633
SFAB SS Equity,2022-02-28,91.2367
SFAB SS Equity,2022-03-01,88.7317
SFAB SS Equity,2022-03-02,87.5626
SFAB SS Equity,2022-03-03,83.4193
SFAB SS Equity,2022-03-04,81.1625
SFAB SS Equity,2022-03-07,82.5623
SFAB SS Equity,2022-03-08,82.4791
SFAB SS Equity,2022-03-09,84.6565
SFAB SS Equity,2022-03-10,84.4617
SFAB SS Equity,2022-03-11,85.1035
SFAB SS Equity,2022-03-14,86.7719
SFAB SS Equity,2022-03-15,86.4645
SFAB SS Equity,2022-03-16,88.6034
SFAB SS Equity,2022-03-17,90.0564
SFAB SS Equity,2022-03-18,89.7854
SFAB SS Equity,2022-03-21,91.5181
SFAB SS Equity,2022-03-22,92.9579
SFAB SS Equity,2022-03-23,93.1468
SFAB SS Equity,2022-03-24,91.0805
SFAB SS Equity,2022-03-25,92.4729
SFAB SS Equity,2022-03-28,91.9797
SFAB SS Equity,2022-03-29,92.8541
SFAB SS Equity,2022-03-30,96.0956
SFAB SS Equity,2022-03-31,94.1768
SFAB SS Equity,2022-04-01,96.273
SFAB SS Equity,2022-04-04,93.4314
SFAB SS Equity,2022-04-05,93.4201
SFAB SS Equity,2022-04-06,93.2783
SFAB SS Equity,2022-04-07,93.4244
SFAB SS Equity,2022-04-08,94.9126
SFAB SS Equity,2022-04-11,93.3896
SFAB SS Equity,2022-04-12,93.2599
SFAB SS Equity,2022-04-13,93.3437
SFAB SS Equity,2022-04-14,92.7902
SFAB SS Equity,2022-04-19,93.286
SFAB SS Equity,2022-04-20,94.2117
SFAB SS Equity,2022-04-21,93.1739
SFAB SS Equity,2022-04-22,93.4285
SFAB SS Equity,2022-04-25,91.3281
SFAB SS Equity,2022-04-26,91.9843
SFAB SS Equity,2022-04-27,87.3009
SFAB SS Equity,2022-04-28,88.1491
SFAB SS Equity,2022-04-29,92.5053
SFAB SS Equity,2022-05-02,87.6633
SFAB SS Equity,2022-05-03,90.943
SFAB SS Equity,2022-05-04,91.3466
SFAB SS Equity,2022-05-05,87.316
SFAB SS Equity,2022-05-06,88.3618
SFAB SS Equity,2022-05-09,85.3453
SFAB SS Equity,2022-05-10,86.3537
SFAB SS Equity,2022-05-11,86.2969
SFAB SS Equity,2022-05-12,87.2185
SFAB SS Equity,2022-05-13,88.2013
SFAB SS Equity,2022-05-16,87.602
SFAB SS Equity,2022-05-17,88.7997
SFAB SS Equity,2022-05-18,87.6825
SFAB SS Equity,2022-05-19,87.1344
SFAB SS Equity,2022-05-20,87.0924
SFAB SS Equity,2022-05-23,84.7742
SFAB SS Equity,2022-05-24,81.1284
SFAB SS Equity,2022-05-25,78.8005
SFAB SS Equity,2022-05-27,79.6897
SFAB SS Equity,2022-05-30,84.0595
SFAB SS Equity,2022-05-31,81.6085
SFAB SS Equity,2022-06-01,81.0829
SFAB SS Equity,2022-06-02,81.0516
SFAB SS Equity,2022-06-03,83.1226
SFAB SS Equity,2022-06-07,80.3487
SFAB SS Equity,2022-06-08,80.4938
SFAB SS Equity,2022-06-09,80.0919
SFAB SS Equity,2022-06-10,76.8391
SFAB SS Equity,2022-06-13,76.1388
SFAB SS Equity,2022-06-14,75.1027
SFAB SS Equity,2022-06-15,75.4897
SFAB SS Equity,2022-06-16,73.7734
SFAB SS Equity,2022-06-17,73.543
SFAB SS Equity,2022-06-20,73.9166
SFAB SS Equity,2022-06-21,73.9578
SFAB SS Equity,2022-06-22,71.6632
SFAB SS Equity,2022-06-23,71.4975
SFAB SS Equity,2022-06-27,76.186
SFAB SS Equity,2022-06-28,76.081
SFAB SS Equity,2022-06-29,77.4029
SFAB SS Equity,2022-06-30,74.535
SFAB SS Equity,2022-07-01,73.795
SFAB SS Equity,2022-07-04,75.1865
SFAB SS Equity,2022-07-05,73.2271
SFAB SS Equity,2022-07-06,75.163
SFAB SS Equity,2022-07-07,75.6679
SFAB SS Equity,2022-07-08,76.6472
SFAB SS Equity,2022-07-11,79.325
SFAB SS Equity,2022-07-12,79.8937
SFAB SS Equity,2022-07-13,76.8646
SFAB SS Equity,2022-07-14,74.9549
SFAB SS Equity,2022-07-15,76.0125
SFAB SS Equity,2022-07-18,76.1541
SFAB SS Equity,2022-07-19,75.251
SFAB SS Equity,2022-07-20,75.2913
SFAB SS Equity,2022-07-21,88.5525
SFAB SS Equity,2022-07-22,91.6255
SFAB SS Equity,2022-07-25,95.7223
SFAB SS Equity,2022-07-26,95.3401
SFAB SS Equity,2022-07-27,91.1999
SFAB SS Equity,2022-07-28,92.1712
SFAB SS Equity,2022-07-29,93.9842
SFAB SS Equity,2022-08-01,92.265
SFAB SS Equity,2022-08-02,92.932
SFAB SS Equity,2022-08-03,92.8401
SFAB SS Equity,2022-08-04,93.6104
SFAB SS Equity,2022-08-05,91.0082
SFAB SS Equity,2022-08-08,91.2018
SFAB SS Equity,2022-08-09,91.8392
SFAB SS Equity,2022-08-10,97.2556
SFAB SS Equity,2022-08-11,99.8203
SFAB SS Equity,2022-08-12,100.1334
SFAB SS Equity,2022-08-15,94.3936
SFAB SS Equity,2022-08-16,93.4125
SFAB SS Equity,2022-08-17,91.0005
SFAB SS Equity,2022-08-18,94.0977
SFAB SS Equity,2022-08-19,92.8926
SFAB SS Equity,2022-08-22,88.4202
SFAB SS Equity,2022-08-23,90.2705
SFAB SS Equity,2022-08-24,89.8162
SFAB SS Equity,2022-08-25,90.67
SFAB SS Equity,2022-08-26,88.3651
SFAB SS Equity,2022-08-29,88.6599
SFAB SS Equity,2022-08-30,87.0044
SFAB SS Equity,2022-08-31,86.7533
SFAB SS Equity,2022-09-01,83.788
SFAB SS Equity,2022-09-02,86.2611
SFAB SS Equity,2022-09-05,84.0038
SFAB SS Equity,2022-09-06,84.1407
