name,date,CUR_MKT_CAP
SLHN SW Equity,1999-01-04,7715.2591
SLHN SW Equity,1999-01-05,7519.7365
SLHN SW Equity,1999-01-06,7555.957
SLHN SW Equity,1999-01-07,7330.7974
SLHN SW Equity,1999-01-08,7127.7512
SLHN SW Equity,1999-01-11,6931.5096
SLHN SW Equity,1999-01-12,7028.3823
SLHN SW Equity,1999-01-13,7004.681
SLHN SW Equity,1999-01-14,6979.789
SLHN SW Equity,1999-01-15,7040.9673
SLHN SW Equity,1999-01-18,7097.7255
SLHN SW Equity,1999-01-19,7190.5387
SLHN SW Equity,1999-01-20,7498.2791
SLHN SW Equity,1999-01-21,7294.437
SLHN SW Equity,1999-01-22,7612.5569
SLHN SW Equity,1999-01-25,7558.6617
SLHN SW Equity,1999-01-26,7465.5385
SLHN SW Equity,1999-01-27,7620.5944
SLHN SW Equity,1999-01-28,7811.8
SLHN SW Equity,1999-01-29,7596.5763
SLHN SW Equity,1999-02-01,7715.1997
SLHN SW Equity,1999-02-02,7481.8464
SLHN SW Equity,1999-02-03,7401.9592
SLHN SW Equity,1999-02-04,7418.8838
SLHN SW Equity,1999-02-05,7385.9155
SLHN SW Equity,1999-02-08,7351.1719
SLHN SW Equity,1999-02-09,7184.1639
SLHN SW Equity,1999-02-10,7345.8847
SLHN SW Equity,1999-02-11,7334.3261
SLHN SW Equity,1999-02-12,7453.0079
SLHN SW Equity,1999-02-15,7374.1967
SLHN SW Equity,1999-02-16,7304.6241
SLHN SW Equity,1999-02-17,7482.8489
SLHN SW Equity,1999-02-18,7442.9939
SLHN SW Equity,1999-02-19,6893.6403
SLHN SW Equity,1999-02-22,7023.1109
SLHN SW Equity,1999-02-23,7142.3581
SLHN SW Equity,1999-02-24,6992.3294
SLHN SW Equity,1999-02-25,6777.6009
SLHN SW Equity,1999-02-26,6669.9489
SLHN SW Equity,1999-03-01,6349.8521
SLHN SW Equity,1999-03-02,6473.5623
SLHN SW Equity,1999-03-03,6574.4265
SLHN SW Equity,1999-03-04,6885.579
SLHN SW Equity,1999-03-05,6886.0042
SLHN SW Equity,1999-03-08,6944.1256
SLHN SW Equity,1999-03-09,7061.5664
SLHN SW Equity,1999-03-10,7018.0138
SLHN SW Equity,1999-03-11,7054.474
SLHN SW Equity,1999-03-12,6978.4086
SLHN SW Equity,1999-03-15,6920.9086
SLHN SW Equity,1999-03-16,7029.6133
SLHN SW Equity,1999-03-17,7317.8221
SLHN SW Equity,1999-03-18,7308.2816
SLHN SW Equity,1999-03-19,7342.5444
SLHN SW Equity,1999-03-22,7068.3
SLHN SW Equity,1999-03-23,6930.5338
SLHN SW Equity,1999-03-24,6942.2352
SLHN SW Equity,1999-03-25,7244.9861
SLHN SW Equity,1999-03-26,7000.3464
SLHN SW Equity,1999-03-29,6957.2638
SLHN SW Equity,1999-03-30,6850.5013
SLHN SW Equity,1999-03-31,6938.4874
SLHN SW Equity,1999-04-01,7031.7724
SLHN SW Equity,1999-04-06,6926.7398
SLHN SW Equity,1999-04-07,6998.386
SLHN SW Equity,1999-04-08,7008.7598
SLHN SW Equity,1999-04-09,7173.2896
SLHN SW Equity,1999-04-12,7110.286
SLHN SW Equity,1999-04-13,7151.2092
SLHN SW Equity,1999-04-14,7145.5266
SLHN SW Equity,1999-04-15,7148.5815
SLHN SW Equity,1999-04-16,7078.1298
SLHN SW Equity,1999-04-19,7190.6555
SLHN SW Equity,1999-04-20,7076.8831
