name,date,CUR_MKT_CAP
STB NO Equity,1999-01-04,2640.3677
STB NO Equity,1999-01-05,2698.0624
STB NO Equity,1999-01-06,2690.3264
STB NO Equity,1999-01-07,2567.7067
STB NO Equity,1999-01-08,2776.1628
STB NO Equity,1999-01-11,2754.4001
STB NO Equity,1999-01-12,2749.5198
STB NO Equity,1999-01-13,2527.6243
STB NO Equity,1999-01-14,2549.0075
STB NO Equity,1999-01-15,2607.3407
STB NO Equity,1999-01-18,2659.3475
STB NO Equity,1999-01-19,2661.0845
STB NO Equity,1999-01-20,2604.6926
STB NO Equity,1999-01-21,2552.7035
STB NO Equity,1999-01-22,2464.4363
STB NO Equity,1999-01-25,2515.8185
STB NO Equity,1999-01-26,2556.3271
STB NO Equity,1999-01-27,2621.1476
STB NO Equity,1999-01-28,2599.8868
STB NO Equity,1999-01-29,2644.2385
STB NO Equity,1999-02-01,2641.8028
STB NO Equity,1999-02-02,2540.5299
STB NO Equity,1999-02-03,2530.0783
STB NO Equity,1999-02-04,2507.3791
STB NO Equity,1999-02-05,2595.195
STB NO Equity,1999-02-08,2685.9135
STB NO Equity,1999-02-09,2660.2491
STB NO Equity,1999-02-10,2701.2357
STB NO Equity,1999-02-11,2620.7532
STB NO Equity,1999-02-12,2609.5527
STB NO Equity,1999-02-15,2630.9549
STB NO Equity,1999-02-16,2591.5077
STB NO Equity,1999-02-17,2470.5144
STB NO Equity,1999-02-18,2496.6876
STB NO Equity,1999-02-19,2494.1813
STB NO Equity,1999-02-22,2558.4404
STB NO Equity,1999-02-23,2718.6702
STB NO Equity,1999-02-24,2692.1194
STB NO Equity,1999-02-25,2641.3886
STB NO Equity,1999-02-26,2659.869
STB NO Equity,1999-03-01,1966.0516
STB NO Equity,1999-03-02,1939.1997
STB NO Equity,1999-03-03,1955.449
STB NO Equity,1999-03-04,1934.8198
STB NO Equity,1999-03-05,1970.8767
STB NO Equity,1999-03-08,1925.7873
STB NO Equity,1999-03-09,1913.9075
STB NO Equity,1999-03-10,1913.0704
STB NO Equity,1999-03-11,1928.8692
STB NO Equity,1999-03-12,1918.1385
STB NO Equity,1999-03-15,1895.9015
STB NO Equity,1999-03-16,1913.1042
STB NO Equity,1999-03-17,1917.5425
STB NO Equity,1999-03-18,1964.2517
STB NO Equity,1999-03-19,1954.603
STB NO Equity,1999-03-22,1970.3752
STB NO Equity,1999-03-23,1937.8763
STB NO Equity,1999-03-24,1887.0988
STB NO Equity,1999-03-25,1887.2547
STB NO Equity,1999-03-26,1866.4093
STB NO Equity,1999-03-29,1926.0497
STB NO Equity,1999-03-30,1889.146
STB NO Equity,1999-03-31,1893.1407
STB NO Equity,1999-04-06,1894.2664
STB NO Equity,1999-04-07,1921.3799
STB NO Equity,1999-04-08,1927.1148
STB NO Equity,1999-04-09,1946.7061
STB NO Equity,1999-04-12,1917.6575
STB NO Equity,1999-04-13,1920.2763
STB NO Equity,1999-04-14,1928.6181
STB NO Equity,1999-04-15,1968.7781
STB NO Equity,1999-04-16,1954.4427
STB NO Equity,1999-04-19,1993.5007
STB NO Equity,1999-04-20,1958.0522
STB NO Equity,1999-04-21,1979.0774
STB NO Equity,1999-04-22,1977.6645
STB NO Equity,1999-04-23,1974.4605
STB NO Equity,1999-04-26,1992.3221
STB NO Equity,1999-04-27,1954.4087
STB NO Equity,1999-04-28,1939.9934
STB NO Equity,1999-04-29,1893.0654
STB NO Equity,1999-04-30,1897.5695
STB NO Equity,1999-05-03,1916.1917
STB NO Equity,1999-05-04,1963.1472
STB NO Equity,1999-05-05,1979.1989
STB NO Equity,1999-05-06,1974.7367
STB NO Equity,1999-05-07,1953.8431
STB NO Equity,1999-05-10,1921.5691
STB NO Equity,1999-05-11,1971.036
STB NO Equity,1999-05-12,1905.4452
STB NO Equity,1999-05-14,1806.2536
STB NO Equity,1999-05-18,1870.9452
STB NO Equity,1999-05-19,1830.1048
STB NO Equity,1999-05-20,1798.1089
STB NO Equity,1999-05-21,1783.7755
STB NO Equity,1999-05-25,1762.7161
STB NO Equity,1999-05-26,1765.712
STB NO Equity,1999-05-27,1760.9951
STB NO Equity,1999-05-28,1783.606
STB NO Equity,1999-05-31,1815.6293
STB NO Equity,1999-06-01,1834.6411
STB NO Equity,1999-06-02,1801.6878
STB NO Equity,1999-06-03,1732.1551
STB NO Equity,1999-06-04,1752.2738
STB NO Equity,1999-06-07,1759.0207
STB NO Equity,1999-06-08,1741.3373
STB NO Equity,1999-06-09,1754.1545
STB NO Equity,1999-06-10,1757.9878
STB NO Equity,1999-06-11,1756.6069
STB NO Equity,1999-06-14,1777.1836
STB NO Equity,1999-06-15,1778.9893
STB NO Equity,1999-06-16,1783.9966
STB NO Equity,1999-06-17,1770.1581
STB NO Equity,1999-06-18,1770.616
STB NO Equity,1999-06-21,1763.9694
STB NO Equity,1999-06-22,1863.7617
STB NO Equity,1999-06-23,1881.5518
STB NO Equity,1999-06-24,1839.242
STB NO Equity,1999-06-25,1836.3994
STB NO Equity,1999-06-28,1837.1315
STB NO Equity,1999-06-29,1844.3075
STB NO Equity,1999-06-30,1811.0079
STB NO Equity,1999-07-01,1850.8122
STB NO Equity,1999-07-02,1851.3795
STB NO Equity,1999-07-05,1870.9769
STB NO Equity,1999-07-06,1853.3875
STB NO Equity,1999-07-07,1867.1859
STB NO Equity,1999-07-08,1897.9563
STB NO Equity,1999-07-09,1982.8782
STB NO Equity,1999-07-12,1946.5514
STB NO Equity,1999-07-13,1868.4722
STB NO Equity,1999-07-14,1869.1474
STB NO Equity,1999-07-15,1904.7377
STB NO Equity,1999-07-16,1943.3531
STB NO Equity,1999-07-19,1953.4096
STB NO Equity,1999-07-20,1926.9509
STB NO Equity,1999-07-21,1889.5568
STB NO Equity,1999-07-22,1872.8155
STB NO Equity,1999-07-23,1862.4837
STB NO Equity,1999-07-26,1831.5154
STB NO Equity,1999-07-27,1844.7118
STB NO Equity,1999-07-28,1854.8449
STB NO Equity,1999-07-29,1806.623
STB NO Equity,1999-07-30,1798.9028
STB NO Equity,1999-08-02,1841.437
STB NO Equity,1999-08-03,1839.6564
STB NO Equity,1999-08-04,1816.5426
STB NO Equity,1999-08-05,1750.7024
STB NO Equity,1999-08-06,1752.5535
STB NO Equity,1999-08-09,1789.0342
STB NO Equity,1999-08-10,1740.501
STB NO Equity,1999-08-11,1714.8879
STB NO Equity,1999-08-12,1700.2929
STB NO Equity,1999-08-13,1730.7466
STB NO Equity,1999-08-16,1751.4668
STB NO Equity,1999-08-17,1772.371
