name,date,CUR_MKT_CAP
TBK RO Equity,2017-12-15,7.2948
TBK RO Equity,2017-12-18,7.5018
TBK RO Equity,2017-12-19,7.4937
TBK RO Equity,2017-12-20,7.483
TBK RO Equity,2017-12-21,7.5517
TBK RO Equity,2017-12-22,7.6044
TBK RO Equity,2017-12-27,7.4716
TBK RO Equity,2017-12-28,7.4933
TBK RO Equity,2017-12-29,7.337
TBK RO Equity,2018-01-03,7.7562
TBK RO Equity,2018-01-04,7.2323
TBK RO Equity,2018-01-05,7.2365
TBK RO Equity,2018-01-08,7.1702
TBK RO Equity,2018-01-09,7.1527
TBK RO Equity,2018-01-10,7.1663
TBK RO Equity,2018-01-11,7.1352
TBK RO Equity,2018-01-12,7.1218
TBK RO Equity,2018-01-15,7.1163
TBK RO Equity,2018-01-16,7.0067
TBK RO Equity,2018-01-17,6.9863
TBK RO Equity,2018-01-18,6.9263
TBK RO Equity,2018-01-19,6.8106
TBK RO Equity,2018-01-22,6.855
TBK RO Equity,2018-01-23,7.017
TBK RO Equity,2018-01-25,6.8761
TBK RO Equity,2018-01-26,6.9683
TBK RO Equity,2018-01-29,6.9047
TBK RO Equity,2018-01-30,6.8515
TBK RO Equity,2018-01-31,6.7967
TBK RO Equity,2018-02-01,6.8487
TBK RO Equity,2018-02-02,6.8028
TBK RO Equity,2018-02-05,6.7407
TBK RO Equity,2018-02-06,6.5861
TBK RO Equity,2018-02-07,6.5249
TBK RO Equity,2018-02-08,6.5266
TBK RO Equity,2018-02-09,6.4484
TBK RO Equity,2018-02-12,6.5531
TBK RO Equity,2018-02-13,6.4363
TBK RO Equity,2018-02-14,6.571
TBK RO Equity,2018-02-15,6.5405
TBK RO Equity,2018-02-16,6.7058
TBK RO Equity,2018-02-19,6.7025
TBK RO Equity,2018-02-20,6.5954
TBK RO Equity,2018-02-21,6.6515
TBK RO Equity,2018-02-22,6.7392
TBK RO Equity,2018-02-23,6.6342
TBK RO Equity,2018-02-26,6.7125
TBK RO Equity,2018-02-27,6.7588
TBK RO Equity,2018-02-28,6.7396
TBK RO Equity,2018-03-01,6.709
TBK RO Equity,2018-03-02,6.5843
TBK RO Equity,2018-03-05,6.5969
TBK RO Equity,2018-03-06,6.6518
TBK RO Equity,2018-03-07,6.6789
TBK RO Equity,2018-03-08,6.7092
TBK RO Equity,2018-03-09,6.7353
TBK RO Equity,2018-03-12,6.811
TBK RO Equity,2018-03-13,6.9173
TBK RO Equity,2018-03-14,6.8641
TBK RO Equity,2018-03-15,6.856
TBK RO Equity,2018-03-16,6.8563
TBK RO Equity,2018-03-19,6.9105
TBK RO Equity,2018-03-20,6.9103
TBK RO Equity,2018-03-21,6.8814
TBK RO Equity,2018-03-22,6.8816
TBK RO Equity,2018-03-23,6.8914
TBK RO Equity,2018-03-26,6.9328
TBK RO Equity,2018-03-27,6.9025
TBK RO Equity,2018-03-28,6.9037
TBK RO Equity,2018-03-29,6.8947
TBK RO Equity,2018-03-30,6.9015
TBK RO Equity,2018-04-02,6.8979
TBK RO Equity,2018-04-03,6.8668
TBK RO Equity,2018-04-04,6.862
TBK RO Equity,2018-04-05,6.8911
TBK RO Equity,2018-04-10,6.9243
TBK RO Equity,2018-04-11,6.863
TBK RO Equity,2018-04-12,6.8125
TBK RO Equity,2018-04-13,6.9181
TBK RO Equity,2018-04-16,6.9209
TBK RO Equity,2018-04-17,6.8606
TBK RO Equity,2018-04-18,6.8768
TBK RO Equity,2018-04-19,6.871
TBK RO Equity,2018-04-20,6.8697
TBK RO Equity,2018-04-23,6.8958
TBK RO Equity,2018-04-24,6.9046
TBK RO Equity,2018-04-25,6.8883
TBK RO Equity,2018-04-26,6.8966
TBK RO Equity,2018-04-27,6.8606
TBK RO Equity,2018-04-30,6.8931
TBK RO Equity,2018-05-02,6.8633
TBK RO Equity,2018-05-03,6.8573
TBK RO Equity,2018-05-04,6.8158
TBK RO Equity,2018-05-07,6.8181
TBK RO Equity,2018-05-08,6.8256
TBK RO Equity,2018-05-09,6.8613
TBK RO Equity,2018-05-10,6.4641
TBK RO Equity,2018-05-11,6.5505
TBK RO Equity,2018-05-14,6.4548
TBK RO Equity,2018-05-15,6.4722
TBK RO Equity,2018-05-16,6.4471
TBK RO Equity,2018-05-17,6.4725
TBK RO Equity,2018-05-18,6.4774
TBK RO Equity,2018-05-21,6.4877
TBK RO Equity,2018-05-22,6.4564
TBK RO Equity,2018-05-23,6.4272
TBK RO Equity,2018-05-24,6.4531
TBK RO Equity,2018-05-25,6.4556
TBK RO Equity,2018-05-29,6.4314
TBK RO Equity,2018-05-30,6.3987
TBK RO Equity,2018-05-31,6.3881
TBK RO Equity,2018-06-04,6.3897
TBK RO Equity,2018-06-05,6.3964
TBK RO Equity,2018-06-06,6.391
TBK RO Equity,2018-06-07,6.3946
TBK RO Equity,2018-06-08,6.3909
TBK RO Equity,2018-06-11,6.3833
TBK RO Equity,2018-06-12,6.3544
TBK RO Equity,2018-06-13,6.3771
TBK RO Equity,2018-06-14,6.3754
TBK RO Equity,2018-06-15,6.3746
TBK RO Equity,2018-06-18,6.3724
TBK RO Equity,2018-06-19,6.347
TBK RO Equity,2018-06-20,6.3141
TBK RO Equity,2018-06-21,6.3422
TBK RO Equity,2018-06-22,6.3262
TBK RO Equity,2018-06-25,6.3207
TBK RO Equity,2018-06-26,6.329
TBK RO Equity,2018-06-27,6.3397
TBK RO Equity,2018-06-28,6.3313
TBK RO Equity,2018-06-29,6.3239
TBK RO Equity,2018-07-02,6.2745
TBK RO Equity,2018-07-03,6.2759
TBK RO Equity,2018-07-04,6.2758
TBK RO Equity,2018-07-05,6.273
TBK RO Equity,2018-07-06,6.3037
TBK RO Equity,2018-07-09,6.2765
TBK RO Equity,2018-07-10,6.2786
TBK RO Equity,2018-07-11,6.2764
TBK RO Equity,2018-07-12,6.2791
TBK RO Equity,2018-07-13,6.2866
TBK RO Equity,2018-07-16,6.2796
TBK RO Equity,2018-07-17,6.317
TBK RO Equity,2018-07-18,6.3118
TBK RO Equity,2018-07-19,6.31
TBK RO Equity,2018-07-20,6.3099
TBK RO Equity,2018-07-23,6.1842
TBK RO Equity,2018-07-24,6.3456
TBK RO Equity,2018-07-25,6.3489
TBK RO Equity,2018-07-26,6.3613
TBK RO Equity,2018-07-27,6.4056
TBK RO Equity,2018-07-30,6.4047
TBK RO Equity,2018-07-31,6.3803
TBK RO Equity,2018-08-01,6.3829
TBK RO Equity,2018-08-02,6.3827
TBK RO Equity,2018-08-03,6.3591
TBK RO Equity,2018-08-06,6.3821
TBK RO Equity,2018-08-07,6.3516
TBK RO Equity,2018-08-08,6.3543
TBK RO Equity,2018-08-09,6.3636
TBK RO Equity,2018-08-10,6.3617
TBK RO Equity,2018-08-13,6.359
TBK RO Equity,2018-08-14,6.391
TBK RO Equity,2018-08-16,6.4644
TBK RO Equity,2018-08-17,6.4457
TBK RO Equity,2018-08-20,6.3981
TBK RO Equity,2018-08-21,6.4083
TBK RO Equity,2018-08-22,6.3972
TBK RO Equity,2018-08-23,6.443
TBK RO Equity,2018-08-24,6.4438
TBK RO Equity,2018-08-27,6.4326
TBK RO Equity,2018-08-28,6.4345
TBK RO Equity,2018-08-29,6.4518
