name,date,CUR_MKT_CAP
TLX GR Equity,2012-10-01,4573.0501
TLX GR Equity,2012-10-02,4630.5256
TLX GR Equity,2012-10-03,4685.5021
TLX GR Equity,2012-10-04,4877.9192
TLX GR Equity,2012-10-05,4825.4416
TLX GR Equity,2012-10-08,4857.9277
TLX GR Equity,2012-10-09,4856.6783
TLX GR Equity,2012-10-10,4913.5699
TLX GR Equity,2012-10-11,5080.3029
TLX GR Equity,2012-10-12,5051.2509
TLX GR Equity,2012-10-15,5106.8286
TLX GR Equity,2012-10-16,5149.7749
TLX GR Equity,2012-10-17,5067.6716
TLX GR Equity,2012-10-18,5048.7247
TLX GR Equity,2012-10-19,5001.9889
TLX GR Equity,2012-10-22,4984.3051
TLX GR Equity,2012-10-23,4922.4118
TLX GR Equity,2012-10-24,4913.5699
TLX GR Equity,2012-10-25,4948.9375
TLX GR Equity,2012-10-26,4932.5168
TLX GR Equity,2012-10-29,4881.9917
TLX GR Equity,2012-10-30,4905.9911
TLX GR Equity,2012-10-31,4935.0431
TLX GR Equity,2012-11-01,4941.3587
TLX GR Equity,2012-11-02,4857.9922
TLX GR Equity,2012-11-05,4861.7816
TLX GR Equity,2012-11-06,5007.0414
TLX GR Equity,2012-11-07,5063.8822
TLX GR Equity,2012-11-08,5013.3571
TLX GR Equity,2012-11-09,4991.8839
TLX GR Equity,2012-11-12,5175.0375
TLX GR Equity,2012-11-13,5191.4582
TLX GR Equity,2012-11-14,5085.3554
TLX GR Equity,2012-11-15,5014.6202
TLX GR Equity,2012-11-16,4931.2537
TLX GR Equity,2012-11-19,4932.5168
TLX GR Equity,2012-11-20,4903.4649
TLX GR Equity,2012-11-21,4921.1487
TLX GR Equity,2012-11-22,4928.7274
TLX GR Equity,2012-11-23,4960.3057
TLX GR Equity,2012-11-26,4970.4107
TLX GR Equity,2012-11-27,5043.6721
TLX GR Equity,2012-11-28,5005.7783
TLX GR Equity,2012-11-29,5036.0934
TLX GR Equity,2012-11-30,5057.5666
TLX GR Equity,2012-12-03,5065.1453
TLX GR Equity,2012-12-04,5109.3548
TLX GR Equity,2012-12-05,5229.352
TLX GR Equity,2012-12-06,5201.5632
TLX GR Equity,2012-12-07,5326.6129
TLX GR Equity,2012-12-10,5377.1381
TLX GR Equity,2012-12-11,5378.4012
TLX GR Equity,2012-12-12,5260.9302
TLX GR Equity,2012-12-13,5225.5626
TLX GR Equity,2012-12-14,5339.2442
TLX GR Equity,2012-12-17,5364.5068
TLX GR Equity,2012-12-18,5380.9275
TLX GR Equity,2012-12-19,5401.1375
TLX GR Equity,2012-12-20,5418.8213
TLX GR Equity,2012-12-21,5398.6112
TLX GR Equity,2012-12-27,5495.8721
TLX GR Equity,2012-12-28,5426.4001
TLX GR Equity,2013-01-02,5550.1867
TLX GR Equity,2013-01-03,5529.9766
TLX GR Equity,2013-01-04,5679.0258
TLX GR Equity,2013-01-07,5686.6045
TLX GR Equity,2013-01-08,5633.5532
TLX GR Equity,2013-01-09,5792.7073
TLX GR Equity,2013-01-10,5715.6565
TLX GR Equity,2013-01-11,5676.4995
