name,date,CUR_MKT_CAP
TOP DC Equity,1999-01-04,673.5935
TOP DC Equity,1999-01-05,671.0636
TOP DC Equity,1999-01-06,672.0911
TOP DC Equity,1999-01-07,671.4866
TOP DC Equity,1999-01-08,672.0817
TOP DC Equity,1999-01-11,671.4428
TOP DC Equity,1999-01-12,676.7667
TOP DC Equity,1999-01-13,668.3612
TOP DC Equity,1999-01-14,668.9347
TOP DC Equity,1999-01-15,671.4423
TOP DC Equity,1999-01-18,671.5327
TOP DC Equity,1999-01-19,674.6057
TOP DC Equity,1999-01-20,673.9068
TOP DC Equity,1999-01-21,677.2519
TOP DC Equity,1999-01-22,674.5788
TOP DC Equity,1999-01-25,671.4243
TOP DC Equity,1999-01-26,680.0161
TOP DC Equity,1999-01-27,679.8534
TOP DC Equity,1999-01-28,690.0841
TOP DC Equity,1999-01-29,727.2277
TOP DC Equity,1999-02-01,717.5925
TOP DC Equity,1999-02-02,706.2905
TOP DC Equity,1999-02-03,706.2626
TOP DC Equity,1999-02-04,709.022
TOP DC Equity,1999-02-05,708.2774
TOP DC Equity,1999-02-08,706.1954
TOP DC Equity,1999-02-09,705.6139
TOP DC Equity,1999-02-10,701.4348
TOP DC Equity,1999-02-11,701.2478
TOP DC Equity,1999-02-12,697.78
TOP DC Equity,1999-02-15,697.7198
TOP DC Equity,1999-02-16,686.9517
TOP DC Equity,1999-02-17,685.3463
TOP DC Equity,1999-02-18,685.6047
TOP DC Equity,1999-02-19,693.2718
TOP DC Equity,1999-02-22,685.4212
TOP DC Equity,1999-02-23,688.3091
TOP DC Equity,1999-02-24,695.4975
TOP DC Equity,1999-02-25,695.4078
TOP DC Equity,1999-02-26,694.5816
TOP DC Equity,1999-03-01,690.1958
TOP DC Equity,1999-03-02,685.4812
TOP DC Equity,1999-03-03,672.2627
TOP DC Equity,1999-03-04,669.4818
TOP DC Equity,1999-03-05,664.5586
TOP DC Equity,1999-03-08,664.2927
TOP DC Equity,1999-03-09,654.2282
TOP DC Equity,1999-03-10,658.6807
TOP DC Equity,1999-03-11,643.4985
TOP DC Equity,1999-03-12,656.3489
TOP DC Equity,1999-03-15,646.4371
TOP DC Equity,1999-03-16,640.8715
TOP DC Equity,1999-03-17,637.9734
TOP DC Equity,1999-03-18,638.2259
TOP DC Equity,1999-03-19,632.9835
TOP DC Equity,1999-03-22,627.5327
TOP DC Equity,1999-03-23,651.0066
TOP DC Equity,1999-03-24,673.7103
TOP DC Equity,1999-03-25,671.7793
TOP DC Equity,1999-03-26,661.1804
TOP DC Equity,1999-03-29,662.6639
TOP DC Equity,1999-03-30,663.2877
TOP DC Equity,1999-03-31,669.9502
