name,date,CUR_MKT_CAP
US IM Equity,1999-01-04,1297.5638
US IM Equity,1999-01-05,1247.4745
US IM Equity,1999-01-07,1237.2062
US IM Equity,1999-01-08,1235.2026
US IM Equity,1999-01-11,1202.2689
US IM Equity,1999-01-12,1173.9684
US IM Equity,1999-01-13,1117.2423
US IM Equity,1999-01-14,1172.2153
US IM Equity,1999-01-15,1222.0542
US IM Equity,1999-01-18,1221.1776
US IM Equity,1999-01-19,1188.4943
US IM Equity,1999-01-20,1163.074
US IM Equity,1999-01-21,1141.4104
US IM Equity,1999-01-22,1105.9722
US IM Equity,1999-01-25,1126.8846
US IM Equity,1999-01-26,1210.5336
US IM Equity,1999-01-27,1271.7678
US IM Equity,1999-01-28,1271.1417
US IM Equity,1999-01-29,1333.1272
US IM Equity,1999-02-01,1363.4313
US IM Equity,1999-02-02,1341.8929
US IM Equity,1999-02-03,1305.3276
US IM Equity,1999-02-04,1301.4457
US IM Equity,1999-02-05,1274.7732
US IM Equity,1999-02-08,1268.6372
US IM Equity,1999-02-09,1270.766
US IM Equity,1999-02-10,1272.3939
US IM Equity,1999-02-11,1298.9413
US IM Equity,1999-02-12,1277.0272
US IM Equity,1999-02-15,1289.2991
US IM Equity,1999-02-16,1287.9216
US IM Equity,1999-02-17,1295.435
US IM Equity,1999-02-18,1252.3582
US IM Equity,1999-02-19,1252.233
US IM Equity,1999-02-22,1241.2133
US IM Equity,1999-02-23,1248.4763
US IM Equity,1999-02-24,1285.6676
US IM Equity,1999-02-25,1270.6408
US IM Equity,1999-02-26,1252.233
US IM Equity,1999-03-01,1250.3546
US IM Equity,1999-03-02,1228.1901
US IM Equity,1999-03-03,1247.8502
US IM Equity,1999-03-04,1247.224
US IM Equity,1999-03-05,1309.7105
US IM Equity,1999-03-08,1315.9716
US IM Equity,1999-03-09,1329.2453
US IM Equity,1999-03-10,1310.2114
US IM Equity,1999-03-11,1322.1076
US IM Equity,1999-03-12,1279.7821
US IM Equity,1999-03-15,1285.6676
US IM Equity,1999-03-16,1261.8752
US IM Equity,1999-03-17,1294.0576
US IM Equity,1999-03-18,1302.1971
US IM Equity,1999-03-19,1364.1826
US IM Equity,1999-03-22,1391.9822
US IM Equity,1999-03-23,1320.6049
US IM Equity,1999-03-24,1370.569
US IM Equity,1999-03-25,1419.0304
US IM Equity,1999-03-26,1409.0125
US IM Equity,1999-03-29,1404.3793
US IM Equity,1999-03-30,1449.2092
US IM Equity,1999-03-31,1477.134
US IM Equity,1999-04-01,1498.0463
US IM Equity,1999-04-06,1514.0749
US IM Equity,1999-04-07,1531.6061
US IM Equity,1999-04-08,1584.4504
US IM Equity,1999-04-09,1546.8834
US IM Equity,1999-04-12,1556.1499
US IM Equity,1999-04-13,1620.5147
US IM Equity,1999-04-14,1614.0031
US IM Equity,1999-04-15,1542.751
US IM Equity,1999-04-16,1504.5579
US IM Equity,1999-04-19,1476.3827
US IM Equity,1999-04-20,1459.728
US IM Equity,1999-04-21,1501.3021
US IM Equity,1999-04-22,1511.0695
US IM Equity,1999-04-23,1496.7941
US IM Equity,1999-04-26,1483.0195
US IM Equity,1999-04-27,1502.4291
US IM Equity,1999-04-28,1544.1285
US IM Equity,1999-04-29,1581.6955
US IM Equity,1999-04-30,1496.2932
US IM Equity,1999-05-03,1450.5867
US IM Equity,1999-05-04,1484.8979
US IM Equity,1999-05-05,1476.3827
US IM Equity,1999-05-06,1452.0894
US IM Equity,1999-05-07,1396.6154
US IM Equity,1999-05-10,1371.3203
US IM Equity,1999-05-11,1355.7926
US IM Equity,1999-05-12,1375.077
US IM Equity,1999-05-13,1398.8695
US IM Equity,1999-05-14,1368.315
US IM Equity,1999-05-17,1343.3955
US IM Equity,1999-05-18,1377.5815
US IM Equity,1999-05-19,1381.3382
US IM Equity,1999-05-20,1352.9125
US IM Equity,1999-05-21,1336.7587
US IM Equity,1999-05-24,1314.5942
US IM Equity,1999-05-25,1310.2114
US IM Equity,1999-05-26,1349.9071
US IM Equity,1999-05-27,1307.5817
US IM Equity,1999-05-28,1342.519
US IM Equity,1999-05-31,1320.6049
US IM Equity,1999-06-01,1335.8821
US IM Equity,1999-06-02,1339.3884
US IM Equity,1999-06-03,1375.9536
US IM Equity,1999-06-04,1372.4473
US IM Equity,1999-06-07,1390.3543
US IM Equity,1999-06-08,1402.5009
US IM Equity,1999-06-09,1387.2237
US IM Equity,1999-06-10,1371.3203
US IM Equity,1999-06-11,1377.4563
US IM Equity,1999-06-14,1340.6406
US IM Equity,1999-06-15,1323.8607
US IM Equity,1999-06-16,1323.8607
US IM Equity,1999-06-17,1287.5459
US IM Equity,1999-06-18,1281.6604
US IM Equity,1999-06-21,1315.0951
US IM Equity,1999-06-22,1313.7176
US IM Equity,1999-06-23,1306.5799
US IM Equity,1999-06-24,1286.5442
US IM Equity,1999-06-25,1284.9163
US IM Equity,1999-06-28,1299.3169
US IM Equity,1999-06-29,1278.029
US IM Equity,1999-06-30,1256.741
US IM Equity,1999-07-01,1269.5138
US IM Equity,1999-07-02,1269.3886
US IM Equity,1999-07-05,1302.3223
US IM Equity,1999-07-06,1303.1989
US IM Equity,1999-07-07,1273.3957
US IM Equity,1999-07-08,1272.1435
US IM Equity,1999-07-09,1267.0093
US IM Equity,1999-07-12,1252.233
US IM Equity,1999-07-13,1252.7339
US IM Equity,1999-07-14,1255.9897
US IM Equity,1999-07-15,1265.7571
US IM Equity,1999-07-16,1252.1079
US IM Equity,1999-07-19,1251.3564
US IM Equity,1999-07-20,1251.3564
US IM Equity,1999-07-21,1244.97
US IM Equity,1999-07-22,1234.2008
US IM Equity,1999-07-23,1251.106
US IM Equity,1999-07-26,1218.7984
US IM Equity,1999-07-27,1218.1722
US IM Equity,1999-07-28,1185.489
US IM Equity,1999-07-29,1156.0615
US IM Equity,1999-07-30,1189.8718
US IM Equity,1999-08-02,1195.7573
US IM Equity,1999-08-03,1214.666
US IM Equity,1999-08-04,1201.5175
US IM Equity,1999-08-05,1180.2296
US IM Equity,1999-08-06,1174.9702
US IM Equity,1999-08-09,1155.9363
US IM Equity,1999-08-10,1138.7807
US IM Equity,1999-08-11,1141.5356
US IM Equity,1999-08-12,1236.4548
US IM Equity,1999-08-13,1282.6622
US IM Equity,1999-08-16,1259.6211
US IM Equity,1999-08-17,1252.9843
US IM Equity,1999-08-18,1240.3368
US IM Equity,1999-08-19,1222.555
US IM Equity,1999-08-20,1267.5102
US IM Equity,1999-08-23,1302.8232
US IM Equity,1999-08-24,1276.4011
US IM Equity,1999-08-25,1276.7767
US IM Equity,1999-08-26,1265.2562
US IM Equity,1999-08-27,1272.2687
US IM Equity,1999-08-30,1261.8752
US IM Equity,1999-08-31,1246.4727
US IM Equity,1999-09-01,1252.233
US IM Equity,1999-09-02,1237.3314
US IM Equity,1999-09-03,1252.233
US IM Equity,1999-09-06,1267.2598
US IM Equity,1999-09-07,1274.6479
US IM Equity,1999-09-08,1295.1846
US IM Equity,1999-09-09,1276.6515
US IM Equity,1999-09-10,1264.2544
US IM Equity,1999-09-13,1268.2616
US IM Equity,1999-09-14,1255.1131
US IM Equity,1999-09-15,1243.3421
US IM Equity,1999-09-16,1259.4959
US IM Equity,1999-09-17,1283.2883
US IM Equity,1999-09-20,1328.3687
US IM Equity,1999-09-21,1327.9931
US IM Equity,1999-09-22,1346.7766
US IM Equity,1999-09-23,1325.1129
US IM Equity,1999-09-24,1303.5745
US IM Equity,1999-09-27,1321.6067
US IM Equity,1999-09-28,1343.646
US IM Equity,1999-09-29,1320.3544
US IM Equity,1999-09-30,1345.3991
US IM Equity,1999-10-01,1352.0359
US IM Equity,1999-10-04,1352.6621
US IM Equity,1999-10-05,1344.2721
US IM Equity,1999-10-06,1340.8911
US IM Equity,1999-10-07,1354.29
US IM Equity,1999-10-08,1327.3669
US IM Equity,1999-10-11,1319.4779
US IM Equity,1999-10-12,1314.3437
US IM Equity,1999-10-13,1286.1685
US IM Equity,1999-10-14,1275.3993
US IM Equity,1999-10-15,1252.7339
US IM Equity,1999-10-18,1258.995
US IM Equity,1999-10-19,1260.9986
US IM Equity,1999-10-20,1277.7785
US IM Equity,1999-10-21,1251.8573
US IM Equity,1999-10-22,1247.9754
US IM Equity,1999-10-25,1228.1901
US IM Equity,1999-10-26,1208.53
