name,date,CUR_MKT_CAP
VIG AV Equity,1999-01-04,1244.7831
VIG AV Equity,1999-01-05,1252.1852
VIG AV Equity,1999-01-07,1246.0168
VIG AV Equity,1999-01-08,1289.1956
VIG AV Equity,1999-01-11,1300.2987
VIG AV Equity,1999-01-12,1307.7008
VIG AV Equity,1999-01-13,1313.8692
VIG AV Equity,1999-01-14,1320.0376
VIG AV Equity,1999-01-15,1332.2511
VIG AV Equity,1999-01-18,1313.8692
VIG AV Equity,1999-01-19,1296.5977
VIG AV Equity,1999-01-20,1284.2609
VIG AV Equity,1999-01-21,1284.2609
VIG AV Equity,1999-01-22,1271.9241
VIG AV Equity,1999-01-25,1278.0925
VIG AV Equity,1999-01-26,1295.364
VIG AV Equity,1999-01-27,1294.7472
VIG AV Equity,1999-01-28,1295.364
VIG AV Equity,1999-01-29,1295.364
VIG AV Equity,1999-02-01,1289.1956
VIG AV Equity,1999-02-02,1289.1956
VIG AV Equity,1999-02-03,1294.1303
VIG AV Equity,1999-02-04,1295.364
VIG AV Equity,1999-02-05,1301.5324
VIG AV Equity,1999-02-08,1311.4019
VIG AV Equity,1999-02-09,1315.1029
VIG AV Equity,1999-02-10,1311.4019
VIG AV Equity,1999-02-11,1313.8692
VIG AV Equity,1999-02-12,1296.5977
VIG AV Equity,1999-02-15,1310.785
VIG AV Equity,1999-02-16,1307.7008
VIG AV Equity,1999-02-17,1307.7008
VIG AV Equity,1999-02-18,1320.0376
VIG AV Equity,1999-02-19,1298.4482
VIG AV Equity,1999-02-22,1301.5324
VIG AV Equity,1999-02-23,1312.0187
VIG AV Equity,1999-02-24,1301.5324
VIG AV Equity,1999-02-25,1307.7008
VIG AV Equity,1999-02-26,1310.785
VIG AV Equity,1999-03-01,1300.2987
VIG AV Equity,1999-03-02,1301.5324
VIG AV Equity,1999-03-03,1301.5324
VIG AV Equity,1999-03-04,1307.7008
VIG AV Equity,1999-03-05,1307.7008
VIG AV Equity,1999-03-08,1303.9998
VIG AV Equity,1999-03-09,1303.9998
VIG AV Equity,1999-03-10,1307.7008
VIG AV Equity,1999-03-11,1318.8039
VIG AV Equity,1999-03-12,1321.2713
VIG AV Equity,1999-03-15,1329.9071
VIG AV Equity,1999-03-16,1320.0376
VIG AV Equity,1999-03-17,1321.2713
VIG AV Equity,1999-03-18,1332.3744
VIG AV Equity,1999-03-19,1341.0102
VIG AV Equity,1999-03-22,1331.1407
VIG AV Equity,1999-03-23,1326.206
VIG AV Equity,1999-03-24,1320.0376
VIG AV Equity,1999-03-25,1321.2713
VIG AV Equity,1999-03-26,1320.0376
VIG AV Equity,1999-03-29,1320.0376
VIG AV Equity,1999-03-30,1320.6545
VIG AV Equity,1999-03-31,1332.2511
VIG AV Equity,1999-04-01,1326.206
VIG AV Equity,1999-04-06,1318.8039
VIG AV Equity,1999-04-07,1321.2713
VIG AV Equity,1999-04-08,1322.505
VIG AV Equity,1999-04-09,1328.6734
VIG AV Equity,1999-04-12,1332.3744
VIG AV Equity,1999-04-13,1345.9449
VIG AV Equity,1999-04-14,1333.6081
VIG AV Equity,1999-04-15,1344.7112
VIG AV Equity,1999-04-16,1349.6459
VIG AV Equity,1999-04-19,1332.3744
VIG AV Equity,1999-04-20,1332.3744
VIG AV Equity,1999-04-21,1338.5428
VIG AV Equity,1999-04-22,1332.3744
VIG AV Equity,1999-04-23,1333.6081
VIG AV Equity,1999-04-26,1334.8418
VIG AV Equity,1999-04-27,1333.6081
VIG AV Equity,1999-04-28,1333.6081
VIG AV Equity,1999-04-29,1332.3744
VIG AV Equity,1999-04-30,1334.8418
VIG AV Equity,1999-05-03,1344.7112
VIG AV Equity,1999-05-04,1344.7112
VIG AV Equity,1999-05-05,1332.3744
VIG AV Equity,1999-05-06,1329.9071
VIG AV Equity,1999-05-07,1323.7387
VIG AV Equity,1999-05-10,1332.3744
VIG AV Equity,1999-05-11,1328.6734
VIG AV Equity,1999-05-12,1331.1407
VIG AV Equity,1999-05-14,1336.0755
VIG AV Equity,1999-05-17,1331.1407
VIG AV Equity,1999-05-18,1334.8418
VIG AV Equity,1999-05-19,1334.8418
VIG AV Equity,1999-05-20,1337.3091
VIG AV Equity,1999-05-21,1334.8418
VIG AV Equity,1999-05-25,1326.206
VIG AV Equity,1999-05-26,1332.2511
VIG AV Equity,1999-05-27,1321.2713
VIG AV Equity,1999-05-28,1320.0376
VIG AV Equity,1999-05-31,1332.3744
VIG AV Equity,1999-06-01,1333.6081
VIG AV Equity,1999-06-02,1332.3744
VIG AV Equity,1999-06-04,1332.3744
VIG AV Equity,1999-06-07,1316.3366
VIG AV Equity,1999-06-08,1321.2713
VIG AV Equity,1999-06-09,1321.2713
VIG AV Equity,1999-06-10,1321.2713
VIG AV Equity,1999-06-11,1321.2713
VIG AV Equity,1999-06-14,1313.8692
VIG AV Equity,1999-06-15,1320.0376
VIG AV Equity,1999-06-16,1320.0376
VIG AV Equity,1999-06-17,1321.2713
VIG AV Equity,1999-06-18,1322.505
VIG AV Equity,1999-06-21,1308.9345
VIG AV Equity,1999-06-22,1321.2713
VIG AV Equity,1999-06-23,1320.0376
VIG AV Equity,1999-06-24,1316.9534
VIG AV Equity,1999-06-25,1316.9534
VIG AV Equity,1999-06-28,1307.7008
VIG AV Equity,1999-06-29,1307.7008
VIG AV Equity,1999-06-30,1307.7008
VIG AV Equity,1999-07-01,1310.1682
VIG AV Equity,1999-07-02,1305.2335
VIG AV Equity,1999-07-05,1286.7283
VIG AV Equity,1999-07-06,1295.364
VIG AV Equity,1999-07-07,1289.1956
VIG AV Equity,1999-07-08,1295.364
VIG AV Equity,1999-07-09,1295.364
VIG AV Equity,1999-07-12,1285.4946
VIG AV Equity,1999-07-13,1285.4946
VIG AV Equity,1999-07-14,1284.2609
VIG AV Equity,1999-07-15,1295.364
VIG AV Equity,1999-07-16,1295.364
VIG AV Equity,1999-07-19,1287.9619
VIG AV Equity,1999-07-20,1289.1956
VIG AV Equity,1999-07-21,1289.1956
VIG AV Equity,1999-07-22,1295.364
VIG AV Equity,1999-07-23,1295.364
VIG AV Equity,1999-07-26,1295.364
VIG AV Equity,1999-07-27,1284.8777
VIG AV Equity,1999-07-28,1292.8967
VIG AV Equity,1999-07-29,1305.2335
VIG AV Equity,1999-07-30,1289.1956
VIG AV Equity,1999-08-02,1289.1956
VIG AV Equity,1999-08-03,1295.364
VIG AV Equity,1999-08-04,1292.8967
VIG AV Equity,1999-08-05,1313.8692
VIG AV Equity,1999-08-06,1320.0376
VIG AV Equity,1999-08-09,1311.4019
VIG AV Equity,1999-08-10,1295.364
VIG AV Equity,1999-08-11,1295.364
VIG AV Equity,1999-08-12,1310.785
VIG AV Equity,1999-08-13,1316.3366
VIG AV Equity,1999-08-16,1307.7008
VIG AV Equity,1999-08-17,1306.4671
VIG AV Equity,1999-08-18,1308.9345
VIG AV Equity,1999-08-19,1308.9345
VIG AV Equity,1999-08-20,1311.4019
VIG AV Equity,1999-08-23,1313.8692
VIG AV Equity,1999-08-24,1313.8692
VIG AV Equity,1999-08-25,1313.8692
VIG AV Equity,1999-08-26,1312.6355
VIG AV Equity,1999-08-27,1316.9534
VIG AV Equity,1999-08-30,1313.8692
VIG AV Equity,1999-08-31,1315.1029
VIG AV Equity,1999-09-01,1316.3366
VIG AV Equity,1999-09-02,1307.7008
VIG AV Equity,1999-09-03,1311.4019
VIG AV Equity,1999-09-06,1313.8692
VIG AV Equity,1999-09-07,1309.5513
VIG AV Equity,1999-09-08,1309.5513
VIG AV Equity,1999-09-09,1309.0579
VIG AV Equity,1999-09-10,1319.9143
VIG AV Equity,1999-09-13,1315.1029
VIG AV Equity,1999-09-14,1316.3366
VIG AV Equity,1999-09-15,1307.7008
VIG AV Equity,1999-09-16,1313.8692
VIG AV Equity,1999-09-17,1312.6355
VIG AV Equity,1999-09-20,1313.8692
VIG AV Equity,1999-09-21,1307.7008
VIG AV Equity,1999-09-22,1307.7008
VIG AV Equity,1999-09-23,1307.7008
VIG AV Equity,1999-09-24,1313.8692
VIG AV Equity,1999-09-27,1313.8692
VIG AV Equity,1999-09-28,1313.8692
VIG AV Equity,1999-09-29,1311.4019
VIG AV Equity,1999-09-30,1310.785
VIG AV Equity,1999-10-01,1310.1682
VIG AV Equity,1999-10-04,1299.0651
VIG AV Equity,1999-10-05,1313.7459
VIG AV Equity,1999-10-06,1310.785
VIG AV Equity,1999-10-07,1313.2524
VIG AV Equity,1999-10-08,1310.785
VIG AV Equity,1999-10-11,1313.8692
VIG AV Equity,1999-10-12,1316.9534
VIG AV Equity,1999-10-13,1316.9534
VIG AV Equity,1999-10-14,1316.9534
VIG AV Equity,1999-10-15,1309.5513
VIG AV Equity,1999-10-18,1313.8692
VIG AV Equity,1999-10-19,1311.4019
VIG AV Equity,1999-10-20,1316.9534
VIG AV Equity,1999-10-21,1313.8692
VIG AV Equity,1999-10-22,1315.1029
VIG AV Equity,1999-10-25,1315.1029
VIG AV Equity,1999-10-26,1315.1029
VIG AV Equity,1999-10-27,1312.6355
VIG AV Equity,1999-10-28,1315.1029
VIG AV Equity,1999-10-29,1313.8692
VIG AV Equity,1999-11-02,1312.6355
VIG AV Equity,1999-11-03,1312.6355
VIG AV Equity,1999-11-04,1313.2524
VIG AV Equity,1999-11-05,1311.4019
VIG AV Equity,1999-11-08,1311.4019
VIG AV Equity,1999-11-09,1311.4019
VIG AV Equity,1999-11-10,1310.1682
VIG AV Equity,1999-11-11,1311.4019
VIG AV Equity,1999-11-12,1312.6355
VIG AV Equity,1999-11-15,1310.1682
VIG AV Equity,1999-11-16,1311.4019
VIG AV Equity,1999-11-17,1311.4019
VIG AV Equity,1999-11-18,1311.4019
VIG AV Equity,1999-11-19,1312.6355
VIG AV Equity,1999-11-22,1311.4019
VIG AV Equity,1999-11-23,1310.1682
VIG AV Equity,1999-11-24,1307.7008
VIG AV Equity,1999-11-25,1308.9345
VIG AV Equity,1999-11-26,1307.7008
VIG AV Equity,1999-11-29,1308.9345
VIG AV Equity,1999-11-30,1310.785
VIG AV Equity,1999-12-01,1308.9345
VIG AV Equity,1999-12-02,1311.4019
VIG AV Equity,1999-12-03,1321.2713
VIG AV Equity,1999-12-06,1324.9723
VIG AV Equity,1999-12-07,1337.3091
VIG AV Equity,1999-12-09,1337.3091
VIG AV Equity,1999-12-10,1338.5428
VIG AV Equity,1999-12-13,1341.627
VIG AV Equity,1999-12-14,1341.627
VIG AV Equity,1999-12-15,1332.3744
VIG AV Equity,1999-12-16,1334.8418
VIG AV Equity,1999-12-17,1341.0102
VIG AV Equity,1999-12-20,1342.2439
VIG AV Equity,1999-12-21,1344.7112
VIG AV Equity,1999-12-22,1350.8796
VIG AV Equity,1999-12-23,1353.9638
VIG AV Equity,1999-12-27,1353.9638
VIG AV Equity,1999-12-28,1369.3848
VIG AV Equity,1999-12-29,1386.6563
VIG AV Equity,2000-01-03,1392.8247
VIG AV Equity,2000-01-04,1394.0584
VIG AV Equity,2000-01-05,1390.9742
VIG AV Equity,2000-01-07,1375.5532
VIG AV Equity,2000-01-10,1381.7216
VIG AV Equity,2000-01-11,1393.4416
VIG AV Equity,2000-01-12,1381.845
VIG AV Equity,2000-01-13,1382.9553
VIG AV Equity,2000-01-14,1387.89
VIG AV Equity,2000-01-17,1387.89
VIG AV Equity,2000-01-18,1394.0584
VIG AV Equity,2000-01-19,1370.6185
VIG AV Equity,2000-01-20,1364.4501
VIG AV Equity,2000-01-21,1358.2817
VIG AV Equity,2000-01-24,1363.2164
VIG AV Equity,2000-01-25,1359.5154
VIG AV Equity,2000-01-26,1350.8796
VIG AV Equity,2000-01-27,1381.5983
VIG AV Equity,2000-01-28,1359.5154
VIG AV Equity,2000-01-31,1380.4879
VIG AV Equity,2000-02-01,1363.2164
VIG AV Equity,2000-02-02,1363.2164
VIG AV Equity,2000-02-03,1363.2164
VIG AV Equity,2000-02-04,1391.5911
VIG AV Equity,2000-02-07,1384.8058
VIG AV Equity,2000-02-08,1399.61
VIG AV Equity,2000-02-09,1418.732
VIG AV Equity,2000-02-10,1412.5636
VIG AV Equity,2000-02-11,1406.3952
VIG AV Equity,2000-02-14,1394.0584
VIG AV Equity,2000-02-15,1382.9553
VIG AV Equity,2000-02-16,1382.9553
VIG AV Equity,2000-02-17,1394.0584
VIG AV Equity,2000-02-18,1364.4501
VIG AV Equity,2000-02-21,1364.4501
VIG AV Equity,2000-02-22,1363.2164
VIG AV Equity,2000-02-23,1369.3848
VIG AV Equity,2000-02-24,1357.048
VIG AV Equity,2000-02-25,1357.048
VIG AV Equity,2000-02-28,1357.048
VIG AV Equity,2000-02-29,1357.048
VIG AV Equity,2000-03-01,1326.206
VIG AV Equity,2000-03-02,1313.8692
VIG AV Equity,2000-03-03,1315.1029
VIG AV Equity,2000-03-06,1326.206
VIG AV Equity,2000-03-07,1331.1407
VIG AV Equity,2000-03-08,1329.9071
VIG AV Equity,2000-03-09,1333.6081
VIG AV Equity,2000-03-10,1334.8418
VIG AV Equity,2000-03-13,1334.8418
VIG AV Equity,2000-03-14,1350.8796
VIG AV Equity,2000-03-15,1344.7112
VIG AV Equity,2000-03-16,1350.8796
VIG AV Equity,2000-03-17,1349.6459
VIG AV Equity,2000-03-20,1344.7112
VIG AV Equity,2000-03-21,1344.7112
VIG AV Equity,2000-03-22,1357.048
VIG AV Equity,2000-03-23,1357.048
VIG AV Equity,2000-03-24,1357.048
VIG AV Equity,2000-03-27,1357.048
VIG AV Equity,2000-03-28,1357.048
VIG AV Equity,2000-03-29,1356.4312
VIG AV Equity,2000-03-30,1356.9247
VIG AV Equity,2000-03-31,1357.048
VIG AV Equity,2000-04-03,1358.2817
VIG AV Equity,2000-04-04,1351.003
VIG AV Equity,2000-04-05,1351.003
VIG AV Equity,2000-04-06,1351.003
VIG AV Equity,2000-04-07,1332.3744
VIG AV Equity,2000-04-10,1355.8143
VIG AV Equity,2000-04-11,1344.7112
VIG AV Equity,2000-04-12,1350.8796
VIG AV Equity,2000-04-13,1353.347
VIG AV Equity,2000-04-14,1355.8143
VIG AV Equity,2000-04-17,1369.3848
VIG AV Equity,2000-04-18,1369.3848
VIG AV Equity,2000-04-19,1381.1048
VIG AV Equity,2000-04-20,1387.89
VIG AV Equity,2000-04-25,1381.7216
VIG AV Equity,2000-04-26,1396.5258
VIG AV Equity,2000-04-27,1394.0584
VIG AV Equity,2000-04-28,1394.0584
VIG AV Equity,2000-05-02,1392.8247
VIG AV Equity,2000-05-03,1394.0584
VIG AV Equity,2000-05-04,1396.5258
VIG AV Equity,2000-05-05,1384.189
VIG AV Equity,2000-05-08,1396.5258
VIG AV Equity,2000-05-09,1395.2921
VIG AV Equity,2000-05-10,1396.5258
VIG AV Equity,2000-05-11,1410.4664
VIG AV Equity,2000-05-12,1412.5636
VIG AV Equity,2000-05-15,1412.5636
VIG AV Equity,2000-05-16,1412.5636
VIG AV Equity,2000-05-17,1424.9004
VIG AV Equity,2000-05-18,1407.6289
VIG AV Equity,2000-05-19,1419.9657
VIG AV Equity,2000-05-22,1427.3678
VIG AV Equity,2000-05-23,1427.3678
VIG AV Equity,2000-05-24,1428.6015
VIG AV Equity,2000-05-25,1428.6015
VIG AV Equity,2000-05-26,1431.0688
VIG AV Equity,2000-05-29,1437.2372
VIG AV Equity,2000-05-30,1437.2372
VIG AV Equity,2000-05-31,1437.2372
VIG AV Equity,2000-06-02,1436.0035
VIG AV Equity,2000-06-05,1437.2372
VIG AV Equity,2000-06-06,1443.4056
VIG AV Equity,2000-06-07,1442.1719
VIG AV Equity,2000-06-08,1443.4056
VIG AV Equity,2000-06-09,1431.0688
VIG AV Equity,2000-06-13,1437.2372
VIG AV Equity,2000-06-14,1437.2372
VIG AV Equity,2000-06-15,1437.2372
VIG AV Equity,2000-06-16,1437.2372
VIG AV Equity,2000-06-19,1432.3025
VIG AV Equity,2000-06-20,1437.2372
VIG AV Equity,2000-06-21,1437.2372
VIG AV Equity,2000-06-23,1429.8351
VIG AV Equity,2000-06-26,1429.8351
VIG AV Equity,2000-06-27,1436.0035
VIG AV Equity,2000-06-28,1424.9004
VIG AV Equity,2000-06-29,1418.732
VIG AV Equity,2000-06-30,1418.732
VIG AV Equity,2000-07-03,1418.732
VIG AV Equity,2000-07-04,1415.6478
VIG AV Equity,2000-07-05,1415.6478
VIG AV Equity,2000-07-06,1415.6478
