name,date,CUR_MKT_CAP
WUW GR Equity,2000-05-29,2194.326
WUW GR Equity,2000-05-30,2236.4915
WUW GR Equity,2000-05-31,2306.1937
WUW GR Equity,2000-06-01,2314.7989
WUW GR Equity,2000-06-02,2306.1937
WUW GR Equity,2000-06-05,2306.1937
WUW GR Equity,2000-06-06,2314.7989
WUW GR Equity,2000-06-07,2211.5365
WUW GR Equity,2000-06-08,2254.5625
WUW GR Equity,2000-06-09,2237.3521
WUW GR Equity,2000-06-12,2237.3521
WUW GR Equity,2000-06-13,2241.6547
WUW GR Equity,2000-06-14,2194.326
WUW GR Equity,2000-06-15,2168.5104
WUW GR Equity,2000-06-16,2237.3521
WUW GR Equity,2000-06-20,2237.3521
WUW GR Equity,2000-06-21,2280.3781
WUW GR Equity,2000-06-22,2306.1937
WUW GR Equity,2000-06-23,2280.3781
WUW GR Equity,2000-06-26,2297.5885
WUW GR Equity,2000-06-27,2237.3521
WUW GR Equity,2000-06-28,2288.9833
WUW GR Equity,2000-06-29,2280.3781
WUW GR Equity,2000-06-30,2301.8911
WUW GR Equity,2000-07-03,2263.1677
WUW GR Equity,2000-07-04,2263.1677
WUW GR Equity,2000-07-05,2271.7729
WUW GR Equity,2000-07-06,2280.3781
WUW GR Equity,2000-07-07,2319.1015
WUW GR Equity,2000-07-10,2366.4301
WUW GR Equity,2000-07-11,2237.3521
WUW GR Equity,2000-07-12,2366.4301
WUW GR Equity,2000-07-13,2297.5885
WUW GR Equity,2000-07-14,2288.9833
WUW GR Equity,2000-07-17,2263.1677
WUW GR Equity,2000-07-18,2237.3521
WUW GR Equity,2000-07-19,2211.5365
WUW GR Equity,2000-07-20,2246.8178
WUW GR Equity,2000-07-21,2245.9573
WUW GR Equity,2000-07-24,2332.0093
WUW GR Equity,2000-07-25,2297.5885
WUW GR Equity,2000-07-26,2323.4041
WUW GR Equity,2000-07-27,2323.4041
WUW GR Equity,2000-07-28,2280.3781
WUW GR Equity,2000-07-31,2276.0755
WUW GR Equity,2000-08-01,2237.3521
WUW GR Equity,2000-08-02,2280.3781
WUW GR Equity,2000-08-03,2280.3781
WUW GR Equity,2000-08-04,2280.3781
WUW GR Equity,2000-08-07,2280.3781
WUW GR Equity,2000-08-08,2323.4041
WUW GR Equity,2000-08-09,2280.3781
WUW GR Equity,2000-08-10,2237.3521
WUW GR Equity,2000-08-11,2323.4041
WUW GR Equity,2000-08-14,2245.9573
WUW GR Equity,2000-08-16,2280.3781
WUW GR Equity,2000-08-17,2323.4041
WUW GR Equity,2000-08-18,2366.4301
WUW GR Equity,2000-08-21,2306.1937
WUW GR Equity,2000-08-22,2280.3781
WUW GR Equity,2000-08-23,2280.3781
WUW GR Equity,2000-08-24,2280.3781
WUW GR Equity,2000-08-25,2237.3521
WUW GR Equity,2000-08-28,2151.3
WUW GR Equity,2000-08-29,2194.326
WUW GR Equity,2000-08-30,2194.326
WUW GR Equity,2000-08-31,2151.3
WUW GR Equity,2000-09-01,2194.326
WUW GR Equity,2000-09-04,2168.5104
WUW GR Equity,2000-09-05,2099.6688
WUW GR Equity,2000-09-06,2108.274
WUW GR Equity,2000-09-07,2065.248
WUW GR Equity,2000-09-08,2108.274
WUW GR Equity,2000-09-11,2065.248
WUW GR Equity,2000-09-12,2082.4584
WUW GR Equity,2000-09-13,2030.8272
WUW GR Equity,2000-09-14,2022.222
WUW GR Equity,2000-09-15,2065.248
WUW GR Equity,2000-09-18,2099.6688
WUW GR Equity,2000-09-19,2065.248
WUW GR Equity,2000-09-20,2065.248
WUW GR Equity,2000-09-21,2022.222
WUW GR Equity,2000-09-22,1996.4064
WUW GR Equity,2000-09-25,1979.196
WUW GR Equity,2000-09-26,1996.4064
WUW GR Equity,2000-09-27,2022.222
WUW GR Equity,2000-09-28,1979.196
WUW GR Equity,2000-09-29,1979.196
WUW GR Equity,2000-10-02,1936.17
WUW GR Equity,2000-10-04,1979.196
WUW GR Equity,2000-10-05,1944.7752
WUW GR Equity,2000-10-06,1936.17
WUW GR Equity,2000-10-09,1936.17
WUW GR Equity,2000-10-10,1979.196
WUW GR Equity,2000-10-11,1936.17
WUW GR Equity,2000-10-12,1910.3544
WUW GR Equity,2000-10-13,1893.144
WUW GR Equity,2000-10-16,1893.144
WUW GR Equity,2000-10-17,1893.144
WUW GR Equity,2000-10-18,1893.144
WUW GR Equity,2000-10-19,1893.144
WUW GR Equity,2000-10-20,1979.196
WUW GR Equity,2000-10-23,1850.118
WUW GR Equity,2000-10-24,1893.144
WUW GR Equity,2000-10-25,1927.5648
WUW GR Equity,2000-10-26,1875.9336
WUW GR Equity,2000-10-27,1936.17
WUW GR Equity,2000-10-30,1936.17
WUW GR Equity,2000-10-31,1858.7232
WUW GR Equity,2000-11-01,1936.17
WUW GR Equity,2000-11-02,1858.7232
WUW GR Equity,2000-11-03,1875.9336
WUW GR Equity,2000-11-06,1858.7232
WUW GR Equity,2000-11-07,1893.144
