name,date,PX_LAST
ALV GR Equity,1989-10-23,88.69
ALV GR Equity,1989-10-24,87.763
ALV GR Equity,1989-10-25,86.372
ALV GR Equity,1989-10-27,84.687
ALV GR Equity,1989-10-30,85.108
ALV GR Equity,1989-10-31,85.951
ALV GR Equity,1989-11-01,85.74
ALV GR Equity,1989-11-02,85.951
ALV GR Equity,1989-11-03,85.74
ALV GR Equity,1989-11-06,85.951
ALV GR Equity,1989-11-07,84.898
ALV GR Equity,1989-11-08,84.898
ALV GR Equity,1989-11-09,86.794
ALV GR Equity,1989-11-10,87.636
ALV GR Equity,1989-11-13,88.058
ALV GR Equity,1989-11-14,86.372
ALV GR Equity,1989-11-15,85.951
ALV GR Equity,1989-11-16,87.004
ALV GR Equity,1989-11-17,87.299
ALV GR Equity,1989-11-20,87.426
ALV GR Equity,1989-11-21,87.004
ALV GR Equity,1989-11-23,89.743
ALV GR Equity,1989-11-24,92.229
ALV GR Equity,1989-11-27,92.145
ALV GR Equity,1989-11-28,91.639
ALV GR Equity,1989-11-29,93.535
ALV GR Equity,1989-11-30,94.799
ALV GR Equity,1989-12-01,96.695
ALV GR Equity,1989-12-04,99.434
ALV GR Equity,1989-12-05,97.116
ALV GR Equity,1989-12-06,97.959
ALV GR Equity,1989-12-07,98.591
ALV GR Equity,1989-12-08,96.695
ALV GR Equity,1989-12-11,96.906
ALV GR Equity,1989-12-12,97.116
ALV GR Equity,1989-12-13,96.442
ALV GR Equity,1989-12-14,96.274
ALV GR Equity,1989-12-15,96.274
ALV GR Equity,1989-12-18,97.327
ALV GR Equity,1989-12-19,98.17
ALV GR Equity,1989-12-20,99.644
ALV GR Equity,1989-12-21,99.012
ALV GR Equity,1989-12-22,99.434
ALV GR Equity,1989-12-27,101.751
ALV GR Equity,1989-12-28,102.804
ALV GR Equity,1990-01-02,104.279
ALV GR Equity,1990-01-03,107.017
ALV GR Equity,1990-01-04,106.596
ALV GR Equity,1990-01-05,108.492
ALV GR Equity,1990-01-08,115.023
ALV GR Equity,1990-01-09,115.865
ALV GR Equity,1990-01-10,111.652
ALV GR Equity,1990-01-11,113.548
ALV GR Equity,1990-01-12,112.705
ALV GR Equity,1990-01-15,113.337
ALV GR Equity,1990-01-16,110.894
ALV GR Equity,1990-01-17,111.652
ALV GR Equity,1990-01-18,110.809
ALV GR Equity,1990-01-19,111.02
ALV GR Equity,1990-01-22,112.705
ALV GR Equity,1990-01-23,113.253
ALV GR Equity,1990-01-24,110.599
ALV GR Equity,1990-01-25,111.231
ALV GR Equity,1990-01-26,110.809
ALV GR Equity,1990-01-29,111.146
ALV GR Equity,1990-01-30,110.767
ALV GR Equity,1990-01-31,110.177
ALV GR Equity,1990-02-01,111.231
ALV GR Equity,1990-02-02,115.023
ALV GR Equity,1990-02-05,117.551
ALV GR Equity,1990-02-06,119.657
ALV GR Equity,1990-02-07,116.497
ALV GR Equity,1990-02-08,116.708
ALV GR Equity,1990-02-09,115.444
ALV GR Equity,1990-02-12,112.073
ALV GR Equity,1990-02-13,110.388
ALV GR Equity,1990-02-14,109.967
ALV GR Equity,1990-02-15,110.388
ALV GR Equity,1990-02-19,111.652
ALV GR Equity,1990-02-20,108.281
ALV GR Equity,1990-02-21,107.017
ALV GR Equity,1990-02-22,107.439
ALV GR Equity,1990-02-23,104.489
ALV GR Equity,1990-02-26,103.226
ALV GR Equity,1990-02-28,104.068
ALV GR Equity,1990-03-01,101.751
ALV GR Equity,1990-03-02,101.919
ALV GR Equity,1990-03-05,104.911
ALV GR Equity,1990-03-06,104.7
ALV GR Equity,1990-03-07,107.017
ALV GR Equity,1990-03-08,109.335
ALV GR Equity,1990-03-09,110.809
ALV GR Equity,1990-03-12,109.335
ALV GR Equity,1990-03-13,110.388
ALV GR Equity,1990-03-14,109.335
