name,date,PX_LAST
AV/ LN Equity,1999-01-04,16.87618
AV/ LN Equity,1999-01-05,17.20832
AV/ LN Equity,1999-01-06,18.34319
AV/ LN Equity,1999-01-07,17.98335
AV/ LN Equity,1999-01-08,17.68038
AV/ LN Equity,1999-01-11,17.17527
AV/ LN Equity,1999-01-12,17.13204
AV/ LN Equity,1999-01-13,16.53213
AV/ LN Equity,1999-01-14,16.0484
AV/ LN Equity,1999-01-15,16.19969
AV/ LN Equity,1999-01-18,17.09063
AV/ LN Equity,1999-01-19,16.54871
AV/ LN Equity,1999-01-20,16.30954
AV/ LN Equity,1999-01-21,16.04494
AV/ LN Equity,1999-01-22,15.52915
AV/ LN Equity,1999-01-25,15.95052
AV/ LN Equity,1999-01-26,15.97663
AV/ LN Equity,1999-01-27,16.60145
AV/ LN Equity,1999-01-28,16.81137
AV/ LN Equity,1999-01-29,16.69413
AV/ LN Equity,1999-02-01,17.09556
AV/ LN Equity,1999-02-02,17.64523
AV/ LN Equity,1999-02-03,16.98818
AV/ LN Equity,1999-02-04,17.12897
AV/ LN Equity,1999-02-05,16.67648
AV/ LN Equity,1999-02-08,16.22957
AV/ LN Equity,1999-02-09,16.14758
AV/ LN Equity,1999-02-10,16.13182
AV/ LN Equity,1999-02-11,16.56642
AV/ LN Equity,1999-02-12,17.17044
AV/ LN Equity,1999-02-15,17.57009
AV/ LN Equity,1999-02-16,18.54876
AV/ LN Equity,1999-02-17,18.82839
AV/ LN Equity,1999-02-18,18.92806
AV/ LN Equity,1999-02-19,18.674
AV/ LN Equity,1999-02-22,18.36091
AV/ LN Equity,1999-02-23,17.93229
AV/ LN Equity,1999-02-24,18.86383
AV/ LN Equity,1999-02-25,18.09988
AV/ LN Equity,1999-02-26,17.61586
AV/ LN Equity,1999-03-01,17.21452
AV/ LN Equity,1999-03-02,18.05141
AV/ LN Equity,1999-03-03,18.63104
AV/ LN Equity,1999-03-04,18.70714
AV/ LN Equity,1999-03-05,18.70309
AV/ LN Equity,1999-03-08,18.14285
AV/ LN Equity,1999-03-09,18.06898
AV/ LN Equity,1999-03-10,18.13162
AV/ LN Equity,1999-03-11,18.37155
AV/ LN Equity,1999-03-12,19.39083
AV/ LN Equity,1999-03-15,18.8809
AV/ LN Equity,1999-03-16,18.4463
AV/ LN Equity,1999-03-17,18.0087
AV/ LN Equity,1999-03-18,18.198
AV/ LN Equity,1999-03-19,18.60007
AV/ LN Equity,1999-03-22,18.64268
AV/ LN Equity,1999-03-23,18.43646
AV/ LN Equity,1999-03-24,18.23322
AV/ LN Equity,1999-03-25,18.48817
AV/ LN Equity,1999-03-26,18.40921
AV/ LN Equity,1999-03-29,19.07589
AV/ LN Equity,1999-03-30,19.38735
AV/ LN Equity,1999-03-31,18.9691
AV/ LN Equity,1999-04-01,18.27529
AV/ LN Equity,1999-04-06,19.0173
AV/ LN Equity,1999-04-07,19.52908
AV/ LN Equity,1999-04-08,19.55367
AV/ LN Equity,1999-04-09,20.12987
AV/ LN Equity,1999-04-12,19.56079
AV/ LN Equity,1999-04-13,20.22181
AV/ LN Equity,1999-04-14,20.21503
AV/ LN Equity,1999-04-15,20.00965
AV/ LN Equity,1999-04-16,19.61923
AV/ LN Equity,1999-04-19,19.46136
AV/ LN Equity,1999-04-20,18.77391
AV/ LN Equity,1999-04-21,18.53995
AV/ LN Equity,1999-04-22,18.63735
AV/ LN Equity,1999-04-23,18.72823
AV/ LN Equity,1999-04-26,19.20085
AV/ LN Equity,1999-04-27,19.64115
AV/ LN Equity,1999-04-28,19.56941
AV/ LN Equity,1999-04-29,19.33792
AV/ LN Equity,1999-04-30,19.62253
AV/ LN Equity,1999-05-04,19.38128
