name,date,PX_LAST
BALN SW Equity,1999-01-04,89.65742
BALN SW Equity,1999-01-05,90.1031
BALN SW Equity,1999-01-06,90.29881
BALN SW Equity,1999-01-07,84.96347
BALN SW Equity,1999-01-08,85.62916
BALN SW Equity,1999-01-11,82.60929
BALN SW Equity,1999-01-12,82.04187
BALN SW Equity,1999-01-13,81.05595
BALN SW Equity,1999-01-14,80.71
BALN SW Equity,1999-01-15,87.62159
BALN SW Equity,1999-01-18,85.01469
BALN SW Equity,1999-01-19,84.2679
BALN SW Equity,1999-01-20,83.28542
BALN SW Equity,1999-01-21,80.65651
BALN SW Equity,1999-01-22,79.524
BALN SW Equity,1999-01-25,82.96192
BALN SW Equity,1999-01-26,83.36622
BALN SW Equity,1999-01-27,82.22164
BALN SW Equity,1999-01-28,80.87885
BALN SW Equity,1999-01-29,82.70071
BALN SW Equity,1999-02-01,83.40365
BALN SW Equity,1999-02-02,82.73657
BALN SW Equity,1999-02-03,81.10389
BALN SW Equity,1999-02-04,81.39634
BALN SW Equity,1999-02-05,80.98189
BALN SW Equity,1999-02-08,79.86172
BALN SW Equity,1999-02-09,77.5701
BALN SW Equity,1999-02-10,76.38187
BALN SW Equity,1999-02-11,77.12283
BALN SW Equity,1999-02-12,78.21259
BALN SW Equity,1999-02-15,78.86011
BALN SW Equity,1999-02-16,79.38641
BALN SW Equity,1999-02-17,78.26546
BALN SW Equity,1999-02-18,76.93366
BALN SW Equity,1999-02-19,76.78898
BALN SW Equity,1999-02-22,78.798
BALN SW Equity,1999-02-23,79.8138
BALN SW Equity,1999-02-24,80.68442
BALN SW Equity,1999-02-25,79.59215
BALN SW Equity,1999-02-26,78.73914
BALN SW Equity,1999-03-01,76.90766
BALN SW Equity,1999-03-02,76.57406
BALN SW Equity,1999-03-03,76.08977
BALN SW Equity,1999-03-04,77.31472
BALN SW Equity,1999-03-05,76.69458
BALN SW Equity,1999-03-08,76.55958
BALN SW Equity,1999-03-09,77.64698
BALN SW Equity,1999-03-10,79.53213
BALN SW Equity,1999-03-11,80.19633
BALN SW Equity,1999-03-12,80.04161
BALN SW Equity,1999-03-15,79.57458
BALN SW Equity,1999-03-16,78.45644
BALN SW Equity,1999-03-17,80.70208
BALN SW Equity,1999-03-18,80.42759
BALN SW Equity,1999-03-19,81.02591
BALN SW Equity,1999-03-22,79.8316
BALN SW Equity,1999-03-23,79.02011
BALN SW Equity,1999-03-24,78.75539
BALN SW Equity,1999-03-25,78.97435
BALN SW Equity,1999-03-26,78.61957
BALN SW Equity,1999-03-29,79.36519
BALN SW Equity,1999-03-30,78.84062
BALN SW Equity,1999-03-31,79.54811
BALN SW Equity,1999-04-01,78.84941
BALN SW Equity,1999-04-06,78.83026
BALN SW Equity,1999-04-07,78.95075
BALN SW Equity,1999-04-08,78.63411
BALN SW Equity,1999-04-09,80.52027
BALN SW Equity,1999-04-12,80.78782
BALN SW Equity,1999-04-13,82.78003
BALN SW Equity,1999-04-14,82.89133
BALN SW Equity,1999-04-15,83.15526
BALN SW Equity,1999-04-16,78.98685
BALN SW Equity,1999-04-19,79.95128
BALN SW Equity,1999-04-20,78.66079
BALN SW Equity,1999-04-21,78.46309
BALN SW Equity,1999-04-22,77.01848
BALN SW Equity,1999-04-23,76.47337
BALN SW Equity,1999-04-26,76.65087
BALN SW Equity,1999-04-27,78.91936
BALN SW Equity,1999-04-28,77.61458
BALN SW Equity,1999-04-29,77.23288
BALN SW Equity,1999-04-30,77.42878
BALN SW Equity,1999-05-03,78.46959
BALN SW Equity,1999-05-04,78.95646
BALN SW Equity,1999-05-05,77.33663
BALN SW Equity,1999-05-06,76.4908
BALN SW Equity,1999-05-07,75.65223
BALN SW Equity,1999-05-10,77.1163
BALN SW Equity,1999-05-11,77.94238
BALN SW Equity,1999-05-12,76.7002
BALN SW Equity,1999-05-14,74.76368
BALN SW Equity,1999-05-17,73.5827
BALN SW Equity,1999-05-18,74.19713
BALN SW Equity,1999-05-19,73.67503
BALN SW Equity,1999-05-20,75.22058
BALN SW Equity,1999-05-21,74.81222
BALN SW Equity,1999-05-25,73.96133
BALN SW Equity,1999-05-26,72.92404
BALN SW Equity,1999-05-27,69.01917
BALN SW Equity,1999-05-28,68.75129
BALN SW Equity,1999-05-31,70.30547
BALN SW Equity,1999-06-01,71.0477
BALN SW Equity,1999-06-02,72.88849
BALN SW Equity,1999-06-03,74.12517
BALN SW Equity,1999-06-04,73.94904
BALN SW Equity,1999-06-07,74.35046
BALN SW Equity,1999-06-08,74.17127
BALN SW Equity,1999-06-09,74.02848
BALN SW Equity,1999-06-10,74.49653
BALN SW Equity,1999-06-11,76.30989
BALN SW Equity,1999-06-14,77.15462
BALN SW Equity,1999-06-15,77.72112
BALN SW Equity,1999-06-16,77.64482
BALN SW Equity,1999-06-17,78.00357
BALN SW Equity,1999-06-18,77.7689
BALN SW Equity,1999-06-21,78.33692
BALN SW Equity,1999-06-22,78.33412
BALN SW Equity,1999-06-23,77.54693
BALN SW Equity,1999-06-24,77.59586
BALN SW Equity,1999-06-25,76.92257
BALN SW Equity,1999-06-28,77.54368
BALN SW Equity,1999-06-29,77.90878
BALN SW Equity,1999-06-30,79.11209
BALN SW Equity,1999-07-01,80.33768
BALN SW Equity,1999-07-02,80.03836
BALN SW Equity,1999-07-05,80.51729
BALN SW Equity,1999-07-06,80.87586
BALN SW Equity,1999-07-07,80.96839
BALN SW Equity,1999-07-08,81.70003
BALN SW Equity,1999-07-09,81.23865
BALN SW Equity,1999-07-12,81.42748
BALN SW Equity,1999-07-13,80.94513
BALN SW Equity,1999-07-14,81.08799
BALN SW Equity,1999-07-15,80.63111
BALN SW Equity,1999-07-16,80.15304
BALN SW Equity,1999-07-19,80.07739
BALN SW Equity,1999-07-20,77.85956
BALN SW Equity,1999-07-21,76.90699
BALN SW Equity,1999-07-22,75.91263
BALN SW Equity,1999-07-23,73.96555
