name,date,PX_LAST
BEZ LN Equity,2002-11-11,1.07435
BEZ LN Equity,2002-11-12,1.1498
BEZ LN Equity,2002-11-13,1.15175
BEZ LN Equity,2002-11-14,1.1642
BEZ LN Equity,2002-11-15,1.16022
BEZ LN Equity,2002-11-18,1.16798
BEZ LN Equity,2002-11-19,1.17372
BEZ LN Equity,2002-11-20,1.16995
BEZ LN Equity,2002-11-21,1.17569
BEZ LN Equity,2002-11-22,1.2017
BEZ LN Equity,2002-11-25,1.21735
BEZ LN Equity,2002-11-26,1.20941
BEZ LN Equity,2002-11-27,1.20588
BEZ LN Equity,2002-11-28,1.25152
BEZ LN Equity,2002-11-29,1.25417
BEZ LN Equity,2002-12-02,1.2761
BEZ LN Equity,2002-12-03,1.32878
BEZ LN Equity,2002-12-04,1.34486
BEZ LN Equity,2002-12-05,1.34796
BEZ LN Equity,2002-12-06,1.33913
BEZ LN Equity,2002-12-09,1.39407
BEZ LN Equity,2002-12-10,1.37101
BEZ LN Equity,2002-12-11,1.392
BEZ LN Equity,2002-12-12,1.3675
BEZ LN Equity,2002-12-13,1.38659
BEZ LN Equity,2002-12-16,1.3883
BEZ LN Equity,2002-12-17,1.41324
BEZ LN Equity,2002-12-18,1.44171
BEZ LN Equity,2002-12-19,1.45073
BEZ LN Equity,2002-12-20,1.44776
BEZ LN Equity,2002-12-23,1.44612
BEZ LN Equity,2002-12-24,1.44509
BEZ LN Equity,2002-12-27,1.43638
BEZ LN Equity,2002-12-30,1.41417
BEZ LN Equity,2002-12-31,1.40836
BEZ LN Equity,2003-01-02,1.41444
BEZ LN Equity,2003-01-03,1.41798
BEZ LN Equity,2003-01-06,1.41045
BEZ LN Equity,2003-01-07,1.4007
BEZ LN Equity,2003-01-08,1.39474
BEZ LN Equity,2003-01-09,1.36347
BEZ LN Equity,2003-01-10,1.35607
BEZ LN Equity,2003-01-13,1.38048
BEZ LN Equity,2003-01-14,1.38288
BEZ LN Equity,2003-01-15,1.37836
BEZ LN Equity,2003-01-16,1.46094
BEZ LN Equity,2003-01-17,1.45788
BEZ LN Equity,2003-01-20,1.44771
BEZ LN Equity,2003-01-21,1.44855
BEZ LN Equity,2003-01-22,1.45543
BEZ LN Equity,2003-01-23,1.43354
BEZ LN Equity,2003-01-24,1.42007
BEZ LN Equity,2003-01-27,1.41308
BEZ LN Equity,2003-01-28,1.41989
BEZ LN Equity,2003-01-29,1.40979
BEZ LN Equity,2003-01-30,1.42631
BEZ LN Equity,2003-01-31,1.42934
BEZ LN Equity,2003-02-03,1.42771
BEZ LN Equity,2003-02-04,1.455
BEZ LN Equity,2003-02-05,1.45694
BEZ LN Equity,2003-02-06,1.42971
BEZ LN Equity,2003-02-07,1.42602
BEZ LN Equity,2003-02-10,1.43456
BEZ LN Equity,2003-02-11,1.44115
BEZ LN Equity,2003-02-12,1.43277
BEZ LN Equity,2003-02-13,1.42927
BEZ LN Equity,2003-02-14,1.43683
BEZ LN Equity,2003-02-17,1.43055
BEZ LN Equity,2003-02-18,1.4237
BEZ LN Equity,2003-02-19,1.39997
BEZ LN Equity,2003-02-20,1.38654
BEZ LN Equity,2003-02-21,1.37695
BEZ LN Equity,2003-02-24,1.37736
BEZ LN Equity,2003-02-25,1.34108
BEZ LN Equity,2003-02-26,1.33721
BEZ LN Equity,2003-02-27,1.34221
BEZ LN Equity,2003-02-28,1.33451
BEZ LN Equity,2003-03-03,1.32581
BEZ LN Equity,2003-03-04,1.33471
