name,date,PX_LAST
COFA FP Equity,2014-06-26,10.4
COFA FP Equity,2014-06-27,11.29
COFA FP Equity,2014-06-30,11.15
COFA FP Equity,2014-07-01,11.16
COFA FP Equity,2014-07-02,11.44
COFA FP Equity,2014-07-03,11.5
COFA FP Equity,2014-07-04,11.36
COFA FP Equity,2014-07-07,11.45
COFA FP Equity,2014-07-08,11.45
COFA FP Equity,2014-07-09,11.55
COFA FP Equity,2014-07-10,11.4
COFA FP Equity,2014-07-11,11.33
COFA FP Equity,2014-07-14,11.29
COFA FP Equity,2014-07-15,11.25
COFA FP Equity,2014-07-16,11.55
COFA FP Equity,2014-07-17,11.45
COFA FP Equity,2014-07-18,11.4
COFA FP Equity,2014-07-21,11.28
COFA FP Equity,2014-07-22,11.44
COFA FP Equity,2014-07-23,11.39
COFA FP Equity,2014-07-24,11.35
COFA FP Equity,2014-07-25,11.19
COFA FP Equity,2014-07-28,11.24
COFA FP Equity,2014-07-29,11.16
COFA FP Equity,2014-07-30,10.92
COFA FP Equity,2014-07-31,11.02
COFA FP Equity,2014-08-01,10.98
COFA FP Equity,2014-08-04,10.95
COFA FP Equity,2014-08-05,11.08
COFA FP Equity,2014-08-06,11.05
COFA FP Equity,2014-08-07,10.97
COFA FP Equity,2014-08-08,10.58
COFA FP Equity,2014-08-11,10.8
COFA FP Equity,2014-08-12,10.66
COFA FP Equity,2014-08-13,10.69
COFA FP Equity,2014-08-14,10.58
COFA FP Equity,2014-08-15,10.58
COFA FP Equity,2014-08-18,10.55
COFA FP Equity,2014-08-19,10.57
COFA FP Equity,2014-08-20,10.55
COFA FP Equity,2014-08-21,10.69
COFA FP Equity,2014-08-22,11.01
COFA FP Equity,2014-08-25,11.06
COFA FP Equity,2014-08-26,11.07
COFA FP Equity,2014-08-27,10.9
COFA FP Equity,2014-08-28,10.89
COFA FP Equity,2014-08-29,10.87
COFA FP Equity,2014-09-01,10.73
COFA FP Equity,2014-09-02,10.63
COFA FP Equity,2014-09-03,10.9
COFA FP Equity,2014-09-04,11.29
COFA FP Equity,2014-09-05,11.28
COFA FP Equity,2014-09-08,11.05
COFA FP Equity,2014-09-09,10.98
COFA FP Equity,2014-09-10,10.92
COFA FP Equity,2014-09-11,10.82
COFA FP Equity,2014-09-12,10.8
COFA FP Equity,2014-09-15,10.88
COFA FP Equity,2014-09-16,10.52
COFA FP Equity,2014-09-17,10.48
COFA FP Equity,2014-09-18,10.56
COFA FP Equity,2014-09-19,10.6
COFA FP Equity,2014-09-22,10.58
