name,date,PX_LAST
DFV GR Equity,2018-12-03,12.0
DFV GR Equity,2018-12-04,12.512
DFV GR Equity,2018-12-05,12.528
DFV GR Equity,2018-12-06,12.654
DFV GR Equity,2018-12-07,12.07
DFV GR Equity,2018-12-10,12.016
DFV GR Equity,2018-12-11,11.9
DFV GR Equity,2018-12-12,11.784
DFV GR Equity,2018-12-13,11.8
DFV GR Equity,2018-12-14,11.746
DFV GR Equity,2018-12-17,11.642
DFV GR Equity,2018-12-18,11.634
DFV GR Equity,2018-12-19,11.886
DFV GR Equity,2018-12-20,11.9
DFV GR Equity,2018-12-21,11.85
DFV GR Equity,2018-12-27,11.9
DFV GR Equity,2018-12-28,12.15
DFV GR Equity,2019-01-02,12.0
DFV GR Equity,2019-01-03,11.856
DFV GR Equity,2019-01-04,11.872
DFV GR Equity,2019-01-07,11.746
DFV GR Equity,2019-01-08,11.896
DFV GR Equity,2019-01-09,11.9
DFV GR Equity,2019-01-10,11.846
DFV GR Equity,2019-01-11,11.84
DFV GR Equity,2019-01-14,11.8
DFV GR Equity,2019-01-15,11.75
DFV GR Equity,2019-01-16,11.704
DFV GR Equity,2019-01-17,11.75
DFV GR Equity,2019-01-18,11.796
DFV GR Equity,2019-01-21,11.798
DFV GR Equity,2019-01-22,11.8
DFV GR Equity,2019-01-23,11.8
DFV GR Equity,2019-01-24,11.7
DFV GR Equity,2019-01-25,11.796
DFV GR Equity,2019-01-28,11.8
DFV GR Equity,2019-01-29,11.8
DFV GR Equity,2019-01-30,11.628
DFV GR Equity,2019-01-31,11.8
DFV GR Equity,2019-02-01,11.8
DFV GR Equity,2019-02-04,11.7
DFV GR Equity,2019-02-05,11.796
DFV GR Equity,2019-02-06,11.796
DFV GR Equity,2019-02-07,11.8
DFV GR Equity,2019-02-08,11.8
DFV GR Equity,2019-02-11,11.8
DFV GR Equity,2019-02-12,11.7
DFV GR Equity,2019-02-13,11.8
DFV GR Equity,2019-02-14,11.71
DFV GR Equity,2019-02-15,11.7
DFV GR Equity,2019-02-18,11.7
DFV GR Equity,2019-02-19,11.7
DFV GR Equity,2019-02-20,11.75
DFV GR Equity,2019-02-21,11.75
DFV GR Equity,2019-02-22,11.77
DFV GR Equity,2019-02-25,11.7
DFV GR Equity,2019-02-26,11.72
DFV GR Equity,2019-02-27,11.89
DFV GR Equity,2019-02-28,11.422
