name,date,PX_LAST
EUC PW Equity,2010-12-29,4.55822
EUC PW Equity,2010-12-30,4.55451
EUC PW Equity,2010-12-31,4.56369
EUC PW Equity,2011-01-03,4.58348
EUC PW Equity,2011-01-04,4.6175
EUC PW Equity,2011-01-05,4.66726
EUC PW Equity,2011-01-07,4.65541
EUC PW Equity,2011-01-10,4.6235
EUC PW Equity,2011-01-11,4.68613
EUC PW Equity,2011-01-12,4.75702
EUC PW Equity,2011-01-13,4.70975
EUC PW Equity,2011-01-14,4.70832
EUC PW Equity,2011-01-17,4.70392
EUC PW Equity,2011-01-18,4.70316
EUC PW Equity,2011-01-19,4.70189
EUC PW Equity,2011-01-20,4.66673
EUC PW Equity,2011-01-21,4.71516
EUC PW Equity,2011-01-24,4.71449
EUC PW Equity,2011-01-25,4.68078
EUC PW Equity,2011-01-26,4.67219
EUC PW Equity,2011-01-27,4.65205
EUC PW Equity,2011-01-28,4.61307
EUC PW Equity,2011-01-31,4.62889
EUC PW Equity,2011-02-01,4.653
EUC PW Equity,2011-02-02,4.66388
EUC PW Equity,2011-02-03,4.6697
EUC PW Equity,2011-02-04,4.6848
EUC PW Equity,2011-02-07,4.69193
EUC PW Equity,2011-02-08,4.69638
EUC PW Equity,2011-02-09,4.70678
EUC PW Equity,2011-02-10,4.75741
EUC PW Equity,2011-02-11,4.79352
EUC PW Equity,2011-02-14,4.8032
EUC PW Equity,2011-02-15,4.81817
EUC PW Equity,2011-02-16,4.85384
EUC PW Equity,2011-02-17,4.98165
EUC PW Equity,2011-02-18,5.03278
EUC PW Equity,2011-02-21,4.99114
EUC PW Equity,2011-02-22,4.9817
EUC PW Equity,2011-02-23,4.96613
EUC PW Equity,2011-02-24,4.93351
EUC PW Equity,2011-02-25,4.92154
EUC PW Equity,2011-02-28,4.94898
EUC PW Equity,2011-03-01,4.92658
EUC PW Equity,2011-03-02,4.90645
EUC PW Equity,2011-03-03,4.70942
EUC PW Equity,2011-03-04,4.69686
EUC PW Equity,2011-03-07,4.70437
EUC PW Equity,2011-03-08,4.6927
EUC PW Equity,2011-03-09,4.66549
EUC PW Equity,2011-03-10,4.59718
EUC PW Equity,2011-03-11,4.59718
EUC PW Equity,2011-03-14,4.56733
EUC PW Equity,2011-03-15,4.45144
