name,date,PX_LAST
FBD ID Equity,1996-07-19,2.603
FBD ID Equity,1996-07-29,2.603
FBD ID Equity,1996-08-08,2.603
FBD ID Equity,1996-08-27,2.603
FBD ID Equity,1996-08-29,2.603
FBD ID Equity,1996-09-02,2.6284
FBD ID Equity,1996-09-04,2.603
FBD ID Equity,1996-09-05,2.603
FBD ID Equity,1996-09-06,2.603
FBD ID Equity,1996-09-10,2.6664
FBD ID Equity,1996-09-12,2.6664
FBD ID Equity,1996-09-13,2.7299
FBD ID Equity,1996-09-16,2.6887
FBD ID Equity,1996-09-17,2.7299
FBD ID Equity,1996-09-25,2.7299
FBD ID Equity,1996-10-01,2.6664
FBD ID Equity,1996-10-09,2.603
FBD ID Equity,1996-10-10,2.603
FBD ID Equity,1996-10-22,2.7299
FBD ID Equity,1996-10-31,2.6664
FBD ID Equity,1996-11-08,2.6284
FBD ID Equity,1996-11-19,2.603
FBD ID Equity,1996-11-21,2.6284
FBD ID Equity,1996-11-22,2.6284
FBD ID Equity,1996-12-03,2.6664
FBD ID Equity,1996-12-10,2.7299
FBD ID Equity,1996-12-12,2.7299
FBD ID Equity,1996-12-17,2.7299
FBD ID Equity,1996-12-20,2.7299
FBD ID Equity,1997-01-16,2.768
FBD ID Equity,1997-01-17,2.768
FBD ID Equity,1997-01-23,2.7934
FBD ID Equity,1997-01-28,2.8061
FBD ID Equity,1997-01-31,2.8569
FBD ID Equity,1997-02-12,2.8569
FBD ID Equity,1997-02-18,2.895
FBD ID Equity,1997-02-20,2.9204
FBD ID Equity,1997-02-24,2.9204
FBD ID Equity,1997-02-25,3.0474
FBD ID Equity,1997-02-27,3.0474
FBD ID Equity,1997-02-28,3.0601
FBD ID Equity,1997-03-03,3.0601
FBD ID Equity,1997-03-05,3.0601
FBD ID Equity,1997-03-06,3.0601
FBD ID Equity,1997-03-07,3.1109
FBD ID Equity,1997-03-11,3.1236
FBD ID Equity,1997-03-13,3.1363
FBD ID Equity,1997-03-18,3.1363
FBD ID Equity,1997-03-19,3.1743
FBD ID Equity,1997-03-20,3.1743
FBD ID Equity,1997-03-24,3.149
FBD ID Equity,1997-03-26,3.1743
FBD ID Equity,1997-04-01,3.1743
FBD ID Equity,1997-04-02,3.1743
FBD ID Equity,1997-04-03,3.1743
FBD ID Equity,1997-04-04,3.1743
FBD ID Equity,1997-04-07,3.1109
FBD ID Equity,1997-04-08,3.3235
FBD ID Equity,1997-04-09,3.1363
FBD ID Equity,1997-04-11,3.1743
FBD ID Equity,1997-04-14,3.1204
FBD ID Equity,1997-04-15,3.1109
FBD ID Equity,1997-04-23,3.1109
FBD ID Equity,1997-04-25,3.1109
FBD ID Equity,1997-04-29,3.1743
FBD ID Equity,1997-05-07,3.1109
FBD ID Equity,1997-05-09,3.3839
FBD ID Equity,1997-05-15,3.3648
FBD ID Equity,1997-05-20,3.3267
FBD ID Equity,1997-05-29,3.3013
FBD ID Equity,1997-06-04,3.3013
FBD ID Equity,1997-06-10,3.2632
FBD ID Equity,1997-06-12,3.2632
FBD ID Equity,1997-06-23,3.2505
FBD ID Equity,1997-06-27,3.3013
FBD ID Equity,1997-07-01,3.3013
FBD ID Equity,1997-07-03,3.3648
FBD ID Equity,1997-07-04,3.3902
FBD ID Equity,1997-07-08,3.3902
FBD ID Equity,1997-07-14,3.3902
FBD ID Equity,1997-07-21,3.3902
FBD ID Equity,1997-07-22,3.3902
FBD ID Equity,1997-07-23,3.3902
FBD ID Equity,1997-07-24,3.3902
FBD ID Equity,1997-07-28,3.3902
FBD ID Equity,1997-07-29,3.3902
FBD ID Equity,1997-07-30,3.4283
FBD ID Equity,1997-07-31,3.4537
FBD ID Equity,1997-08-01,3.4537
FBD ID Equity,1997-08-08,3.5553
FBD ID Equity,1997-08-12,3.5553
FBD ID Equity,1997-08-13,3.6188
FBD ID Equity,1997-08-14,3.7457
FBD ID Equity,1997-08-21,3.6822
FBD ID Equity,1997-08-22,3.7457
FBD ID Equity,1997-08-26,3.7457
FBD ID Equity,1997-08-27,3.7457
FBD ID Equity,1997-08-29,3.7457
FBD ID Equity,1997-09-03,3.8092
FBD ID Equity,1997-09-05,3.8092
FBD ID Equity,1997-09-08,3.8092
FBD ID Equity,1997-09-11,3.8727
FBD ID Equity,1997-09-15,3.8092
FBD ID Equity,1997-09-22,3.8092
FBD ID Equity,1997-09-24,3.6188
FBD ID Equity,1997-09-26,3.7457
FBD ID Equity,1997-09-30,3.8092
FBD ID Equity,1997-10-02,3.8092
FBD ID Equity,1997-10-06,3.8092
FBD ID Equity,1997-10-13,3.8092
FBD ID Equity,1997-10-15,3.9362
FBD ID Equity,1997-10-17,3.9362
FBD ID Equity,1997-10-24,3.9997
FBD ID Equity,1997-11-10,3.9997
FBD ID Equity,1997-11-13,3.9997
FBD ID Equity,1997-11-19,3.9997
FBD ID Equity,1997-11-25,4.0632
FBD ID Equity,1997-12-09,4.1901
FBD ID Equity,1997-12-10,4.4441
FBD ID Equity,1997-12-16,4.4441
FBD ID Equity,1997-12-18,4.4441
FBD ID Equity,1997-12-22,4.4441
FBD ID Equity,1997-12-23,4.4441
FBD ID Equity,1997-12-30,4.4441
FBD ID Equity,1997-12-31,4.5076
FBD ID Equity,1998-01-02,4.5711
FBD ID Equity,1998-01-06,4.5711
FBD ID Equity,1998-01-07,4.5711
FBD ID Equity,1998-01-14,4.698
FBD ID Equity,1998-01-22,4.698
FBD ID Equity,1998-01-26,4.698
FBD ID Equity,1998-01-30,4.825
FBD ID Equity,1998-02-05,5.3329
FBD ID Equity,1998-02-06,5.4599
FBD ID Equity,1998-02-09,5.5868
FBD ID Equity,1998-02-12,5.5868
FBD ID Equity,1998-02-16,5.5868
FBD ID Equity,1998-02-17,5.6122
