name,date,PX_LAST
HELN SW Equity,1999-01-04,37.32568
HELN SW Equity,1999-01-05,36.73719
HELN SW Equity,1999-01-06,36.94772
HELN SW Equity,1999-01-07,36.45623
HELN SW Equity,1999-01-08,36.42306
HELN SW Equity,1999-01-11,36.59544
HELN SW Equity,1999-01-12,36.7302
HELN SW Equity,1999-01-13,34.67111
HELN SW Equity,1999-01-14,34.97253
HELN SW Equity,1999-01-15,34.41658
HELN SW Equity,1999-01-18,34.01512
HELN SW Equity,1999-01-19,34.28533
HELN SW Equity,1999-01-20,34.01204
HELN SW Equity,1999-01-21,33.23095
HELN SW Equity,1999-01-22,32.99387
HELN SW Equity,1999-01-25,33.47386
HELN SW Equity,1999-01-26,34.09592
HELN SW Equity,1999-01-27,34.30213
HELN SW Equity,1999-01-28,33.91508
HELN SW Equity,1999-01-29,33.46007
HELN SW Equity,1999-02-01,33.60949
HELN SW Equity,1999-02-02,34.59754
HELN SW Equity,1999-02-03,33.00225
HELN SW Equity,1999-02-04,33.04499
HELN SW Equity,1999-02-05,34.16775
HELN SW Equity,1999-02-08,34.14264
HELN SW Equity,1999-02-09,33.58091
HELN SW Equity,1999-02-10,33.71754
HELN SW Equity,1999-02-11,33.63078
HELN SW Equity,1999-02-12,32.9561
HELN SW Equity,1999-02-15,33.25064
HELN SW Equity,1999-02-16,33.37779
HELN SW Equity,1999-02-17,32.21302
HELN SW Equity,1999-02-18,32.37385
HELN SW Equity,1999-02-19,32.88236
HELN SW Equity,1999-02-22,32.36889
HELN SW Equity,1999-02-23,32.90607
HELN SW Equity,1999-02-24,32.78531
HELN SW Equity,1999-02-25,32.8528
HELN SW Equity,1999-02-26,32.75968
HELN SW Equity,1999-03-01,32.63815
HELN SW Equity,1999-03-02,32.34354
HELN SW Equity,1999-03-03,32.83474
HELN SW Equity,1999-03-04,34.68311
HELN SW Equity,1999-03-05,34.34487
HELN SW Equity,1999-03-08,36.17212
HELN SW Equity,1999-03-09,36.69384
HELN SW Equity,1999-03-10,35.98294
HELN SW Equity,1999-03-11,36.51436
HELN SW Equity,1999-03-12,36.38679
HELN SW Equity,1999-03-15,36.00327
HELN SW Equity,1999-03-16,34.32521
HELN SW Equity,1999-03-17,34.68928
HELN SW Equity,1999-03-18,34.5362
HELN SW Equity,1999-03-19,34.80977
HELN SW Equity,1999-03-22,34.54914
HELN SW Equity,1999-03-23,35.20499
HELN SW Equity,1999-03-24,33.79496
HELN SW Equity,1999-03-25,34.2992
HELN SW Equity,1999-03-26,32.93149
HELN SW Equity,1999-03-29,32.988
HELN SW Equity,1999-03-30,33.75604
HELN SW Equity,1999-03-31,32.87674
HELN SW Equity,1999-04-01,32.54498
HELN SW Equity,1999-04-06,33.14801
HELN SW Equity,1999-04-07,33.67224
HELN SW Equity,1999-04-08,33.83194
HELN SW Equity,1999-04-09,34.91609
HELN SW Equity,1999-04-12,35.50508
HELN SW Equity,1999-04-13,36.06107
HELN SW Equity,1999-04-14,35.52669
HELN SW Equity,1999-04-15,35.04797
HELN SW Equity,1999-04-16,34.31141
HELN SW Equity,1999-04-19,33.61125
HELN SW Equity,1999-04-20,33.30894
HELN SW Equity,1999-04-21,32.78738
HELN SW Equity,1999-04-22,33.01433
HELN SW Equity,1999-04-23,32.88087
HELN SW Equity,1999-04-26,33.019
HELN SW Equity,1999-04-27,33.20759
HELN SW Equity,1999-04-28,34.91156
HELN SW Equity,1999-04-29,35.44687
HELN SW Equity,1999-04-30,35.93178
HELN SW Equity,1999-05-03,37.17007
HELN SW Equity,1999-05-04,36.17624
HELN SW Equity,1999-05-05,35.69394
HELN SW Equity,1999-05-06,35.78762
HELN SW Equity,1999-05-07,35.80426
HELN SW Equity,1999-05-10,35.45045
HELN SW Equity,1999-05-11,35.68516
HELN SW Equity,1999-05-12,35.29015
HELN SW Equity,1999-05-14,35.51458
HELN SW Equity,1999-05-17,34.97728
HELN SW Equity,1999-05-18,34.8308
HELN SW Equity,1999-05-19,34.87881
HELN SW Equity,1999-05-20,34.70055
HELN SW Equity,1999-05-21,34.11613
HELN SW Equity,1999-05-25,33.87102
HELN SW Equity,1999-05-26,33.34093
HELN SW Equity,1999-05-27,33.76341
HELN SW Equity,1999-05-28,33.96011
HELN SW Equity,1999-05-31,33.83892
HELN SW Equity,1999-06-01,33.66099
HELN SW Equity,1999-06-02,33.09559
HELN SW Equity,1999-06-03,33.20124
HELN SW Equity,1999-06-04,35.7315
HELN SW Equity,1999-06-07,35.4859
HELN SW Equity,1999-06-08,36.34416
HELN SW Equity,1999-06-09,36.87712
HELN SW Equity,1999-06-10,35.97053
HELN SW Equity,1999-06-11,36.54192
HELN SW Equity,1999-06-14,35.72738
HELN SW Equity,1999-06-15,35.8714
HELN SW Equity,1999-06-17,35.71432
HELN SW Equity,1999-06-18,35.66417
HELN SW Equity,1999-06-21,35.72348
HELN SW Equity,1999-06-22,35.7222
HELN SW Equity,1999-06-23,35.706
HELN SW Equity,1999-06-24,35.10017
HELN SW Equity,1999-06-25,35.36369
HELN SW Equity,1999-06-28,35.84654
HELN SW Equity,1999-06-29,35.52824
HELN SW Equity,1999-06-30,35.53639
HELN SW Equity,1999-07-01,35.35787
HELN SW Equity,1999-07-02,36.24393
HELN SW Equity,1999-07-05,36.37648
HELN SW Equity,1999-07-06,35.82917
HELN SW Equity,1999-07-07,36.83815
HELN SW Equity,1999-07-08,37.37081
HELN SW Equity,1999-07-09,37.6145
HELN SW Equity,1999-07-12,38.21245
HELN SW Equity,1999-07-13,38.22004
HELN SW Equity,1999-07-14,39.50571
HELN SW Equity,1999-07-15,39.46707
HELN SW Equity,1999-07-16,38.73682
HELN SW Equity,1999-07-19,39.24743
HELN SW Equity,1999-07-20,37.77816
HELN SW Equity,1999-07-21,37.6272
HELN SW Equity,1999-07-22,38.13361
HELN SW Equity,1999-07-23,38.07771
HELN SW Equity,1999-07-26,36.92722
HELN SW Equity,1999-07-27,37.33815
HELN SW Equity,1999-07-28,37.65571
HELN SW Equity,1999-07-29,36.56814
HELN SW Equity,1999-07-30,36.83654
HELN SW Equity,1999-08-02,36.77147
HELN SW Equity,1999-08-03,37.34958
HELN SW Equity,1999-08-04,37.31227
HELN SW Equity,1999-08-05,35.91924
HELN SW Equity,1999-08-06,36.39982
HELN SW Equity,1999-08-09,35.87612
HELN SW Equity,1999-08-10,35.72972
HELN SW Equity,1999-08-11,35.73732
HELN SW Equity,1999-08-12,36.43364
HELN SW Equity,1999-08-13,36.65544
HELN SW Equity,1999-08-17,36.59689
HELN SW Equity,1999-08-18,36.75327
HELN SW Equity,1999-08-19,36.21468
HELN SW Equity,1999-08-20,35.74197
HELN SW Equity,1999-08-23,36.04558
HELN SW Equity,1999-08-24,36.43636
HELN SW Equity,1999-08-25,35.8625
HELN SW Equity,1999-08-26,36.38292
HELN SW Equity,1999-08-27,36.73878
HELN SW Equity,1999-08-30,36.70984
HELN SW Equity,1999-08-31,35.34889
HELN SW Equity,1999-09-01,34.74425
HELN SW Equity,1999-09-02,34.86976
HELN SW Equity,1999-09-03,35.227
HELN SW Equity,1999-09-06,36.39482
HELN SW Equity,1999-09-07,36.20511
HELN SW Equity,1999-09-08,36.62062
HELN SW Equity,1999-09-09,36.69071
HELN SW Equity,1999-09-10,36.38227
HELN SW Equity,1999-09-13,36.08015
HELN SW Equity,1999-09-14,36.34092
HELN SW Equity,1999-09-15,35.94696
HELN SW Equity,1999-09-16,35.54561
HELN SW Equity,1999-09-17,35.37545
HELN SW Equity,1999-09-20,35.48601
HELN SW Equity,1999-09-21,34.72336
HELN SW Equity,1999-09-22,34.43019
HELN SW Equity,1999-09-23,35.56584
HELN SW Equity,1999-09-24,35.86661
HELN SW Equity,1999-09-27,35.39971
HELN SW Equity,1999-09-28,34.88016
HELN SW Equity,1999-09-29,35.37229
HELN SW Equity,1999-09-30,35.0791
HELN SW Equity,1999-10-01,35.82829
HELN SW Equity,1999-10-04,35.78164
HELN SW Equity,1999-10-05,35.36727
HELN SW Equity,1999-10-06,35.38857
HELN SW Equity,1999-10-07,35.33922
HELN SW Equity,1999-10-08,35.99466
HELN SW Equity,1999-10-11,36.6465
HELN SW Equity,1999-10-12,36.67975
HELN SW Equity,1999-10-13,36.6853
HELN SW Equity,1999-10-14,36.70454
HELN SW Equity,1999-10-15,36.606
HELN SW Equity,1999-10-18,37.06585
HELN SW Equity,1999-10-19,35.8471
HELN SW Equity,1999-10-20,36.85337
HELN SW Equity,1999-10-21,36.94781
HELN SW Equity,1999-10-22,36.96671
HELN SW Equity,1999-10-25,37.38952
HELN SW Equity,1999-10-26,37.046
HELN SW Equity,1999-10-27,36.34585
HELN SW Equity,1999-10-28,36.97526
HELN SW Equity,1999-10-29,36.50301
HELN SW Equity,1999-11-01,36.42066
HELN SW Equity,1999-11-02,36.64659
HELN SW Equity,1999-11-03,37.13784
HELN SW Equity,1999-11-04,37.24302
HELN SW Equity,1999-11-05,37.42308
HELN SW Equity,1999-11-08,36.98968
HELN SW Equity,1999-11-09,37.11277
HELN SW Equity,1999-11-10,37.1636
