name,date,PX_LAST
JUST LN Equity,2013-11-11,2.65327
JUST LN Equity,2013-11-12,2.4946
JUST LN Equity,2013-11-13,2.32403
JUST LN Equity,2013-11-14,2.32464
JUST LN Equity,2013-11-15,2.30408
JUST LN Equity,2013-11-18,2.31112
JUST LN Equity,2013-11-19,2.23852
JUST LN Equity,2013-11-20,2.27968
JUST LN Equity,2013-11-21,2.24475
JUST LN Equity,2013-11-22,2.20838
JUST LN Equity,2013-11-25,2.22214
JUST LN Equity,2013-11-26,2.27401
JUST LN Equity,2013-11-27,2.33671
JUST LN Equity,2013-11-28,2.37352
JUST LN Equity,2013-11-29,2.38857
JUST LN Equity,2013-12-02,2.39102
JUST LN Equity,2013-12-03,2.38088
JUST LN Equity,2013-12-04,2.38514
JUST LN Equity,2013-12-05,2.35534
JUST LN Equity,2013-12-06,2.36929
JUST LN Equity,2013-12-09,2.39473
JUST LN Equity,2013-12-10,2.36143
JUST LN Equity,2013-12-11,2.36134
JUST LN Equity,2013-12-12,2.31553
JUST LN Equity,2013-12-13,2.26148
JUST LN Equity,2013-12-16,2.26719
JUST LN Equity,2013-12-17,2.24509
JUST LN Equity,2013-12-18,2.2768
JUST LN Equity,2013-12-19,2.34433
JUST LN Equity,2013-12-20,2.33023
JUST LN Equity,2013-12-23,2.351
JUST LN Equity,2013-12-24,2.33746
JUST LN Equity,2013-12-27,2.35737
JUST LN Equity,2013-12-30,2.35561
JUST LN Equity,2013-12-31,2.49564
JUST LN Equity,2014-01-02,2.4264
JUST LN Equity,2014-01-03,2.43054
JUST LN Equity,2014-01-06,2.48788
JUST LN Equity,2014-01-07,2.46753
JUST LN Equity,2014-01-08,2.54122
JUST LN Equity,2014-01-09,2.57706
JUST LN Equity,2014-01-10,2.56384
JUST LN Equity,2014-01-13,2.54964
JUST LN Equity,2014-01-14,2.52115
JUST LN Equity,2014-01-15,2.59472
JUST LN Equity,2014-01-16,2.71179
JUST LN Equity,2014-01-17,2.93312
JUST LN Equity,2014-01-20,2.92022
JUST LN Equity,2014-01-21,2.88653
JUST LN Equity,2014-01-22,2.95241
JUST LN Equity,2014-01-23,2.9958
JUST LN Equity,2014-01-24,2.86385
JUST LN Equity,2014-01-27,2.87205
JUST LN Equity,2014-01-28,2.95078
JUST LN Equity,2014-01-29,2.91526
JUST LN Equity,2014-01-30,2.89936
JUST LN Equity,2014-01-31,3.01087
JUST LN Equity,2014-02-03,3.02591
JUST LN Equity,2014-02-04,3.0153
JUST LN Equity,2014-02-05,3.04823
JUST LN Equity,2014-02-06,2.97989
JUST LN Equity,2014-02-07,2.97605
JUST LN Equity,2014-02-10,3.00691
JUST LN Equity,2014-02-11,2.98191
JUST LN Equity,2014-02-12,3.03554
JUST LN Equity,2014-02-13,2.93588
JUST LN Equity,2014-02-14,2.91277
JUST LN Equity,2014-02-17,2.90626
JUST LN Equity,2014-02-18,2.89387
JUST LN Equity,2014-02-19,2.88711
JUST LN Equity,2014-02-20,2.89139
JUST LN Equity,2014-02-21,2.87317
JUST LN Equity,2014-02-24,2.88894
JUST LN Equity,2014-02-25,2.84959
JUST LN Equity,2014-02-26,2.87686
JUST LN Equity,2014-02-27,2.88865
JUST LN Equity,2014-02-28,3.02589
JUST LN Equity,2014-03-03,3.07345
JUST LN Equity,2014-03-04,3.17953
JUST LN Equity,2014-03-05,3.25377
JUST LN Equity,2014-03-06,3.24221
JUST LN Equity,2014-03-07,3.24344
JUST LN Equity,2014-03-10,3.16844
JUST LN Equity,2014-03-11,3.20134
JUST LN Equity,2014-03-12,3.1792
JUST LN Equity,2014-03-13,3.17578
JUST LN Equity,2014-03-14,3.11749
JUST LN Equity,2014-03-17,3.16751
JUST LN Equity,2014-03-18,3.15164
JUST LN Equity,2014-03-19,1.82208
JUST LN Equity,2014-03-20,1.72067
