name,date,PX_LAST
LDA SM Equity,2021-04-29,1.622
LDA SM Equity,2021-04-30,1.63
LDA SM Equity,2021-05-03,1.6
LDA SM Equity,2021-05-04,1.562
LDA SM Equity,2021-05-05,1.599
LDA SM Equity,2021-05-06,1.603
LDA SM Equity,2021-05-07,1.603
LDA SM Equity,2021-05-10,1.607
LDA SM Equity,2021-05-11,1.6
LDA SM Equity,2021-05-12,1.592
LDA SM Equity,2021-05-13,1.568
LDA SM Equity,2021-05-14,1.55
LDA SM Equity,2021-05-17,1.566
LDA SM Equity,2021-05-18,1.559
LDA SM Equity,2021-05-19,1.6
LDA SM Equity,2021-05-20,1.6
LDA SM Equity,2021-05-21,1.62
LDA SM Equity,2021-05-24,1.59
LDA SM Equity,2021-05-25,1.591
LDA SM Equity,2021-05-26,1.6
LDA SM Equity,2021-05-27,1.587
LDA SM Equity,2021-05-28,1.6
LDA SM Equity,2021-05-31,1.704
LDA SM Equity,2021-06-01,1.7
LDA SM Equity,2021-06-02,1.699
LDA SM Equity,2021-06-03,1.679
LDA SM Equity,2021-06-04,1.72
LDA SM Equity,2021-06-07,1.788
LDA SM Equity,2021-06-08,1.829
LDA SM Equity,2021-06-09,1.83
LDA SM Equity,2021-06-10,1.87
LDA SM Equity,2021-06-11,1.895
LDA SM Equity,2021-06-14,1.909
LDA SM Equity,2021-06-15,1.852
LDA SM Equity,2021-06-16,1.797
LDA SM Equity,2021-06-17,1.782
LDA SM Equity,2021-06-18,1.728
LDA SM Equity,2021-06-21,1.7605
LDA SM Equity,2021-06-22,1.763
LDA SM Equity,2021-06-23,1.733
LDA SM Equity,2021-06-24,1.795
LDA SM Equity,2021-06-25,1.783
LDA SM Equity,2021-06-28,1.75
LDA SM Equity,2021-06-29,1.795
LDA SM Equity,2021-06-30,1.767
LDA SM Equity,2021-07-01,1.759
LDA SM Equity,2021-07-02,1.809
LDA SM Equity,2021-07-05,1.815
LDA SM Equity,2021-07-06,1.82
LDA SM Equity,2021-07-07,1.797
