name,date,PX_LAST
LGEN LN Equity,1999-01-04,2.43674
LGEN LN Equity,1999-01-05,2.44591
LGEN LN Equity,1999-01-06,2.70442
LGEN LN Equity,1999-01-07,2.61328
LGEN LN Equity,1999-01-08,2.64529
LGEN LN Equity,1999-01-11,2.64071
LGEN LN Equity,1999-01-12,2.59802
LGEN LN Equity,1999-01-13,2.51039
LGEN LN Equity,1999-01-14,2.51818
LGEN LN Equity,1999-01-15,2.62264
LGEN LN Equity,1999-01-18,2.68976
LGEN LN Equity,1999-01-19,2.65877
LGEN LN Equity,1999-01-20,2.69932
LGEN LN Equity,1999-01-21,2.764
LGEN LN Equity,1999-01-22,2.75264
LGEN LN Equity,1999-01-25,2.71618
LGEN LN Equity,1999-01-26,2.71742
LGEN LN Equity,1999-01-27,2.76495
LGEN LN Equity,1999-01-28,2.90867
LGEN LN Equity,1999-01-29,2.91808
LGEN LN Equity,1999-02-01,3.06628
LGEN LN Equity,1999-02-02,3.11539
LGEN LN Equity,1999-02-03,2.9461
LGEN LN Equity,1999-02-04,2.91235
LGEN LN Equity,1999-02-05,2.91003
LGEN LN Equity,1999-02-08,2.82886
LGEN LN Equity,1999-02-09,2.77974
LGEN LN Equity,1999-02-10,2.75262
LGEN LN Equity,1999-02-11,2.73746
LGEN LN Equity,1999-02-12,2.90327
LGEN LN Equity,1999-02-15,2.91971
LGEN LN Equity,1999-02-16,2.95204
LGEN LN Equity,1999-02-17,2.87679
LGEN LN Equity,1999-02-18,2.88909
LGEN LN Equity,1999-02-19,2.94752
LGEN LN Equity,1999-02-22,2.94699
LGEN LN Equity,1999-02-23,3.00948
LGEN LN Equity,1999-02-24,3.03215
LGEN LN Equity,1999-02-25,2.65551
LGEN LN Equity,1999-02-26,2.59812
LGEN LN Equity,1999-03-01,2.54303
LGEN LN Equity,1999-03-02,2.53971
LGEN LN Equity,1999-03-03,2.63073
LGEN LN Equity,1999-03-04,2.68131
LGEN LN Equity,1999-03-05,2.65813
LGEN LN Equity,1999-03-08,2.6391
LGEN LN Equity,1999-03-09,2.67386
LGEN LN Equity,1999-03-10,2.67981
LGEN LN Equity,1999-03-11,2.74217
LGEN LN Equity,1999-03-12,2.71875
LGEN LN Equity,1999-03-15,2.60504
LGEN LN Equity,1999-03-16,2.64919
LGEN LN Equity,1999-03-17,2.59279
LGEN LN Equity,1999-03-18,2.48205
LGEN LN Equity,1999-03-19,2.52049
LGEN LN Equity,1999-03-22,2.4793
LGEN LN Equity,1999-03-23,2.40185
LGEN LN Equity,1999-03-24,2.34855
LGEN LN Equity,1999-03-25,2.35711
LGEN LN Equity,1999-03-26,2.41511
LGEN LN Equity,1999-03-29,2.47199
LGEN LN Equity,1999-03-30,2.51533
LGEN LN Equity,1999-03-31,2.49801
LGEN LN Equity,1999-04-01,2.40475
LGEN LN Equity,1999-04-06,2.44546
LGEN LN Equity,1999-04-07,2.46028
LGEN LN Equity,1999-04-08,2.54744
LGEN LN Equity,1999-04-09,2.67611
LGEN LN Equity,1999-04-12,2.62128
LGEN LN Equity,1999-04-13,2.69005
LGEN LN Equity,1999-04-14,2.68008
LGEN LN Equity,1999-04-15,2.61986
LGEN LN Equity,1999-04-16,2.52393
LGEN LN Equity,1999-04-19,2.54523
LGEN LN Equity,1999-04-20,2.49979
LGEN LN Equity,1999-04-21,2.44913
LGEN LN Equity,1999-04-22,2.44151
