name,date,PX_LAST
MAP SM Equity,1989-10-02,1.9346
MAP SM Equity,1989-10-04,1.963
MAP SM Equity,1989-10-05,1.9535
MAP SM Equity,1989-10-06,1.9535
MAP SM Equity,1989-10-09,1.9649
MAP SM Equity,1989-10-10,1.9763
MAP SM Equity,1989-10-12,1.9839
MAP SM Equity,1989-10-13,1.9649
MAP SM Equity,1989-10-16,1.9289
MAP SM Equity,1989-10-17,1.8587
MAP SM Equity,1989-10-18,1.8303
MAP SM Equity,1989-10-20,1.8208
MAP SM Equity,1989-10-23,1.8966
MAP SM Equity,1989-10-24,1.8322
MAP SM Equity,1989-10-25,1.8075
MAP SM Equity,1989-10-27,1.4092
MAP SM Equity,1989-10-30,1.6122
MAP SM Equity,1989-10-31,1.669
MAP SM Equity,1989-11-01,1.669
MAP SM Equity,1989-11-02,1.6728
MAP SM Equity,1989-11-03,1.6501
MAP SM Equity,1989-11-06,1.5723
MAP SM Equity,1989-11-08,1.5173
MAP SM Equity,1989-11-10,1.5363
MAP SM Equity,1989-11-13,1.5742
MAP SM Equity,1989-11-14,1.542
MAP SM Equity,1989-11-16,1.4832
MAP SM Equity,1989-11-17,1.4756
MAP SM Equity,1989-11-20,1.5021
MAP SM Equity,1989-11-21,1.4794
MAP SM Equity,1989-11-22,1.4984
MAP SM Equity,1989-11-23,1.5458
MAP SM Equity,1989-11-24,1.5837
MAP SM Equity,1989-11-27,1.6653
MAP SM Equity,1989-11-28,1.6406
MAP SM Equity,1989-11-29,1.6406
MAP SM Equity,1989-11-30,1.6216
MAP SM Equity,1989-12-01,1.6349
MAP SM Equity,1989-12-04,1.6254
MAP SM Equity,1989-12-05,1.6463
MAP SM Equity,1989-12-06,1.6425
MAP SM Equity,1989-12-07,1.6463
MAP SM Equity,1989-12-08,1.6311
MAP SM Equity,1989-12-11,1.6387
MAP SM Equity,1989-12-12,1.6425
MAP SM Equity,1989-12-13,1.6406
MAP SM Equity,1989-12-14,1.6368
MAP SM Equity,1989-12-15,1.6425
MAP SM Equity,1989-12-18,1.6406
MAP SM Equity,1989-12-19,1.6425
MAP SM Equity,1989-12-20,1.6425
MAP SM Equity,1989-12-21,1.633
MAP SM Equity,1989-12-22,1.6311
MAP SM Equity,1989-12-26,1.6216
MAP SM Equity,1989-12-27,1.6122
MAP SM Equity,1989-12-28,1.6254
MAP SM Equity,1989-12-29,1.5913
MAP SM Equity,1990-01-02,1.5704
MAP SM Equity,1990-01-03,1.5799
MAP SM Equity,1990-01-04,1.5742
MAP SM Equity,1990-01-05,1.578
MAP SM Equity,1990-01-08,1.5837
MAP SM Equity,1990-01-09,1.5989
MAP SM Equity,1990-01-10,1.5913
MAP SM Equity,1990-01-11,1.578
MAP SM Equity,1990-01-12,1.5856
MAP SM Equity,1990-01-15,1.6008
MAP SM Equity,1990-01-16,1.5723
MAP SM Equity,1990-01-17,1.5723
MAP SM Equity,1990-01-18,1.5723
MAP SM Equity,1990-01-19,1.5704
MAP SM Equity,1990-01-22,1.5515
MAP SM Equity,1990-01-23,1.5496
MAP SM Equity,1990-01-24,1.4965
MAP SM Equity,1990-01-25,1.4889
MAP SM Equity,1990-01-26,1.4699
MAP SM Equity,1990-01-29,1.4908
MAP SM Equity,1990-01-30,1.4794
MAP SM Equity,1990-01-31,1.5078
MAP SM Equity,1990-02-01,1.487
MAP SM Equity,1990-02-02,1.5173
MAP SM Equity,1990-02-05,1.5458
MAP SM Equity,1990-02-06,1.5553
MAP SM Equity,1990-02-07,1.5553
MAP SM Equity,1990-02-09,1.5173
MAP SM Equity,1990-02-12,1.4415
MAP SM Equity,1990-02-13,1.4282
MAP SM Equity,1990-02-14,1.432
MAP SM Equity,1990-02-15,1.4377
MAP SM Equity,1990-02-19,1.4585
MAP SM Equity,1990-02-20,1.4699
MAP SM Equity,1990-02-21,1.4415
MAP SM Equity,1990-02-22,1.4471
MAP SM Equity,1990-02-23,1.4415
MAP SM Equity,1990-02-26,1.413
MAP SM Equity,1990-02-28,1.413
MAP SM Equity,1990-03-01,1.4054
