name,date,PX_LAST
MNG LN Equity,2019-10-21,2.53656
MNG LN Equity,2019-10-22,2.35555
MNG LN Equity,2019-10-23,2.47752
MNG LN Equity,2019-10-24,2.62643
MNG LN Equity,2019-10-25,2.60666
MNG LN Equity,2019-10-28,2.54916
MNG LN Equity,2019-10-29,2.5001
MNG LN Equity,2019-10-30,2.4653
MNG LN Equity,2019-10-31,2.48155
MNG LN Equity,2019-11-01,2.51508
MNG LN Equity,2019-11-04,2.54503
MNG LN Equity,2019-11-05,2.49094
MNG LN Equity,2019-11-06,2.50514
MNG LN Equity,2019-11-07,2.53027
MNG LN Equity,2019-11-08,2.52658
MNG LN Equity,2019-11-11,2.5695
MNG LN Equity,2019-11-12,2.67179
MNG LN Equity,2019-11-13,2.64762
MNG LN Equity,2019-11-14,2.6651
MNG LN Equity,2019-11-15,2.63926
MNG LN Equity,2019-11-18,2.731
MNG LN Equity,2019-11-19,2.72282
MNG LN Equity,2019-11-20,2.71821
MNG LN Equity,2019-11-21,2.69208
MNG LN Equity,2019-11-22,2.68802
MNG LN Equity,2019-11-25,2.78485
MNG LN Equity,2019-11-26,2.78015
MNG LN Equity,2019-11-27,2.78997
MNG LN Equity,2019-11-28,2.79696
MNG LN Equity,2019-11-29,2.77047
MNG LN Equity,2019-12-02,2.74212
MNG LN Equity,2019-12-03,2.71
MNG LN Equity,2019-12-04,2.65649
MNG LN Equity,2019-12-05,2.62568
MNG LN Equity,2019-12-06,2.64442
MNG LN Equity,2019-12-09,2.63269
MNG LN Equity,2019-12-10,2.61591
MNG LN Equity,2019-12-11,2.60067
MNG LN Equity,2019-12-12,2.71147
MNG LN Equity,2019-12-13,2.92422
MNG LN Equity,2019-12-16,2.91084
MNG LN Equity,2019-12-17,2.76938
MNG LN Equity,2019-12-18,2.75357
MNG LN Equity,2019-12-19,2.7754
MNG LN Equity,2019-12-20,2.795
MNG LN Equity,2019-12-23,2.77082
MNG LN Equity,2019-12-24,2.78332
MNG LN Equity,2019-12-27,2.78624
MNG LN Equity,2019-12-30,2.78973
MNG LN Equity,2019-12-31,2.80166
MNG LN Equity,2020-01-02,2.86689
MNG LN Equity,2020-01-03,2.90532
MNG LN Equity,2020-01-06,2.89884
MNG LN Equity,2020-01-07,2.88408
MNG LN Equity,2020-01-08,2.89493
MNG LN Equity,2020-01-09,2.86036
MNG LN Equity,2020-01-10,2.85621
MNG LN Equity,2020-01-13,2.82997
MNG LN Equity,2020-01-14,2.81475
MNG LN Equity,2020-01-15,2.81031
MNG LN Equity,2020-01-16,2.84141
MNG LN Equity,2020-01-17,2.89109
MNG LN Equity,2020-01-20,2.92043
MNG LN Equity,2020-01-21,2.9357
MNG LN Equity,2020-01-22,2.91098
MNG LN Equity,2020-01-23,2.89462
MNG LN Equity,2020-01-24,2.91066
MNG LN Equity,2020-01-27,2.86885
MNG LN Equity,2020-01-28,2.88814
MNG LN Equity,2020-01-29,2.89681
MNG LN Equity,2020-01-30,2.87573
MNG LN Equity,2020-01-31,2.85995
MNG LN Equity,2020-02-03,2.8623
MNG LN Equity,2020-02-04,2.86924
MNG LN Equity,2020-02-05,2.86062
MNG LN Equity,2020-02-06,2.81661
MNG LN Equity,2020-02-07,2.81999
MNG LN Equity,2020-02-10,2.84233
MNG LN Equity,2020-02-11,2.89565
MNG LN Equity,2020-02-12,2.93192
MNG LN Equity,2020-02-13,2.9768
MNG LN Equity,2020-02-14,2.99452
MNG LN Equity,2020-02-17,2.9623
MNG LN Equity,2020-02-18,2.99703
MNG LN Equity,2020-02-19,3.00925
MNG LN Equity,2020-02-20,2.98057
MNG LN Equity,2020-02-21,2.92267
MNG LN Equity,2020-02-24,2.75377
MNG LN Equity,2020-02-25,2.72364
MNG LN Equity,2020-02-26,2.65303
MNG LN Equity,2020-02-27,2.47354
MNG LN Equity,2020-02-28,2.30605
MNG LN Equity,2020-03-02,2.21809
MNG LN Equity,2020-03-03,2.32593
MNG LN Equity,2020-03-04,2.3389
MNG LN Equity,2020-03-05,2.28342
MNG LN Equity,2020-03-06,2.17963
MNG LN Equity,2020-03-09,1.97336
MNG LN Equity,2020-03-10,1.94415
MNG LN Equity,2020-03-11,1.91298
MNG LN Equity,2020-03-12,1.67663
MNG LN Equity,2020-03-13,1.62916
MNG LN Equity,2020-03-16,1.19949
MNG LN Equity,2020-03-17,1.1145
MNG LN Equity,2020-03-18,1.00479
MNG LN Equity,2020-03-19,1.36164
MNG LN Equity,2020-03-20,1.20554
MNG LN Equity,2020-03-23,1.25556
MNG LN Equity,2020-03-24,1.51482
MNG LN Equity,2020-03-25,1.63623
MNG LN Equity,2020-03-26,1.5491
MNG LN Equity,2020-03-27,1.50549
MNG LN Equity,2020-03-30,1.32076
MNG LN Equity,2020-03-31,1.27246
MNG LN Equity,2020-04-01,1.23666
