name,date,PX_LAST
NBG6 GR Equity,1991-09-27,152.109
NBG6 GR Equity,1991-10-04,83.085
NBG6 GR Equity,1991-10-07,82.02
NBG6 GR Equity,1991-10-10,82.02
NBG6 GR Equity,1991-10-11,83.085
NBG6 GR Equity,1991-10-14,83.085
NBG6 GR Equity,1991-10-15,83.511
NBG6 GR Equity,1991-10-16,83.085
NBG6 GR Equity,1991-10-17,83.085
NBG6 GR Equity,1991-10-18,82.659
NBG6 GR Equity,1991-10-22,82.659
NBG6 GR Equity,1991-10-25,82.446
NBG6 GR Equity,1991-10-28,81.594
NBG6 GR Equity,1991-10-31,82.744
NBG6 GR Equity,1991-11-04,82.02
NBG6 GR Equity,1991-11-06,82.02
NBG6 GR Equity,1991-11-07,82.02
NBG6 GR Equity,1991-11-08,82.446
NBG6 GR Equity,1991-11-14,82.148
NBG6 GR Equity,1991-11-21,80.955
NBG6 GR Equity,1991-11-26,80.955
NBG6 GR Equity,1991-11-29,80.955
NBG6 GR Equity,1991-12-02,79.676
NBG6 GR Equity,1991-12-03,80.315
NBG6 GR Equity,1992-01-07,81.168
NBG6 GR Equity,1992-01-09,78.398
NBG6 GR Equity,1992-01-10,78.398
NBG6 GR Equity,1992-01-14,77.972
NBG6 GR Equity,1992-01-16,77.972
NBG6 GR Equity,1992-01-17,77.333
NBG6 GR Equity,1992-01-20,76.694
NBG6 GR Equity,1992-01-23,79.676
NBG6 GR Equity,1992-01-28,77.546
NBG6 GR Equity,1992-01-29,77.972
NBG6 GR Equity,1992-01-31,77.12
NBG6 GR Equity,1992-02-03,77.12
NBG6 GR Equity,1992-02-04,77.546
NBG6 GR Equity,1992-02-05,74.989
NBG6 GR Equity,1992-02-06,77.12
NBG6 GR Equity,1992-02-07,77.12
NBG6 GR Equity,1992-02-10,77.12
NBG6 GR Equity,1992-02-11,77.546
NBG6 GR Equity,1992-02-12,76.694
NBG6 GR Equity,1992-02-13,76.822
NBG6 GR Equity,1992-02-14,77.12
NBG6 GR Equity,1992-02-17,77.461
NBG6 GR Equity,1992-02-18,77.461
NBG6 GR Equity,1992-02-19,77.12
NBG6 GR Equity,1992-02-20,77.12
NBG6 GR Equity,1992-02-21,77.972
NBG6 GR Equity,1992-02-24,77.12
NBG6 GR Equity,1992-02-25,77.12
NBG6 GR Equity,1992-02-26,77.333
NBG6 GR Equity,1992-02-27,77.546
NBG6 GR Equity,1992-02-28,77.759
NBG6 GR Equity,1992-03-03,78.185
NBG6 GR Equity,1992-03-04,78.909
