name,date,PX_LAST
NN NA Equity,2014-07-01,20.0
NN NA Equity,2014-07-02,21.26
NN NA Equity,2014-07-03,22.5
NN NA Equity,2014-07-04,22.5
NN NA Equity,2014-07-07,22.55
NN NA Equity,2014-07-08,22.1
NN NA Equity,2014-07-09,22.185
NN NA Equity,2014-07-10,22.05
NN NA Equity,2014-07-11,22.5
NN NA Equity,2014-07-14,23.33
NN NA Equity,2014-07-15,22.99
NN NA Equity,2014-07-16,23.0
NN NA Equity,2014-07-17,22.57
NN NA Equity,2014-07-18,22.21
NN NA Equity,2014-07-21,22.3
NN NA Equity,2014-07-22,22.23
NN NA Equity,2014-07-23,21.97
NN NA Equity,2014-07-24,21.75
NN NA Equity,2014-07-25,21.75
NN NA Equity,2014-07-28,21.59
NN NA Equity,2014-07-29,21.47
NN NA Equity,2014-07-30,20.845
NN NA Equity,2014-07-31,21.05
NN NA Equity,2014-08-01,21.3
NN NA Equity,2014-08-04,21.275
NN NA Equity,2014-08-05,21.5
NN NA Equity,2014-08-06,21.1
NN NA Equity,2014-08-07,21.09
NN NA Equity,2014-08-08,21.085
NN NA Equity,2014-08-11,21.09
NN NA Equity,2014-08-12,21.195
NN NA Equity,2014-08-13,21.0
NN NA Equity,2014-08-14,21.0
NN NA Equity,2014-08-15,21.16
NN NA Equity,2014-08-18,21.18
NN NA Equity,2014-08-19,21.35
NN NA Equity,2014-08-20,21.35
NN NA Equity,2014-08-21,21.3
NN NA Equity,2014-08-22,21.835
NN NA Equity,2014-08-25,22.09
NN NA Equity,2014-08-26,22.025
NN NA Equity,2014-08-27,22.215
NN NA Equity,2014-08-28,22.25
NN NA Equity,2014-08-29,22.235
NN NA Equity,2014-09-01,22.01
NN NA Equity,2014-09-02,22.2
NN NA Equity,2014-09-03,22.15
NN NA Equity,2014-09-04,22.1
NN NA Equity,2014-09-05,22.1
NN NA Equity,2014-09-08,22.1
NN NA Equity,2014-09-09,22.1
NN NA Equity,2014-09-10,22.145
NN NA Equity,2014-09-11,22.005
NN NA Equity,2014-09-12,22.09
NN NA Equity,2014-09-15,22.0
NN NA Equity,2014-09-16,22.095
NN NA Equity,2014-09-17,22.175
NN NA Equity,2014-09-18,22.425
NN NA Equity,2014-09-19,22.55
NN NA Equity,2014-09-22,22.425
NN NA Equity,2014-09-23,22.485
NN NA Equity,2014-09-24,22.51
NN NA Equity,2014-09-25,22.75
NN NA Equity,2014-09-26,23.05
NN NA Equity,2014-09-29,23.03
NN NA Equity,2014-09-30,22.975
NN NA Equity,2014-10-01,22.76
NN NA Equity,2014-10-02,22.67
NN NA Equity,2014-10-03,22.75
NN NA Equity,2014-10-06,22.77
NN NA Equity,2014-10-07,22.45
NN NA Equity,2014-10-08,22.28
NN NA Equity,2014-10-09,22.28
NN NA Equity,2014-10-10,22.235
NN NA Equity,2014-10-13,22.265
NN NA Equity,2014-10-14,22.24
NN NA Equity,2014-10-15,21.825
NN NA Equity,2014-10-16,21.84
NN NA Equity,2014-10-17,22.0
NN NA Equity,2014-10-20,22.155
NN NA Equity,2014-10-21,22.655
NN NA Equity,2014-10-22,22.8
NN NA Equity,2014-10-23,22.65
NN NA Equity,2014-10-24,22.34
NN NA Equity,2014-10-27,22.195
NN NA Equity,2014-10-28,22.28
NN NA Equity,2014-10-29,22.05
NN NA Equity,2014-10-30,21.99
NN NA Equity,2014-10-31,22.77
NN NA Equity,2014-11-03,22.65
NN NA Equity,2014-11-04,22.475
NN NA Equity,2014-11-05,23.14
NN NA Equity,2014-11-06,23.3
NN NA Equity,2014-11-07,23.7
NN NA Equity,2014-11-10,23.745
NN NA Equity,2014-11-11,23.775
NN NA Equity,2014-11-12,24.02
NN NA Equity,2014-11-13,23.995
NN NA Equity,2014-11-14,24.05
NN NA Equity,2014-11-17,24.255
NN NA Equity,2014-11-18,24.33
NN NA Equity,2014-11-19,24.265
NN NA Equity,2014-11-20,24.7
NN NA Equity,2014-11-21,25.08
NN NA Equity,2014-11-24,25.0
NN NA Equity,2014-11-25,24.4
NN NA Equity,2014-11-26,24.5
NN NA Equity,2014-11-27,24.365
NN NA Equity,2014-11-28,24.415
NN NA Equity,2014-12-01,24.24
NN NA Equity,2014-12-02,24.625
NN NA Equity,2014-12-03,24.75
NN NA Equity,2014-12-04,24.79
NN NA Equity,2014-12-05,24.79
NN NA Equity,2014-12-08,24.375
NN NA Equity,2014-12-09,24.39
NN NA Equity,2014-12-10,24.885
NN NA Equity,2014-12-11,24.82
NN NA Equity,2014-12-12,24.385
NN NA Equity,2014-12-15,24.6
NN NA Equity,2014-12-16,25.39
NN NA Equity,2014-12-17,25.645
NN NA Equity,2014-12-18,25.04
NN NA Equity,2014-12-19,25.105
NN NA Equity,2014-12-22,25.25
NN NA Equity,2014-12-23,25.155
NN NA Equity,2014-12-24,24.96
NN NA Equity,2014-12-29,24.88
NN NA Equity,2014-12-30,24.705
NN NA Equity,2014-12-31,24.845
NN NA Equity,2015-01-02,24.93
NN NA Equity,2015-01-05,24.665
NN NA Equity,2015-01-06,24.52
NN NA Equity,2015-01-07,24.265
NN NA Equity,2015-01-08,24.485
NN NA Equity,2015-01-09,23.91
NN NA Equity,2015-01-12,23.905
NN NA Equity,2015-01-13,23.705
NN NA Equity,2015-01-14,23.26
NN NA Equity,2015-01-15,23.46
NN NA Equity,2015-01-16,23.52
NN NA Equity,2015-01-19,24.12
NN NA Equity,2015-01-20,24.115
NN NA Equity,2015-01-21,24.13
NN NA Equity,2015-01-22,24.85
NN NA Equity,2015-01-23,24.225
NN NA Equity,2015-01-26,24.39
NN NA Equity,2015-01-27,24.16
