name,date,PX_LAST
ONDO LN Equity,2021-07-27,0.11731
ONDO LN Equity,2021-07-28,0.14691
ONDO LN Equity,2021-07-29,0.14688
ONDO LN Equity,2021-07-30,0.1465
ONDO LN Equity,2021-08-02,0.15218
ONDO LN Equity,2021-08-03,0.15244
ONDO LN Equity,2021-08-04,0.15849
ONDO LN Equity,2021-08-05,0.15886
ONDO LN Equity,2021-08-06,0.17103
ONDO LN Equity,2021-08-09,0.1769
ONDO LN Equity,2021-08-10,0.18891
ONDO LN Equity,2021-08-11,0.18902
ONDO LN Equity,2021-08-12,0.18834
ONDO LN Equity,2021-08-13,0.18803
ONDO LN Equity,2021-08-16,0.18226
ONDO LN Equity,2021-08-17,0.18171
ONDO LN Equity,2021-08-18,0.18216
ONDO LN Equity,2021-08-19,0.18107
ONDO LN Equity,2021-08-20,0.1805
ONDO LN Equity,2021-08-23,0.18118
ONDO LN Equity,2021-08-24,0.18104
ONDO LN Equity,2021-08-25,0.18107
ONDO LN Equity,2021-08-26,0.17489
ONDO LN Equity,2021-08-27,0.17513
ONDO LN Equity,2021-08-31,0.17471
ONDO LN Equity,2021-09-01,0.17451
ONDO LN Equity,2021-09-02,0.17487
ONDO LN Equity,2021-09-03,0.17503
ONDO LN Equity,2021-09-06,0.1806
ONDO LN Equity,2021-09-07,0.18045
ONDO LN Equity,2021-09-08,0.1806
ONDO LN Equity,2021-09-09,0.16982
ONDO LN Equity,2021-09-10,0.16997
ONDO LN Equity,2021-09-13,0.16992
ONDO LN Equity,2021-09-14,0.16986
ONDO LN Equity,2021-09-15,0.15814
ONDO LN Equity,2021-09-16,0.15822
ONDO LN Equity,2021-09-17,0.15827
ONDO LN Equity,2021-09-20,0.15714
ONDO LN Equity,2021-09-21,0.15726
ONDO LN Equity,2021-09-22,0.15706
ONDO LN Equity,2021-09-23,0.158
ONDO LN Equity,2021-09-24,0.15763
ONDO LN Equity,2021-09-27,0.15812
ONDO LN Equity,2021-09-28,0.15346
ONDO LN Equity,2021-09-29,0.15333
ONDO LN Equity,2021-09-30,0.15414
ONDO LN Equity,2021-10-01,0.15494
ONDO LN Equity,2021-10-04,0.15518
ONDO LN Equity,2021-10-05,0.15576
ONDO LN Equity,2021-10-06,0.15558
ONDO LN Equity,2021-10-07,0.15619
ONDO LN Equity,2021-10-08,0.15602
ONDO LN Equity,2021-10-11,0.15596
ONDO LN Equity,2021-10-12,0.15617
ONDO LN Equity,2021-10-13,0.15612
ONDO LN Equity,2021-10-14,0.15648
ONDO LN Equity,2021-10-15,0.15722
ONDO LN Equity,2021-10-18,0.15657
ONDO LN Equity,2021-10-19,0.14525
ONDO LN Equity,2021-10-20,0.14535
ONDO LN Equity,2021-10-21,0.14527
ONDO LN Equity,2021-10-22,0.14486
ONDO LN Equity,2021-10-25,0.13337
ONDO LN Equity,2021-10-26,0.1336
ONDO LN Equity,2021-10-27,0.13323
ONDO LN Equity,2021-10-28,0.13287
ONDO LN Equity,2021-10-29,0.13331
ONDO LN Equity,2021-11-01,0.13255
ONDO LN Equity,2021-11-02,0.13227
ONDO LN Equity,2021-11-03,0.13265
ONDO LN Equity,2021-11-04,0.13145
ONDO LN Equity,2021-11-05,0.13134
ONDO LN Equity,2021-11-08,0.13165
ONDO LN Equity,2021-11-09,0.13165
ONDO LN Equity,2021-11-10,0.13153
ONDO LN Equity,2021-11-11,0.13135
ONDO LN Equity,2021-11-12,0.13189
ONDO LN Equity,2021-11-15,0.13263
ONDO LN Equity,2021-11-16,0.13337
ONDO LN Equity,2021-11-17,0.12217
ONDO LN Equity,2021-11-18,0.12168
ONDO LN Equity,2021-11-19,0.11612
ONDO LN Equity,2021-11-22,0.1161
ONDO LN Equity,2021-11-23,0.11587
ONDO LN Equity,2021-11-24,0.11602
ONDO LN Equity,2021-11-25,0.1159
ONDO LN Equity,2021-11-26,0.11501
ONDO LN Equity,2021-11-29,0.11509
ONDO LN Equity,2021-11-30,0.11433
ONDO LN Equity,2021-12-01,0.11454
ONDO LN Equity,2021-12-02,0.12063
ONDO LN Equity,2021-12-03,0.11995
ONDO LN Equity,2021-12-06,0.12045
ONDO LN Equity,2021-12-07,0.12058
ONDO LN Equity,2021-12-08,0.11955
ONDO LN Equity,2021-12-09,0.12288
ONDO LN Equity,2021-12-10,0.12308
ONDO LN Equity,2021-12-13,0.12285
ONDO LN Equity,2022-03-21,0.11945
ONDO LN Equity,2022-03-22,0.1082
ONDO LN Equity,2022-03-23,0.10801
ONDO LN Equity,2022-03-24,0.10782
ONDO LN Equity,2022-03-25,0.10805
ONDO LN Equity,2022-03-28,0.09525
ONDO LN Equity,2022-03-29,0.09448
ONDO LN Equity,2022-03-30,0.10308
ONDO LN Equity,2022-03-31,0.11856
ONDO LN Equity,2022-04-01,0.1187
ONDO LN Equity,2022-04-04,0.1194
ONDO LN Equity,2022-04-05,0.12289
ONDO LN Equity,2022-04-06,0.12287
ONDO LN Equity,2022-04-07,0.12302
ONDO LN Equity,2022-04-08,0.12286
ONDO LN Equity,2022-04-11,0.12273
ONDO LN Equity,2022-04-12,0.12311
ONDO LN Equity,2022-04-13,0.12334
ONDO LN Equity,2022-04-14,0.12374
ONDO LN Equity,2022-04-19,0.11747
ONDO LN Equity,2022-04-20,0.11735
ONDO LN Equity,2022-04-21,0.1172
ONDO LN Equity,2022-04-22,0.11314
ONDO LN Equity,2022-04-25,0.11287
ONDO LN Equity,2022-04-26,0.11241
ONDO LN Equity,2022-04-27,0.11302
ONDO LN Equity,2022-04-28,0.11263
ONDO LN Equity,2022-04-29,0.11327
ONDO LN Equity,2022-05-03,0.11281
ONDO LN Equity,2022-05-04,0.11252
ONDO LN Equity,2022-05-05,0.11151
ONDO LN Equity,2022-05-06,0.11107
ONDO LN Equity,2022-05-09,0.11094
ONDO LN Equity,2022-05-10,0.09933
ONDO LN Equity,2022-05-11,0.0992
ONDO LN Equity,2022-05-12,0.10005
ONDO LN Equity,2022-05-13,0.09992
ONDO LN Equity,2022-05-16,0.10009
ONDO LN Equity,2022-05-17,0.10062
ONDO LN Equity,2022-05-18,0.10037
ONDO LN Equity,2022-05-19,0.10029
ONDO LN Equity,2022-05-20,0.10049
ONDO LN Equity,2022-05-23,0.10005
ONDO LN Equity,2022-05-24,0.10221
ONDO LN Equity,2022-05-25,0.10291
ONDO LN Equity,2022-05-26,0.10278
ONDO LN Equity,2022-05-27,0.103
ONDO LN Equity,2022-05-30,0.10266
ONDO LN Equity,2022-05-31,0.10289
ONDO LN Equity,2022-06-01,0.10256
ONDO LN Equity,2022-06-06,0.09961
ONDO LN Equity,2022-06-07,0.08826
ONDO LN Equity,2022-06-08,0.08772
ONDO LN Equity,2022-06-09,0.08812
ONDO LN Equity,2022-06-10,0.08779
ONDO LN Equity,2022-06-13,0.08748
ONDO LN Equity,2022-06-14,0.08634
ONDO LN Equity,2022-06-15,0.07553
ONDO LN Equity,2022-06-16,0.0762
ONDO LN Equity,2022-06-17,0.07278
ONDO LN Equity,2022-06-20,0.06696
ONDO LN Equity,2022-06-21,0.06699
ONDO LN Equity,2022-06-22,0.06814
ONDO LN Equity,2022-06-23,0.06981
ONDO LN Equity,2022-06-24,0.0698
ONDO LN Equity,2022-06-27,0.06379
ONDO LN Equity,2022-06-28,0.06373
ONDO LN Equity,2022-06-29,0.06818
ONDO LN Equity,2022-06-30,0.06824
ONDO LN Equity,2022-07-01,0.06804
ONDO LN Equity,2022-07-04,0.06826
ONDO LN Equity,2022-07-05,0.06838
ONDO LN Equity,2022-07-06,0.06878
ONDO LN Equity,2022-07-07,0.06947
ONDO LN Equity,2022-07-08,0.06945
ONDO LN Equity,2022-07-11,0.06937
ONDO LN Equity,2022-07-12,0.06955
ONDO LN Equity,2022-07-13,0.06947
ONDO LN Equity,2022-07-14,0.06927
ONDO LN Equity,2022-07-15,0.06909
ONDO LN Equity,2022-07-18,0.07804
ONDO LN Equity,2022-07-19,0.07768
ONDO LN Equity,2022-07-20,0.07489
ONDO LN Equity,2022-07-21,0.07336
ONDO LN Equity,2022-07-22,0.07343
ONDO LN Equity,2022-07-25,0.07369
ONDO LN Equity,2022-07-26,0.07421
ONDO LN Equity,2022-07-27,0.06549
ONDO LN Equity,2022-07-28,0.06568
ONDO LN Equity,2022-07-29,0.06564
ONDO LN Equity,2022-08-01,0.08066
ONDO LN Equity,2022-08-02,0.10782
ONDO LN Equity,2022-08-03,0.09571
ONDO LN Equity,2022-08-04,0.09492
ONDO LN Equity,2022-08-05,0.09192
ONDO LN Equity,2022-08-08,0.0918
ONDO LN Equity,2022-08-09,0.09283
ONDO LN Equity,2022-08-10,0.09312
ONDO LN Equity,2022-08-11,0.09615
ONDO LN Equity,2022-08-12,0.09608
ONDO LN Equity,2022-08-15,0.09649
ONDO LN Equity,2022-08-16,0.09656
ONDO LN Equity,2022-08-17,0.09624
ONDO LN Equity,2022-08-18,0.09908
ONDO LN Equity,2022-08-19,0.09868
ONDO LN Equity,2022-08-22,0.09484
ONDO LN Equity,2022-08-23,0.08905
ONDO LN Equity,2022-08-24,0.0888
ONDO LN Equity,2022-08-25,0.089
ONDO LN Equity,2022-08-26,0.08833
ONDO LN Equity,2022-08-30,0.08717
ONDO LN Equity,2022-08-31,0.08672
ONDO LN Equity,2022-09-01,0.08125
ONDO LN Equity,2022-09-02,0.08091
ONDO LN Equity,2022-09-05,0.07829
ONDO LN Equity,2022-09-06,0.07563
ONDO LN Equity,2022-09-07,0.07492
ONDO LN Equity,2022-09-08,0.07487
ONDO LN Equity,2022-09-09,0.075
ONDO LN Equity,2022-09-12,0.07503
ONDO LN Equity,2022-09-13,0.07492
ONDO LN Equity,2022-09-14,0.0752
ONDO LN Equity,2022-09-15,0.07458
ONDO LN Equity,2022-09-16,0.07403
ONDO LN Equity,2022-09-20,0.07414
ONDO LN Equity,2022-09-21,0.07451
ONDO LN Equity,2022-09-22,0.07441
ONDO LN Equity,2022-09-23,0.07296
ONDO LN Equity,2022-09-26,0.07215
ONDO LN Equity,2022-09-27,0.07242
ONDO LN Equity,2022-09-28,0.07276
ONDO LN Equity,2022-09-29,0.07354
ONDO LN Equity,2022-09-30,0.0739
ONDO LN Equity,2022-10-03,0.06754
ONDO LN Equity,2022-10-04,0.0675
ONDO LN Equity,2022-10-05,0.06726
ONDO LN Equity,2022-10-06,0.06679
ONDO LN Equity,2022-10-07,0.06538
ONDO LN Equity,2022-10-10,0.06542
ONDO LN Equity,2022-10-11,0.06573
ONDO LN Equity,2022-10-12,0.06569
ONDO LN Equity,2022-10-13,0.06954
ONDO LN Equity,2022-10-14,0.06891
ONDO LN Equity,2022-10-17,0.06946
ONDO LN Equity,2022-10-18,0.06887
ONDO LN Equity,2022-10-19,0.06877
ONDO LN Equity,2022-10-20,0.06889
ONDO LN Equity,2022-10-21,0.06867
