name,date,PX_LAST
PGH LN Equity,2000-11-27,1.33124
PGH LN Equity,2000-11-28,1.32371
PGH LN Equity,2000-11-29,1.32607
PGH LN Equity,2000-11-30,1.30598
PGH LN Equity,2000-12-01,1.31644
PGH LN Equity,2000-12-04,1.30943
PGH LN Equity,2000-12-05,1.30596
PGH LN Equity,2000-12-06,1.29317
PGH LN Equity,2000-12-07,1.30094
PGH LN Equity,2000-12-08,1.30934
PGH LN Equity,2000-12-11,1.33044
PGH LN Equity,2000-12-12,1.31935
PGH LN Equity,2000-12-13,1.32639
PGH LN Equity,2000-12-14,1.32062
PGH LN Equity,2000-12-15,1.31445
PGH LN Equity,2000-12-18,1.31774
PGH LN Equity,2000-12-19,1.31696
PGH LN Equity,2000-12-20,1.29998
PGH LN Equity,2000-12-21,1.28965
PGH LN Equity,2000-12-22,1.27922
PGH LN Equity,2000-12-27,1.28378
PGH LN Equity,2000-12-28,1.28634
PGH LN Equity,2000-12-29,1.27191
PGH LN Equity,2001-01-02,1.26713
PGH LN Equity,2001-01-03,1.27365
PGH LN Equity,2001-01-04,1.26386
PGH LN Equity,2001-01-05,1.33649
PGH LN Equity,2001-01-08,1.33957
PGH LN Equity,2001-01-09,1.3441
PGH LN Equity,2001-01-10,1.34765
PGH LN Equity,2001-01-11,1.33513
PGH LN Equity,2001-01-12,1.3229
PGH LN Equity,2001-01-15,1.33373
PGH LN Equity,2001-01-16,1.32837
PGH LN Equity,2001-01-17,1.34329
PGH LN Equity,2001-01-18,1.33001
PGH LN Equity,2001-01-19,1.3322
PGH LN Equity,2001-01-22,1.32792
PGH LN Equity,2001-01-23,1.33223
PGH LN Equity,2001-01-24,1.34075
PGH LN Equity,2001-01-25,1.34714
PGH LN Equity,2001-01-26,1.34523
PGH LN Equity,2001-01-29,1.34914
PGH LN Equity,2001-01-30,1.33991
PGH LN Equity,2001-01-31,1.33421
PGH LN Equity,2001-02-01,1.33531
PGH LN Equity,2001-02-02,1.33304
PGH LN Equity,2001-02-05,1.33441
PGH LN Equity,2001-02-06,1.33328
PGH LN Equity,2001-02-07,1.33058
PGH LN Equity,2001-02-08,1.33673
PGH LN Equity,2001-02-09,1.32844
PGH LN Equity,2001-02-12,1.32732
PGH LN Equity,2001-02-13,1.34436
PGH LN Equity,2001-02-14,1.34861
PGH LN Equity,2001-02-15,1.35989
PGH LN Equity,2001-02-16,1.34482
PGH LN Equity,2001-02-19,1.33276
PGH LN Equity,2001-02-20,1.34809
PGH LN Equity,2001-02-21,1.34743
PGH LN Equity,2001-02-22,1.35752
PGH LN Equity,2001-02-23,1.31734
PGH LN Equity,2001-02-26,1.31762
PGH LN Equity,2001-02-27,1.3099
PGH LN Equity,2001-02-28,1.30006
PGH LN Equity,2001-03-01,1.2964
PGH LN Equity,2001-03-02,1.30694
PGH LN Equity,2001-03-05,1.31243
PGH LN Equity,2001-03-06,1.30571
PGH LN Equity,2001-03-07,1.30571
PGH LN Equity,2001-03-08,1.30895
PGH LN Equity,2001-03-09,1.30834
PGH LN Equity,2001-03-12,1.30996
PGH LN Equity,2001-03-13,1.3157
PGH LN Equity,2001-03-14,1.31774
PGH LN Equity,2001-03-15,1.32388
PGH LN Equity,2001-03-16,1.32423
PGH LN Equity,2001-03-19,1.31414
PGH LN Equity,2001-03-20,1.31082
PGH LN Equity,2001-03-21,1.32364
PGH LN Equity,2001-03-22,1.32938
PGH LN Equity,2001-03-23,1.3285
PGH LN Equity,2001-03-26,1.32943
PGH LN Equity,2001-03-27,1.33154
PGH LN Equity,2001-03-28,1.34144
PGH LN Equity,2001-03-29,1.34771
PGH LN Equity,2001-03-30,1.33858
PGH LN Equity,2001-04-02,1.3369
PGH LN Equity,2001-04-03,1.33146
PGH LN Equity,2001-04-04,1.32039
PGH LN Equity,2001-04-05,1.32046
PGH LN Equity,2001-04-06,1.32105
PGH LN Equity,2001-04-09,1.33387
PGH LN Equity,2001-04-10,1.34047
PGH LN Equity,2001-04-11,1.34313
PGH LN Equity,2001-04-12,1.33937
PGH LN Equity,2001-04-17,1.34572
PGH LN Equity,2001-04-18,1.33911
PGH LN Equity,2001-04-19,1.33865
PGH LN Equity,2001-04-20,1.32477
PGH LN Equity,2001-04-23,1.33124
PGH LN Equity,2001-04-24,1.33261
PGH LN Equity,2001-04-25,1.3312
PGH LN Equity,2001-04-26,1.32452
PGH LN Equity,2001-04-27,1.33991
PGH LN Equity,2001-04-30,1.33887
PGH LN Equity,2001-05-01,1.33473
PGH LN Equity,2001-05-02,1.3323
PGH LN Equity,2001-05-03,1.3358
PGH LN Equity,2001-05-04,1.33403
PGH LN Equity,2001-05-08,1.34124
PGH LN Equity,2001-05-09,1.33397
PGH LN Equity,2001-05-10,1.3397
PGH LN Equity,2001-05-11,1.34394
PGH LN Equity,2001-05-14,1.34634
PGH LN Equity,2001-05-15,1.37788
PGH LN Equity,2001-05-16,1.45378
PGH LN Equity,2001-05-17,1.46083
PGH LN Equity,2001-05-18,1.47172
PGH LN Equity,2001-05-21,1.47793
PGH LN Equity,2001-05-22,1.48458
PGH LN Equity,2001-05-23,1.48978
PGH LN Equity,2001-05-24,1.47987
PGH LN Equity,2001-05-25,1.49158
PGH LN Equity,2001-05-29,1.49261
PGH LN Equity,2001-05-30,1.49713
PGH LN Equity,2001-05-31,1.50937
PGH LN Equity,2001-06-01,1.50759
PGH LN Equity,2001-06-04,1.50429
PGH LN Equity,2001-06-05,1.4928
PGH LN Equity,2001-06-06,1.47907
PGH LN Equity,2001-06-07,1.47332
PGH LN Equity,2001-06-08,1.46099
PGH LN Equity,2001-06-11,1.46634
PGH LN Equity,2001-06-12,1.46205
PGH LN Equity,2001-06-13,1.46654
PGH LN Equity,2001-06-14,1.46283
PGH LN Equity,2001-06-15,1.46559
PGH LN Equity,2001-06-18,1.4654
PGH LN Equity,2001-06-19,1.47493
PGH LN Equity,2001-06-20,1.47608
PGH LN Equity,2001-06-21,1.48862
PGH LN Equity,2001-06-22,1.48639
PGH LN Equity,2001-06-25,1.47743
PGH LN Equity,2001-06-26,1.47737
PGH LN Equity,2001-06-27,1.48121
PGH LN Equity,2001-06-28,1.50064
PGH LN Equity,2001-06-29,1.4995
PGH LN Equity,2001-07-02,1.50656
PGH LN Equity,2001-07-03,1.4919
PGH LN Equity,2001-07-04,1.49823
PGH LN Equity,2001-07-05,1.50736
PGH LN Equity,2001-07-06,1.50138
PGH LN Equity,2001-07-09,1.49554
PGH LN Equity,2001-07-10,1.48637
PGH LN Equity,2001-07-11,1.47524
PGH LN Equity,2001-07-12,1.48605
PGH LN Equity,2001-07-13,1.47746
PGH LN Equity,2001-07-16,1.47389
PGH LN Equity,2001-07-17,1.47335
PGH LN Equity,2001-07-18,1.46275
PGH LN Equity,2001-07-19,1.4752
PGH LN Equity,2001-07-20,1.4751
PGH LN Equity,2001-07-23,1.4691
PGH LN Equity,2001-07-24,1.46206
PGH LN Equity,2001-07-25,1.46072
PGH LN Equity,2001-07-26,1.46428
PGH LN Equity,2001-07-27,1.46613
PGH LN Equity,2001-07-30,1.46744
PGH LN Equity,2001-07-31,1.46786
PGH LN Equity,2001-08-01,1.46476
PGH LN Equity,2001-08-02,1.45878
PGH LN Equity,2001-08-03,1.45396
PGH LN Equity,2001-08-06,1.44839
PGH LN Equity,2001-08-07,1.45281
PGH LN Equity,2001-08-08,1.44829
PGH LN Equity,2001-08-09,1.43825
PGH LN Equity,2001-08-10,1.43623
PGH LN Equity,2001-08-13,1.42511
PGH LN Equity,2001-08-14,1.42381
PGH LN Equity,2001-08-15,1.42113
PGH LN Equity,2001-08-16,1.42204
PGH LN Equity,2001-08-17,1.42141
PGH LN Equity,2001-08-20,1.42399
PGH LN Equity,2001-08-21,1.43043
PGH LN Equity,2001-08-22,1.42552
PGH LN Equity,2001-08-23,1.42485
PGH LN Equity,2001-08-24,1.42454
PGH LN Equity,2001-08-28,1.43397
PGH LN Equity,2001-08-29,1.43665
PGH LN Equity,2001-08-30,1.43341
PGH LN Equity,2001-08-31,1.43822
PGH LN Equity,2001-09-03,1.44232
PGH LN Equity,2001-09-04,1.46532
PGH LN Equity,2001-09-05,1.47334
PGH LN Equity,2001-09-06,1.46471
PGH LN Equity,2001-09-07,1.45427
PGH LN Equity,2001-09-10,1.45937
PGH LN Equity,2001-09-11,1.45149
PGH LN Equity,2001-09-12,1.45668
PGH LN Equity,2001-09-13,1.4555
PGH LN Equity,2001-09-14,1.35518
PGH LN Equity,2001-09-17,1.3511
PGH LN Equity,2001-09-18,1.34839
PGH LN Equity,2001-09-19,1.34231
PGH LN Equity,2001-09-20,1.34479
PGH LN Equity,2001-09-21,1.35638
PGH LN Equity,2001-09-24,1.35738
PGH LN Equity,2001-09-25,1.35392
PGH LN Equity,2001-09-26,1.3595
PGH LN Equity,2001-09-27,1.36474
PGH LN Equity,2001-09-28,1.37288
PGH LN Equity,2001-10-01,1.36919
PGH LN Equity,2001-10-02,1.3595
PGH LN Equity,2001-10-03,1.36988
PGH LN Equity,2001-10-04,1.37126
PGH LN Equity,2001-10-05,1.3719
PGH LN Equity,2001-10-08,1.36115
PGH LN Equity,2001-10-09,1.35544
PGH LN Equity,2001-10-10,1.3515
PGH LN Equity,2001-10-11,1.36049
PGH LN Equity,2001-10-12,1.35457
PGH LN Equity,2001-10-15,1.35364
PGH LN Equity,2001-10-16,1.35513
PGH LN Equity,2001-10-17,1.36164
PGH LN Equity,2001-10-18,1.35957
PGH LN Equity,2001-10-19,1.35836
PGH LN Equity,2001-10-22,1.35632
PGH LN Equity,2001-10-23,1.40758
PGH LN Equity,2001-10-24,1.35886
PGH LN Equity,2001-10-25,1.35846
PGH LN Equity,2001-10-26,1.36655
PGH LN Equity,2001-10-29,1.36603
PGH LN Equity,2001-10-30,1.36422
PGH LN Equity,2001-10-31,1.37255
PGH LN Equity,2001-11-01,1.37578
PGH LN Equity,2001-11-02,1.37698
PGH LN Equity,2001-11-05,1.38183
PGH LN Equity,2001-11-06,1.38079
PGH LN Equity,2001-11-07,1.38676
PGH LN Equity,2001-11-08,1.38554
PGH LN Equity,2001-11-09,1.38616
PGH LN Equity,2001-11-12,1.38296
PGH LN Equity,2001-11-13,1.39072
PGH LN Equity,2001-11-14,1.38992
PGH LN Equity,2001-11-15,1.37909
PGH LN Equity,2001-11-16,1.37225
PGH LN Equity,2001-11-19,1.36334
PGH LN Equity,2001-11-20,1.36812
PGH LN Equity,2001-11-21,1.3697
PGH LN Equity,2001-11-22,1.36677
PGH LN Equity,2001-11-23,1.36503
PGH LN Equity,2001-11-26,1.36131
PGH LN Equity,2001-11-27,1.36399
PGH LN Equity,2001-11-28,1.36398
PGH LN Equity,2001-11-29,1.3645
PGH LN Equity,2001-11-30,1.35169
PGH LN Equity,2001-12-03,1.35802
PGH LN Equity,2001-12-04,1.35803
PGH LN Equity,2001-12-05,1.35756
PGH LN Equity,2001-12-06,1.35755
PGH LN Equity,2001-12-07,1.36763
PGH LN Equity,2001-12-10,1.37226
PGH LN Equity,2001-12-11,1.37289
PGH LN Equity,2001-12-12,1.37057
PGH LN Equity,2001-12-13,1.37284
