name,date,PX_LAST
PHNX LN Equity,2009-11-17,6.66234
PHNX LN Equity,2009-11-18,6.58665
PHNX LN Equity,2009-11-19,6.53532
PHNX LN Equity,2009-11-20,6.55159
PHNX LN Equity,2009-11-23,6.4244
PHNX LN Equity,2009-11-24,6.40573
PHNX LN Equity,2009-11-25,6.26737
PHNX LN Equity,2009-11-26,6.25401
PHNX LN Equity,2009-11-27,6.13512
PHNX LN Equity,2009-11-30,6.11445
PHNX LN Equity,2009-12-01,6.17863
PHNX LN Equity,2009-12-02,6.20961
PHNX LN Equity,2009-12-03,6.16376
PHNX LN Equity,2009-12-04,5.90931
PHNX LN Equity,2009-12-07,5.81795
PHNX LN Equity,2009-12-08,5.90142
PHNX LN Equity,2009-12-09,5.90232
PHNX LN Equity,2009-12-10,5.86604
PHNX LN Equity,2009-12-11,5.9005
PHNX LN Equity,2009-12-14,5.82599
PHNX LN Equity,2009-12-15,5.87876
PHNX LN Equity,2009-12-16,5.69369
PHNX LN Equity,2009-12-17,5.71526
PHNX LN Equity,2009-12-18,5.70103
PHNX LN Equity,2009-12-21,5.5275
PHNX LN Equity,2009-12-22,5.51011
PHNX LN Equity,2009-12-23,5.47792
PHNX LN Equity,2009-12-24,5.47227
PHNX LN Equity,2009-12-29,5.4605
PHNX LN Equity,2009-12-30,5.51263
PHNX LN Equity,2009-12-31,5.5785
PHNX LN Equity,2010-01-04,5.60933
PHNX LN Equity,2010-01-05,5.57618
PHNX LN Equity,2010-01-06,5.56798
PHNX LN Equity,2010-01-07,5.64315
PHNX LN Equity,2010-01-08,5.63794
PHNX LN Equity,2010-01-11,5.63161
PHNX LN Equity,2010-01-12,5.6094
PHNX LN Equity,2010-01-13,5.68917
PHNX LN Equity,2010-01-14,5.68859
PHNX LN Equity,2010-01-15,5.68589
PHNX LN Equity,2010-01-18,5.73008
PHNX LN Equity,2010-01-19,5.76622
PHNX LN Equity,2010-01-20,5.63167
PHNX LN Equity,2010-01-21,5.61486
PHNX LN Equity,2010-01-22,5.52364
PHNX LN Equity,2010-01-25,5.55877
PHNX LN Equity,2010-01-26,5.55162
PHNX LN Equity,2010-01-27,5.5854
PHNX LN Equity,2010-01-28,5.33832
PHNX LN Equity,2010-01-29,5.26487
PHNX LN Equity,2010-02-01,5.23473
PHNX LN Equity,2010-02-02,5.22608
PHNX LN Equity,2010-02-03,5.22432
PHNX LN Equity,2010-02-04,5.21826
PHNX LN Equity,2010-02-05,5.21421
PHNX LN Equity,2010-02-08,4.98347
PHNX LN Equity,2010-02-09,4.96798
PHNX LN Equity,2010-02-10,4.85045
PHNX LN Equity,2010-02-11,4.81215
PHNX LN Equity,2010-02-12,4.77922
PHNX LN Equity,2010-02-15,4.82618
PHNX LN Equity,2010-02-16,4.80962
PHNX LN Equity,2010-02-17,4.835
PHNX LN Equity,2010-02-18,4.89945
PHNX LN Equity,2010-02-19,4.86004
PHNX LN Equity,2010-02-22,4.85894
PHNX LN Equity,2010-02-23,4.82744
PHNX LN Equity,2010-02-24,4.85752
PHNX LN Equity,2010-02-25,4.83056
PHNX LN Equity,2010-02-26,4.80223
PHNX LN Equity,2010-03-01,4.73273
PHNX LN Equity,2010-03-02,4.7648
PHNX LN Equity,2010-03-03,4.85034
PHNX LN Equity,2010-03-04,4.84992
PHNX LN Equity,2010-03-05,4.86512
PHNX LN Equity,2010-03-08,4.8483
PHNX LN Equity,2010-03-09,5.07692
PHNX LN Equity,2010-03-10,5.23162
PHNX LN Equity,2010-03-11,5.29004
PHNX LN Equity,2010-03-12,5.38427
PHNX LN Equity,2010-03-15,5.74526
PHNX LN Equity,2010-03-16,5.81247
PHNX LN Equity,2010-03-17,5.81857
PHNX LN Equity,2010-03-18,5.68195
PHNX LN Equity,2010-03-19,5.6896
PHNX LN Equity,2010-03-22,5.68218
PHNX LN Equity,2010-03-23,5.72263
PHNX LN Equity,2010-03-24,5.92944
PHNX LN Equity,2010-03-25,5.91861
PHNX LN Equity,2010-03-26,5.86493
PHNX LN Equity,2010-03-29,5.91524
PHNX LN Equity,2010-03-30,5.96887
PHNX LN Equity,2010-03-31,5.92142
