name,date,PX_LAST
PROT NO Equity,2006-07-17,1.76744
PROT NO Equity,2006-07-18,0.7566
PROT NO Equity,2006-08-03,0.74979
PROT NO Equity,2006-08-31,0.72942
PROT NO Equity,2006-09-14,0.72266
PROT NO Equity,2006-10-13,0.68782
PROT NO Equity,2006-11-08,0.60686
PROT NO Equity,2006-11-16,0.72911
PROT NO Equity,2006-11-20,0.72542
PROT NO Equity,2006-11-28,0.72341
PROT NO Equity,2006-11-30,0.74746
PROT NO Equity,2006-12-05,0.77486
PROT NO Equity,2006-12-15,0.77188
PROT NO Equity,2006-12-18,0.83358
PROT NO Equity,2006-12-20,0.86958
PROT NO Equity,2006-12-21,0.89424
PROT NO Equity,2006-12-22,0.8664
PROT NO Equity,2007-01-05,0.88186
PROT NO Equity,2007-01-08,0.9059
PROT NO Equity,2007-01-09,0.90768
PROT NO Equity,2007-01-10,0.89958
PROT NO Equity,2007-01-15,0.87723
PROT NO Equity,2007-01-18,0.89552
PROT NO Equity,2007-01-25,0.91535
PROT NO Equity,2007-01-29,0.9195
PROT NO Equity,2007-01-31,0.92179
PROT NO Equity,2007-02-01,0.92333
PROT NO Equity,2007-02-08,1.0472
PROT NO Equity,2007-02-09,1.13744
PROT NO Equity,2007-02-12,1.14079
PROT NO Equity,2007-02-13,1.14277
PROT NO Equity,2007-02-14,1.23605
PROT NO Equity,2007-02-15,1.24158
PROT NO Equity,2007-02-16,1.2127
PROT NO Equity,2007-02-19,1.212
PROT NO Equity,2007-02-20,1.14819
PROT NO Equity,2007-02-22,1.20927
PROT NO Equity,2007-02-26,1.24167
PROT NO Equity,2007-02-28,1.35547
PROT NO Equity,2007-03-01,1.35507
PROT NO Equity,2007-03-02,1.35396
PROT NO Equity,2007-03-05,1.34215
PROT NO Equity,2007-03-16,1.47457
PROT NO Equity,2007-03-20,1.34358
PROT NO Equity,2007-03-21,1.34405
PROT NO Equity,2007-03-22,1.35254
PROT NO Equity,2007-03-23,1.29195
PROT NO Equity,2007-03-26,1.29368
PROT NO Equity,2007-03-28,1.2957
PROT NO Equity,2007-03-30,1.35369
PROT NO Equity,2007-04-02,1.34761
PROT NO Equity,2007-04-10,1.35938
PROT NO Equity,2007-04-12,1.3584
PROT NO Equity,2007-04-17,1.47137
PROT NO Equity,2007-04-19,1.47933
PROT NO Equity,2007-04-20,1.48056
PROT NO Equity,2007-04-23,1.48094
PROT NO Equity,2007-04-24,1.48053
PROT NO Equity,2007-04-25,1.47478
PROT NO Equity,2007-04-26,1.47803
PROT NO Equity,2007-04-27,1.53724
PROT NO Equity,2007-04-30,1.60157
PROT NO Equity,2007-05-02,1.53892
PROT NO Equity,2007-05-03,1.53862
PROT NO Equity,2007-05-04,1.72443
PROT NO Equity,2007-05-07,1.72299
PROT NO Equity,2007-05-09,1.71889
PROT NO Equity,2007-05-14,1.64751
PROT NO Equity,2007-05-16,1.7734
PROT NO Equity,2007-05-18,1.83423
PROT NO Equity,2007-05-21,1.83672
PROT NO Equity,2007-05-22,1.84409
PROT NO Equity,2007-05-23,1.84983
PROT NO Equity,2007-05-24,1.85114
PROT NO Equity,2007-05-25,1.85239
PROT NO Equity,2007-05-29,1.87475
PROT NO Equity,2007-05-30,1.84138
PROT NO Equity,2007-05-31,1.83404
PROT NO Equity,2007-06-01,1.8148
PROT NO Equity,2007-06-04,1.82022
PROT NO Equity,2007-06-05,1.76361
PROT NO Equity,2007-06-06,1.73126
PROT NO Equity,2007-06-07,1.67474
PROT NO Equity,2007-06-08,1.63428
PROT NO Equity,2007-06-11,1.72792
PROT NO Equity,2007-06-12,1.72481
PROT NO Equity,2007-06-13,1.72969
PROT NO Equity,2007-06-14,1.7267
PROT NO Equity,2007-06-15,1.7011
PROT NO Equity,2007-06-18,1.70286
PROT NO Equity,2007-06-19,1.701
PROT NO Equity,2007-06-20,1.74008
PROT NO Equity,2007-06-21,1.75077
PROT NO Equity,2007-06-22,1.77933
PROT NO Equity,2007-06-25,1.75065
PROT NO Equity,2007-06-26,1.71589
PROT NO Equity,2007-06-27,1.69367
PROT NO Equity,2007-06-28,1.72341
PROT NO Equity,2007-06-29,1.75621
PROT NO Equity,2007-07-02,1.75459
PROT NO Equity,2007-07-03,1.77949
PROT NO Equity,2007-07-04,1.76483
PROT NO Equity,2007-07-05,1.70381
PROT NO Equity,2007-07-06,1.70498
PROT NO Equity,2007-07-09,1.69338
PROT NO Equity,2007-07-11,1.68614
PROT NO Equity,2007-07-12,1.71741
PROT NO Equity,2007-07-13,1.77051
PROT NO Equity,2007-07-16,1.72301
PROT NO Equity,2007-07-17,1.70993
PROT NO Equity,2007-07-20,1.7052
PROT NO Equity,2007-07-24,1.76256
PROT NO Equity,2007-07-27,1.67991
PROT NO Equity,2007-07-31,1.69379
PROT NO Equity,2007-08-01,1.73519
PROT NO Equity,2007-08-03,1.63514
PROT NO Equity,2007-08-06,1.65629
PROT NO Equity,2007-08-07,1.67638
PROT NO Equity,2007-08-13,1.62886
PROT NO Equity,2007-08-16,1.61203
PROT NO Equity,2007-08-17,1.56065
PROT NO Equity,2007-08-21,1.65894
PROT NO Equity,2007-08-22,1.56568
PROT NO Equity,2007-08-23,1.54489
PROT NO Equity,2007-08-24,1.54615
PROT NO Equity,2007-08-30,1.50872
PROT NO Equity,2007-08-31,1.59901
PROT NO Equity,2007-09-04,1.60886
PROT NO Equity,2007-09-06,1.5446
PROT NO Equity,2007-09-07,1.51653
PROT NO Equity,2007-09-11,1.52702
PROT NO Equity,2007-09-14,1.53792
PROT NO Equity,2007-09-18,1.53315
PROT NO Equity,2007-09-20,1.49134
PROT NO Equity,2007-09-21,1.48927
PROT NO Equity,2007-09-24,1.44014
PROT NO Equity,2007-09-26,1.43842
PROT NO Equity,2007-09-27,1.4705
PROT NO Equity,2007-09-28,1.51886
PROT NO Equity,2007-10-01,1.53188
PROT NO Equity,2007-10-02,1.52136
PROT NO Equity,2007-10-03,1.46015
PROT NO Equity,2007-10-04,1.44244
PROT NO Equity,2007-10-05,1.43757
PROT NO Equity,2007-10-08,1.43123
PROT NO Equity,2007-10-09,1.43261
PROT NO Equity,2007-10-11,1.42695
PROT NO Equity,2007-10-12,1.41984
PROT NO Equity,2007-10-15,1.42272
PROT NO Equity,2007-10-17,1.43554
PROT NO Equity,2007-10-18,1.43224
PROT NO Equity,2007-10-22,1.35581
PROT NO Equity,2007-10-25,1.38276
PROT NO Equity,2007-10-26,1.35923
PROT NO Equity,2007-10-29,1.38976
PROT NO Equity,2007-10-31,1.41246
PROT NO Equity,2007-11-02,1.36669
PROT NO Equity,2007-11-05,1.33636
PROT NO Equity,2007-11-06,1.41317
PROT NO Equity,2007-11-07,1.38033
PROT NO Equity,2007-11-09,1.28328
PROT NO Equity,2007-11-12,1.30211
PROT NO Equity,2007-11-13,1.32012
PROT NO Equity,2007-11-14,1.31072
PROT NO Equity,2007-11-15,1.27365
PROT NO Equity,2007-11-16,1.2441
PROT NO Equity,2007-11-20,1.31765
PROT NO Equity,2007-11-21,1.30695
PROT NO Equity,2007-11-22,1.28283
PROT NO Equity,2007-11-26,1.24625
PROT NO Equity,2007-11-27,1.23634
PROT NO Equity,2007-11-28,1.28633
PROT NO Equity,2007-11-29,1.23049
PROT NO Equity,2007-12-04,1.17222
PROT NO Equity,2007-12-05,1.18544
PROT NO Equity,2007-12-06,1.24924
PROT NO Equity,2007-12-07,1.24607
PROT NO Equity,2007-12-13,1.32109
PROT NO Equity,2007-12-17,1.25063
PROT NO Equity,2007-12-18,1.245
PROT NO Equity,2007-12-20,1.23544
PROT NO Equity,2007-12-21,1.23278
PROT NO Equity,2007-12-28,1.24188
PROT NO Equity,2008-01-02,1.23207
PROT NO Equity,2008-01-03,1.25601
PROT NO Equity,2008-01-04,1.20618
PROT NO Equity,2008-01-07,1.20936
PROT NO Equity,2008-01-11,1.15131
PROT NO Equity,2008-01-14,1.14916
PROT NO Equity,2008-01-16,1.07043
PROT NO Equity,2008-01-17,1.03829
PROT NO Equity,2008-01-23,0.98797
PROT NO Equity,2008-01-25,0.99352
PROT NO Equity,2008-01-28,0.9773
PROT NO Equity,2008-01-29,0.94581
PROT NO Equity,2008-01-30,0.91852
PROT NO Equity,2008-01-31,0.95555
PROT NO Equity,2008-02-01,0.9328
PROT NO Equity,2008-02-04,0.92936
PROT NO Equity,2008-02-05,0.92656
PROT NO Equity,2008-02-06,0.97922
PROT NO Equity,2008-02-11,0.99824
PROT NO Equity,2008-02-12,0.97425
PROT NO Equity,2008-02-13,1.00225
PROT NO Equity,2008-02-14,1.01041
PROT NO Equity,2008-02-15,1.01129
PROT NO Equity,2008-02-18,1.01348
PROT NO Equity,2008-02-19,1.01817
PROT NO Equity,2008-02-20,1.01568
PROT NO Equity,2008-02-21,1.01546
PROT NO Equity,2008-02-22,0.97559
PROT NO Equity,2008-02-25,1.01354
PROT NO Equity,2008-02-27,0.99275
PROT NO Equity,2008-02-28,1.0161
PROT NO Equity,2008-02-29,1.07478
PROT NO Equity,2008-03-04,1.14337
PROT NO Equity,2008-03-05,1.13492
PROT NO Equity,2008-03-06,1.09254
PROT NO Equity,2008-03-07,1.0096
PROT NO Equity,2008-03-12,1.07374
PROT NO Equity,2008-03-13,1.00587
PROT NO Equity,2008-03-14,0.99862
PROT NO Equity,2008-03-17,0.99184
PROT NO Equity,2008-03-18,0.99107
PROT NO Equity,2008-03-25,0.98935
PROT NO Equity,2008-03-27,0.99659
PROT NO Equity,2008-03-31,1.03269
PROT NO Equity,2008-04-01,1.02402
PROT NO Equity,2008-04-02,1.03084
PROT NO Equity,2008-04-03,1.04939
PROT NO Equity,2008-04-04,1.05145
PROT NO Equity,2008-04-07,1.03173
PROT NO Equity,2008-04-11,0.99204
PROT NO Equity,2008-04-23,0.99519
PROT NO Equity,2008-04-28,0.95299
PROT NO Equity,2008-04-29,0.97268
PROT NO Equity,2008-04-30,1.0027
PROT NO Equity,2008-05-02,1.0108
PROT NO Equity,2008-05-20,0.93354
PROT NO Equity,2008-05-21,0.92774
PROT NO Equity,2008-05-22,0.92692
PROT NO Equity,2008-05-23,0.94063
PROT NO Equity,2008-05-26,0.92276
PROT NO Equity,2008-05-27,0.94267
PROT NO Equity,2008-05-28,0.92603
PROT NO Equity,2008-05-29,0.92584
PROT NO Equity,2008-05-30,0.92128
PROT NO Equity,2008-06-02,0.9172
PROT NO Equity,2008-06-05,0.92942
PROT NO Equity,2008-06-06,0.93963
PROT NO Equity,2008-06-11,0.91833
PROT NO Equity,2008-06-12,0.90925
PROT NO Equity,2008-06-17,0.91874
PROT NO Equity,2008-06-19,0.92111
PROT NO Equity,2008-06-20,0.90782
PROT NO Equity,2008-06-23,0.91267
PROT NO Equity,2008-06-26,0.87896
PROT NO Equity,2008-06-27,0.85136
PROT NO Equity,2008-07-07,0.86399
PROT NO Equity,2008-07-08,0.84552
PROT NO Equity,2008-07-09,0.8083
PROT NO Equity,2008-07-10,0.79275
PROT NO Equity,2008-07-11,0.79339
PROT NO Equity,2008-07-14,0.79484
PROT NO Equity,2008-07-15,0.79533
PROT NO Equity,2008-07-16,0.79228
PROT NO Equity,2008-07-22,0.79387
PROT NO Equity,2008-07-23,0.80332
PROT NO Equity,2008-07-24,0.80211
PROT NO Equity,2008-07-28,0.80371
PROT NO Equity,2008-07-31,0.81178
PROT NO Equity,2008-08-05,0.80855
PROT NO Equity,2008-08-07,0.87561
PROT NO Equity,2008-08-08,0.8082
PROT NO Equity,2008-08-13,0.87019
PROT NO Equity,2008-08-21,0.88228
PROT NO Equity,2008-08-22,0.90081
PROT NO Equity,2008-08-25,0.85264
PROT NO Equity,2008-08-26,0.82127
PROT NO Equity,2008-08-27,0.88533
PROT NO Equity,2008-08-28,0.93478
PROT NO Equity,2008-08-29,0.93018
PROT NO Equity,2008-09-02,0.84501
PROT NO Equity,2008-09-03,0.84198
PROT NO Equity,2008-09-04,0.87571
PROT NO Equity,2008-09-05,0.84237
PROT NO Equity,2008-09-11,0.83122
PROT NO Equity,2008-09-12,0.83074
PROT NO Equity,2008-09-15,0.79085
PROT NO Equity,2008-09-16,0.78229
PROT NO Equity,2008-09-17,0.80527
PROT NO Equity,2008-09-23,0.82174
PROT NO Equity,2008-10-03,0.73061
PROT NO Equity,2008-10-07,0.71528
PROT NO Equity,2008-10-08,0.70316
PROT NO Equity,2008-10-09,0.77345
PROT NO Equity,2008-10-10,0.75577
PROT NO Equity,2008-10-14,0.65098
PROT NO Equity,2008-10-17,0.60379
PROT NO Equity,2008-10-20,0.56695
PROT NO Equity,2008-10-22,0.54554
PROT NO Equity,2008-10-23,0.49004
PROT NO Equity,2008-10-27,0.43063
PROT NO Equity,2008-10-29,0.41918
PROT NO Equity,2008-10-30,0.43357
PROT NO Equity,2008-10-31,0.3682
PROT NO Equity,2008-11-03,0.38831
PROT NO Equity,2008-11-04,0.38389
PROT NO Equity,2008-11-07,0.42183
PROT NO Equity,2008-11-10,0.4717
PROT NO Equity,2008-11-11,0.4594
PROT NO Equity,2008-11-12,0.41857
PROT NO Equity,2008-11-13,0.41151
PROT NO Equity,2008-11-19,0.41279
PROT NO Equity,2008-11-20,0.40549
PROT NO Equity,2008-11-24,0.43503
PROT NO Equity,2008-11-25,0.43058
PROT NO Equity,2008-11-26,0.43143
PROT NO Equity,2008-11-27,0.48415
PROT NO Equity,2008-11-28,0.50795
PROT NO Equity,2008-12-01,0.50047
PROT NO Equity,2008-12-08,0.4912
PROT NO Equity,2008-12-09,0.55737
PROT NO Equity,2008-12-15,0.58372
PROT NO Equity,2008-12-16,0.4989
PROT NO Equity,2008-12-18,0.49471
PROT NO Equity,2008-12-22,0.47304
PROT NO Equity,2008-12-23,0.45141
PROT NO Equity,2008-12-29,0.45065
PROT NO Equity,2008-12-30,0.4739
PROT NO Equity,2009-01-09,0.49662
PROT NO Equity,2009-01-20,0.54286
PROT NO Equity,2009-01-23,0.54552
PROT NO Equity,2009-01-26,0.56557
PROT NO Equity,2009-01-28,0.56419
PROT NO Equity,2009-01-29,0.56283
PROT NO Equity,2009-01-30,0.56368
PROT NO Equity,2009-02-09,0.57669
PROT NO Equity,2009-02-11,0.56145
