name,date,PX_LAST
PZU PW Equity,2010-05-11,7.79171
PZU PW Equity,2010-05-12,9.07568
PZU PW Equity,2010-05-13,9.04952
PZU PW Equity,2010-05-14,8.85173
PZU PW Equity,2010-05-17,8.70552
PZU PW Equity,2010-05-18,8.7634
PZU PW Equity,2010-05-19,8.40108
PZU PW Equity,2010-05-20,7.95121
PZU PW Equity,2010-05-21,8.13617
PZU PW Equity,2010-05-24,8.36943
PZU PW Equity,2010-05-25,7.92542
PZU PW Equity,2010-05-26,8.61625
PZU PW Equity,2010-05-27,8.6035
PZU PW Equity,2010-05-28,8.56776
PZU PW Equity,2010-05-31,8.58314
PZU PW Equity,2010-06-01,8.49316
PZU PW Equity,2010-06-02,8.52719
PZU PW Equity,2010-06-04,8.18049
PZU PW Equity,2010-06-07,8.19046
PZU PW Equity,2010-06-08,8.18999
PZU PW Equity,2010-06-09,8.40753
PZU PW Equity,2010-06-10,8.54464
PZU PW Equity,2010-06-11,8.50091
PZU PW Equity,2010-06-14,8.63895
PZU PW Equity,2010-06-15,8.65523
PZU PW Equity,2010-06-16,8.66629
PZU PW Equity,2010-06-17,8.68097
PZU PW Equity,2010-06-18,8.82617
PZU PW Equity,2010-06-21,9.0134
PZU PW Equity,2010-06-22,8.87893
PZU PW Equity,2010-06-23,8.81399
PZU PW Equity,2010-06-24,8.6099
PZU PW Equity,2010-06-25,8.62258
PZU PW Equity,2010-06-28,8.49182
PZU PW Equity,2010-06-29,8.45042
PZU PW Equity,2010-06-30,8.46805
PZU PW Equity,2010-07-01,8.5302
PZU PW Equity,2010-07-02,8.52588
PZU PW Equity,2010-07-05,8.55384
PZU PW Equity,2010-07-06,8.73123
PZU PW Equity,2010-07-07,8.73859
PZU PW Equity,2010-07-08,8.78887
PZU PW Equity,2010-07-09,8.86883
PZU PW Equity,2010-07-12,9.14565
PZU PW Equity,2010-07-13,9.29112
PZU PW Equity,2010-07-14,9.12094
PZU PW Equity,2010-07-15,9.08725
PZU PW Equity,2010-07-16,8.96999
PZU PW Equity,2010-07-19,9.04536
PZU PW Equity,2010-07-20,8.99724
PZU PW Equity,2010-07-21,9.12509
PZU PW Equity,2010-07-22,9.34224
PZU PW Equity,2010-07-23,9.26558
PZU PW Equity,2010-07-26,9.63651
PZU PW Equity,2010-07-27,9.59122
PZU PW Equity,2010-07-28,9.47657
PZU PW Equity,2010-07-29,9.72659
PZU PW Equity,2010-07-30,9.83718
PZU PW Equity,2010-08-02,9.97183
PZU PW Equity,2010-08-03,9.96531
PZU PW Equity,2010-08-04,9.94264
PZU PW Equity,2010-08-05,9.96804
PZU PW Equity,2010-08-06,9.89379
PZU PW Equity,2010-08-09,9.63463
PZU PW Equity,2010-08-10,9.56849
PZU PW Equity,2010-08-11,9.41356
PZU PW Equity,2010-08-12,9.57292
PZU PW Equity,2010-08-13,9.71351
PZU PW Equity,2010-08-16,9.80756
PZU PW Equity,2010-08-17,9.7516
PZU PW Equity,2010-08-18,9.82635
PZU PW Equity,2010-08-19,9.70744
PZU PW Equity,2010-08-20,9.8044
PZU PW Equity,2010-08-23,9.74341
PZU PW Equity,2010-08-24,9.62136
PZU PW Equity,2010-08-25,9.48513
PZU PW Equity,2010-08-26,9.31453
PZU PW Equity,2010-08-27,9.4127
PZU PW Equity,2010-08-30,9.39853
PZU PW Equity,2010-08-31,9.4485
PZU PW Equity,2010-09-01,9.44655
PZU PW Equity,2010-09-02,9.44346
PZU PW Equity,2010-09-03,9.69985
PZU PW Equity,2010-09-06,9.8378
PZU PW Equity,2010-09-07,9.71882
PZU PW Equity,2010-09-08,10.02342
PZU PW Equity,2010-09-09,10.13603
PZU PW Equity,2010-09-10,10.04858
PZU PW Equity,2010-09-13,10.09557
PZU PW Equity,2010-09-14,10.20505
PZU PW Equity,2010-09-15,10.20283
PZU PW Equity,2010-09-16,10.06883
PZU PW Equity,2010-09-17,10.169
PZU PW Equity,2010-09-20,10.30503
