name,date,PX_LAST
REVO IM Equity,2021-05-25,9.2614
REVO IM Equity,2021-05-26,9.2891
REVO IM Equity,2021-05-27,9.3336
REVO IM Equity,2021-05-28,9.3521
REVO IM Equity,2021-05-31,9.3021
REVO IM Equity,2021-06-01,9.2799
REVO IM Equity,2021-06-02,9.3169
REVO IM Equity,2021-06-03,9.2799
REVO IM Equity,2021-06-04,9.2984
REVO IM Equity,2021-06-07,9.2984
REVO IM Equity,2021-06-08,9.2799
REVO IM Equity,2021-06-09,9.2984
REVO IM Equity,2021-06-10,9.2799
REVO IM Equity,2021-06-11,9.354
REVO IM Equity,2021-06-14,9.3355
REVO IM Equity,2021-06-15,9.391
REVO IM Equity,2021-06-16,9.391
REVO IM Equity,2021-06-17,9.354
REVO IM Equity,2021-06-18,9.354
REVO IM Equity,2021-06-21,9.354
REVO IM Equity,2021-06-22,9.3355
REVO IM Equity,2021-06-23,9.2984
REVO IM Equity,2021-06-24,9.3355
REVO IM Equity,2021-06-25,9.2984
REVO IM Equity,2021-06-28,9.3169
REVO IM Equity,2021-06-29,9.2984
REVO IM Equity,2021-06-30,9.2984
REVO IM Equity,2021-07-01,9.354
REVO IM Equity,2021-07-02,9.3169
REVO IM Equity,2021-07-05,9.2984
REVO IM Equity,2021-07-06,9.2984
REVO IM Equity,2021-07-07,9.3355
REVO IM Equity,2021-07-08,9.3077
REVO IM Equity,2021-07-09,9.3077
REVO IM Equity,2021-07-12,9.3077
REVO IM Equity,2021-07-13,9.3077
REVO IM Equity,2021-07-14,9.3077
REVO IM Equity,2021-07-15,9.3077
REVO IM Equity,2021-07-16,9.354
REVO IM Equity,2021-07-19,9.2614
REVO IM Equity,2021-07-20,9.3077
REVO IM Equity,2021-07-21,9.3077
REVO IM Equity,2021-07-22,9.3077
REVO IM Equity,2021-07-23,9.3077
REVO IM Equity,2021-07-26,9.2614
REVO IM Equity,2021-07-27,9.2614
REVO IM Equity,2021-07-28,9.2243
REVO IM Equity,2021-07-29,9.2428
REVO IM Equity,2021-07-30,9.2614
REVO IM Equity,2021-08-02,9.2614
REVO IM Equity,2021-08-03,9.2428
REVO IM Equity,2021-08-04,9.2428
REVO IM Equity,2021-08-05,9.2614
REVO IM Equity,2021-08-06,9.2614
REVO IM Equity,2021-08-09,9.2428
REVO IM Equity,2021-08-10,9.2243
REVO IM Equity,2021-08-11,9.2243
REVO IM Equity,2021-08-12,9.2614
REVO IM Equity,2021-08-13,9.2428
REVO IM Equity,2021-08-16,9.2428
REVO IM Equity,2021-08-17,9.2428
REVO IM Equity,2021-08-18,9.2614
REVO IM Equity,2021-08-19,9.3077
REVO IM Equity,2021-08-20,9.2428
REVO IM Equity,2021-08-23,9.3077
REVO IM Equity,2021-08-24,9.3077
REVO IM Equity,2021-08-25,9.2614
REVO IM Equity,2021-08-26,9.2614
REVO IM Equity,2021-08-27,9.3077
REVO IM Equity,2021-08-30,9.2614
REVO IM Equity,2021-08-31,9.2614
REVO IM Equity,2021-09-01,9.2614
REVO IM Equity,2021-09-02,9.2614
REVO IM Equity,2021-09-03,9.2614
REVO IM Equity,2021-09-06,9.2428
REVO IM Equity,2021-09-07,9.2428
REVO IM Equity,2021-09-08,9.2614
REVO IM Equity,2021-09-09,9.2428
REVO IM Equity,2021-09-10,9.2614
REVO IM Equity,2021-09-13,9.2428
REVO IM Equity,2021-09-14,9.2428
REVO IM Equity,2021-09-15,9.2614
REVO IM Equity,2021-09-16,9.2614
REVO IM Equity,2021-09-17,9.2614
REVO IM Equity,2021-09-20,9.2614
REVO IM Equity,2021-09-21,9.2243
REVO IM Equity,2021-09-22,9.2243
REVO IM Equity,2021-09-23,9.2428
REVO IM Equity,2021-09-24,9.2428
REVO IM Equity,2021-09-27,9.2614
REVO IM Equity,2021-09-28,9.2614
REVO IM Equity,2021-09-29,9.2614
REVO IM Equity,2021-09-30,9.1873
REVO IM Equity,2021-10-01,9.2428
REVO IM Equity,2021-10-04,9.2428
REVO IM Equity,2021-10-05,9.2428
REVO IM Equity,2021-10-06,9.2614
REVO IM Equity,2021-10-07,9.2428
REVO IM Equity,2021-10-08,9.2243
REVO IM Equity,2021-10-11,9.2058
REVO IM Equity,2021-10-12,9.2614
REVO IM Equity,2021-10-13,9.2058
REVO IM Equity,2021-10-14,9.2243
REVO IM Equity,2021-10-15,9.2428
REVO IM Equity,2021-10-18,9.2243
