name,date,PX_LAST
RGG PZ Equity,2021-12-08,2.33272
RGG PZ Equity,2021-12-09,2.4575
RGG PZ Equity,2021-12-10,2.4616
RGG PZ Equity,2021-12-13,2.45704
RGG PZ Equity,2021-12-14,2.46441
RGG PZ Equity,2021-12-15,2.46405
RGG PZ Equity,2021-12-16,2.47128
RGG PZ Equity,2021-12-17,2.47143
RGG PZ Equity,2021-12-20,2.45862
RGG PZ Equity,2021-12-21,2.46942
RGG PZ Equity,2021-12-22,2.47592
RGG PZ Equity,2021-12-23,2.48547
RGG PZ Equity,2021-12-24,2.48619
RGG PZ Equity,2021-12-29,2.49711
RGG PZ Equity,2021-12-30,2.50293
RGG PZ Equity,2021-12-31,2.49636
RGG PZ Equity,2022-01-04,2.51688
RGG PZ Equity,2022-01-05,2.51626
RGG PZ Equity,2022-01-06,2.5155
RGG PZ Equity,2022-01-07,2.51105
RGG PZ Equity,2022-01-10,2.51411
RGG PZ Equity,2022-01-11,2.51856
RGG PZ Equity,2022-01-12,2.51527
RGG PZ Equity,2022-01-13,2.51263
RGG PZ Equity,2022-01-14,2.51514
RGG PZ Equity,2022-01-17,2.51201
RGG PZ Equity,2022-01-18,2.51803
RGG PZ Equity,2022-01-19,2.52244
RGG PZ Equity,2022-01-20,2.52641
RGG PZ Equity,2022-01-21,2.50923
RGG PZ Equity,2022-01-24,2.49449
RGG PZ Equity,2022-01-25,2.51114
RGG PZ Equity,2022-01-26,2.51561
RGG PZ Equity,2022-01-27,2.52117
RGG PZ Equity,2022-01-28,2.52147
RGG PZ Equity,2022-01-31,2.51517
RGG PZ Equity,2022-02-01,2.52224
RGG PZ Equity,2022-02-02,2.52089
RGG PZ Equity,2022-02-03,2.4971
RGG PZ Equity,2022-02-04,2.48153
RGG PZ Equity,2022-02-07,2.48583
RGG PZ Equity,2022-02-08,2.49036
RGG PZ Equity,2022-02-09,2.48574
RGG PZ Equity,2022-02-10,2.49326
RGG PZ Equity,2022-02-11,2.50611
RGG PZ Equity,2022-02-14,2.51239
RGG PZ Equity,2022-02-15,2.50173
