name,date,PX_LAST
SAMPO FH Equity,1990-02-22,2.9379
SAMPO FH Equity,1990-02-23,2.9379
SAMPO FH Equity,1990-02-26,2.9379
SAMPO FH Equity,1990-02-28,2.9379
SAMPO FH Equity,1990-03-01,2.9379
SAMPO FH Equity,1990-03-02,3.0133
SAMPO FH Equity,1990-03-05,3.0133
SAMPO FH Equity,1990-03-06,3.0133
SAMPO FH Equity,1990-03-07,2.9379
SAMPO FH Equity,1990-03-08,2.953
SAMPO FH Equity,1990-03-09,2.9455
SAMPO FH Equity,1990-03-12,2.9681
SAMPO FH Equity,1990-03-13,2.9681
SAMPO FH Equity,1990-03-14,2.9681
SAMPO FH Equity,1990-03-15,2.9379
SAMPO FH Equity,1990-03-16,2.9379
SAMPO FH Equity,1990-03-19,2.9379
SAMPO FH Equity,1990-03-20,2.9379
SAMPO FH Equity,1990-03-21,2.9379
SAMPO FH Equity,1990-03-22,2.9379
SAMPO FH Equity,1990-03-23,3.0133
SAMPO FH Equity,1990-03-27,2.9379
SAMPO FH Equity,1990-03-28,3.0133
SAMPO FH Equity,1990-03-29,3.0133
SAMPO FH Equity,1990-03-30,3.0509
SAMPO FH Equity,1990-04-02,3.0509
SAMPO FH Equity,1990-04-03,2.9756
SAMPO FH Equity,1990-04-04,2.9756
SAMPO FH Equity,1990-04-05,2.9756
SAMPO FH Equity,1990-04-06,2.9756
SAMPO FH Equity,1990-04-09,2.9756
SAMPO FH Equity,1990-04-10,2.9379
SAMPO FH Equity,1990-04-11,2.953
SAMPO FH Equity,1990-04-12,2.953
SAMPO FH Equity,1990-04-17,2.953
SAMPO FH Equity,1990-04-18,2.9379
SAMPO FH Equity,1990-04-19,2.9379
SAMPO FH Equity,1990-04-20,2.9379
SAMPO FH Equity,1990-04-24,2.9455
SAMPO FH Equity,1990-04-25,2.9379
SAMPO FH Equity,1990-04-26,2.9229
SAMPO FH Equity,1990-04-27,2.9304
SAMPO FH Equity,1990-04-30,2.9229
SAMPO FH Equity,1990-05-01,2.9229
SAMPO FH Equity,1990-05-02,2.9229
SAMPO FH Equity,1990-05-03,2.9229
SAMPO FH Equity,1990-05-04,2.9229
SAMPO FH Equity,1990-05-07,2.9229
SAMPO FH Equity,1990-05-08,2.8927
SAMPO FH Equity,1990-05-09,2.8927
SAMPO FH Equity,1990-05-10,2.8927
SAMPO FH Equity,1990-05-11,2.9078
SAMPO FH Equity,1990-05-14,2.9078
SAMPO FH Equity,1990-05-15,2.8927
SAMPO FH Equity,1990-05-16,2.9078
SAMPO FH Equity,1990-05-17,2.8927
SAMPO FH Equity,1990-05-18,2.9003
SAMPO FH Equity,1990-05-21,2.9078
SAMPO FH Equity,1990-05-22,2.8927
SAMPO FH Equity,1990-05-23,2.8927
SAMPO FH Equity,1990-05-24,2.9078
SAMPO FH Equity,1990-05-25,2.9078
SAMPO FH Equity,1990-05-28,2.9078
SAMPO FH Equity,1990-05-29,2.9078
SAMPO FH Equity,1990-05-30,2.9078
SAMPO FH Equity,1990-05-31,2.9756
SAMPO FH Equity,1990-06-01,3.0886
SAMPO FH Equity,1990-06-04,3.0886
SAMPO FH Equity,1990-06-05,3.0886
SAMPO FH Equity,1990-06-06,3.0133
SAMPO FH Equity,1990-06-07,2.9982
SAMPO FH Equity,1990-06-08,2.9379
SAMPO FH Equity,1990-06-11,2.9379
SAMPO FH Equity,1990-06-12,2.953
SAMPO FH Equity,1990-06-13,2.9379
SAMPO FH Equity,1990-06-14,2.9379
SAMPO FH Equity,1990-06-15,2.9455
SAMPO FH Equity,1990-06-18,2.953
SAMPO FH Equity,1990-06-19,3.0133
SAMPO FH Equity,1990-06-20,3.0133
SAMPO FH Equity,1990-06-21,3.2393
SAMPO FH Equity,1990-06-22,3.2393
SAMPO FH Equity,1990-06-25,3.0359
SAMPO FH Equity,1990-06-26,3.0133
SAMPO FH Equity,1990-06-27,3.0133
SAMPO FH Equity,1990-06-28,3.0133
SAMPO FH Equity,1990-06-29,3.0133
SAMPO FH Equity,1990-07-02,3.0133
SAMPO FH Equity,1990-07-03,3.0133
SAMPO FH Equity,1990-07-04,3.0133
SAMPO FH Equity,1990-07-05,3.0133
