name,date,PX_LAST
SFAB SS Equity,2021-12-01,5.8631
SFAB SS Equity,2021-12-02,5.76951
SFAB SS Equity,2021-12-03,6.34083
SFAB SS Equity,2021-12-06,6.06582
SFAB SS Equity,2021-12-07,6.01685
SFAB SS Equity,2021-12-08,5.99863
SFAB SS Equity,2021-12-09,6.0455
SFAB SS Equity,2021-12-10,5.96088
SFAB SS Equity,2021-12-13,5.60076
SFAB SS Equity,2021-12-14,5.47692
SFAB SS Equity,2021-12-15,5.38437
SFAB SS Equity,2021-12-16,5.56366
SFAB SS Equity,2021-12-17,5.48127
SFAB SS Equity,2021-12-20,5.40703
SFAB SS Equity,2021-12-21,5.31094
SFAB SS Equity,2021-12-22,5.29657
SFAB SS Equity,2021-12-23,5.38717
SFAB SS Equity,2021-12-27,5.55591
SFAB SS Equity,2021-12-28,5.6231
SFAB SS Equity,2021-12-29,5.57561
SFAB SS Equity,2021-12-30,5.73321
SFAB SS Equity,2022-01-03,5.63475
SFAB SS Equity,2022-01-04,5.59823
SFAB SS Equity,2022-01-05,5.59595
SFAB SS Equity,2022-01-07,5.55836
SFAB SS Equity,2022-01-10,5.48703
SFAB SS Equity,2022-01-11,5.56881
SFAB SS Equity,2022-01-12,5.52649
SFAB SS Equity,2022-01-13,5.47221
SFAB SS Equity,2022-01-14,5.54818
SFAB SS Equity,2022-01-17,5.54183
SFAB SS Equity,2022-01-18,5.55078
SFAB SS Equity,2022-01-19,5.43115
SFAB SS Equity,2022-01-20,5.25188
SFAB SS Equity,2022-01-21,5.27415
SFAB SS Equity,2022-01-24,4.97233
SFAB SS Equity,2022-01-25,5.03529
SFAB SS Equity,2022-01-26,5.16147
SFAB SS Equity,2022-01-27,5.06737
SFAB SS Equity,2022-01-28,5.11374
SFAB SS Equity,2022-01-31,5.09528
SFAB SS Equity,2022-02-01,5.16485
SFAB SS Equity,2022-02-02,5.26591
SFAB SS Equity,2022-02-03,5.26791
SFAB SS Equity,2022-02-04,5.22337
SFAB SS Equity,2022-02-07,5.2168
SFAB SS Equity,2022-02-08,5.20455
SFAB SS Equity,2022-02-09,5.05011
SFAB SS Equity,2022-02-10,5.01134
SFAB SS Equity,2022-02-11,4.91051
SFAB SS Equity,2022-02-14,4.71544
SFAB SS Equity,2022-02-15,4.75408
SFAB SS Equity,2022-02-16,4.71042
SFAB SS Equity,2022-02-17,4.65659
SFAB SS Equity,2022-02-18,4.52735
SFAB SS Equity,2022-02-21,4.55176
SFAB SS Equity,2022-02-22,4.4955
SFAB SS Equity,2022-02-23,4.41919
SFAB SS Equity,2022-02-24,4.37629
SFAB SS Equity,2022-02-25,4.46817
SFAB SS Equity,2022-02-28,4.56184
SFAB SS Equity,2022-03-01,4.43658
SFAB SS Equity,2022-03-02,4.37813
SFAB SS Equity,2022-03-03,4.17096
SFAB SS Equity,2022-03-04,4.05813
SFAB SS Equity,2022-03-07,4.12812
SFAB SS Equity,2022-03-08,4.12396
SFAB SS Equity,2022-03-09,4.23282
SFAB SS Equity,2022-03-10,4.22309
SFAB SS Equity,2022-03-11,4.25518
SFAB SS Equity,2022-03-14,4.33859
SFAB SS Equity,2022-03-15,4.32322
SFAB SS Equity,2022-03-16,4.43017
SFAB SS Equity,2022-03-17,4.50282
SFAB SS Equity,2022-03-18,4.48927
SFAB SS Equity,2022-03-21,4.5759
SFAB SS Equity,2022-03-22,4.64789
SFAB SS Equity,2022-03-23,4.65734
SFAB SS Equity,2022-03-24,4.55402
SFAB SS Equity,2022-03-25,4.62364
SFAB SS Equity,2022-03-28,4.59899
SFAB SS Equity,2022-03-29,4.6427
SFAB SS Equity,2022-03-30,4.80478
SFAB SS Equity,2022-03-31,4.70884
SFAB SS Equity,2022-04-01,4.81365
SFAB SS Equity,2022-04-04,4.67157
SFAB SS Equity,2022-04-05,4.67101
SFAB SS Equity,2022-04-06,4.66391
SFAB SS Equity,2022-04-07,4.67122
SFAB SS Equity,2022-04-08,4.74563
SFAB SS Equity,2022-04-11,4.66948
SFAB SS Equity,2022-04-12,4.66299
SFAB SS Equity,2022-04-13,4.66718
SFAB SS Equity,2022-04-14,4.63951
SFAB SS Equity,2022-04-19,4.6643
SFAB SS Equity,2022-04-20,4.71059
SFAB SS Equity,2022-04-21,4.65869
SFAB SS Equity,2022-04-22,4.67143
SFAB SS Equity,2022-04-25,4.56641
SFAB SS Equity,2022-04-26,4.59921
SFAB SS Equity,2022-04-27,4.36505
SFAB SS Equity,2022-04-28,4.40746
SFAB SS Equity,2022-04-29,4.62527
SFAB SS Equity,2022-05-02,4.38316
SFAB SS Equity,2022-05-03,4.54715
SFAB SS Equity,2022-05-04,4.56733
SFAB SS Equity,2022-05-05,4.3658
SFAB SS Equity,2022-05-06,4.41809
SFAB SS Equity,2022-05-09,4.26726
SFAB SS Equity,2022-05-10,4.31769
SFAB SS Equity,2022-05-11,4.31484
SFAB SS Equity,2022-05-12,4.36092
SFAB SS Equity,2022-05-13,4.41007
SFAB SS Equity,2022-05-16,4.3801
SFAB SS Equity,2022-05-17,4.43998
SFAB SS Equity,2022-05-18,4.38413
SFAB SS Equity,2022-05-19,4.35672
SFAB SS Equity,2022-05-20,4.35462
SFAB SS Equity,2022-05-23,4.23871
SFAB SS Equity,2022-05-24,4.05642
SFAB SS Equity,2022-05-25,3.94002
SFAB SS Equity,2022-05-27,3.98448
SFAB SS Equity,2022-05-30,4.20297
SFAB SS Equity,2022-05-31,4.08043
SFAB SS Equity,2022-06-01,4.05414
SFAB SS Equity,2022-06-02,4.05258
SFAB SS Equity,2022-06-03,4.15613
SFAB SS Equity,2022-06-07,4.01743
SFAB SS Equity,2022-06-08,4.02469
SFAB SS Equity,2022-06-09,4.0046
SFAB SS Equity,2022-06-10,3.84196
SFAB SS Equity,2022-06-13,3.80694
SFAB SS Equity,2022-06-14,3.75514
SFAB SS Equity,2022-06-15,3.77449
SFAB SS Equity,2022-06-16,3.68867
SFAB SS Equity,2022-06-17,3.67715
SFAB SS Equity,2022-06-20,3.69583
SFAB SS Equity,2022-06-21,3.69789
SFAB SS Equity,2022-06-22,3.58316
SFAB SS Equity,2022-06-23,3.57487
SFAB SS Equity,2022-06-27,3.8093
SFAB SS Equity,2022-06-28,3.80405
SFAB SS Equity,2022-06-29,3.87014
SFAB SS Equity,2022-06-30,3.72675
SFAB SS Equity,2022-07-01,3.68975
SFAB SS Equity,2022-07-04,3.75933
SFAB SS Equity,2022-07-05,3.66135
SFAB SS Equity,2022-07-06,3.75815
SFAB SS Equity,2022-07-07,3.78339
SFAB SS Equity,2022-07-08,3.83236
SFAB SS Equity,2022-07-11,3.96625
SFAB SS Equity,2022-07-12,3.99469
