name,date,PX_LAST
SREN SW Equity,1999-01-04,115.12335
SREN SW Equity,1999-01-05,117.49346
SREN SW Equity,1999-01-06,117.26476
SREN SW Equity,1999-01-07,114.95787
SREN SW Equity,1999-01-08,116.27734
SREN SW Equity,1999-01-11,111.98839
SREN SW Equity,1999-01-12,112.30066
SREN SW Equity,1999-01-13,109.64545
SREN SW Equity,1999-01-14,108.06346
SREN SW Equity,1999-01-15,109.60528
SREN SW Equity,1999-01-18,111.88608
SREN SW Equity,1999-01-19,111.52183
SREN SW Equity,1999-01-20,110.94364
SREN SW Equity,1999-01-21,111.48661
SREN SW Equity,1999-01-22,109.21296
SREN SW Equity,1999-01-25,110.32436
SREN SW Equity,1999-01-26,109.37922
SREN SW Equity,1999-01-27,107.19174
SREN SW Equity,1999-01-28,108.61316
SREN SW Equity,1999-01-29,109.40745
SREN SW Equity,1999-02-01,109.80548
SREN SW Equity,1999-02-02,108.93129
SREN SW Equity,1999-02-03,106.99475
SREN SW Equity,1999-02-04,106.82098
SREN SW Equity,1999-02-05,104.80192
SREN SW Equity,1999-02-08,103.57067
SREN SW Equity,1999-02-09,101.72104
SREN SW Equity,1999-02-10,101.41433
SREN SW Equity,1999-02-11,101.74713
SREN SW Equity,1999-02-12,103.20934
SREN SW Equity,1999-02-15,102.95625
SREN SW Equity,1999-02-16,102.65807
SREN SW Equity,1999-02-17,103.11412
SREN SW Equity,1999-02-18,102.26547
SREN SW Equity,1999-02-19,100.94942
SREN SW Equity,1999-02-22,102.96898
SREN SW Equity,1999-02-23,105.38308
SREN SW Equity,1999-02-24,105.1723
SREN SW Equity,1999-02-25,103.34395
SREN SW Equity,1999-02-26,101.79622
SREN SW Equity,1999-03-01,101.39255
SREN SW Equity,1999-03-02,99.95426
SREN SW Equity,1999-03-03,99.01103
SREN SW Equity,1999-03-04,100.26359
SREN SW Equity,1999-03-05,102.45818
SREN SW Equity,1999-03-08,103.01029
SREN SW Equity,1999-03-09,103.94676
SREN SW Equity,1999-03-10,103.01602
SREN SW Equity,1999-03-11,104.46791
SREN SW Equity,1999-03-12,103.80396
SREN SW Equity,1999-03-15,104.69518
SREN SW Equity,1999-03-16,104.34832
SREN SW Equity,1999-03-17,105.65148
SREN SW Equity,1999-03-18,104.86881
SREN SW Equity,1999-03-19,104.3013
SREN SW Equity,1999-03-22,104.03153
SREN SW Equity,1999-03-23,103.24708
SREN SW Equity,1999-03-24,101.6158
SREN SW Equity,1999-03-25,102.47862
SREN SW Equity,1999-03-26,101.57122
SREN SW Equity,1999-03-29,101.95133
SREN SW Equity,1999-03-30,101.36651
SREN SW Equity,1999-03-31,102.56695
SREN SW Equity,1999-04-01,103.12044
SREN SW Equity,1999-04-06,103.95818
SREN SW Equity,1999-04-07,106.18276
SREN SW Equity,1999-04-08,108.46623
SREN SW Equity,1999-04-09,109.76614
SREN SW Equity,1999-04-12,107.96644
SREN SW Equity,1999-04-13,107.28769
SREN SW Equity,1999-04-14,106.04481
SREN SW Equity,1999-04-15,106.14895
SREN SW Equity,1999-04-16,104.43123
SREN SW Equity,1999-04-19,104.31144
SREN SW Equity,1999-04-20,102.94575
SREN SW Equity,1999-04-21,103.15864
SREN SW Equity,1999-04-22,102.94116
SREN SW Equity,1999-04-23,101.7564
SREN SW Equity,1999-04-26,102.99181
SREN SW Equity,1999-04-27,104.56193
SREN SW Equity,1999-04-28,104.56496
SREN SW Equity,1999-04-29,103.78557
SREN SW Equity,1999-04-30,103.54859
SREN SW Equity,1999-05-03,104.83288
SREN SW Equity,1999-05-04,105.15085
SREN SW Equity,1999-05-05,104.84103
SREN SW Equity,1999-05-06,101.82216
SREN SW Equity,1999-05-07,100.63115
SREN SW Equity,1999-05-10,100.03352
SREN SW Equity,1999-05-11,99.30666
SREN SW Equity,1999-05-12,99.07369
SREN SW Equity,1999-05-14,96.72551
SREN SW Equity,1999-05-17,93.53733
SREN SW Equity,1999-05-18,93.46344
SREN SW Equity,1999-05-19,94.87221
SREN SW Equity,1999-05-20,96.86365
SREN SW Equity,1999-05-21,95.13621
SREN SW Equity,1999-05-25,93.73659
SREN SW Equity,1999-05-26,92.88087
SREN SW Equity,1999-05-27,91.29353
SREN SW Equity,1999-05-28,91.02947
SREN SW Equity,1999-05-31,92.441
SREN SW Equity,1999-06-01,90.53866
SREN SW Equity,1999-06-02,90.63935
SREN SW Equity,1999-06-03,92.27955
SREN SW Equity,1999-06-04,94.08836
SREN SW Equity,1999-06-07,95.42692
SREN SW Equity,1999-06-08,96.08979
SREN SW Equity,1999-06-09,95.17051
SREN SW Equity,1999-06-10,93.05807
SREN SW Equity,1999-06-11,92.56803
SREN SW Equity,1999-06-14,92.91773
SREN SW Equity,1999-06-15,92.95195
SREN SW Equity,1999-06-16,93.98284
SREN SW Equity,1999-06-17,94.85735
SREN SW Equity,1999-06-18,94.6303
SREN SW Equity,1999-06-21,95.69638
SREN SW Equity,1999-06-22,94.78428
SREN SW Equity,1999-06-23,93.80172
SREN SW Equity,1999-06-24,93.83467
SREN SW Equity,1999-06-25,93.18263
SREN SW Equity,1999-06-28,93.6465
SREN SW Equity,1999-06-29,93.98371
SREN SW Equity,1999-06-30,92.33903
SREN SW Equity,1999-07-01,93.50932
SREN SW Equity,1999-07-02,96.40701
SREN SW Equity,1999-07-05,97.57499
SREN SW Equity,1999-07-06,96.68313
SREN SW Equity,1999-07-07,96.22014
SREN SW Equity,1999-07-08,97.21742
SREN SW Equity,1999-07-09,97.33075
SREN SW Equity,1999-07-12,97.31425
SREN SW Equity,1999-07-13,96.83505
SREN SW Equity,1999-07-14,96.22192
SREN SW Equity,1999-07-15,96.35262
SREN SW Equity,1999-07-16,95.83516
SREN SW Equity,1999-07-19,96.19889
SREN SW Equity,1999-07-20,94.45922
SREN SW Equity,1999-07-21,93.93862
SREN SW Equity,1999-07-22,92.32617
SREN SW Equity,1999-07-23,91.13279
SREN SW Equity,1999-07-26,89.54141
SREN SW Equity,1999-07-27,90.94049
SREN SW Equity,1999-07-28,91.17552
SREN SW Equity,1999-07-29,89.11647
SREN SW Equity,1999-07-30,89.54429
SREN SW Equity,1999-08-02,88.60477
SREN SW Equity,1999-08-03,88.1236
SREN SW Equity,1999-08-04,87.44222
SREN SW Equity,1999-08-05,86.26775
SREN SW Equity,1999-08-06,85.72224
SREN SW Equity,1999-08-09,87.22563
SREN SW Equity,1999-08-10,86.80998
SREN SW Equity,1999-08-11,86.98455
SREN SW Equity,1999-08-12,87.19705
SREN SW Equity,1999-08-13,87.70777
SREN SW Equity,1999-08-16,89.24814
SREN SW Equity,1999-08-17,90.86922
SREN SW Equity,1999-08-18,90.59141
SREN SW Equity,1999-08-19,90.6696
SREN SW Equity,1999-08-20,91.62835
SREN SW Equity,1999-08-23,92.47749
SREN SW Equity,1999-08-24,91.60431
SREN SW Equity,1999-08-25,92.21686
SREN SW Equity,1999-08-26,92.67437
SREN SW Equity,1999-08-27,93.3036
SREN SW Equity,1999-08-30,93.54213
SREN SW Equity,1999-08-31,92.36221
SREN SW Equity,1999-09-01,93.45717
SREN SW Equity,1999-09-02,92.76062
SREN SW Equity,1999-09-03,94.29287
SREN SW Equity,1999-09-06,94.67549
SREN SW Equity,1999-09-07,95.4905
SREN SW Equity,1999-09-08,96.08386
SREN SW Equity,1999-09-09,97.10549
SREN SW Equity,1999-09-10,96.77093
