name,date,PX_LAST
STB NO Equity,1999-01-04,5.88412
STB NO Equity,1999-01-05,6.01269
STB NO Equity,1999-01-06,5.99545
STB NO Equity,1999-01-07,5.72219
STB NO Equity,1999-01-08,6.18674
STB NO Equity,1999-01-11,6.13824
STB NO Equity,1999-01-12,6.12737
STB NO Equity,1999-01-13,5.63287
STB NO Equity,1999-01-14,5.68052
STB NO Equity,1999-01-15,5.81052
STB NO Equity,1999-01-18,5.92642
STB NO Equity,1999-01-19,5.93029
STB NO Equity,1999-01-20,5.80462
STB NO Equity,1999-01-21,5.68876
STB NO Equity,1999-01-22,5.49205
STB NO Equity,1999-01-25,5.60656
STB NO Equity,1999-01-26,5.69683
STB NO Equity,1999-01-27,5.84129
STB NO Equity,1999-01-28,5.79391
STB NO Equity,1999-01-29,5.89274
STB NO Equity,1999-02-01,5.88732
STB NO Equity,1999-02-02,5.66163
STB NO Equity,1999-02-03,5.63834
STB NO Equity,1999-02-04,5.58775
STB NO Equity,1999-02-05,5.78345
STB NO Equity,1999-02-08,5.98562
STB NO Equity,1999-02-09,5.92842
STB NO Equity,1999-02-10,6.01976
STB NO Equity,1999-02-11,5.84041
STB NO Equity,1999-02-12,5.81545
STB NO Equity,1999-02-15,5.86314
STB NO Equity,1999-02-16,5.77523
STB NO Equity,1999-02-17,5.5056
STB NO Equity,1999-02-18,5.56392
STB NO Equity,1999-02-19,5.55834
STB NO Equity,1999-02-22,5.70154
STB NO Equity,1999-02-23,6.05862
STB NO Equity,1999-02-24,5.99945
STB NO Equity,1999-02-25,5.88639
STB NO Equity,1999-02-26,5.92758
STB NO Equity,1999-03-01,5.95962
STB NO Equity,1999-03-02,5.87823
STB NO Equity,1999-03-03,5.92748
STB NO Equity,1999-03-04,5.86495
STB NO Equity,1999-03-05,5.97425
STB NO Equity,1999-03-08,5.83757
STB NO Equity,1999-03-09,5.80156
STB NO Equity,1999-03-10,5.79902
STB NO Equity,1999-03-11,5.84691
STB NO Equity,1999-03-12,5.81439
STB NO Equity,1999-03-15,5.74698
STB NO Equity,1999-03-16,5.79913
STB NO Equity,1999-03-17,5.81258
STB NO Equity,1999-03-18,5.95417
STB NO Equity,1999-03-19,5.92492
STB NO Equity,1999-03-22,5.97273
STB NO Equity,1999-03-23,5.87422
STB NO Equity,1999-03-24,5.7203
STB NO Equity,1999-03-25,5.72077
STB NO Equity,1999-03-26,5.65758
STB NO Equity,1999-03-29,5.83837
STB NO Equity,1999-03-30,5.7265
STB NO Equity,1999-03-31,5.73861
STB NO Equity,1999-04-06,5.74202
STB NO Equity,1999-04-07,5.82421
STB NO Equity,1999-04-08,5.8416
STB NO Equity,1999-04-09,5.90098
STB NO Equity,1999-04-12,5.81293
STB NO Equity,1999-04-13,5.82087
STB NO Equity,1999-04-14,5.84615
STB NO Equity,1999-04-15,5.96789
STB NO Equity,1999-04-16,5.92443
STB NO Equity,1999-04-19,6.04283
STB NO Equity,1999-04-20,5.93537
STB NO Equity,1999-04-21,5.99911
STB NO Equity,1999-04-22,5.99482
STB NO Equity,1999-04-23,5.98511
STB NO Equity,1999-04-26,6.03926
STB NO Equity,1999-04-27,5.92433
STB NO Equity,1999-04-28,5.88063
STB NO Equity,1999-04-29,5.73838
STB NO Equity,1999-04-30,5.75204
STB NO Equity,1999-05-03,5.80848
STB NO Equity,1999-05-04,5.95082
