name,date,PX_LAST
TOP DC Equity,1999-01-04,1.71835
TOP DC Equity,1999-01-05,1.7119
TOP DC Equity,1999-01-06,1.71452
TOP DC Equity,1999-01-07,1.71298
TOP DC Equity,1999-01-08,1.71449
TOP DC Equity,1999-01-11,1.71286
TOP DC Equity,1999-01-12,1.72645
TOP DC Equity,1999-01-13,1.705
TOP DC Equity,1999-01-14,1.70647
TOP DC Equity,1999-01-15,1.71286
TOP DC Equity,1999-01-18,1.71309
TOP DC Equity,1999-01-19,1.72093
TOP DC Equity,1999-01-20,1.71915
TOP DC Equity,1999-01-21,1.72768
TOP DC Equity,1999-01-22,1.72086
TOP DC Equity,1999-01-25,1.71282
TOP DC Equity,1999-01-26,1.73473
TOP DC Equity,1999-01-28,1.76042
TOP DC Equity,1999-01-29,1.85517
TOP DC Equity,1999-02-01,1.83059
TOP DC Equity,1999-02-02,1.80176
TOP DC Equity,1999-02-03,1.80169
TOP DC Equity,1999-02-04,1.80873
TOP DC Equity,1999-02-05,1.80683
TOP DC Equity,1999-02-08,1.80152
TOP DC Equity,1999-02-09,1.80004
TOP DC Equity,1999-02-10,1.78937
TOP DC Equity,1999-02-11,1.7889
TOP DC Equity,1999-02-12,1.78005
TOP DC Equity,1999-02-16,1.75243
TOP DC Equity,1999-02-17,1.74833
TOP DC Equity,1999-02-18,1.74899
TOP DC Equity,1999-02-19,1.76855
TOP DC Equity,1999-02-22,1.74852
TOP DC Equity,1999-02-23,1.75589
TOP DC Equity,1999-02-24,1.77423
TOP DC Equity,1999-02-25,1.774
TOP DC Equity,1999-02-26,1.77189
TOP DC Equity,1999-03-01,1.7607
TOP DC Equity,1999-03-02,1.74868
TOP DC Equity,1999-03-03,1.71496
TOP DC Equity,1999-03-04,1.70786
TOP DC Equity,1999-03-05,1.6953
TOP DC Equity,1999-03-08,1.69462
TOP DC Equity,1999-03-09,1.66895
TOP DC Equity,1999-03-10,1.68031
TOP DC Equity,1999-03-11,1.64158
TOP DC Equity,1999-03-12,1.67436
TOP DC Equity,1999-03-15,1.64907
TOP DC Equity,1999-03-16,1.63488
TOP DC Equity,1999-03-17,1.62748
TOP DC Equity,1999-03-18,1.62813
TOP DC Equity,1999-03-19,1.61475
TOP DC Equity,1999-03-22,1.60085
TOP DC Equity,1999-03-23,1.66158
TOP DC Equity,1999-03-24,1.71953
TOP DC Equity,1999-03-25,1.7146
TOP DC Equity,1999-03-26,1.68755
TOP DC Equity,1999-03-29,1.69133
TOP DC Equity,1999-03-30,1.69292
TOP DC Equity,1999-03-31,1.70993
TOP DC Equity,1999-04-06,1.71574
TOP DC Equity,1999-04-07,1.70187
TOP DC Equity,1999-04-08,1.70054
TOP DC Equity,1999-04-09,1.68112
TOP DC Equity,1999-04-12,1.68129
TOP DC Equity,1999-04-13,1.69472
TOP DC Equity,1999-04-14,1.68784
TOP DC Equity,1999-04-15,1.67527
TOP DC Equity,1999-04-16,1.66851
TOP DC Equity,1999-04-19,1.65447
TOP DC Equity,1999-04-20,1.63485
TOP DC Equity,1999-04-22,1.61226
TOP DC Equity,1999-04-23,1.61509
TOP DC Equity,1999-04-26,1.60094
TOP DC Equity,1999-04-27,1.56031
TOP DC Equity,1999-04-28,1.56084
TOP DC Equity,1999-04-29,1.58068
TOP DC Equity,1999-05-03,1.57411
TOP DC Equity,1999-05-04,1.54708
TOP DC Equity,1999-05-05,1.55263
TOP DC Equity,1999-05-06,1.55036
TOP DC Equity,1999-05-07,1.55928
TOP DC Equity,1999-05-10,1.57529
TOP DC Equity,1999-05-11,1.58699
TOP DC Equity,1999-05-12,1.58756
TOP DC Equity,1999-05-14,1.57986
TOP DC Equity,1999-05-17,1.57334
TOP DC Equity,1999-05-18,1.65384
TOP DC Equity,1999-05-19,1.65457
TOP DC Equity,1999-05-20,1.62754
TOP DC Equity,1999-05-21,1.5997
TOP DC Equity,1999-05-25,1.60056
TOP DC Equity,1999-05-26,1.58758
TOP DC Equity,1999-05-27,1.58705
TOP DC Equity,1999-05-28,1.55511
TOP DC Equity,1999-05-31,1.5613
TOP DC Equity,1999-06-01,1.61421
TOP DC Equity,1999-06-02,1.56767
TOP DC Equity,1999-06-03,1.56918
TOP DC Equity,1999-06-04,1.57376
TOP DC Equity,1999-06-07,1.61387
TOP DC Equity,1999-06-08,1.60462
TOP DC Equity,1999-06-09,1.60151
TOP DC Equity,1999-06-10,1.60084
TOP DC Equity,1999-06-11,1.59741
TOP DC Equity,1999-06-14,1.59484
TOP DC Equity,1999-06-15,1.58986
TOP DC Equity,1999-06-17,1.59457
TOP DC Equity,1999-06-18,1.58272
TOP DC Equity,1999-06-21,1.58131
TOP DC Equity,1999-06-22,1.60042
TOP DC Equity,1999-06-23,1.59695
TOP DC Equity,1999-06-24,1.59481
TOP DC Equity,1999-06-25,1.59343
TOP DC Equity,1999-06-28,1.59556
TOP DC Equity,1999-06-29,1.62746
TOP DC Equity,1999-06-30,1.669
TOP DC Equity,1999-07-01,1.66747
TOP DC Equity,1999-07-02,1.66751
TOP DC Equity,1999-07-05,1.66744
TOP DC Equity,1999-07-06,1.68069
TOP DC Equity,1999-07-07,1.64517
TOP DC Equity,1999-07-08,1.70113
