name,date,PX_LAST
US IM Equity,1985-01-02,4.8039
US IM Equity,1985-01-03,4.8459
US IM Equity,1985-01-04,5.0692
US IM Equity,1985-01-07,4.9983
US IM Equity,1985-01-08,5.0692
US IM Equity,1985-01-09,5.2032
US IM Equity,1985-01-10,5.328
US IM Equity,1985-01-11,5.4935
US IM Equity,1985-01-14,5.5382
US IM Equity,1985-01-15,5.6538
US IM Equity,1985-01-16,5.6025
US IM Equity,1985-01-17,5.4081
US IM Equity,1985-01-18,5.6682
US IM Equity,1985-01-21,5.5158
US IM Equity,1985-01-22,5.6945
US IM Equity,1985-01-23,5.4974
US IM Equity,1985-01-24,5.5828
US IM Equity,1985-01-25,5.5382
US IM Equity,1985-01-28,5.5828
US IM Equity,1985-01-29,5.7483
US IM Equity,1985-01-30,5.9401
US IM Equity,1985-01-31,5.8508
US IM Equity,1985-02-01,6.0255
US IM Equity,1985-02-04,5.8955
US IM Equity,1985-02-05,6.0071
US IM Equity,1985-02-06,6.1188
US IM Equity,1985-02-07,6.1188
US IM Equity,1985-02-08,6.1148
US IM Equity,1985-02-11,6.0295
US IM Equity,1985-02-12,5.9848
US IM Equity,1985-02-13,5.9848
US IM Equity,1985-02-14,5.9217
US IM Equity,1985-02-15,6.1148
US IM Equity,1985-02-18,6.5877
US IM Equity,1985-02-19,6.434
US IM Equity,1985-02-20,6.5877
US IM Equity,1985-02-21,6.1858
US IM Equity,1985-02-22,6.0741
US IM Equity,1985-02-25,6.2081
US IM Equity,1985-02-26,6.3158
US IM Equity,1985-02-27,6.0964
US IM Equity,1985-02-28,6.2488
US IM Equity,1985-03-01,5.9848
US IM Equity,1985-03-04,5.8101
US IM Equity,1985-03-05,5.797
US IM Equity,1985-03-06,5.9664
US IM Equity,1985-03-07,6.0964
US IM Equity,1985-03-08,5.9309
US IM Equity,1985-03-11,5.9533
US IM Equity,1985-03-12,5.9086
US IM Equity,1985-03-13,5.8955
US IM Equity,1985-03-14,5.86
US IM Equity,1985-03-15,5.8101
US IM Equity,1985-03-18,5.7615
US IM Equity,1985-03-19,5.7129
US IM Equity,1985-03-20,5.8508
US IM Equity,1985-03-21,5.9401
US IM Equity,1985-03-22,5.9585
US IM Equity,1985-03-25,5.9047
US IM Equity,1985-03-26,5.8731
US IM Equity,1985-03-27,5.8061
US IM Equity,1985-03-28,5.7391
US IM Equity,1985-03-29,5.6275
US IM Equity,1985-04-01,5.6722
US IM Equity,1985-04-02,5.5382
US IM Equity,1985-04-03,5.2702
US IM Equity,1985-04-04,5.3411
US IM Equity,1985-04-05,5.4449
US IM Equity,1985-04-09,5.4974
US IM Equity,1985-04-10,5.5644
US IM Equity,1985-04-11,5.4265
US IM Equity,1985-04-12,5.4042
