name,date,PX_LAST
VAHN SW Equity,1999-01-04,123.92179
VAHN SW Equity,1999-01-05,120.83979
VAHN SW Equity,1999-01-06,122.76927
VAHN SW Equity,1999-01-07,119.45083
VAHN SW Equity,1999-01-08,121.35441
VAHN SW Equity,1999-01-11,120.80833
VAHN SW Equity,1999-01-12,119.10109
VAHN SW Equity,1999-01-13,114.67218
VAHN SW Equity,1999-01-14,114.62704
VAHN SW Equity,1999-01-15,115.24212
VAHN SW Equity,1999-01-18,116.41146
VAHN SW Equity,1999-01-19,115.90752
VAHN SW Equity,1999-01-20,115.29437
VAHN SW Equity,1999-01-21,112.42085
VAHN SW Equity,1999-01-22,115.38777
VAHN SW Equity,1999-01-25,115.57195
VAHN SW Equity,1999-01-26,116.82486
VAHN SW Equity,1999-01-27,116.17602
VAHN SW Equity,1999-01-28,122.71273
VAHN SW Equity,1999-01-29,122.80745
VAHN SW Equity,1999-02-01,122.83536
VAHN SW Equity,1999-02-02,120.20219
VAHN SW Equity,1999-02-03,118.53646
VAHN SW Equity,1999-02-04,118.68998
VAHN SW Equity,1999-02-05,115.51001
VAHN SW Equity,1999-02-08,113.86534
VAHN SW Equity,1999-02-09,115.45026
VAHN SW Equity,1999-02-10,108.08756
VAHN SW Equity,1999-02-11,112.18434
VAHN SW Equity,1999-02-12,114.19038
VAHN SW Equity,1999-02-15,112.34436
VAHN SW Equity,1999-02-16,111.04088
VAHN SW Equity,1999-02-17,107.83381
VAHN SW Equity,1999-02-18,109.45845
VAHN SW Equity,1999-02-19,109.25262
VAHN SW Equity,1999-02-22,106.00208
VAHN SW Equity,1999-02-23,109.80672
VAHN SW Equity,1999-02-24,109.72454
VAHN SW Equity,1999-02-25,109.47853
VAHN SW Equity,1999-02-26,106.6586
VAHN SW Equity,1999-03-01,103.58991
VAHN SW Equity,1999-03-02,106.54465
VAHN SW Equity,1999-03-03,114.7635
VAHN SW Equity,1999-03-04,138.51172
VAHN SW Equity,1999-03-05,133.36823
VAHN SW Equity,1999-03-08,130.21404
VAHN SW Equity,1999-03-09,125.23706
VAHN SW Equity,1999-03-10,125.24745
VAHN SW Equity,1999-03-11,125.11127
VAHN SW Equity,1999-03-12,125.06501
VAHN SW Equity,1999-03-15,124.82287
VAHN SW Equity,1999-03-16,124.93064
VAHN SW Equity,1999-03-17,125.21657
VAHN SW Equity,1999-03-18,129.87335
VAHN SW Equity,1999-03-19,131.39336
VAHN SW Equity,1999-03-22,127.10442
VAHN SW Equity,1999-03-23,125.52836
VAHN SW Equity,1999-03-24,125.60668
VAHN SW Equity,1999-03-25,125.6695
VAHN SW Equity,1999-03-26,125.59038
VAHN SW Equity,1999-03-29,123.91007
VAHN SW Equity,1999-03-30,123.57954
VAHN SW Equity,1999-03-31,121.35785
VAHN SW Equity,1999-04-01,121.04076
VAHN SW Equity,1999-04-06,120.62658
VAHN SW Equity,1999-04-07,119.90921
VAHN SW Equity,1999-04-08,119.73545
VAHN SW Equity,1999-04-09,120.81178
VAHN SW Equity,1999-04-12,121.55575
VAHN SW Equity,1999-04-13,122.3814
VAHN SW Equity,1999-04-14,123.71375
VAHN SW Equity,1999-04-15,121.58307
VAHN SW Equity,1999-04-16,118.63637
VAHN SW Equity,1999-04-19,118.67768
VAHN SW Equity,1999-04-20,117.36689
