name,date,PX_LAST
WUW GR Equity,1999-09-09,43.4
WUW GR Equity,1999-09-10,42.9
WUW GR Equity,1999-09-13,43.0
WUW GR Equity,1999-09-14,42.9
WUW GR Equity,1999-09-15,41.4
WUW GR Equity,1999-09-16,42.0
WUW GR Equity,1999-09-17,41.49
WUW GR Equity,1999-09-20,41.4
WUW GR Equity,1999-09-21,41.8
WUW GR Equity,1999-09-22,41.0
WUW GR Equity,1999-09-23,42.0
WUW GR Equity,1999-09-24,41.5
WUW GR Equity,1999-09-27,41.1
WUW GR Equity,1999-09-28,41.0
WUW GR Equity,1999-09-29,40.0
WUW GR Equity,1999-09-30,41.0
WUW GR Equity,1999-10-01,36.0
WUW GR Equity,1999-10-04,39.5
WUW GR Equity,1999-10-05,38.0
WUW GR Equity,1999-10-06,39.0
WUW GR Equity,1999-10-07,39.0
WUW GR Equity,1999-10-08,38.0
WUW GR Equity,1999-10-11,38.0
WUW GR Equity,1999-10-12,38.0
WUW GR Equity,1999-10-13,38.0
WUW GR Equity,1999-10-14,39.0
WUW GR Equity,1999-10-15,39.5
WUW GR Equity,1999-10-18,39.5
WUW GR Equity,1999-10-19,40.0
WUW GR Equity,1999-10-20,39.5
WUW GR Equity,1999-10-21,40.3
WUW GR Equity,1999-10-22,38.0
WUW GR Equity,1999-10-25,38.8
WUW GR Equity,1999-10-26,39.0
WUW GR Equity,1999-10-27,38.1
WUW GR Equity,1999-10-28,38.5
WUW GR Equity,1999-10-29,38.45
WUW GR Equity,1999-11-01,38.0
WUW GR Equity,1999-11-02,39.0
WUW GR Equity,1999-11-03,38.0
WUW GR Equity,1999-11-04,38.5
WUW GR Equity,1999-11-05,38.1
WUW GR Equity,1999-11-08,38.5
WUW GR Equity,1999-11-09,38.5
WUW GR Equity,1999-11-10,38.0
WUW GR Equity,1999-11-11,37.0
WUW GR Equity,1999-11-12,37.5
WUW GR Equity,1999-11-15,37.5
WUW GR Equity,1999-11-16,36.5
WUW GR Equity,1999-11-17,38.0
WUW GR Equity,1999-11-18,38.0
WUW GR Equity,1999-11-19,38.0
WUW GR Equity,1999-11-22,38.0
WUW GR Equity,1999-11-23,38.0
WUW GR Equity,1999-11-24,37.0
WUW GR Equity,1999-11-25,34.5
WUW GR Equity,1999-11-26,35.0
WUW GR Equity,1999-11-29,35.4
WUW GR Equity,1999-11-30,35.0
WUW GR Equity,1999-12-01,34.9
WUW GR Equity,1999-12-02,36.0
WUW GR Equity,1999-12-03,34.0
WUW GR Equity,1999-12-06,33.0
WUW GR Equity,1999-12-07,32.5
WUW GR Equity,1999-12-08,30.7
WUW GR Equity,1999-12-09,30.5
WUW GR Equity,1999-12-10,30.5
