gvkey,datadate,revt,pi,at,lt,teq,ipti,bct
270979,2001-12-31,112.887,27.435,405.512,383.244,,84.135,63.933
270979,2002-12-31,113.924,42.951,377.392,308.439,,81.336,52.566
270979,2003-12-31,123.421,57.244,449.032,340.866,,79.327,43.557
270979,2004-12-31,197.815,117.985,568.709,452.03,,107.501,74.272
270979,2005-12-31,263.112,119.494,663.583,482.171,,139.454,100.526
270979,2006-12-31,310.966,147.342,753.005,533.95,,144.955,107.145
270979,2007-12-31,364.134,182.098,870.322,632.69,,142.236,99.795
270979,2008-12-31,422.806,202.518,1014.003,738.434,,169.836,114.576
270979,2009-12-31,507.5,215.8,1177.4,876.6,,211.9,151.7
270979,2010-12-31,640.8,265.5,1766.7,1416.0,350.7,288.1,208.5
270979,2011-12-31,870.3,299.1,2614.9,2220.5,394.4,445.8,363.8
270979,2012-12-31,984.3,344.6,3204.2,2743.5,460.7,498.9,404.5
270979,2013-12-31,924.4,370.2,3473.8,2949.7,524.1,483.0,303.0
270979,2014-12-31,884.6,350.7,3877.5,3296.6,580.9,464.9,259.1
270979,2015-12-31,904.8,368.7,4202.4,3569.5,632.9,467.0,226.5
270979,2016-12-31,1016.8,278.4,4860.8,4279.1,581.7,548.8,394.6
270979,2017-12-31,1128.9,403.5,5859.1,5203.3,655.8,619.1,347.1
270979,2018-12-31,1265.2,476.2,6802.5,6031.4,771.1,671.8,350.1
270979,2019-12-31,1362.3,522.6,7585.4,6666.8,918.6,709.4,359.3
270979,2020-12-31,1306.7,608.2,7842.2,6718.8,1123.4,751.6,293.2
270979,2021-12-31,1555.3,713.5,8359.7,6951.2,1408.5,855.0,332.3
270979,2022-12-31,1507.3,469.0,8938.5,7983.1,955.4,911.0,506.1
270979,2023-12-31,3511.2,442.8,7096.2,6103.4,992.8,3150.8,1957.9
015598,1987-12-31,8734.12,412.38,43069.373,40957.1,,4929.09,4925.631
015598,1988-12-31,9727.517,461.964,50644.991,47867.852,,5701.643,5749.198
015598,1989-12-31,11181.072,600.748,56416.112,52678.512,,6458.092,6587.289
015598,1990-12-31,11451.0,792.0,60464.0,55999.0,,6379.0,6709.0
